rank,my_score,ticker,company,sentiment_score,analyst_recom,rs_rating,returns_multiple,current_price,1yr_target,est_g/l,52_week_low,52_week_high,20_day_ma,50_day_ma,200_day_ma,in_sp1500
37,67.66666666666667,IIPR,"Innovative Industrial Properties, Inc.",35.0,84.0,84,1.56,269.08,287.0,6.66,$112.25,$252.38,237.76,219.81,190.98,True
41,67.0,EPRT,"Essential Properties Realty Trust, Inc.",41.0,84.0,76,1.36,28.48,33.73,18.43,$16.18,$32.69,31.24,29.55,24.68,True
42,67.0,SSTK,"Shutterstock, Inc.",23.0,89.0,89,1.76,113.82,134.75,18.39,$47.97,$118.38,108.79,104.86,87.68,True
45,67.0,UIS,Unisys Corporation,23.0,94.0,84,1.54,19.44,40.5,108.33,$10.12,$28.60,23.69,23.54,23.49,True
46,66.83333333333333,KFY,Korn Ferry,13.0,96.5,91,1.88,81.11,97.75,20.52,$27.93,$76.50,69.64,68.61,60.08,True
48,66.66666666666667,CLH,"Clean Harbors, Inc.",42.0,84.0,74,1.34,110.99,122.5,10.37,$52.22,$105.51,101.94,97.12,88.02,True
52,66.33333333333333,TBBK,"The Bancorp, Inc.",13.0,94.0,92,1.93,30.98,36.0,16.2,$7.95,$26.70,24.63,23.58,20.83,True
57,65.83333333333333,CROX,"Crocs, Inc.",20.0,81.5,96,2.64,171.65,193.88,12.95,$38.54,$147.76,142.32,132.06,94.9,True
59,65.83333333333333,SNX,SYNNEX Corporation,26.0,81.5,90,1.83,113.14,140.14,23.86,$50.06,$130.93,126.12,121.48,106.34,True
60,65.66666666666667,ARCB,ArcBest Corporation,30.0,84.0,83,1.52,109.85,127.56,16.12,$28.53,$93.96,67.62,63.02,61.18,True
61,65.66666666666667,STLD,"Steel Dynamics, Inc.",29.0,79.0,89,1.73,65.15,80.41,23.42,$28.31,$74.37,69.17,64.52,51.84,True
63,65.66666666666667,SITM,SiTime Corporation,12.0,89.0,96,2.45,298.56,327.67,9.75,$63.00,$228.28,206.61,161.17,120.62,True
67,65.33333333333333,ELF,"e.l.f. Beauty, Inc.",45.0,84.0,67,1.21,31.78,36.7,15.48,$17.32,$31.44,29.98,28.18,26.47,True
68,65.33333333333333,RCII,"Rent-A-Center, Inc.",16.0,94.0,86,1.62,46.89,70.62,50.61,$27.83,$67.76,63.21,58.15,52.94,True
69,65.33333333333333,JEF,Jefferies Financial Group Inc.,20.0,89.0,87,1.65,39.98,50.33,25.89,$16.75,$37.85,35.94,34.24,29.96,True
73,65.16666666666667,GTLS,"Chart Industries, Inc.",16.0,86.5,93,2.11,181.41,204.33,12.63,$63.62,$197.40,181.96,164.5,144.61,True
76,65.0,TPX,"Tempur Sealy International, Inc.",29.0,79.0,87,1.64,43.87,55.22,25.87,$20.68,$46.58,44.34,42.04,35.63,True
78,65.0,CZR,"Caesars Entertainment, Inc.",26.0,84.0,85,1.59,93.94,138.38,47.31,$43.07,$113.46,94.83,94.16,89.84,True
90,64.66666666666667,AMN,"AMN Healthcare Services, Inc.",20.0,89.0,85,1.58,114.63,133.33,16.31,$52.61,$117.17,109.33,102.86,83.82,True
91,64.66666666666667,NVEE,"NV5 Global, Inc.",26.0,84.0,84,1.56,115.28,131.14,13.76,$47.78,$109.39,102.26,97.37,91.4,True
93,64.66666666666667,URI,"United Rentals, Inc.",40.0,74.0,80,1.45,373.89,401.13,7.29,$159.01,$364.30,347.24,330.6,299.3,True
95,64.5,NSA,National Storage Affiliates Trust,42.0,76.5,75,1.35,63.31,66.14,4.47,$31.82,$59.34,56.39,54.53,43.63,True
96,64.5,MATX,"Matson, Inc.",25.0,81.5,87,1.66,87.5,96.0,9.71,$36.78,$86.25,77.38,70.62,66.21,True
97,64.5,ACLS,"Axcelis Technologies, Inc.",19.0,86.5,88,1.71,64.72,68.5,5.84,$20.40,$52.80,46.53,41.74,38.43,True
100,64.16666666666667,JLL,Jones Lang LaSalle Incorporated,22.0,81.5,89,1.77,265.15,337.0,27.1,$90.86,$253.93,243.2,221.4,184.23,True
108,64.0,SCSC,"ScanSource, Inc.",12.0,99.0,81,1.46,33.8,46.33,37.07,$18.25,$38.49,32.75,29.14,28.9,True
110,64.0,BLFS,"BioLife Solutions, Inc.",25.0,79.0,88,1.72,43.95,63.43,44.32,$22.06,$60.67,50.92,48.29,40.29,True
113,63.833333333333336,ALGN,"Align Technology, Inc.",17.0,86.5,88,1.7,653.2,761.83,16.63,$297.44,$733.33,702.19,667.17,586.9,True
117,63.666666666666664,THC,Tenet Healthcare Corporation,20.0,79.0,92,1.94,78.19,87.94,12.47,$21.34,$76.16,72.82,70.55,57.12,True
118,63.666666666666664,NSIT,"Insight Enterprises, Inc.",24.0,94.0,73,1.32,104.43,120.33,15.23,$52.63,$107.27,98.78,98.58,91.91,True
119,63.666666666666664,EVR,Evercore Inc.,18.0,84.0,89,1.73,148.63,172.12,15.8,$60.20,$151.10,136.59,135.11,126.26,True
120,63.5,DKS,"DICK'S Sporting Goods, Inc.",24.0,76.5,90,1.83,127.3,153.17,20.32,$50.88,$146.94,122.59,110.01,83.69,True
124,63.166666666666664,AMKR,"Amkor Technology, Inc.",17.0,81.5,91,1.86,23.27,27.0,16.03,$10.71,$28.79,26.42,24.84,21.23,True
126,63.166666666666664,JYNT,The Joint Corp.,14.0,76.5,99,4.36,83.49,126.0,50.92,$16.03,$111.06,96.95,90.25,56.36,True
129,63.0,MODV,ModivCare Inc.,15.0,89.0,85,1.59,146.12,211.6,44.81,$84.32,$211.94,189.71,177.91,155.98,True
134,62.833333333333336,BYD,Boyd Gaming Corporation,20.0,81.5,87,1.66,61.89,83.09,34.25,$26.00,$71.00,59.96,58.49,55.99,True
135,62.833333333333336,OMCL,"Omnicell, Inc.",19.0,81.5,88,1.69,179.78,185.22,3.03,$67.66,$162.57,154.27,152.15,134.77,True
138,62.666666666666664,TRGP,Targa Resources Corp.,10.0,84.0,94,2.2,56.67,64.55,13.91,$13.08,$49.20,43.74,43.31,35.3,True
139,62.5,CRL,"Charles River Laboratories International, Inc.",15.0,86.5,86,1.6,377.51,443.73,17.54,$205.40,$450.84,429.96,406.68,321.63,True
140,62.5,TTEC,"TTEC Holdings, Inc.",23.0,81.5,83,1.52,87.35,114.14,30.67,$51.29,$113.37,105.67,103.67,92.92,True
145,62.5,PWR,"Quanta Services, Inc.",14.0,86.5,87,1.67,121.98,133.75,9.65,$48.53,$116.72,102.27,94.73,86.38,True
150,62.166666666666664,VRTS,"Virtus Investment Partners, Inc.",16.0,81.5,89,1.77,316.0,396.0,25.32,$129.35,$322.25,310.74,289.55,255.47,True
152,62.166666666666664,KLIC,"Kulicke and Soffa Industries, Inc.",15.0,76.5,95,2.33,60.01,83.8,39.64,$21.86,$73.88,67.5,60.52,48.91,True
153,62.166666666666664,HLIT,Harmonic Inc.,43.0,76.5,67,1.22,11.32,12.5,10.42,$5.20,$10.75,9.46,8.94,7.95,True
154,62.166666666666664,JBL,Jabil Inc.,18.0,86.5,82,1.5,61.96,73.0,17.82,$30.42,$63.54,60.75,58.83,50.94,True
155,62.166666666666664,STAA,STAAR Surgical Company,11.0,81.5,94,2.24,103.61,146.0,40.91,$50.50,$163.08,144.52,140.34,116.42,True
157,62.0,MXL,"MaxLinear, Inc.",16.0,79.0,91,1.87,68.91,71.1,3.18,$21.10,$55.00,51.55,47.15,38.59,True
158,62.0,TTGT,"TechTarget, Inc.",22.0,79.0,85,1.59,97.99,110.78,13.05,$38.01,$101.12,80.28,77.23,72.55,True
159,62.0,AMP,"Ameriprise Financial, Inc.",25.0,84.0,77,1.38,302.46,337.11,11.46,$141.82,$277.95,269.82,257.98,231.81,True
162,61.833333333333336,CMTL,Comtech Telecommunications Corp.,27.0,86.5,72,1.29,27.0,29.38,8.81,$12.96,$30.40,25.65,24.99,23.99,True
163,61.833333333333336,CPRI,Capri Holdings Limited,14.0,76.5,95,2.33,63.74,79.33,24.46,$17.11,$61.25,57.41,55.1,50.15,True
164,61.833333333333336,AA,Alcoa Corporation,13.0,76.5,96,2.44,50.46,59.19,17.3,$10.98,$48.24,43.24,39.65,31.7,True
168,61.666666666666664,AFG,"American Financial Group, Inc.",21.0,74.0,90,1.79,141.73,160.33,13.12,$62.30,$141.25,136.22,129.16,104.77,True
169,61.666666666666664,ULTA,"Ulta Beauty, Inc.",45.0,74.0,66,1.2,409.56,428.64,4.66,$200.50,$414.98,374.97,355.07,321.57,True
175,61.5,NAVI,Navient Corporation,15.0,76.5,93,2.05,20.59,21.5,4.42,$7.42,$23.42,22.38,20.98,15.39,True
176,61.5,EPAM,"EPAM Systems, Inc.",21.0,81.5,82,1.49,620.27,780.53,25.84,$305.83,$644.14,623.13,575.66,442.97,True
177,61.5,VBTX,"Veritex Holdings, Inc.",10.0,91.5,83,1.52,42.11,46.5,10.43,$15.52,$37.99,35.23,34.12,31.27,True
180,61.5,FTNT,"Fortinet, Inc.",16.0,76.5,92,1.99,333.24,367.7,10.34,$106.75,$322.00,307.06,283.91,204.35,True
182,61.333333333333336,SGMS,Scientific Games Corporation,13.0,74.0,97,2.79,65.76,85.25,29.64,$18.35,$80.81,70.73,68.35,54.91,True
183,61.333333333333336,SIVB,SVB Financial Group,22.0,74.0,88,1.72,740.45,808.81,9.23,$221.55,$608.84,569.6,566.57,511.35,True
184,61.333333333333336,CBRE,"CBRE Group, Inc.",22.0,79.0,83,1.52,104.24,126.17,21.04,$43.17,$98.93,95.13,91.44,79.32,True
185,61.333333333333336,WD,"Walker & Dunlop, Inc.",11.0,89.0,84,1.56,153.02,169.0,10.44,$47.04,$114.77,103.43,102.11,98.3,True
186,61.333333333333336,CCS,"Century Communities, Inc.",20.0,89.0,75,1.35,73.21,100.25,36.93,$36.64,$83.20,69.57,66.63,60.93,True
191,61.166666666666664,PNFP,"Pinnacle Financial Partners, Inc.",12.0,81.5,90,1.83,103.74,116.6,12.4,$32.80,$98.63,95.26,91.53,82.46,True
192,61.166666666666664,ISBC,"Investors Bancorp, Inc.",25.0,81.5,77,1.38,16.1,16.93,5.16,$6.74,$15.71,14.1,13.84,13.21,True
193,61.0,VMI,"Valmont Industries, Inc.",12.0,89.0,82,1.51,253.87,282.0,11.08,$117.36,$265.09,242.82,236.72,223.83,True
194,61.0,BLDR,"Builders FirstSource, Inc.",16.0,94.0,73,1.32,73.71,82.07,11.34,$29.26,$55.17,51.93,47.15,44.26,True
195,61.0,KSS,Kohl's Corporation,18.0,74.0,91,1.85,55.32,70.21,26.92,$18.28,$64.80,56.13,53.4,51.45,True
196,61.0,PACW,PacWest Bancorp,10.0,84.0,89,1.75,49.24,57.0,15.76,$15.62,$46.75,41.91,40.84,37.19,True
198,60.833333333333336,ACM,AECOM,19.0,91.5,72,1.3,75.12,84.44,12.41,$37.15,$70.04,64.73,63.25,60.09,True
205,60.5,LPX,Louisiana-Pacific Corporation,28.0,71.5,82,1.51,71.44,76.12,6.55,$27.01,$76.35,61.05,58.01,52.81,True
210,60.5,TECH,Bio-Techne Corporation,12.0,86.5,83,1.53,476.97,554.2,16.19,$228.67,$521.46,489.38,475.38,401.08,True
212,60.333333333333336,IPG,"The Interpublic Group of Companies, Inc.",19.0,74.0,88,1.69,34.47,39.83,15.55,$15.92,$37.88,36.87,34.96,29.43,True
213,60.333333333333336,WIRE,Encore Wire Corporation,15.0,94.0,72,1.31,147.9,160.0,8.18,$45.32,$89.34,86.02,79.31,70.81,True
219,60.166666666666664,HWC,Hancock Whitney Corporation,10.0,81.5,89,1.73,52.62,57.33,8.95,$17.42,$50.69,45.15,43.98,41.16,True
220,60.166666666666664,RJF,"Raymond James Financial, Inc.",15.0,86.5,79,1.43,102.5,118.62,15.73,$67.66,$143.14,138.33,133.67,119.95,True
223,60.0,ROIC,Retail Opportunity Investments Corp.,39.0,74.0,67,1.21,18.68,19.45,4.12,$9.63,$18.86,17.66,17.61,16.23,True
224,60.0,GMS,GMS Inc.,15.0,79.0,86,1.6,60.18,60.67,0.81,$21.41,$53.85,49.87,48.41,40.64,True
226,60.0,JCI,Johnson Controls International plc,24.0,79.0,77,1.39,78.89,83.39,5.7,$39.80,$75.68,73.99,71.77,60.49,True
227,60.0,IT,"Gartner, Inc.",11.0,79.0,90,1.79,326.11,358.33,9.88,$115.86,$317.43,306.46,280.66,211.47,True
231,59.666666666666664,COOP,Mr. Cooper Group Inc.,19.0,79.0,81,1.48,42.17,49.71,17.88,$19.61,$41.64,38.82,36.61,32.93,True
232,59.666666666666664,SCHW,The Charles Schwab Corporation,16.0,79.0,84,1.56,83.14,91.62,10.2,$33.79,$76.37,73.18,71.09,64.69,True
238,59.5,HCA,"HCA Healthcare, Inc.",17.0,81.5,80,1.44,239.85,286.7,19.53,$114.38,$257.42,248.54,237.66,196.48,True
239,59.5,MPWR,"Monolithic Power Systems, Inc.",10.0,86.5,82,1.51,552.58,603.29,9.18,$235.62,$505.82,480.92,438.14,373.33,True
243,59.5,ZBRA,Zebra Technologies Corporation,14.0,76.5,88,1.71,598.02,630.91,5.5,$246.83,$594.77,576.25,554.22,477.16,True
245,59.5,BSIG,BrightSphere Investment Group Inc.,18.0,76.5,84,1.55,30.46,31.75,4.24,$12.35,$27.68,26.88,25.32,21.84,True
247,59.333333333333336,INTU,Intuit Inc.,22.0,84.0,72,1.31,684.0,734.87,7.44,$295.37,$582.96,550.33,527.2,430.21,True
248,59.166666666666664,TRMB,Trimble Inc.,18.0,81.5,78,1.41,86.23,96.33,11.71,$46.78,$96.49,92.2,87.13,76.91,True
251,59.166666666666664,MS,Morgan Stanley,12.0,81.5,84,1.56,101.12,112.24,11.0,$45.86,$105.81,103.45,97.6,82.25,True
252,59.166666666666664,ACHC,"Acadia Healthcare Company, Inc.",13.0,76.5,88,1.71,61.25,75.14,22.68,$27.07,$68.65,64.24,63.01,57.61,True
258,58.833333333333336,MAN,ManpowerGroup Inc.,23.0,81.5,72,1.29,98.5,124.0,25.89,$65.04,$125.07,121.23,117.87,106.37,True
260,58.833333333333336,CARR,Carrier Global Corporation,16.0,81.5,79,1.43,55.69,59.35,6.57,$28.58,$58.89,56.73,53.24,43.82,True
265,58.666666666666664,CDW,CDW Corporation,20.0,79.0,77,1.38,199.79,206.12,3.17,$105.87,$203.82,198.42,187.2,162.73,True
266,58.666666666666664,BRKR,Bruker Corporation,13.0,74.0,89,1.75,77.3,88.27,14.19,$37.27,$92.05,86.12,82.24,67.28,True
269,58.5,WTFC,Wintrust Financial Corporation,15.0,86.5,74,1.34,96.43,101.75,5.52,$37.28,$87.85,73.77,72.98,71.79,True
271,58.333333333333336,PAYC,"Paycom Software, Inc.",19.0,84.0,72,1.29,452.3,562.62,24.39,$263.35,$503.25,476.87,425.95,395.29,True
273,58.333333333333336,CTLT,"Catalent, Inc.",16.0,89.0,70,1.26,129.59,159.42,23.02,$79.65,$142.41,128.18,120.29,110.63,True
274,58.333333333333336,LKQ,LKQ Corporation,14.0,94.0,67,1.21,59.43,65.89,10.87,$26.73,$53.17,51.2,50.72,44.31,True
277,58.166666666666664,MSI,"Motorola Solutions, Inc.",20.0,86.5,68,1.23,261.29,270.27,3.44,$149.81,$246.84,239.56,229.21,195.47,True
278,58.166666666666664,LSI,"Life Storage, Inc.",11.0,86.5,77,1.38,135.01,144.3,6.88,$68.31,$129.87,122.92,117.76,94.49,True
280,58.166666666666664,XPO,"XPO Logistics, Inc.",18.0,86.5,70,1.26,78.45,103.05,31.36,$46.58,$90.78,87.52,84.52,76.91,True
285,57.833333333333336,KBR,"KBR, Inc.",25.0,81.5,67,1.21,47.18,50.67,7.4,$21.13,$42.71,38.88,38.71,35.32,True
286,57.833333333333336,FITB,Fifth Third Bancorp,13.0,81.5,79,1.42,44.6,48.58,8.92,$19.32,$43.06,38.43,37.59,35.42,True
287,57.833333333333336,SPSC,"SPS Commerce, Inc.",16.0,81.5,76,1.36,144.91,191.0,31.81,$70.15,$137.35,126.22,111.83,104.5,True
288,57.833333333333336,AIG,"American International Group, Inc.",16.0,76.5,81,1.46,57.89,63.08,8.97,$25.57,$55.50,54.27,50.27,45.85,True
291,57.833333333333336,NSP,"Insperity, Inc.",11.0,86.5,76,1.37,125.09,145.75,16.52,$62.10,$114.33,107.86,99.95,89.69,True
293,57.666666666666664,DHR,Danaher Corporation,20.0,84.0,69,1.24,315.48,348.08,10.33,$197.58,$333.29,320.69,299.45,251.32,True
295,57.666666666666664,LNC,Lincoln National Corporation,24.0,69.0,80,1.44,71.32,76.18,6.81,$29.42,$71.68,68.23,64.57,59.64,True
296,57.666666666666664,PCTY,Paylocity Holding Corporation,15.0,79.0,79,1.43,261.09,316.15,21.09,$135.10,$275.45,259.86,226.13,197.28,True
297,57.666666666666664,IQV,IQVIA Holdings Inc.,17.0,89.0,67,1.22,265.36,300.22,13.14,$146.00,$265.34,256.35,250.89,213.69,True
299,57.5,POWI,"Power Integrations, Inc.",13.0,76.5,83,1.52,104.97,115.83,10.35,$51.16,$110.66,103.65,93.29,84.84,True
302,57.333333333333336,DGII,Digi International Inc.,16.0,89.0,67,1.21,23.58,30.1,27.65,$13.42,$25.61,21.1,20.48,19.71,True
303,57.333333333333336,DIOD,Diodes Incorporated,13.0,79.0,80,1.45,108.63,117.67,8.32,$46.47,$98.88,93.08,84.97,78.33,True
305,57.333333333333336,EXP,Eagle Materials Inc.,12.0,84.0,76,1.36,164.33,175.13,6.57,$78.23,$160.18,153.56,145.27,130.63,True
306,57.333333333333336,LH,Laboratory Corporation of America Holdings,10.0,89.0,73,1.32,283.73,336.14,18.47,$173.01,$309.28,303.65,292.41,253.39,True
307,57.333333333333336,KIM,Kimco Realty Corporation,21.0,74.0,77,1.39,24.38,25.21,3.4,$10.04,$22.45,21.73,21.27,18.89,True
313,57.166666666666664,NVDA,NVIDIA Corporation,17.0,81.5,73,1.32,326.74,331.54,1.47,$115.67,$230.43,212.28,203.65,158.53,True
315,57.166666666666664,TXT,Textron Inc.,18.0,76.5,77,1.39,75.31,86.0,14.19,$31.82,$74.80,72.49,70.0,59.02,True
317,57.0,A,"Agilent Technologies, Inc.",10.0,84.0,77,1.38,152.97,175.88,14.98,$95.44,$179.57,168.86,157.77,134.26,True
318,57.0,PIPR,Piper Sandler Companies,16.0,74.0,81,1.47,181.0,182.25,0.69,$66.83,$146.50,141.89,132.2,114.99,True
325,56.5,MET,"MetLife, Inc.",19.0,81.5,69,1.24,62.63,72.73,16.13,$35.19,$67.68,61.68,59.6,56.83,True
328,56.333333333333336,CSL,Carlisle Companies Incorporated,16.0,84.0,69,1.25,237.6,255.29,7.45,$115.54,$215.41,208.02,201.21,174.39,True
329,56.333333333333336,SXI,Standex International Corporation,11.0,89.0,69,1.25,113.16,134.33,18.71,$55.35,$108.17,97.68,94.19,91.64,True
330,56.166666666666664,MTG,MGIC Investment Corporation,11.0,86.5,71,1.28,15.14,17.72,17.04,$8.29,$15.68,15.09,14.24,13.45,True
331,56.166666666666664,GEF,"Greif, Inc.",18.0,71.5,79,1.42,69.07,72.0,4.24,$33.95,$68.81,63.23,61.11,55.93,True
333,56.166666666666664,AVY,Avery Dennison Corporation,11.0,76.5,81,1.48,218.85,241.3,10.26,$114.59,$228.88,220.51,212.69,188.96,True
334,56.166666666666664,KLAC,KLA Corporation,11.0,76.5,81,1.47,413.3,416.9,0.87,$171.31,$359.69,332.68,325.51,305.81,True
335,56.0,NVT,nVent Electric plc,13.0,79.0,76,1.37,37.14,42.5,14.43,$16.92,$34.97,33.58,32.17,28.29,True
336,55.833333333333336,DE,Deere & Company,19.0,76.5,72,1.31,367.86,399.07,8.48,$210.18,$400.34,376.02,362.41,337.15,True
346,55.333333333333336,RMBS,Rambus Inc.,18.0,74.0,74,1.34,27.31,28.83,5.57,$13.08,$25.19,23.94,23.68,20.55,True
347,55.333333333333336,ORI,Old Republic International Corporation,19.0,74.0,73,1.32,25.85,30.0,16.05,$13.93,$26.69,25.78,25.0,22.11,True
348,55.333333333333336,EXR,Extra Space Storage Inc.,12.0,79.0,75,1.35,204.32,209.57,2.57,$102.74,$194.67,181.77,175.63,141.2,True
352,55.166666666666664,UMPQ,Umpqua Holdings Corporation,15.0,76.5,74,1.34,20.13,22.86,13.56,$10.03,$20.44,19.63,18.84,17.31,True
354,55.166666666666664,R,"Ryder System, Inc.",14.0,71.5,80,1.45,87.01,95.62,9.9,$40.32,$89.65,77.9,75.18,71.67,True
355,55.166666666666664,GRMN,Garmin Ltd.,21.0,71.5,73,1.32,143.11,163.14,14.0,$91.84,$178.81,171.17,159.9,136.5,True
356,55.0,MGM,MGM Resorts International,19.0,69.0,77,1.38,42.83,55.17,28.81,$19.55,$45.34,41.0,40.17,37.47,True
357,55.0,NTAP,"NetApp, Inc.",14.0,69.0,82,1.49,89.78,95.75,6.65,$40.46,$91.55,84.71,82.04,72.71,True
361,54.833333333333336,WST,"West Pharmaceutical Services, Inc.",11.0,81.5,72,1.3,433.72,457.0,5.37,$253.86,$470.42,447.49,410.92,328.6,True
362,54.833333333333336,SYNH,"Syneos Health, Inc.",13.0,86.5,65,1.19,100.44,113.62,13.12,$50.26,$95.56,90.74,89.51,80.38,True
364,54.333333333333336,ETN,Eaton Corporation plc,16.0,79.0,68,1.23,170.95,180.2,5.41,$96.24,$171.32,167.6,159.87,138.63,True
365,54.333333333333336,MLM,"Martin Marietta Materials, Inc.",13.0,74.0,76,1.37,422.96,429.14,1.46,$201.04,$391.76,379.37,365.6,334.92,True
366,54.333333333333336,EFC,Ellington Financial Inc.,18.0,79.0,66,1.2,17.68,19.62,10.97,$12.01,$19.60,18.34,18.15,16.53,True
368,54.333333333333336,PKI,"PerkinElmer, Inc.",14.0,79.0,70,1.26,176.95,188.82,6.71,$112.38,$191.07,184.57,173.3,147.69,True
371,54.166666666666664,MANH,"Manhattan Associates, Inc.",13.0,76.5,73,1.32,161.0,195.0,21.12,$83.74,$167.75,160.75,154.55,130.32,True
374,53.333333333333336,PNC,"The PNC Financial Services Group, Inc.",11.0,74.0,75,1.35,208.63,213.22,2.2,$101.58,$203.88,190.1,187.87,172.26,True
375,53.166666666666664,IDXX,"IDEXX Laboratories, Inc.",11.0,71.5,77,1.38,622.45,701.0,12.62,$347.54,$706.95,676.99,673.46,553.79,True
378,53.0,NFBK,"Northfield Bancorp, Inc. (Staten Island, NY)",16.0,69.0,74,1.33,17.96,19.0,5.79,$8.72,$17.25,16.7,16.32,14.88,True
379,53.0,HBAN,Huntington Bancshares Incorporated,17.0,74.0,68,1.23,16.35,17.78,8.75,$8.52,$16.91,15.2,14.56,14.48,True
380,52.666666666666664,DOV,Dover Corporation,18.0,74.0,66,1.2,176.24,186.08,5.58,$105.40,$176.40,173.32,165.04,141.57,True
382,52.5,BDC,Belden Inc.,11.0,71.5,75,1.35,66.39,74.67,12.47,$28.55,$58.54,55.61,51.95,47.32,True
383,52.333333333333336,WRK,WestRock Company,11.0,79.0,67,1.22,46.84,57.0,21.69,$31.70,$62.03,51.03,50.57,49.68,True
384,52.166666666666664,BRKL,"Brookline Bancorp, Inc.",13.0,76.5,67,1.22,16.56,18.17,9.72,$8.13,$17.14,14.77,14.42,14.25,True
386,52.0,PFBC,Preferred Bank,11.0,69.0,76,1.37,70.99,79.17,11.52,$30.65,$69.44,61.32,60.85,58.2,True
387,52.0,FFIV,"F5, Inc.",13.0,74.0,69,1.24,232.07,238.19,2.64,$116.79,$216.15,203.73,198.37,192.03,True
388,51.666666666666664,IRDM,Iridium Communications Inc.,12.0,74.0,69,1.24,39.28,48.6,23.73,$23.65,$54.65,42.2,41.17,40.3,True
389,51.666666666666664,JPM,JPMorgan Chase & Co.,14.0,74.0,67,1.22,166.96,175.63,5.19,$91.38,$167.44,159.07,155.57,146.4,True
390,51.333333333333336,EFX,Equifax Inc.,11.0,74.0,69,1.25,283.46,296.06,4.45,$135.98,$279.59,264.32,255.65,210.04,True
391,51.166666666666664,GBX,"The Greenbrier Companies, Inc.",10.0,76.5,67,1.22,41.56,49.0,17.9,$26.01,$50.21,44.06,43.14,42.39,True
393,51.0,FLOW,"SPX FLOW, Inc.",11.0,69.0,73,1.32,86.54,88.43,2.18,$40.96,$86.18,78.75,75.32,65.49,True
394,50.666666666666664,PLAB,"Photronics, Inc.",11.0,74.0,67,1.22,13.88,18.0,29.68,$8.64,$15.15,13.87,13.41,12.63,True
396,49.333333333333336,UDR,"UDR, Inc.",11.0,69.0,68,1.23,57.69,58.8,1.92,$29.34,$56.31,53.46,53.03,45.05,True
