no,ticker,company,sector,industry,country,market_cap,pe,forward_pe,peg,ps,pb,pcash,pfree_cash_flow,dividend_yield,payout_ratio,eps_ttm,eps_growth_this_year,eps_growth_next_year,eps_growth_past_5_years,eps_growth_next_5_years,sales_growth_past_5_years,eps_growth_quarter_over_quarter,sales_growth_quarter_over_quarter,shares_outstanding,shares_float,insider_ownership,insider_transactions,institutional_ownership,institutional_transactions,float_short,short_ratio,return_on_assets,return_on_equity,return_on_investment,current_ratio,quick_ratio,lt_debtequity,total_debtequity,gross_margin,operating_margin,profit_margin,performance_week,performance_month,performance_quarter,performance_half_year,performance_year,performance_ytd,beta,average_true_range,volatility_week,volatility_month,simple_moving_average_20day,simple_moving_average_50day,simple_moving_average_200day,high_50day,low_50day,high_52week,low_52week,relative_strength_index_14,change_from_open,gap,average_volume,relative_volume,price,change,volume,earnings_date,target_price,ipo_date,afterhours_close,afterhours_change,analyst_recom,rs_rating,returns_multiple,current_price,ma_20_day,ma_50_day,ma_200_day,low_52_week,high_52_week,sentiment_score,est_gl,my_score,in_russell_3k
690,AXP,American Express Company,Financial,Credit Services,USA,143633.83,18.85,16.59,0.55,3.35,6.52,6.74,12.33,0.91%,17.20%,9.99,166.10%,17.14%,12.30%,34.57%,3.50%,24.50%,28.80%,768.0,758.29,0.10%,-39.00%,87.00%,-2.10%,1.33%,2.37,4.20%,32.80%,5.50%,,,1.74,5.65,68.60%,25.00%,18.50%,-5.06%,8.80%,10.24%,13.34%,37.40%,15.13%,1.11,5.44,2.83%,2.70%,-0.03%,7.65%,11.11%,-5.61%,23.23%,-5.61%,40.78%,54.42,4.54%,-4.65%,4253.74,1.38,188.35,-0.32%,5885808,1/25/2022 8:30:00 AM,196.6,4/4/1972,188.0,-0.19%,56.0,91,1.23,188.35,189.05,175.47,169.68,133.79,199.55,13.0,4.38,53.333333333333336,True
791,BCOR,"Blucora, Inc.",Financial,Asset Management,USA,949.03,130.48,8.92,8.7,1.07,2.6,5.12,12.41,,,0.15,-831.20%,12.27%,47.75%,15.00%,45.00%,-4.60%,-0.70%,48.71,47.6,1.90%,8.42%,95.60%,3.52%,2.61%,3.12,-1.60%,-5.00%,-34.70%,2.1,2.1,1.54,1.54,45.80%,6.40%,-2.00%,-2.89%,22.24%,9.54%,17.31%,12.56%,10.74%,1.57,0.8,4.76%,4.60%,9.33%,11.38%,14.34%,-6.89%,27.02%,-6.89%,34.98%,66.01,2.02%,-1.78%,397.72,1.21,19.18,0.21%,480623,2/16/2022 8:30:00 AM,23.67,12/15/1998,19.18,0.00%,69.0,75,1.01,19.18,17.73,17.26,16.79,14.21,20.6,15.0,23.41,53.0,True
794,BCRX,"BioCryst Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,3065.45,,,,26.89,,15.36,,,,-1.28,-16.00%,18.00%,-13.10%,22.40%,-18.10%,-25.70%,572.10%,179.11,178.0,1.20%,-14.41%,67.30%,14.79%,14.06%,6.71,-78.10%,261.10%,-69.30%,1.9,1.8,,,93.90%,,,-15.59%,13.86%,34.84%,7.82%,59.31%,20.43%,2.27,1.01,5.64%,5.92%,-0.58%,11.44%,12.16%,-16.56%,51.22%,-16.56%,80.72%,50.74,5.24%,-5.09%,3727.07,1.54,16.68,-0.12%,5746958,2/23/2022 8:30:00 AM,20.64,3/4/1994,16.5,-1.08%,66.0,96,1.42,16.68,16.86,15.07,14.89,9.23,19.99,11.0,23.74,57.666666666666664,True
812,BDSI,"BioDelivery Sciences International, Inc.",Healthcare,Biotechnology,USA,549.31,18.57,15.73,0.74,3.32,4.49,5.45,,,0.00%,0.3,233.10%,53.91%,18.50%,25.00%,26.50%,-26.60%,4.30%,98.7,95.99,2.20%,27.94%,66.30%,-3.68%,2.89%,0.98,12.60%,27.50%,17.50%,2.4,2.1,0.45,0.48,85.10%,24.40%,18.80%,0.18%,49.73%,83.83%,49.33%,26.30%,79.68%,0.56,0.19,0.47%,2.48%,28.56%,55.39%,54.11%,-0.18%,122.80%,-0.18%,122.80%,88.41,0.36%,0.00%,2821.46,2.65,5.57,0.36%,7469826,,5.92,7/25/2002,5.55,-0.36%,66.0,86,1.13,5.57,4.43,3.64,3.63,2.5,5.58,12.0,6.28,54.666666666666664,True
881,BHVN,Biohaven Pharmaceutical Holding Company Ltd.,Healthcare,Biotechnology,USA,8847.52,,,,28.76,,17.0,,,,-13.76,-19.70%,52.40%,,,,19.70%,666.70%,65.39,56.14,6.20%,-3.40%,97.70%,5.19%,6.62%,5.86,-94.40%,202.60%,-198.10%,2.0,1.9,,,78.60%,,,-6.37%,15.02%,21.24%,4.40%,60.93%,-2.90%,1.02,6.96,5.57%,5.17%,0.34%,4.14%,11.86%,-6.97%,36.32%,-11.68%,113.86%,51.87,9.21%,-4.18%,634.02,0.81,133.81,4.65%,513940,2/25/2022 8:30:00 AM,159.3,5/4/2017,133.81,0.00%,75.0,96,1.44,133.81,133.75,129.13,119.94,62.57,151.51,7.0,19.05,59.333333333333336,True
935,BKR,Baker Hughes Company,Energy,Oil & Gas Equipment & Services,USA,29833.47,,16.65,,1.46,1.55,6.1,32.22,2.51%,,-0.36,98.20%,35.61%,46.90%,50.90%,15.80%,-56.50%,-0.20%,899.0,818.52,0.10%,-98.95%,88.90%,4.85%,8.21%,7.69,-0.60%,-1.30%,2.90%,1.7,1.2,0.4,0.41,19.70%,7.00%,-1.10%,-3.33%,2.83%,20.88%,28.44%,16.13%,19.37%,1.47,1.22,3.96%,4.10%,2.74%,8.80%,17.76%,-4.60%,26.16%,-4.60%,53.17%,57.32,-2.68%,1.58%,8735.05,1.36,28.72,-1.14%,11865676,1/20/2022 8:30:00 AM,32.41,10/3/1961,28.71,-0.03%,69.0,78,1.04,28.72,28.01,26.48,24.41,18.75,30.11,1.0,12.85,49.333333333333336,True
1246,CARE,"Carter Bankshares, Inc.",Financial,Banks - Regional,USA,423.91,14.7,11.61,,3.26,1.04,,,,,1.09,176.40%,3.80%,,,,,20.30%,26.46,25.36,2.99%,1.22%,38.18%,,0.46%,2.02,,,,,,,,,,,-1.60%,1.97%,-0.19%,32.73%,33.50%,4.09%,,0.43,2.47%,2.68%,1.88%,3.25%,13.18%,-4.08%,12.94%,-4.08%,59.88%,54.28,1.39%,-2.59%,57.76,3.83,16.02,-1.23%,221159,,18.5,2/28/2007,16.02,0.00%,69.0,89,1.19,16.02,15.75,15.55,14.17,10.02,16.7,42.0,15.48,66.66666666666667,True
1281,CBT,Cabot Corporation,Basic Materials,Specialty Chemicals,USA,4058.51,42.74,11.16,3.6,1.12,5.16,22.67,,2.05%,81.90%,1.69,199.60%,11.62%,13.30%,11.86%,7.20%,-252.90%,29.80%,56.8,56.15,1.10%,-4.56%,92.40%,-0.51%,2.15%,2.94,3.10%,11.30%,15.60%,1.2,0.8,0.9,1.65,22.30%,7.00%,2.70%,-3.23%,29.91%,20.85%,32.59%,44.78%,28.29%,1.46,2.38,2.79%,3.67%,9.24%,19.55%,26.68%,-3.70%,41.12%,-3.70%,51.50%,68.74,3.40%,-3.11%,411.12,1.35,72.1,0.18%,555679,1/31/2022 4:30:00 PM,77.33,8/23/1968,72.1,0.00%,69.0,93,1.29,72.1,66.87,60.66,56.97,47.59,74.87,9.0,7.25,57.0,True
1348,CEIX,CONSOL Energy Inc.,Energy,Thermal Coal,USA,991.57,45.4,5.64,,0.78,1.46,6.61,5.74,,0.00%,0.63,357.60%,-25.52%,-8.20%,,1.10%,511.80%,12.10%,34.48,33.66,2.00%,0.00%,86.00%,4.93%,4.82%,3.64,1.30%,5.80%,10.00%,0.9,0.7,0.91,1.0,91.90%,9.10%,2.70%,-3.10%,33.87%,19.26%,28.31%,158.13%,25.14%,2.38,1.69,5.06%,6.13%,7.53%,15.83%,24.89%,-10.49%,48.72%,-21.56%,228.55%,57.95,-0.70%,-1.45%,444.86,1.02,28.42,-2.13%,455372,2/8/2022 8:30:00 AM,33.33,11/14/2017,28.42,0.00%,69.0,99,2.3,28.42,26.81,24.69,22.83,8.65,36.23,31.0,17.28,66.33333333333333,True
1377,CFB,"CrossFirst Bankshares, Inc.",Financial,Banks - Regional,USA,812.67,11.88,11.36,,4.21,1.24,2.57,9.98,,0.00%,1.33,-58.80%,6.97%,,,,167.20%,-2.50%,50.99,44.05,0.50%,-3.71%,49.50%,2.25%,0.85%,3.59,0.80%,6.90%,15.10%,,,0.0,0.0,,68.20%,22.60%,-2.82%,0.00%,5.73%,20.43%,19.16%,1.60%,,0.42,2.09%,2.38%,-0.45%,1.51%,10.32%,-3.85%,11.30%,-3.85%,34.29%,49.36,0.70%,-1.62%,104.09,1.29,15.86,-0.94%,134688,1/24/2022 4:30:00 PM,18.0,8/15/2019,15.86,0.00%,56.0,80,1.06,15.86,15.93,15.65,14.38,11.81,16.5,13.0,13.49,49.666666666666664,True
1429,CHK,Chesapeake Energy Corporation,Energy,Oil & Gas E&P,USA,8469.49,28.93,7.31,5.31,2.15,2.29,9.98,11.59,2.47%,9.20%,2.45,,3.05%,,5.45%,-16.20%,95.40%,-7.50%,117.11,103.99,0.04%,0.00%,,16.90%,13.53%,10.52,64.40%,533.10%,237.70%,0.7,0.7,0.41,0.41,65.10%,,,6.52%,5.63%,10.90%,33.72%,58.46%,9.90%,,3.09,5.06%,4.12%,5.07%,6.95%,18.37%,-3.73%,20.53%,-3.73%,77.28%,60.88,0.03%,3.49%,1337.67,2.96,70.91,3.52%,3957179,2/23/2022 4:30:00 PM,98.82,2/10/2021,71.26,0.49%,69.0,96,1.41,70.91,67.61,66.48,60.01,40.0,73.66,28.0,39.36,64.33333333333333,True
1566,CMRE,Costamare Inc.,Industrials,Marine Shipping,Monaco,1719.14,6.18,3.26,,2.73,1.06,6.07,,3.38%,18.90%,2.2,-130.60%,73.37%,-16.10%,,-1.30%,506.10%,100.40%,123.31,54.76,77.90%,0.00%,25.80%,-6.70%,1.46%,1.26,7.40%,18.60%,2.10%,1.1,1.0,1.43,1.61,73.10%,47.30%,42.90%,-4.83%,13.06%,11.48%,3.66%,40.54%,7.43%,1.32,0.58,4.93%,3.91%,0.16%,5.51%,6.96%,-7.43%,20.91%,-18.72%,48.04%,51.9,3.19%,-5.12%,634.37,1.58,13.59,-2.09%,1002115,,18.5,11/4/2010,13.59,0.00%,91.0,92,1.25,13.59,13.64,12.92,12.72,9.18,16.72,16.0,36.13,66.33333333333333,True
1597,CNR,"Cornerstone Building Brands, Inc.",Industrials,Building Products & Equipment,USA,2715.87,4.44,8.74,0.13,0.51,2.47,4.0,,,0.00%,4.89,508.30%,26.46%,-49.80%,34.70%,22.30%,1933.50%,17.70%,126.16,54.54,1.70%,-9.11%,93.30%,0.33%,3.68%,1.81,11.20%,99.30%,-6.70%,2.5,1.8,2.71,2.74,21.70%,20.30%,11.70%,-2.34%,48.16%,25.48%,33.25%,93.41%,24.54%,1.84,1.09,3.23%,5.60%,20.87%,28.52%,32.43%,-6.18%,60.41%,-6.18%,99.82%,68.02,2.55%,-1.17%,1107.39,1.83,21.72,1.35%,2027420,3/1/2022 4:30:00 PM,23.91,4/3/1992,21.47,-1.15%,69.0,98,1.73,21.72,18.32,17.03,16.44,10.87,23.15,17.0,10.08,61.333333333333336,True
1610,CNXC,Concentrix Corporation,Technology,Information Technology Services,USA,10155.57,24.89,14.15,1.6,1.82,3.77,55.8,27.82,0.52%,0.00%,7.69,141.20%,11.77%,,15.60%,28.60%,88.80%,12.70%,51.56,42.23,0.60%,-14.14%,85.20%,0.81%,1.72%,2.74,7.90%,15.80%,12.30%,1.6,1.6,0.31,0.31,35.30%,10.20%,7.20%,-6.53%,8.65%,8.74%,13.90%,62.88%,7.19%,,7.02,3.17%,3.50%,-3.40%,4.47%,11.84%,-8.16%,24.17%,-8.16%,79.28%,48.18,3.34%,-3.04%,265.73,0.92,191.47,0.20%,243232,1/18/2022 4:30:00 PM,215.67,11/24/2020,191.47,0.00%,100.0,96,1.45,191.47,198.71,183.68,171.37,111.11,208.48,15.0,12.64,70.33333333333333,True
1648,COOP,Mr. Cooper Group Inc.,Financial,Mortgage Finance,USA,3807.8,3.04,6.87,,1.15,1.21,5.21,,,0.00%,16.45,8.30%,30.02%,21.80%,-8.54%,240.20%,80.90%,-0.30%,78.94,74.96,1.60%,-7.83%,85.80%,-3.59%,3.30%,2.58,5.90%,46.20%,6.10%,,,3.15,3.98,,51.00%,41.80%,-4.10%,21.51%,18.91%,29.73%,66.56%,20.28%,1.49,1.75,2.99%,3.91%,13.27%,16.90%,26.99%,-4.38%,33.57%,-4.38%,66.83%,67.62,4.27%,-4.72%,956.2,1.18,50.05,-0.66%,1130196,2/11/2022 8:30:00 AM,59.14,3/28/2012,50.05,0.00%,66.0,96,1.49,50.05,44.63,42.99,39.5,30.0,52.34,18.0,18.16,60.0,True
1649,COP,ConocoPhillips,Energy,Oil & Gas E&P,USA,117686.29,14.46,11.27,8.14,2.57,2.54,21.5,12.64,1.73%,32.50%,6.07,342.80%,-13.67%,32.60%,1.78%,13.70%,376.60%,175.40%,1318.95,1317.17,0.10%,-19.84%,78.80%,-1.93%,1.30%,2.09,9.30%,18.30%,10.80%,1.3,1.2,0.41,0.44,48.20%,25.10%,17.60%,-2.75%,0.71%,19.24%,57.04%,65.89%,21.54%,1.43,3.41,3.95%,3.45%,-3.17%,6.32%,29.40%,-7.58%,33.17%,-7.58%,83.85%,49.04,-2.52%,2.01%,8167.61,1.41,87.73,-0.57%,11504069,2/3/2022 8:30:00 AM,102.29,1/13/1978,87.7,-0.03%,75.0,96,1.48,87.73,90.63,82.9,68.1,47.85,94.93,6.0,16.6,59.0,True
1683,CPRI,Capri Holdings Limited,Consumer Cyclical,Apparel Manufacturing,United Kingdom,9794.23,18.28,9.89,0.34,1.83,3.56,37.53,14.38,,0.00%,3.61,72.10%,11.21%,-15.90%,54.49%,-2.90%,79.40%,23.60%,149.72,144.02,0.70%,-40.42%,92.50%,0.91%,3.64%,2.85,7.40%,22.30%,-1.30%,1.2,0.6,0.35,0.36,65.80%,12.00%,10.40%,-6.68%,16.58%,3.08%,10.14%,41.70%,1.73%,2.47,3.04,3.74%,4.79%,1.35%,5.30%,14.77%,-8.76%,28.34%,-8.76%,49.21%,52.61,3.17%,-4.48%,1838.52,2.31,66.03,-1.45%,4247941,2/2/2022 8:30:00 AM,84.76,12/15/2011,66.03,0.00%,66.0,93,1.27,66.03,65.72,62.78,57.59,44.25,72.37,16.0,28.37,58.333333333333336,True
1685,CPRX,"Catalyst Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,799.15,19.9,11.28,,5.99,4.01,4.57,14.99,,0.00%,0.39,134.70%,72.36%,37.00%,,,-76.50%,22.90%,103.2,95.36,7.50%,-3.11%,66.50%,1.30%,4.54%,3.87,20.20%,22.60%,43.90%,9.4,9.0,0.0,0.0,85.50%,36.20%,31.20%,-2.03%,37.23%,6.03%,40.22%,98.46%,14.33%,1.24,0.39,5.22%,6.06%,14.98%,17.19%,28.31%,-3.37%,47.71%,-3.37%,136.70%,64.79,10.10%,-5.38%,1119.92,1.28,7.74,4.17%,1430379,3/16/2022 4:30:00 PM,11.0,11/8/2006,7.45,-3.75%,69.0,98,1.77,7.74,6.84,6.63,6.05,3.27,8.01,11.0,42.12,59.333333333333336,True
1754,CSGS,"CSG Systems International, Inc.",Technology,Software - Infrastructure,USA,1980.87,28.15,15.68,,1.92,4.33,8.82,19.29,1.67%,47.00%,2.13,-28.70%,8.05%,-0.60%,-5.00%,5.70%,20.10%,7.80%,31.76,31.56,2.10%,0.00%,96.59%,2.82%,4.44%,5.14,5.00%,15.20%,9.70%,1.1,1.1,0.32,0.85,48.00%,11.30%,6.40%,-0.61%,7.37%,13.12%,27.04%,27.83%,4.11%,0.84,1.64,2.49%,3.00%,2.48%,3.74%,18.80%,-2.57%,11.13%,-2.57%,40.89%,57.84,3.18%,-1.51%,273.03,0.96,59.99,1.63%,262851,2/1/2022 4:30:00 PM,67.0,2/28/1996,59.99,0.00%,100.0,86,1.14,59.99,58.75,57.89,50.57,42.58,61.58,19.0,11.69,68.33333333333333,True
1792,CTRA,Coterra Energy Inc.,Energy,Oil & Gas E&P,USA,18254.15,25.45,6.51,0.34,10.86,3.82,239.24,61.19,2.02%,47.80%,0.87,-69.30%,16.97%,30.70%,74.49%,1.60%,514.80%,51.30%,813.58,797.84,1.30%,-4.27%,94.50%,69.70%,3.55%,3.46,7.60%,15.30%,7.60%,1.0,0.9,0.41,0.41,62.10%,29.00%,20.90%,-2.75%,9.29%,5.90%,53.09%,21.44%,17.05%,-0.21,1.02,5.18%,4.22%,-1.56%,4.56%,18.17%,-8.82%,20.94%,-8.82%,60.81%,49.76,-4.63%,0.47%,8193.83,1.85,22.24,-4.18%,15144194,2/23/2022 4:30:00 PM,27.56,2/8/1990,22.23,-0.04%,59.0,79,1.05,22.24,22.69,21.3,19.16,14.28,24.39,30.0,23.92,56.0,True
1840,CVX,Chevron Corporation,Energy,Oil & Gas Integrated,USA,260318.5,16.58,14.58,,1.67,1.9,43.16,,3.97%,279.00%,8.13,-291.90%,-11.93%,-26.20%,-4.90%,-6.10%,,77.30%,1918.01,1897.83,0.04%,-64.07%,67.60%,0.35%,1.22%,1.83,1.50%,2.70%,-2.10%,1.3,1.0,0.27,0.27,42.70%,2.80%,2.30%,0.41%,1.70%,15.95%,36.89%,31.75%,14.91%,1.15,3.77,3.12%,2.54%,-0.04%,6.21%,21.45%,-3.29%,21.78%,-3.29%,45.22%,55.63,-2.06%,1.58%,12696.11,1.74,134.85,-0.52%,22091845,1/28/2022 8:30:00 AM,141.26,6/24/1921,134.6,-0.19%,63.0,89,1.18,134.85,135.01,127.35,111.17,92.86,139.44,5.0,4.75,52.333333333333336,True
1853,CWK,Cushman & Wakefield plc,Real Estate,Real Estate Services,United Kingdom,5056.86,67.01,10.71,6.7,0.58,4.06,4.25,13.01,,0.00%,0.34,109.90%,22.36%,15.20%,10.00%,13.30%,279.40%,20.80%,223.3,155.61,0.80%,-77.22%,79.99%,34.39%,4.05%,6.01,1.10%,6.70%,-2.20%,1.4,1.4,2.61,2.64,20.00%,3.90%,0.90%,-2.90%,9.41%,16.99%,25.07%,37.48%,0.94%,1.38,0.83,4.01%,3.53%,3.43%,4.06%,17.38%,-3.44%,15.22%,-3.44%,57.77%,56.11,4.18%,-2.58%,1047.47,1.17,22.45,1.49%,1228600,2/24/2022 4:30:00 PM,27.82,8/2/2018,22.68,1.02%,72.0,91,1.23,22.45,21.8,21.61,19.15,14.23,23.25,17.0,23.92,60.0,True
