,ticker,company,sector,industry,market cap,analyst_recom,sentiment_score,rs_rating,returns_multiple,current_price,target_price,est_gl,performance_(week),performance_(month),performance_(quarter),performance_(half year),performance_(year),performance_(ytd),20_day_ma,50_day_ma,200_day_ma,52_week_low,52_week_high,my_score,in_sp1500
42,BOOT,"Boot Barn Holdings, Inc.",Consumer Cyclical,Apparel Retail,3763.2,79.0,15.0,97,2.31,122.9,126.2,2.69,-6.00%,22.52%,38.20%,60.88%,191.37%,183.44%,120.41,,82.42,39.28,134.5,63.666666666666664,True
44,BSIG,BrightSphere Investment Group Inc.,Financial,Asset Management,2412.9,76.5,18.0,85,1.31,30.15,31.75,5.31,-1.02%,12.67%,9.20%,35.38%,66.67%,56.38%,30.33,,24.32,17.45,30.88,59.833333333333336,True
49,CAL,"Caleres, Inc.",Consumer Cyclical,Footwear & Accessories,1056.03,81.5,15.0,93,1.67,25.27,40.0,58.29,-12.29%,12.21%,1.98%,0.76%,104.12%,61.47%,26.42,,23.48,11.17,29.36,63.166666666666664,True
52,CARR,Carrier Global Corporation,Industrials,Building Products & Equipment,47882.1,79.0,17.0,77,1.16,55.38,59.35,7.17,-2.88%,4.18%,-5.04%,20.57%,43.43%,46.82%,54.63,,48.44,34.21,58.89,57.666666666666664,True
53,CASH,"Meta Financial Group, Inc.",Financial,Banks - Regional,1962.73,89.0,17.0,88,1.4,61.76,68.5,10.91,-2.05%,4.52%,23.79%,16.51%,77.83%,68.93%,62.39,,51.14,32.76,65.96,64.66666666666667,True
58,CDW,CDW Corporation,Technology,Information Technology Services,25835.27,79.0,18.0,76,1.14,191.16,206.12,7.83,-2.08%,3.68%,-4.06%,15.56%,44.88%,45.05%,190.85,,178.25,125.46,203.82,57.666666666666664,True
60,CFG,"Citizens Financial Group, Inc.",Financial,Banks - Regional,20917.22,81.5,18.0,75,1.13,48.56,54.53,12.29,-3.15%,2.00%,8.54%,-2.69%,39.94%,35.79%,48.98,,45.93,32.58,51.54,58.166666666666664,True
63,CLF,Cleveland-Cliffs Inc.,Basic Materials,Steel,10688.06,74.0,16.0,91,1.53,21.84,30.51,39.7,1.68%,-11.94%,-10.38%,8.55%,95.35%,50.00%,22.4,,20.58,10.89,26.51,60.333333333333336,True
65,CLH,"Clean Harbors, Inc.",Industrials,Waste Management,5861.51,84.0,42.0,77,1.16,109.52,122.5,11.85,1.70%,-1.89%,6.40%,17.64%,45.50%,43.92%,108.95,,96.22,71.5,118.89,67.66666666666667,True
69,CPRI,Capri Holdings Limited,Consumer Cyclical,Apparel Manufacturing,9529.79,76.5,17.0,87,1.35,61.55,79.33,28.89,-4.44%,16.88%,5.41%,8.53%,65.68%,46.55%,62.69,,54.22,34.41,69.26,60.166666666666664,True
71,CPT,Camden Property Trust,Real Estate,REIT - Residential,17015.26,74.0,36.0,87,1.35,166.98,169.85,1.72,0.74%,4.73%,13.78%,33.18%,69.32%,67.11%,164.8,,135.63,94.59,171.17,65.66666666666667,True
72,CROX,"Crocs, Inc.",Consumer Cyclical,Footwear & Accessories,9971.49,79.0,18.0,97,2.24,168.04,193.88,15.38,-5.05%,10.64%,15.02%,65.98%,180.11%,168.18%,174.3,,119.48,58.28,183.88,64.66666666666667,True
73,CSL,Carlisle Companies Incorporated,Industrials,Building Products & Equipment,12252.84,84.0,16.0,82,1.24,232.59,255.29,9.76,-3.13%,4.28%,9.20%,20.94%,56.02%,48.92%,234.91,,193.51,143.52,243.99,60.666666666666664,True
74,CSR,Centerspace,Real Estate,Real Estate Services,1490.2,86.5,16.0,76,1.14,102.56,112.1,9.3,-0.60%,2.55%,3.15%,44.07%,43.44%,45.19%,101.62,,84.64,66.91,108.19,59.5,True
78,CUBI,"Customers Bancorp, Inc.",Financial,Banks - Regional,1835.11,79.0,21.0,98,2.5,56.24,65.75,16.91,-1.71%,22.77%,29.29%,48.59%,251.28%,209.35%,57.74,,39.0,16.81,61.48,66.0,True
82,DCOM,"Dime Community Bancshares, Inc.",Financial,Banks - Regional,1437.28,86.5,27.0,79,1.18,35.15,40.6,15.5,-4.09%,3.20%,5.40%,1.27%,44.71%,45.37%,37.07,,33.15,22.23,38.35,64.16666666666667,True
83,DECK,Deckers Outdoor Corporation,Consumer Cyclical,Footwear & Accessories,11478.34,94.0,15.0,83,1.26,414.53,476.33,14.91,-5.42%,10.15%,-2.08%,23.58%,56.73%,44.55%,420.98,,370.57,252.85,451.49,64.0,True
87,DIOD,Diodes Incorporated,Technology,Semiconductors,4603.21,79.0,17.0,82,1.24,103.91,117.67,13.24,-4.03%,11.09%,6.07%,37.32%,58.52%,47.39%,106.19,,85.13,64.86,113.98,59.333333333333336,True
88,DKS,"DICK'S Sporting Goods, Inc.",Consumer Cyclical,Specialty Retail,11520.03,76.5,21.0,94,1.71,128.5,153.17,19.2,-8.38%,5.16%,-3.26%,37.38%,123.09%,138.37%,131.7,,103.02,51.51,147.39,63.833333333333336,True
89,DRE,Duke Realty Corporation,Real Estate,REIT - Industrial,22056.27,79.0,13.0,80,1.2,58.37,60.81,4.18,0.24%,5.28%,15.38%,25.63%,50.79%,46.03%,57.51,,48.43,37.54,60.07,57.333333333333336,True
90,DVN,Devon Energy Corporation,Energy,Oil & Gas E&P,30844.35,86.5,23.0,97,2.29,42.7,49.97,17.03,-1.43%,7.80%,42.55%,64.23%,190.73%,178.04%,42.64,,29.17,13.78,45.56,68.83333333333333,True
91,DXCM,"DexCom, Inc.",Healthcare,Diagnostics & Research,58018.0,91.5,15.0,90,1.47,591.96,638.88,7.93,-8.71%,5.98%,13.68%,60.25%,89.40%,60.11%,629.15,,461.97,312.01,659.45,65.5,True
94,ECPG,"Encore Capital Group, Inc.",Financial,Mortgage Finance,1743.75,76.5,19.0,88,1.39,59.11,67.75,14.62,-0.45%,11.23%,23.12%,27.69%,70.54%,51.76%,58.07,,46.05,29.21,60.75,61.166666666666664,True
95,EFX,Equifax Inc.,Industrials,Consulting Services,33923.16,74.0,13.0,86,1.34,277.74,296.06,6.6,-3.96%,3.89%,4.08%,18.17%,67.31%,44.03%,282.61,,236.7,161.87,292.11,57.666666666666664,True
96,ELF,"e.l.f. Beauty, Inc.",Consumer Defensive,Household & Personal Products,1615.64,84.0,46.0,76,1.14,31.07,36.7,18.12,-4.16%,-1.74%,1.24%,10.96%,42.33%,23.34%,31.83,,28.73,21.0,33.38,68.66666666666667,True
97,ENPH,"Enphase Energy, Inc.",Technology,Solar,31726.67,79.0,28.0,88,1.39,247.42,261.25,5.59,-2.77%,14.43%,41.39%,72.96%,77.91%,41.00%,246.4,,170.19,108.88,282.46,65.0,True
99,ENVA,"Enova International, Inc.",Financial,Credit Services,1434.61,81.5,20.0,88,1.41,38.91,44.5,14.37,-2.85%,25.31%,15.43%,2.75%,75.67%,57.09%,39.09,,34.55,20.81,43.47,63.166666666666664,True
106,EXP,Eagle Materials Inc.,Basic Materials,Building Materials,6455.99,86.5,14.0,87,1.36,159.25,175.13,9.97,-0.87%,15.42%,1.33%,8.51%,68.89%,57.13%,158.76,,142.17,90.85,166.42,62.5,True
107,EXTR,"Extreme Networks, Inc.",Technology,Communication Equipment,1649.44,76.5,17.0,94,1.79,13.0,15.5,19.23,-1.07%,34.44%,17.86%,13.64%,126.09%,88.68%,12.07,,10.44,5.55,13.9,62.5,True
108,FAF,First American Financial Corporation,Financial,Insurance - Specialty,8240.57,74.0,20.0,81,1.22,75.88,82.4,8.59,-1.03%,4.97%,6.95%,17.99%,53.57%,46.97%,75.3,,65.24,47.75,78.46,58.333333333333336,True
109,FANG,"Diamondback Energy, Inc.",Energy,Oil & Gas E&P,20575.97,86.5,26.0,96,1.96,107.48,131.62,22.46,-0.44%,-0.09%,40.22%,34.23%,136.79%,122.07%,110.11,,85.87,39.3,117.71,69.5,True
116,FOXF,Fox Factory Holding Corp.,Consumer Cyclical,Recreational Vehicles,7508.49,74.0,17.0,92,1.54,175.35,190.14,8.43,-6.55%,15.63%,13.13%,12.78%,97.11%,65.88%,179.8,,150.92,85.29,190.29,61.0,True
118,FTNT,"Fortinet, Inc.",Technology,Software - Infrastructure,53685.41,76.5,19.0,96,2.09,327.39,367.7,12.31,-4.69%,2.11%,3.58%,49.81%,173.14%,120.42%,336.66,,253.99,120.14,355.35,63.833333333333336,True
125,GMS,GMS Inc.,Industrials,Building Products & Equipment,2549.27,79.0,17.0,90,1.46,58.55,60.67,3.62,-0.70%,29.25%,12.10%,27.87%,83.66%,92.09%,57.43,,46.02,26.77,61.08,62.0,True
126,GPI,"Group 1 Automotive, Inc.",Consumer Cyclical,Auto & Truck Dealerships,3630.18,84.0,23.0,85,1.3,199.79,266.67,33.48,4.27%,10.84%,20.20%,25.28%,60.33%,52.35%,198.72,,169.54,115.19,211.79,64.0,True
128,GT,The Goodyear Tire & Rubber Company,Consumer Cyclical,Auto Parts,5914.43,76.5,15.0,91,1.49,20.62,23.57,14.31,-7.41%,8.81%,27.52%,3.98%,87.11%,89.00%,22.26,,17.93,9.95,24.89,60.833333333333336,True
132,HLIT,Harmonic Inc.,Technology,Communication Equipment,1086.58,76.5,39.0,83,1.27,10.72,12.5,16.6,-2.10%,18.32%,14.16%,53.80%,59.05%,45.06%,10.68,,8.56,6.31,11.63,66.16666666666667,True
133,HUBG,"Hub Group, Inc.",Industrials,Integrated Freight & Logistics,2823.64,79.0,20.0,78,1.17,81.75,87.93,7.56,-1.92%,6.00%,17.32%,17.10%,46.69%,43.42%,83.36,,68.88,52.35,86.99,59.0,True
135,HZO,"MarineMax, Inc.",Consumer Cyclical,Specialty Retail,1210.65,71.5,18.0,84,1.28,54.83,62.0,13.08,-2.25%,10.10%,9.81%,6.61%,62.99%,56.52%,55.55,,51.29,30.05,70.89,57.833333333333336,True
137,IIPR,"Innovative Industrial Properties, Inc.",Real Estate,REIT - Industrial,6416.36,84.0,32.0,87,1.35,266.46,287.0,7.71,-3.81%,4.63%,10.79%,47.84%,70.50%,45.50%,272.98,,212.93,146.81,288.02,67.66666666666667,True
139,INTU,Intuit Inc.,Technology,Software - Application,165573.74,84.0,16.0,91,1.49,666.91,734.87,10.19,6.04%,8.77%,17.84%,51.88%,90.29%,75.57%,634.7,,493.16,348.13,716.86,63.666666666666664,True
141,IQV,IQVIA Holdings Inc.,Healthcare,Diagnostics & Research,49919.81,89.0,17.0,81,1.23,262.06,300.22,14.56,-1.70%,3.06%,0.97%,9.12%,54.27%,46.26%,258.76,,235.45,165.52,272.25,62.333333333333336,True
144,JCI,Johnson Controls International plc,Industrials,Engineering & Construction,54185.48,79.0,22.0,86,1.33,77.42,83.39,7.71,-3.63%,7.93%,3.60%,16.35%,66.82%,66.17%,76.87,,67.87,44.91,81.15,62.333333333333336,True
146,KBR,"KBR, Inc.",Industrials,Engineering & Construction,6349.58,81.5,22.0,84,1.28,45.52,50.67,11.31,-0.48%,7.79%,15.77%,11.73%,60.96%,47.17%,44.53,,39.0,27.58,47.43,62.5,True
149,KIM,Kimco Realty Corporation,Real Estate,REIT - Retail,14451.79,74.0,18.0,81,1.22,23.24,25.21,8.48,-3.49%,2.47%,6.02%,9.06%,52.19%,54.83%,23.66,,21.07,14.03,24.95,57.666666666666664,True
151,KLIC,"Kulicke and Soffa Industries, Inc.",Technology,Semiconductor Equipment & Materials,3752.36,76.5,17.0,91,1.49,57.64,83.8,45.39,-3.85%,6.27%,-17.61%,11.06%,88.67%,81.20%,58.32,,55.97,29.9,75.29,61.5,True
158,LKQ,LKQ Corporation,Consumer Cyclical,Auto Parts,17029.13,94.0,17.0,83,1.27,57.56,65.89,14.47,-2.61%,6.20%,10.59%,12.95%,58.92%,63.34%,57.85,,49.29,34.11,60.05,64.66666666666667,True
161,LOW,"Lowe's Companies, Inc.",Consumer Cyclical,Home Improvement Retail,172872.76,84.0,18.0,83,1.27,247.69,267.2,7.88,0.13%,6.87%,20.30%,27.13%,59.92%,54.31%,240.15,,199.7,149.31,256.39,61.666666666666664,True
162,LPX,Louisiana-Pacific Corporation,Industrials,Building Products & Equipment,5946.05,71.5,27.0,93,1.62,69.1,76.12,10.16,0.92%,14.31%,6.60%,2.81%,97.65%,85.90%,66.65,,60.31,33.58,76.35,63.833333333333336,True
163,LQDT,"Liquidity Services, Inc.",Consumer Cyclical,Internet Retail,879.56,106.5,14.0,96,2.08,25.08,32.5,29.59,-5.00%,22.76%,0.84%,4.89%,153.33%,57.64%,24.56,,21.72,9.11,30.0,72.16666666666667,True
165,LSCC,Lattice Semiconductor Corporation,Technology,Semiconductors,10412.74,81.5,24.0,89,1.44,75.34,79.3,5.26,-11.08%,10.84%,23.14%,41.96%,83.62%,64.43%,80.07,,57.18,37.38,85.45,64.83333333333333,True
166,LSI,"Life Storage, Inc.",Real Estate,REIT - Industrial,10768.32,86.5,15.0,89,1.44,131.9,144.3,9.4,-1.55%,3.47%,7.87%,32.64%,80.64%,65.72%,132.56,,108.6,71.96,139.95,63.5,True
167,LYV,"Live Nation Entertainment, Inc.",Communication Services,Entertainment,23346.01,76.5,21.0,81,1.22,103.53,114.17,10.28,-8.35%,2.90%,19.14%,14.89%,51.60%,40.90%,111.86,,89.51,64.92,127.75,59.5,True
171,MLI,"Mueller Industries, Inc.",Industrials,Metal Fabrication,3281.43,81.5,18.0,86,1.33,56.91,100.0,75.72,-5.98%,9.30%,25.80%,22.57%,67.73%,62.09%,58.13,,45.08,32.34,63.07,61.833333333333336,True
173,MPWR,"Monolithic Power Systems, Inc.",Technology,Semiconductors,24241.76,86.5,14.0,84,1.29,535.02,603.29,12.76,-4.62%,1.91%,8.09%,55.93%,74.60%,46.09%,549.61,,418.6,301.51,580.0,61.5,True
175,MRO,Marathon Oil Corporation,Energy,Oil & Gas E&P,12869.76,74.0,17.0,96,1.96,15.7,19.8,26.11,-2.61%,-3.09%,30.72%,29.64%,144.17%,135.38%,16.53,,12.74,5.76,17.59,62.333333333333336,True
177,MSFT,Microsoft Corporation,Technology,Software - Infrastructure,2461957.87,91.5,14.0,80,1.21,329.68,360.03,9.21,-3.40%,2.01%,10.00%,32.04%,54.15%,48.22%,335.88,,275.75,209.11,349.67,61.833333333333336,True
178,MSI,"Motorola Solutions, Inc.",Technology,Communication Equipment,43638.58,86.5,21.0,77,1.16,253.58,270.27,6.58,-1.43%,1.41%,4.44%,23.51%,47.32%,49.11%,251.85,,216.45,163.16,261.85,61.5,True
179,MTRN,Materion Corporation,Basic Materials,Other Industrial Metals & Mining,1798.69,94.0,13.0,77,1.15,87.57,102.5,17.05,-5.80%,23.86%,22.19%,11.06%,45.06%,37.43%,90.04,,73.96,57.25,95.6,61.333333333333336,True
181,MXL,"MaxLinear, Inc.",Technology,Semiconductors,5193.15,79.0,17.0,94,1.72,66.69,71.1,6.61,-7.03%,28.94%,25.78%,75.41%,119.01%,74.63%,68.25,,45.08,30.11,72.8,63.333333333333336,True
183,NDAQ,"Nasdaq, Inc.",Financial,Financial Data & Stock Exchanges,34212.13,71.5,19.0,83,1.27,203.68,215.62,5.86,-2.41%,0.64%,5.27%,21.63%,59.96%,53.44%,209.3,,177.11,123.27,214.96,57.833333333333336,True
185,NFG,National Fuel Gas Company,Energy,Oil & Gas Integrated,5536.56,74.0,19.0,75,1.13,60.18,61.33,1.91,1.18%,4.17%,17.29%,15.98%,41.37%,46.32%,59.52,,52.49,39.8,62.0,56.0,True
188,NPO,"EnPro Industries, Inc.",Industrials,Specialty Industrial Machinery,2204.76,99.0,18.0,77,1.16,106.1,130.0,22.53,-1.92%,20.88%,21.59%,15.34%,45.90%,40.49%,104.15,,90.09,69.95,112.41,64.66666666666667,True
191,NSA,National Storage Affiliates Trust,Real Estate,REIT - Industrial,5446.35,76.5,41.0,89,1.44,61.14,66.14,8.18,-1.23%,1.43%,7.94%,32.62%,79.30%,69.69%,62.29,,50.48,33.01,64.98,68.83333333333333,True
196,NVT,nVent Electric plc,Industrials,Electrical Equipment & Parts,6222.22,79.0,13.0,81,1.23,36.26,42.5,17.21,-4.02%,12.26%,5.10%,11.43%,53.19%,55.69%,36.95,,31.54,21.81,38.37,57.666666666666664,True
199,OLN,Olin Corporation,Basic Materials,Specialty Chemicals,9916.78,86.5,18.0,96,2.05,58.7,72.69,23.83,-7.41%,6.46%,15.92%,20.07%,153.89%,139.01%,60.97,,45.9,21.3,64.76,66.83333333333333,True
200,OMCL,"Omnicell, Inc.",Healthcare,Health Information Services,7765.78,81.5,21.0,85,1.32,177.22,185.22,4.51,-3.01%,5.47%,11.66%,27.50%,65.95%,47.66%,179.43,,148.88,101.94,187.29,62.5,True
203,ONTO,Onto Innovation Inc.,Technology,Semiconductors,4475.23,86.5,40.0,92,1.6,90.5,105.0,16.02,0.19%,22.56%,19.28%,26.10%,107.14%,90.33%,88.26,,71.16,43.73,94.96,72.83333333333333,True
205,ORLY,"O'Reilly Automotive, Inc.",Consumer Cyclical,Specialty Retail,43490.29,76.5,17.0,76,1.14,635.73,695.25,9.36,-1.58%,-2.34%,7.40%,18.80%,43.14%,40.47%,638.79,,566.15,424.03,669.09,56.5,True
209,PDCE,"PDC Energy, Inc.",Energy,Oil & Gas E&P,5543.48,86.5,33.0,97,2.31,52.79,67.0,26.92,-5.51%,2.50%,26.87%,25.04%,186.12%,157.14%,55.17,,42.42,16.5,59.0,72.16666666666667,True
211,PIPR,Piper Sandler Companies,Financial,Capital Markets,3075.66,74.0,18.0,89,1.44,172.79,182.25,5.47,-5.90%,13.97%,22.42%,39.98%,91.84%,79.79%,179.97,,133.25,90.62,193.6,60.333333333333336,True
212,PLCE,"The Children's Place, Inc.",Consumer Cyclical,Apparel Retail,1495.38,81.5,15.0,93,1.63,93.99,125.2,33.21,-15.64%,13.09%,3.86%,1.08%,113.76%,87.60%,98.85,,85.6,40.57,113.5,63.166666666666664,True
213,PLD,"Prologis, Inc.",Real Estate,REIT - Industrial,111076.07,84.0,14.0,79,1.18,149.88,156.66,4.52,-0.46%,4.18%,14.14%,27.19%,51.38%,50.39%,149.03,,123.78,93.08,154.87,59.0,True
214,POOL,Pool Corporation,Consumer Cyclical,Leisure,22451.48,74.0,14.0,84,1.29,559.19,566.71,1.34,-3.23%,11.89%,16.28%,28.09%,67.63%,50.12%,546.03,,440.68,305.47,582.27,57.333333333333336,True
215,PRFT,"Perficient, Inc.",Technology,Information Technology Services,4425.89,91.5,25.0,97,2.27,134.24,149.83,11.61,-8.54%,10.12%,15.64%,87.51%,185.62%,181.72%,139.68,,91.24,43.51,153.28,71.16666666666667,True
217,PWR,"Quanta Services, Inc.",Industrials,Engineering & Construction,16473.23,86.5,16.0,86,1.33,117.54,133.75,13.79,-1.28%,0.92%,13.73%,23.27%,68.66%,63.20%,118.79,,98.76,66.75,124.69,62.833333333333336,True
218,PXD,Pioneer Natural Resources Company,Energy,Oil & Gas E&P,45183.53,84.0,27.0,85,1.31,181.73,226.12,24.43,1.12%,-3.66%,19.82%,19.41%,65.27%,59.57%,184.63,,160.69,98.59,196.64,65.33333333333333,True
219,PZZA,"Papa John's International, Inc.",Consumer Cyclical,Restaurants,4639.53,86.5,19.0,82,1.25,128.84,145.94,13.27,-2.23%,7.65%,3.06%,37.14%,60.63%,51.84%,129.94,,109.65,78.41,140.68,62.5,True
222,RF,Regions Financial Corporation,Financial,Banks - Regional,22571.8,71.5,21.0,79,1.19,23.47,25.93,10.48,-1.80%,0.43%,12.19%,0.26%,49.02%,45.60%,24.15,,21.3,15.07,24.89,57.166666666666664,True
223,RJF,"Raymond James Financial, Inc.",Financial,Capital Markets,20226.32,86.5,18.0,83,1.26,98.54,118.62,20.38,0.66%,-1.33%,3.37%,11.48%,58.10%,54.50%,99.81,,89.01,60.39,103.46,62.5,True
224,RMBS,Rambus Inc.,Technology,Semiconductors,2877.09,74.0,16.0,85,1.32,26.62,28.83,8.3,-1.08%,16.09%,9.05%,36.09%,68.37%,52.46%,24.96,,21.98,15.56,27.78,58.333333333333336,True
226,ROG,Rogers Corporation,Technology,Electronic Components,5060.95,96.5,19.0,89,1.42,270.35,277.6,2.68,0.15%,40.66%,28.38%,44.30%,79.18%,74.09%,263.4,,199.08,146.02,273.0,68.16666666666667,True
232,SCHW,The Charles Schwab Corporation,Financial,Capital Markets,152533.93,79.0,16.0,83,1.26,79.15,91.62,15.75,-3.14%,-2.46%,4.36%,7.18%,59.10%,49.23%,81.63,,71.79,48.51,84.49,59.333333333333336,True
234,SGH,"SMART Global Holdings, Inc.",Technology,Semiconductors,1407.15,89.0,52.0,90,1.47,57.67,72.0,24.85,-1.27%,13.79%,20.93%,21.67%,86.45%,53.26%,57.84,,48.78,30.4,60.75,77.0,True
238,SIVB,SVB Financial Group,Financial,Banks - Regional,42901.39,74.0,20.0,92,1.6,714.19,808.81,13.25,-4.13%,0.85%,24.32%,22.53%,101.42%,84.15%,740.68,,589.17,337.83,763.22,62.0,True
240,SMPL,The Simply Good Foods Company,Consumer Defensive,Packaged Foods,3669.35,76.5,45.0,86,1.34,37.93,41.73,10.02,-3.68%,-2.39%,7.30%,9.85%,68.84%,20.95%,39.69,,34.88,21.21,41.35,69.16666666666667,True
242,SNV,Synovus Financial Corp.,Financial,Banks - Regional,6947.05,81.5,20.0,75,1.13,46.93,55.75,18.79,-4.77%,0.99%,6.42%,-4.46%,40.72%,44.98%,48.98,,45.35,31.46,50.51,58.833333333333336,True
244,STC,Stewart Information Services Corporation,Financial,Insurance - Property & Casualty,2046.32,81.5,20.0,87,1.38,76.27,88.0,15.38,-1.89%,10.15%,19.19%,26.38%,75.17%,57.71%,75.67,,60.38,41.84,80.14,62.833333333333336,True
245,STLD,"Steel Dynamics, Inc.",Basic Materials,Steel,12703.27,76.5,27.0,86,1.34,63.51,80.41,26.61,-0.16%,-1.63%,-10.44%,1.73%,67.66%,72.25%,64.97,,59.15,33.77,74.37,63.166666666666664,True
246,STX,Seagate Technology Holdings plc,Technology,Computer Hardware,22058.34,71.5,14.0,86,1.34,98.62,105.43,6.91,-2.60%,12.03%,14.26%,3.00%,69.04%,58.66%,99.14,,86.71,58.04,116.93,57.166666666666664,True
250,SYNH,"Syneos Health, Inc.",Healthcare,Diagnostics & Research,10209.0,86.5,13.0,78,1.17,98.8,113.62,15.0,-2.59%,12.23%,7.41%,12.40%,50.06%,45.02%,99.54,,86.77,60.38,104.18,59.166666666666664,True
