no,ticker,company,sector,industry,country,market_cap,pe,forward_pe,peg,ps,pb,pcash,pfree_cash_flow,dividend_yield,payout_ratio,eps_ttm,eps_growth_this_year,eps_growth_next_year,eps_growth_past_5_years,eps_growth_next_5_years,sales_growth_past_5_years,eps_growth_quarter_over_quarter,sales_growth_quarter_over_quarter,shares_outstanding,shares_float,insider_ownership,insider_transactions,institutional_ownership,institutional_transactions,float_short,short_ratio,return_on_assets,return_on_equity,return_on_investment,current_ratio,quick_ratio,lt_debtequity,total_debtequity,gross_margin,operating_margin,profit_margin,performance_week,performance_month,performance_quarter,performance_half_year,performance_year,performance_ytd,beta,average_true_range,volatility_week,volatility_month,20day_simple_moving_average,50day_simple_moving_average,200day_simple_moving_average,50day_high,50day_low,52week_high,52week_low,relative_strength_index_14,change_from_open,gap,ar,average_volume,relative_volume,price,change,volume,earnings_date,target_price,ipo_date,afterhours_close,afterhours_change,analyst_recom,rs_rating,returns_multiple,current_price,20_day_ma,50_day_ma,200_day_ma,low_52_week,high_52_week,sentiment_score,est_gl,my_score,in_sp1500
1788,CUBI,"Customers Bancorp, Inc.",Financial,Banks - Regional,USA,2251.53,8.12,11.12,0.81,3.13,2.02,2.03,7.26,,0.00%,8.8,82.30%,-29.41%,13.80%,10.00%,16.80%,116.90%,73.90%,32.45,29.57,6.70%,-25.25%,86.60%,3.07%,3.81%,2.69,1.30%,25.10%,5.30%,,,0.35,0.35,,83.90%,35.30%,6.72%,25.22%,62.94%,86.54%,226.48%,9.38%,1.58,3.21,5.03%,5.10%,12.05%,19.04%,63.36%,-6.08%,49.52%,-6.08%,240.96%,63.99,-4.54%,0.25%,2.1,418.98,1.85,71.5,-4.30%,777177,10/27/2021 4:30:00 PM,70.38,2/21/2012,71.5,0.00%,66.0,99,2.51,69.69,65.85,61.12,44.35,20.97,76.13,21.0,0.99,62.0,True
2173,DVN,Devon Energy Corporation,Energy,Oil & Gas E&P,USA,32485.3,28.05,9.24,1.12,3.64,3.65,14.0,11.8,0.91%,26.40%,1.73,3855.60%,55.19%,26.40%,25.00%,-18.20%,535.60%,224.80%,671.0,640.77,0.20%,-7.70%,90.40%,-1.83%,2.62%,1.57,6.70%,16.70%,-31.00%,1.2,1.2,0.76,0.76,42.90%,16.00%,13.40%,6.43%,14.60%,27.07%,75.38%,181.54%,10.10%,3.03,2.02,4.23%,4.43%,11.96%,15.23%,56.41%,-2.51%,36.43%,-2.51%,220.44%,66.63,0.48%,-1.27%,1.8,10653.69,0.92,48.5,-0.80%,9800561,11/2/2021 4:30:00 PM,51.64,3/17/1992,48.5,0.00%,75.0,98,2.0,49.9,44.49,43.41,32.56,16.11,51.16,30.0,3.49,67.66666666666667,True
2252,ECPG,"Encore Capital Group, Inc.",Financial,Mortgage Finance,USA,1805.43,6.16,6.94,0.47,1.24,1.31,11.41,,,0.00%,9.88,25.30%,-19.66%,21.00%,13.00%,5.70%,55.20%,-7.10%,30.23,28.74,0.70%,-22.41%,,-0.05%,19.33%,14.52,6.60%,23.80%,9.40%,,,2.0,2.0,77.60%,40.10%,21.50%,-0.94%,5.81%,19.77%,28.58%,86.60%,-2.06%,1.42,1.59,2.39%,2.52%,1.44%,3.60%,23.51%,-3.63%,16.98%,-3.63%,108.25%,57.2,0.88%,0.62%,2.2,382.53,0.5,60.83,1.50%,190153,11/3/2021 4:30:00 PM,67.75,7/9/1999,60.83,0.00%,63.0,96,1.52,61.88,60.34,59.17,49.55,29.21,63.12,17.0,9.49,58.666666666666664,True
2415,ENVA,"Enova International, Inc.",Financial,Credit Services,USA,1547.77,3.57,7.52,,1.42,1.38,6.76,3.76,,0.00%,11.95,214.60%,-20.99%,54.40%,,0.90%,-56.00%,76.10%,36.74,35.54,1.80%,-8.23%,90.40%,0.20%,3.06%,3.26,19.30%,42.30%,24.90%,15.9,15.9,0.95,0.95,,65.70%,40.30%,2.94%,8.94%,19.53%,30.11%,66.86%,4.13%,1.55,1.37,3.34%,3.18%,6.18%,8.60%,20.45%,-1.88%,37.74%,-1.88%,93.78%,63.65,2.97%,0.17%,2.0,333.42,1.01,42.65,3.14%,335577,10/28/2021 4:30:00 PM,44.5,10/30/2014,42.65,0.00%,69.0,91,1.31,42.91,40.77,39.85,35.52,22.01,43.72,20.0,3.71,60.0,True
2628,EXR,Extra Space Storage Inc.,Real Estate,REIT - Industrial,USA,29149.7,38.76,37.45,6.46,19.39,9.33,444.36,81.24,2.40%,77.10%,5.38,14.70%,5.73%,18.90%,6.00%,11.60%,59.40%,20.30%,133.81,131.04,0.60%,-45.45%,96.00%,0.02%,1.67%,3.4,7.50%,25.00%,7.90%,,,1.87,1.87,74.00%,57.20%,47.50%,-4.89%,1.45%,20.96%,21.52%,87.26%,-8.04%,0.36,5.42,2.76%,2.33%,-4.15%,0.54%,18.98%,-8.88%,13.63%,-8.88%,90.82%,42.51,2.05%,-1.98%,2.2,642.49,1.27,208.51,0.03%,817954,10/27/2021 4:30:00 PM,221.29,8/12/2004,208.51,0.00%,63.0,96,1.56,211.71,217.48,208.23,176.41,109.42,228.84,16.0,4.53,58.333333333333336,True
2630,EXTR,"Extreme Networks, Inc.",Technology,Communication Equipment,USA,2001.07,84.97,15.29,4.25,1.92,25.95,10.46,14.05,,0.00%,0.17,101.40%,21.79%,15.40%,20.00%,14.20%,231.60%,13.50%,128.32,127.08,1.20%,-22.51%,85.30%,0.12%,4.65%,4.41,2.40%,52.10%,6.60%,0.9,0.9,4.11,4.47,58.20%,5.10%,2.30%,-7.80%,0.97%,42.59%,32.33%,90.93%,-7.45%,1.89,0.72,5.26%,4.89%,-1.08%,8.87%,29.85%,-12.50%,49.64%,-12.50%,109.06%,50.78,2.47%,-0.49%,2.2,1341.33,0.84,14.53,1.96%,1127943,11/2/2021 8:30:00 AM,16.0,4/9/1999,14.62,0.62%,63.0,95,1.5,14.31,14.86,13.61,11.28,6.95,16.61,19.0,11.81,59.0,True
2654,FANG,"Diamondback Energy, Inc.",Energy,Oil & Gas E&P,USA,22370.87,62.97,7.12,1.04,4.04,1.91,48.95,7.78,1.65%,82.70%,1.93,269.40%,51.72%,-27.70%,60.66%,44.50%,150.50%,165.30%,181.03,180.27,0.20%,-9.48%,89.00%,0.28%,3.28%,2.15,2.10%,4.20%,-31.20%,0.7,0.7,0.6,0.6,79.40%,33.70%,8.00%,8.50%,9.99%,9.59%,34.77%,108.15%,12.52%,2.47,5.01,4.28%,4.06%,10.90%,10.73%,33.64%,-2.68%,27.71%,-2.68%,124.31%,63.93,-0.21%,0.07%,1.9,2745.72,0.85,121.35,-0.14%,2330689,11/1/2021 4:30:00 PM,135.03,10/12/2012,121.35,0.00%,72.0,97,1.64,124.57,111.85,110.44,91.53,56.13,125.69,22.0,8.4,63.666666666666664,True
2809,FITB,Fifth Third Bancorp,Financial,Banks - Regional,USA,33073.22,13.49,14.54,,6.32,1.67,0.87,,2.46%,30.30%,3.62,-45.10%,-10.17%,-1.80%,-2.98%,6.70%,24.20%,-2.80%,697.46,674.83,0.20%,-1.57%,84.10%,0.28%,1.42%,2.26,1.30%,12.50%,12.30%,,,0.56,0.56,,97.20%,49.60%,9.25%,11.54%,12.21%,29.89%,55.51%,12.06%,1.42,1.22,2.73%,2.31%,10.74%,11.03%,19.65%,-0.31%,20.88%,-0.31%,72.74%,73.93,-0.81%,0.82%,1.9,4253.59,1.07,48.8,0.00%,4560191,1/20/2022 8:30:00 AM,49.36,3/17/1980,48.8,0.00%,72.0,89,1.23,49.2,44.95,44.25,40.95,28.25,49.81,18.0,0.33,59.666666666666664,True
3471,HAFC,Hanmi Financial Corporation,Financial,Banks - Regional,USA,776.38,9.88,11.51,1.23,3.59,1.25,0.92,14.09,3.14%,16.50%,2.58,30.00%,-19.15%,-4.00%,8.00%,6.40%,62.20%,1.10%,30.47,30.04,0.30%,0.00%,90.20%,-0.07%,1.49%,2.83,1.20%,13.60%,17.00%,,,0.35,0.35,,91.50%,37.40%,5.16%,14.36%,25.58%,42.11%,104.17%,7.60%,1.21,0.75,2.64%,3.05%,9.50%,9.16%,24.01%,-1.87%,19.68%,-1.87%,112.33%,70.62,-1.01%,0.66%,2.3,157.91,0.97,25.48,-0.35%,153062,10/26/2021 4:30:00 PM,24.33,5/14/1997,25.48,0.00%,59.0,97,1.65,26.01,23.83,23.54,20.64,12.0,26.11,17.0,-6.46,57.666666666666664,True
3606,HLIT,Harmonic Inc.,Technology,Communication Equipment,USA,1200.57,159.72,23.29,8.23,2.49,4.23,9.35,20.49,,0.00%,0.07,-356.40%,55.10%,-11.00%,19.40%,0.10%,126.10%,33.10%,102.1,99.71,1.90%,-25.76%,96.80%,0.68%,9.72%,11.24,1.10%,2.60%,-4.10%,1.4,1.2,0.41,0.56,52.70%,4.10%,1.40%,-5.66%,4.71%,31.10%,38.12%,46.32%,-3.57%,0.81,0.4,4.05%,3.39%,-0.41%,3.64%,25.69%,-7.20%,27.13%,-7.20%,69.51%,50.58,2.44%,-1.16%,2.2,862.12,0.71,11.34,1.25%,612465,11/1/2021 4:30:00 PM,12.83,5/23/1995,11.34,0.00%,63.0,84,1.14,11.35,11.51,11.1,9.09,6.69,12.22,34.0,13.04,60.333333333333336,True
3622,HMST,"HomeStreet, Inc.",Financial,Banks - Regional,USA,1152.14,10.84,12.41,1.55,4.68,1.66,,6.52,1.75%,16.90%,5.27,119.40%,-13.65%,12.10%,7.00%,8.80%,13.30%,-3.60%,20.61,19.74,3.10%,3.33%,89.20%,-0.04%,2.59%,3.49,1.60%,16.00%,19.70%,,,0.09,0.18,,95.50%,46.20%,9.59%,17.11%,34.63%,48.83%,55.76%,9.90%,1.01,1.43,2.15%,2.67%,11.21%,12.71%,30.64%,1.31%,24.49%,1.31%,74.50%,81.59,1.40%,0.12%,2.3,146.58,1.47,57.15,1.53%,216128,1/24/2022 4:30:00 PM,56.17,2/10/2012,57.15,0.00%,59.0,89,1.24,55.87,52.44,51.24,43.91,32.75,57.34,16.0,0.54,54.666666666666664,True
4236,JBL,Jabil Inc.,Technology,Electronic Components,USA,10181.23,14.08,9.65,1.17,0.34,4.51,8.28,55.27,0.46%,6.40%,4.9,18.20%,7.98%,28.30%,12.00%,9.80%,24.50%,9.40%,144.1,138.24,2.80%,-8.55%,89.50%,-0.05%,0.92%,1.43,4.60%,34.40%,15.20%,1.0,0.6,1.08,1.31,8.00%,3.60%,2.50%,-2.03%,11.84%,9.00%,20.94%,54.64%,-1.88%,1.37,1.97,2.51%,2.80%,1.48%,7.06%,16.27%,-4.27%,21.64%,-4.27%,68.90%,56.55,0.32%,-0.82%,1.5,885.02,1.05,69.03,-0.50%,933492,12/16/2021 8:30:00 AM,78.5,4/29/1993,68.01,-1.47%,84.0,90,1.26,70.25,68.88,65.04,59.65,40.87,72.11,27.0,11.74,67.0,True
4727,LPX,Louisiana-Pacific Corporation,Industrials,Building Products & Equipment,USA,6614.01,5.2,8.64,1.04,1.5,5.05,10.9,4.79,0.98%,4.80%,14.11,212.30%,-37.50%,56.50%,5.00%,8.10%,147.90%,53.30%,94.0,86.78,0.90%,2.47%,,0.08%,5.22%,3.58,62.60%,105.90%,32.30%,2.8,2.1,0.25,0.25,47.20%,42.30%,32.60%,-5.83%,-1.63%,14.97%,28.10%,90.46%,-6.27%,1.76,2.58,3.91%,3.37%,-3.42%,3.41%,14.90%,-7.94%,25.77%,-7.94%,97.23%,46.81,0.96%,-0.86%,2.3,1264.1,0.74,73.44,0.10%,939639,11/2/2021 8:30:00 AM,80.62,12/29/1972,73.44,0.00%,59.0,97,1.63,76.73,75.94,71.9,64.22,37.24,79.77,19.0,5.07,58.333333333333336,True
4797,LYV,"Live Nation Entertainment, Inc.",Communication Services,Entertainment,USA,26686.2,,136.47,,7.02,,5.77,34.77,,,-4.19,67.00%,130.60%,22.50%,,-23.80%,107.80%,1366.60%,216.89,150.41,1.70%,0.00%,75.20%,2.85%,9.02%,5.99,-7.60%,142.30%,-36.60%,1.2,1.2,,,32.90%,-15.70%,-23.60%,-4.80%,4.15%,17.63%,41.01%,59.63%,-3.65%,1.31,4.9,4.88%,4.16%,0.62%,3.12%,23.89%,-9.73%,17.08%,-9.73%,75.05%,51.53,-0.41%,-0.05%,2.2,2266.42,1.4,115.32,-0.47%,3174514,11/4/2021 4:30:00 PM,115.0,12/14/2005,116.87,1.34%,63.0,90,1.27,114.0,115.44,112.62,93.56,65.88,127.75,21.0,0.88,58.0,True
5114,MRO,Marathon Oil Corporation,Energy,Oil & Gas E&P,USA,13652.17,,9.06,,3.04,1.3,,9.98,1.35%,,-0.05,-409.20%,49.43%,6.10%,-2.40%,-8.60%,158.10%,92.00%,789.0,766.09,0.25%,-7.60%,75.50%,0.57%,3.05%,1.4,-0.20%,-0.40%,-7.70%,1.0,0.9,0.37,0.37,88.50%,3.80%,-0.90%,5.16%,10.60%,11.22%,35.21%,132.20%,8.04%,2.98,0.68,3.99%,3.76%,9.02%,8.97%,31.74%,-3.21%,24.11%,-3.21%,147.42%,62.1,-1.61%,-1.15%,2.2,16731.07,1.24,17.74,-2.74%,20670242,11/3/2021 4:30:00 PM,20.53,11/26/1965,17.74,0.00%,63.0,97,1.76,18.71,16.69,16.39,13.58,7.2,18.98,19.0,9.73,59.666666666666664,True
5249,NAVI,Navient Corporation,Financial,Credit Services,USA,3417.12,4.26,6.94,0.57,1.8,1.31,3.25,5.76,2.96%,12.50%,5.07,-17.50%,-30.01%,-3.90%,7.42%,-8.00%,-2.90%,1.70%,165.0,149.77,0.10%,-11.48%,88.50%,0.01%,4.38%,3.78,1.10%,34.50%,0.50%,,,27.77,28.8,,62.00%,48.10%,0.56%,4.45%,8.71%,7.95%,96.90%,1.79%,1.73,0.64,2.69%,2.94%,0.95%,4.82%,10.35%,-3.57%,13.56%,-9.24%,101.87%,54.32,-2.61%,-0.36%,2.2,1736.0,0.91,21.6,-2.96%,1587168,1/25/2022 4:30:00 PM,21.5,4/17/2014,21.6,0.00%,63.0,95,1.47,21.9,21.5,20.73,19.69,10.83,23.8,15.0,-1.83,57.666666666666664,True
5448,NSA,National Storage Affiliates Trust,Real Estate,REIT - Industrial,USA,5974.8,70.73,39.71,6.43,11.35,4.03,86.34,33.91,2.77%,135.30%,0.92,467.20%,11.36%,14.20%,11.00%,26.40%,78.80%,37.70%,86.26,81.94,8.00%,0.00%,86.90%,-0.09%,1.92%,3.1,2.20%,8.60%,5.40%,,,1.53,1.53,,37.30%,16.10%,-3.47%,3.19%,18.66%,23.29%,75.39%,-6.07%,0.51,1.72,2.80%,2.50%,-2.08%,1.57%,19.76%,-7.20%,8.40%,-7.20%,82.28%,47.2,1.29%,-0.22%,2.2,507.2,1.38,65.0,1.07%,700705,11/2/2021 4:30:00 PM,69.05,4/23/2015,65.0,0.00%,63.0,95,1.48,66.35,66.63,64.18,54.66,35.81,70.04,40.0,4.07,66.0,True
5558,NXRT,"NexPoint Residential Trust, Inc.",Real Estate,REIT - Residential,USA,2054.2,,,,9.72,4.95,111.64,,1.91%,,-0.79,-56.70%,10.30%,40.30%,5.00%,11.70%,-118.10%,10.60%,25.18,22.64,0.40%,-5.15%,81.10%,-0.10%,1.98%,4.21,-1.00%,-4.80%,1.00%,,,3.81,0.0,93.50%,10.40%,-9.40%,-3.17%,2.22%,25.94%,36.92%,95.29%,-5.02%,1.05,2.04,2.22%,2.53%,-0.44%,2.74%,27.85%,-5.82%,14.15%,-5.82%,103.48%,50.53,0.78%,-0.24%,2.0,106.51,1.07,79.62,0.54%,114036,11/2/2021 8:30:00 AM,76.71,3/19/2015,79.62,0.00%,69.0,96,1.57,80.1,80.26,78.02,62.77,39.13,84.54,41.0,-4.23,68.66666666666667,True
5651,OMI,"Owens & Minor, Inc.",Healthcare,Medical Distribution,USA,3333.68,14.42,13.63,0.74,0.34,3.74,83.76,29.32,0.02%,0.30%,3.15,471.90%,-16.90%,-3.40%,19.60%,-2.80%,-23.20%,14.40%,73.22,72.77,2.40%,-18.35%,95.90%,-0.03%,8.23%,9.42,6.60%,28.50%,10.70%,1.7,0.6,1.08,0.0,16.20%,3.70%,2.40%,2.07%,9.59%,41.67%,4.25%,48.88%,4.25%,0.34,2.03,7.38%,4.42%,5.56%,7.89%,15.50%,-2.41%,28.54%,-7.75%,92.32%,62.1,7.77%,-6.65%,2.2,635.56,4.87,45.35,0.60%,3093610,11/3/2021 8:30:00 AM,51.67,11/1/1982,45.35,0.00%,63.0,94,1.42,47.33,43.93,42.67,39.4,23.58,49.16,18.0,9.17,58.333333333333336,True
5673,ONTO,Onto Innovation Inc.,Technology,Semiconductors,USA,4739.07,39.76,20.47,3.31,6.6,3.33,10.27,32.06,,0.00%,2.33,885.20%,21.10%,39.40%,12.00%,24.30%,344.80%,58.60%,49.36,48.65,0.80%,-23.27%,99.60%,-0.05%,1.92%,3.36,7.50%,8.80%,2.40%,6.0,4.5,0.0,0.0,53.00%,16.90%,16.10%,-10.66%,-2.90%,27.99%,31.61%,74.41%,-8.56%,1.18,4.56,6.01%,4.37%,-4.49%,-0.17%,21.66%,-11.35%,23.86%,-11.35%,83.21%,43.9,-1.21%,-1.61%,1.8,278.37,1.8,92.56,-2.79%,499761,11/4/2021 4:30:00 PM,107.0,11/28/1984,92.56,0.00%,75.0,94,1.39,97.21,97.34,93.66,76.57,52.17,104.41,42.0,10.07,70.33333333333333,True
6019,PLAB,"Photronics, Inc.",Technology,Semiconductor Equipment & Materials,USA,1167.86,20.55,12.31,2.05,1.76,1.35,4.22,28.01,,0.00%,0.9,73.10%,15.38%,6.80%,10.00%,6.50%,226.10%,21.40%,60.22,59.15,1.80%,-18.21%,92.80%,0.03%,2.05%,2.31,4.40%,6.80%,7.60%,3.1,2.8,0.11,0.14,25.20%,14.30%,8.40%,-4.20%,4.88%,37.73%,42.41%,58.95%,-2.02%,0.96,0.78,4.43%,4.19%,1.41%,17.39%,33.12%,-7.30%,48.00%,-7.30%,68.68%,58.67,0.98%,-1.40%,2.3,523.57,0.86,18.47,-0.43%,449186,12/8/2021 8:30:00 AM,20.67,3/10/1987,18.47,0.00%,59.0,90,1.25,18.98,18.52,16.07,13.97,10.95,19.93,14.0,8.9,54.333333333333336,True
