"Ticker","Company","Sector","Industry","Market Cap","P/E","Dividend Yield","EPS growth past 5 years","Sales growth past 5 years","Shares Outstanding","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Operating Margin","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Beta","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","50-Day High","50-Day Low","52-Week High","52-Week Low","Relative Strength Index (14)","Analyst Recom","Price","Change","Volume","Target Price"
"AAN","The Aaron's Company, Inc.","Industrials","Rental & Leasing Services",769.20,8.56,1.66%,-37.70%,-4.00%,32.48,1.30%,-12.99%,95.50%,-2.07%,2.14%,7.00%,-6.20%,3.71%,-12.79%,-33.11%,-9.21%,26.90%,,3.97%,-5.56%,-10.25%,-14.43%,-24.08%,8.06%,-35.82%,48.52%,38.60,2.70,24.06,-3.45%,191298,34.43
"AAOI","Applied Optoelectronics, Inc.","Technology","Semiconductors",161.12,,,-43.50%,4.30%,27.10,7.60%,0.00%,49.80%,2.34%,17.73%,-26.90%,0.00%,-21.59%,-17.40%,-26.73%,-28.47%,-29.14%,1.69,5.04%,-8.20%,-12.98%,-23.42%,-31.94%,8.65%,-56.77%,8.65%,39.01,2.70,6.03,0.00%,282161,15.36
"AAON","AAON, Inc.","Industrials","Building Products & Equipment",4050.53,58.54,0.49%,12.10%,7.50%,52.42,0.20%,-24.16%,71.10%,-1.09%,3.14%,17.40%,1.96%,12.86%,13.64%,17.87%,18.55%,17.20%,0.58,2.39%,3.46%,9.97%,14.25%,-1.21%,21.16%,-3.89%,31.86%,69.10,3.00,78.09,-0.81%,378543,67.00
"AAP","Advance Auto Parts, Inc.","Consumer Cyclical","Specialty Retail",14256.78,22.95,1.76%,2.20%,0.70%,62.85,0.20%,-4.77%,99.18%,-1.74%,5.64%,8.00%,-2.24%,-1.57%,11.24%,19.50%,51.76%,43.95%,1.26,2.25%,-2.25%,1.92%,12.34%,-6.71%,12.93%,-6.71%,58.39%,46.20,2.20,226.73,-2.85%,331436,254.06
"AAPL","Apple Inc.","Technology","Consumer Electronics",2529741.99,27.97,0.56%,22.00%,11.10%,16487.12,0.07%,-20.62%,58.80%,-0.59%,0.61%,29.80%,-0.67%,5.35%,5.52%,25.84%,35.15%,18.18%,1.22,1.89%,2.51%,5.86%,13.57%,-5.37%,13.41%,-5.37%,36.16%,59.13,1.90,156.81,-3.17%,76959752,168.45
"AAQC","Accelerate Acquisition Corp.","Financial","Shell Companies",388.80,,,,,40.00,,,,,,,-0.51%,-0.51%,1.14%,0.73%,,-0.62%,,0.48%,-0.59%,-0.28%,0.15%,-2.02%,0.52%,-2.41%,1.26%,42.19,,9.72,-0.21%,15681,
"AAT","American Assets Trust, Inc.","Real Estate","REIT - Diversified",2184.01,93.29,3.33%,-11.70%,4.60%,59.99,0.40%,,98.50%,0.45%,1.35%,24.30%,-4.94%,-5.76%,-8.58%,-1.48%,18.10%,24.69%,1.22,2.38%,-6.61%,-6.72%,-1.31%,-11.81%,-1.13%,-11.81%,32.63%,31.85,2.60,36.01,-5.49%,156281,40.30
"AATC","Autoscope Technologies Corporation","Technology","Scientific & Technical Instruments",38.24,12.97,6.92%,21.20%,-2.80%,5.34,13.60%,0.00%,29.00%,1.27%,0.82%,18.10%,-1.98%,2.21%,-9.52%,-12.92%,52.19%,54.57%,1.10,2.33%,0.38%,-2.70%,6.44%,-16.28%,2.81%,-40.07%,70.78%,48.59,,6.94,-0.20%,18135,
"AAU","Almaden Minerals Ltd.","Basic Materials","Gold",46.99,,,-11.30%,,137.22,7.20%,0.00%,5.00%,-0.53%,0.58%,,-8.58%,-13.13%,-18.76%,-38.29%,-65.86%,-27.52%,0.97,4.85%,-10.65%,-11.88%,-31.35%,-22.21%,4.94%,-71.67%,4.94%,33.17,,0.34,1.04%,820193,1.10
"AAWW","Atlas Air Worldwide Holdings, Inc.","Industrials","Airports & Air Services",2681.61,5.41,,115.40%,12.00%,29.02,0.20%,-14.66%,,1.26%,12.59%,16.90%,2.89%,15.58%,25.03%,23.19%,64.81%,69.25%,1.14,3.29%,5.84%,11.31%,29.34%,-2.83%,29.09%,-2.83%,83.81%,64.83,2.00,92.31,-1.99%,297838,105.57
"AAXJ","iShares MSCI All Country Asia ex Japan ETF","Financial","Exchange Traded Fund",,,1.06%,,,,,,,,,,-3.71%,-4.40%,-4.42%,-11.60%,-3.38%,-6.94%,,0.83%,-3.85%,-3.45%,-8.25%,-6.21%,0.87%,-18.60%,0.87%,30.92,,83.39,-2.97%,1817256,
"AB","AllianceBernstein Holding L.P.","Financial","Asset Management",5487.89,15.35,6.24%,9.30%,8.00%,99.41,0.20%,0.00%,13.70%,-2.96%,1.21%,100.00%,-1.13%,-2.80%,4.11%,20.32%,69.90%,60.44%,1.43,2.00%,-2.79%,1.73%,16.31%,-5.84%,15.60%,-5.84%,73.77%,46.83,2.20,54.18,-2.45%,194207,56.00
"ABB","ABB Ltd","Industrials","Specialty Industrial Machinery",69850.51,33.75,2.54%,-30.70%,-5.90%,2001.00,,,6.10%,1.75%,0.10%,11.10%,-4.20%,3.45%,-9.19%,0.15%,28.78%,22.28%,1.07,0.89%,-1.63%,-0.21%,0.76%,-6.97%,5.46%,-10.10%,29.98%,43.60,2.20,34.19,-2.79%,1080298,37.66
"ABBV","AbbVie Inc.","Healthcare","Drug Manufacturers - General",207446.06,27.73,4.46%,-2.80%,14.90%,1770.00,0.12%,-7.36%,68.40%,-0.38%,0.77%,30.10%,-0.48%,7.48%,-2.57%,2.92%,11.81%,8.74%,0.79,1.57%,0.15%,4.39%,3.91%,-2.36%,10.37%,-4.13%,14.73%,55.44,2.00,116.51,-1.81%,5016660,128.32
"ABC","AmerisourceBergen Corporation","Healthcare","Medical Distribution",25804.97,16.28,1.46%,8.70%,6.90%,206.16,0.20%,-39.76%,65.50%,-0.79%,1.00%,-2.10%,-3.42%,0.57%,0.28%,4.78%,16.60%,22.98%,0.47,2.15%,-3.31%,-1.69%,1.74%,-7.19%,4.78%,-7.19%,26.70%,41.86,2.30,120.23,-2.60%,613655,144.08
"ABCB","Ameris Bancorp","Financial","Banks - Regional",3546.75,8.98,1.20%,24.30%,30.70%,69.44,1.30%,0.27%,92.60%,1.06%,2.82%,96.80%,-4.61%,-4.79%,-0.02%,-8.88%,40.11%,31.49%,1.29,2.72%,-6.73%,-4.68%,-2.96%,-11.61%,11.02%,-16.36%,47.84%,36.98,1.90,50.06,-5.90%,255229,59.43
"ABCL","AbCellera Biologics Inc.","Healthcare","Biotechnology",3817.17,19.57,,,,278.93,20.70%,-21.99%,43.60%,6.87%,5.37%,63.90%,-8.62%,-8.98%,-20.42%,-47.86%,,-65.23%,,6.64%,-10.38%,-16.59%,-40.16%,-38.19%,6.15%,-80.55%,6.15%,40.89,1.60,13.99,-3.12%,1096105,41.50
"ABCM","Abcam plc","Healthcare","Biotechnology",5135.66,229.08,,,,219.60,,,10.30%,-2.09%,0.08%,3.50%,-2.18%,-1.71%,8.77%,11.69%,21.48%,4.18%,,1.76%,-1.98%,2.70%,8.66%,-4.06%,14.08%,-9.07%,30.98%,48.89,2.00,22.45,-0.75%,26117,23.00
"ABEO","Abeona Therapeutics Inc.","Healthcare","Biotechnology",77.04,,,-11.50%,57.30%,97.99,2.50%,-5.70%,25.90%,-7.65%,3.09%,,-4.82%,-14.12%,-44.27%,-55.76%,-48.23%,-53.50%,1.39,7.96%,-15.51%,-23.55%,-50.63%,-42.52%,0.00%,-80.74%,0.00%,30.70,1.70,0.73,-3.57%,723555,5.00
"ABEQ","Absolute Core Strategy ETF","Financial","Exchange Traded Fund",,,0.51%,,,,,,,,,,-2.14%,-0.35%,-1.39%,-2.75%,10.56%,8.21%,,0.32%,-1.80%,-0.31%,0.66%,-3.46%,3.31%,-4.40%,12.56%,39.46,,27.53,-1.43%,848,
"ABEV","Ambev S.A.","Consumer Defensive","Beverages - Brewers",46423.85,17.99,0.34%,39.83%,,15736.90,,,9.82%,,0.96%,,-5.14%,10.07%,-8.67%,-14.74%,9.70%,-3.59%,,2.64%,-4.82%,1.40%,-3.85%,-9.79%,18.00%,-25.32%,23.89%,43.35,3.20,2.95,-2.64%,17147774,3.51
"ABG","Asbury Automotive Group, Inc.","Consumer Cyclical","Auto & Truck Dealerships",3838.16,6.44,,15.50%,1.60%,19.30,0.10%,0.00%,89.90%,-0.16%,8.90%,7.50%,-5.58%,-19.55%,-16.28%,-19.42%,32.25%,9.64%,1.49,3.92%,-11.47%,-17.66%,-15.52%,-30.82%,-0.65%,-30.82%,41.71%,29.48,2.30,159.79,-2.55%,242172,249.25
"ABGI","ABG Acquisition Corp. I","Financial","Shell Companies",189.04,,,,,19.33,3.22%,0.00%,78.70%,-7.92%,0.03%,,0.31%,0.67%,0.82%,-1.61%,,-5.32%,,0.37%,0.13%,0.62%,-0.80%,-0.31%,1.87%,-8.42%,1.87%,53.52,,9.79,0.20%,1728,
"ABIO","ARCA biopharma, Inc.","Healthcare","Biotechnology",36.49,,,42.50%,,14.41,0.39%,,10.60%,29.21%,2.04%,,13.97%,0.38%,-14.43%,-25.21%,-37.71%,-34.91%,2.48,5.67%,4.03%,-3.67%,-21.45%,-16.08%,20.28%,-52.55%,20.28%,53.71,,2.61,8.30%,526979,
"ABM","ABM Industries Incorporated","Industrials","Specialty Business Services",3097.50,21.80,1.63%,-68.40%,4.10%,67.50,1.00%,-1.32%,97.40%,2.26%,2.53%,3.70%,-0.81%,7.96%,-6.45%,-6.73%,15.57%,22.97%,1.35,2.09%,-1.48%,1.01%,-2.38%,-5.33%,8.36%,-16.13%,28.15%,46.66,2.00,46.53,-3.64%,218870,62.00
"ABMD","Abiomed, Inc.","Healthcare","Medical Devices",14841.87,100.24,,42.20%,20.80%,45.44,1.40%,-15.36%,92.30%,-1.76%,1.84%,14.90%,-4.18%,-5.40%,-9.08%,14.55%,23.56%,0.55%,1.26,4.31%,-6.69%,-5.49%,0.27%,-14.06%,4.71%,-15.85%,28.13%,38.30,2.40,325.98,-3.49%,207453,387.33
"ABNB","Airbnb, Inc.","Communication Services","Internet Content & Information",113254.14,,,,29.70%,621.01,4.00%,-22.23%,58.90%,12.46%,4.34%,-58.70%,-14.91%,2.81%,12.76%,23.83%,,18.43%,,4.54%,-8.06%,-1.98%,4.68%,-18.22%,9.04%,-20.95%,43.09%,41.46,2.30,173.86,-3.35%,6044126,197.09
"ABOS","Acumen Pharmaceuticals, Inc.","Healthcare","Biotechnology",349.24,,,,,42.23,0.50%,,85.30%,,1.86%,,-19.63%,-43.32%,-55.73%,,,-58.86%,,8.46%,-34.09%,-40.35%,-46.35%,-53.30%,1.60%,-69.35%,1.60%,18.17,2.00,8.27,-8.11%,48892,24.00
"ABR","Arbor Realty Trust, Inc.","Real Estate","REIT - Mortgage",2588.46,8.44,7.73%,6.50%,33.50%,142.62,1.00%,0.29%,43.80%,-3.45%,4.95%,48.70%,-1.52%,-8.63%,-1.25%,-0.71%,31.90%,27.72%,1.84,1.80%,-6.25%,-5.16%,1.51%,-12.68%,2.32%,-12.68%,37.51%,34.06,2.20,18.11,-2.11%,1361103,21.62
"ABSI","Absci Corporation","Healthcare","Biotechnology",1021.29,,,,,73.29,8.40%,182.70%,38.50%,,5.54%,,-0.54%,-20.39%,-44.39%,,,-49.00%,,10.63%,-18.90%,-9.91%,-32.71%,-39.24%,14.45%,-65.08%,14.45%,41.26,2.60,11.01,-2.05%,102012,26.25
"ABST","Absolute Software Corporation","Technology","Software - Application",587.68,,2.89%,-20.80%,6.30%,49.67,0.42%,0.00%,84.10%,,0.53%,-2.50%,-6.45%,-19.30%,-24.07%,-35.32%,-11.43%,-24.52%,0.72,3.61%,-13.91%,-17.72%,-31.63%,-24.71%,1.12%,-57.59%,1.12%,20.37,,8.99,-0.44%,101831,
"ABT","Abbott Laboratories","Healthcare","Medical Devices",223995.90,31.02,1.43%,7.80%,11.10%,1774.52,0.20%,-7.27%,75.50%,-0.08%,0.64%,20.10%,-1.38%,-1.43%,1.04%,7.91%,18.30%,14.97%,0.68,1.65%,-1.29%,1.73%,4.30%,-4.35%,10.03%,-4.35%,19.52%,49.36,1.90,125.88,0.65%,4671350,138.61
"ABTX","Allegiance Bancshares, Inc.","Financial","Banks - Regional",869.04,11.51,1.12%,9.20%,22.20%,20.22,6.66%,0.00%,51.60%,-0.03%,1.55%,89.20%,-2.75%,7.86%,13.13%,5.55%,30.48%,25.43%,1.01,3.42%,1.62%,7.61%,9.53%,-6.75%,23.34%,-6.75%,36.12%,54.67,3.00,42.81,-4.19%,58709,46.25
"ABUS","Arbutus Biopharma Corporation","Healthcare","Biotechnology",423.40,,,6.20%,-21.60%,101.29,28.70%,0.00%,26.30%,20.29%,3.00%,,-5.15%,-23.10%,-6.01%,10.60%,-16.98%,-11.83%,2.58,4.94%,-11.44%,-20.66%,-8.58%,-33.97%,3.64%,-46.68%,28.81%,26.07,2.40,3.13,-1.88%,652962,6.00
"ABVC","ABVC BioPharma, Inc.","Healthcare","Biotechnology",93.76,,,13.40%,,26.88,0.10%,0.00%,0.80%,,1.42%,,-5.04%,32.78%,7.74%,-41.82%,-20.00%,-37.25%,0.43,15.64%,-10.06%,10.66%,-20.92%,-72.63%,51.65%,-89.32%,64.10%,49.10,,3.20,1.27%,252583,9.50
"AC","Associated Capital Group, Inc.","Financial","Capital Markets",894.49,8.86,0.50%,187.70%,-3.60%,22.08,0.50%,0.09%,72.80%,-0.03%,0.75%,,-3.32%,9.74%,6.74%,9.74%,7.17%,14.52%,1.24,4.13%,1.93%,5.58%,8.78%,-9.96%,16.61%,-9.96%,33.13%,53.10,,40.22,-4.69%,3286,
"ACA","Arcosa, Inc.","Industrials","Infrastructure Operations",2594.74,37.43,0.37%,-4.70%,-2.00%,48.20,0.30%,-20.58%,93.50%,0.84%,2.42%,5.50%,-3.68%,5.64%,4.35%,-14.17%,1.47%,-0.78%,,3.30%,-1.82%,3.00%,-4.60%,-7.56%,12.72%,-20.39%,13.12%,47.57,1.70,54.50,-4.77%,118097,66.43
"ACAD","ACADIA Pharmaceuticals Inc.","Healthcare","Biotechnology",2989.11,,,-1.80%,491.50%,160.66,0.20%,-2.18%,91.30%,-2.51%,4.89%,-40.70%,-0.84%,7.00%,9.82%,-15.89%,-66.36%,-64.85%,0.59,5.36%,-4.95%,2.78%,-19.49%,-14.12%,19.64%,-67.30%,19.84%,47.08,2.60,18.79,-5.01%,890763,24.95
"ACAHU","Atlantic Coastal Acquisition Corp.","Financial","Shell Companies",,,,,,,,,48.47%,,0.00%,,0.80%,1.57%,1.01%,1.52%,,1.01%,,0.19%,1.10%,1.29%,1.14%,-0.59%,1.82%,-0.59%,2.55%,66.23,,10.05,0.00%,85,
"ACB","Aurora Cannabis Inc.","Healthcare","Drug Manufacturers - Specialty & Generic",1686.30,,,-50.40%,179.40%,198.07,0.14%,0.00%,20.03%,,18.58%,,-3.14%,-0.73%,-5.43%,-29.71%,-22.04%,-18.29%,3.10,7.11%,-5.88%,-3.27%,-17.42%,-21.86%,16.07%,-64.23%,16.07%,44.72,,6.79,0.15%,3386111,
"ACBI","Atlantic Capital Bancshares, Inc.","Financial","Banks - Regional",572.70,11.87,,70.00%,15.10%,20.31,1.60%,-6.22%,86.80%,0.19%,2.43%,99.40%,-4.57%,6.40%,12.61%,-0.60%,79.28%,75.57%,0.82,2.89%,-4.14%,1.83%,9.70%,-7.36%,26.24%,-7.36%,100.07%,42.94,2.20,27.95,-4.80%,83397,28.00
"ACC","American Campus Communities, Inc.","Real Estate","REIT - Residential",7271.71,419.60,3.61%,-12.80%,2.90%,139.07,0.10%,-22.69%,96.30%,1.90%,1.91%,14.90%,-2.87%,-2.24%,2.72%,10.33%,26.78%,21.65%,1.00,1.79%,-3.47%,0.31%,8.39%,-5.66%,8.35%,-5.66%,30.89%,43.74,2.10,52.03,-3.22%,344925,58.38
"ACCD","Accolade, Inc.","Healthcare","Health Information Services",1876.31,,,,,64.40,1.00%,0.00%,73.10%,6.69%,6.33%,-62.40%,-14.90%,-31.12%,-42.08%,-46.27%,-46.32%,-37.63%,,4.47%,-24.25%,-30.29%,-40.28%,-41.50%,0.82%,-58.42%,0.82%,17.20,1.50,27.13,-4.54%,433871,56.36
"ACCO","ACCO Brands Corporation","Industrials","Business Equipment & Supplies",816.59,10.57,3.06%,-3.70%,1.80%,95.60,3.16%,0.04%,90.60%,0.41%,2.83%,6.80%,0.24%,2.41%,-9.38%,-6.70%,4.81%,0.59%,2.15,3.22%,-3.82%,-4.03%,-3.38%,-10.53%,3.28%,-13.00%,11.55%,42.74,1.60,8.50,-3.95%,455857,13.40
"ACEL","Accel Entertainment, Inc.","Consumer Cyclical","Gambling",1193.93,51.37,,,,93.62,5.30%,-9.35%,65.50%,0.37%,3.17%,-2.80%,-1.51%,2.06%,3.34%,-5.64%,13.89%,22.57%,1.20,4.16%,-3.90%,-0.64%,3.86%,-12.17%,9.95%,-12.17%,40.36%,45.08,2.40,12.38,-5.28%,161719,16.50
"ACER","Acer Therapeutics Inc.","Healthcare","Biotechnology",31.22,,,37.30%,,14.31,15.34%,0.00%,29.40%,-0.88%,2.61%,,-5.17%,-4.35%,-13.39%,-24.91%,-15.38%,-16.03%,1.16,4.71%,-7.79%,-10.30%,-20.34%,-27.63%,2.33%,-59.18%,2.33%,38.17,2.70,2.20,-2.65%,28530,10.00
"ACES","ALPS Clean Energy ETF","Financial","Exchange Traded Fund",,,0.56%,,,,,,,,,,-3.65%,-0.56%,5.57%,7.66%,5.81%,-7.09%,,2.76%,-6.12%,1.98%,1.83%,-9.06%,18.07%,-26.79%,21.98%,43.05,,74.47,-3.24%,36225,
"ACET","Adicet Bio, Inc.","Healthcare","Biotechnology",302.96,,,,,31.88,1.80%,-5.96%,62.60%,-6.01%,1.50%,,0.11%,7.92%,16.48%,-29.96%,-22.70%,-33.10%,2.36,4.66%,1.06%,12.03%,-12.36%,-4.86%,39.26%,-47.19%,50.40%,56.29,1.40,9.40,-4.57%,51352,28.29
"ACEV","ACE Convergence Acquisition Corp.","Financial","Shell Companies",286.95,474.29,,,,28.75,,,70.40%,47.74%,2.47%,,0.10%,0.30%,1.01%,-0.10%,1.12%,-2.54%,,0.31%,0.05%,0.24%,-1.56%,-0.40%,0.71%,-26.22%,2.23%,54.58,,9.96,0.10%,21456,
"ACEVU","ACE Convergence Acquisition Corp.","Financial","Shell Companies",,,,,,,,,1.25%,,0.00%,,1.04%,2.90%,3.90%,-6.90%,6.60%,-2.11%,,1.12%,1.26%,3.23%,-3.94%,-2.83%,5.23%,-28.93%,7.44%,58.87,,10.66,-0.79%,100,
"ACGL","Arch Capital Group Ltd.","Financial","Insurance - Diversified",16025.02,8.45,,19.50%,16.30%,389.27,0.20%,96.89%,99.43%,-2.59%,0.82%,21.40%,0.53%,-1.04%,0.34%,5.01%,24.86%,16.14%,0.90,2.13%,-1.42%,1.40%,5.87%,-4.64%,11.90%,-4.64%,34.13%,47.52,1.90,41.89,-4.34%,1319178,49.82
"ACGLN","Arch Capital Group Ltd.","Financial","Insurance - Diversified",,,,,,,,,,,0.01%,,-1.82%,-2.84%,-3.29%,,,1.16%,,0.76%,-2.05%,-2.56%,-2.31%,-5.49%,-0.78%,-5.49%,1.24%,27.12,,25.29,-1.02%,25659,49.82
"ACH","Aluminum Corporation of China Limited","Basic Materials","Aluminum",11892.30,15.10,,25.50%,8.50%,680.91,,,1.70%,-0.07%,0.01%,5.00%,-6.02%,-21.80%,-27.15%,-15.88%,37.26%,42.17%,1.74,2.86%,-10.12%,-25.78%,-15.90%,-42.87%,-3.29%,-48.37%,63.01%,28.89,,12.34,-5.66%,115273,14.51
"ACHC","Acadia Healthcare Company, Inc.","Healthcare","Medical Care Facilities",5426.05,27.10,,-0.60%,3.10%,88.96,0.10%,-39.01%,,-0.27%,3.13%,,-10.54%,3.01%,-12.52%,-10.18%,33.54%,15.02%,1.40,2.61%,-8.39%,-5.80%,-5.63%,-13.47%,6.25%,-15.79%,38.70%,33.32,2.20,57.81,-5.62%,193026,75.14
"ACHL","Achilles Therapeutics plc","Healthcare","Biotechnology",211.17,,,,,40.62,,,47.80%,-5.71%,2.68%,,-9.19%,-20.66%,-25.54%,-61.68%,,-70.76%,,8.17%,-21.05%,-27.86%,-48.07%,-46.22%,6.02%,-74.46%,6.02%,31.04,1.80,4.84,-6.74%,63142,20.00
"ACHR","Archer Aviation Inc.","Industrials","Aerospace & Defense",1476.86,,,,,236.89,18.30%,2.15%,28.70%,25.29%,20.76%,,2.67%,14.10%,-38.44%,-38.07%,,-38.87%,,6.46%,1.53%,-14.52%,-35.85%,-38.50%,18.27%,-66.94%,18.27%,45.54,2.50,6.15,3.71%,716365,12.50
"ACHV","Achieve Life Sciences, Inc.","Healthcare","Biotechnology",68.00,,,,,9.45,0.10%,182.37%,25.50%,-5.28%,4.57%,,-2.53%,-9.63%,-6.87%,-8.61%,-19.29%,-9.63%,1.26,5.11%,-10.15%,-11.81%,-20.51%,-27.45%,0.97%,-54.53%,10.41%,35.05,1.60,7.32,-2.14%,43373,31.50
"ACI","Albertsons Companies, Inc.","Consumer Defensive","Grocery Stores",17160.25,28.62,1.12%,23.00%,3.50%,465.30,0.50%,0.21%,58.60%,-1.37%,5.57%,1.80%,2.85%,18.24%,25.82%,86.14%,126.08%,103.19%,,4.09%,5.45%,14.01%,50.80%,-2.19%,33.78%,-2.19%,142.99%,61.95,2.30,35.72,2.56%,830040,32.56
"ACII","Atlas Crest Investment Corp. II","Financial","Shell Companies",421.38,,,,,43.12,,,69.40%,10.78%,1.06%,,0.10%,0.10%,1.35%,0.10%,,-2.30%,,0.24%,0.04%,0.12%,-0.09%,-0.41%,1.03%,-5.79%,3.28%,52.17,,9.77,0.00%,34194,
"ACIO","Aptus Collared Income Opportunity ETF","Financial","Exchange Traded Fund",,,0.76%,,,,,,,,,,-1.65%,0.16%,1.38%,5.70%,15.26%,13.23%,,0.68%,-1.29%,1.17%,4.95%,-3.70%,6.20%,-3.70%,17.27%,44.31,,31.50,-1.72%,7274,
"ACIU","AC Immune SA","Healthcare","Biotechnology",370.79,,,-33.80%,-17.00%,72.89,60.54%,0.00%,26.70%,0.96%,4.15%,,-4.26%,-18.97%,-25.50%,-15.11%,-0.58%,0.00%,0.79,7.78%,-17.69%,-19.45%,-26.36%,-36.49%,0.19%,-59.00%,7.48%,29.23,1.30,5.17,-3.36%,275015,15.17
