no,ticker,company,sector,industry,country,market_cap,pe,forward_pe,peg,ps,pb,pcash,pfree_cash_flow,dividend_yield,payout_ratio,eps_ttm,eps_growth_this_year,eps_growth_next_year,eps_growth_past_5_years,eps_growth_next_5_years,sales_growth_past_5_years,eps_growth_quarter_over_quarter,sales_growth_quarter_over_quarter,shares_outstanding,shares_float,insider_ownership,insider_transactions,institutional_ownership,institutional_transactions,float_short,short_ratio,return_on_assets,return_on_equity,return_on_investment,current_ratio,quick_ratio,lt_debtequity,total_debtequity,gross_margin,operating_margin,profit_margin,performance_week,performance_month,performance_quarter,performance_half_year,performance_year,performance_ytd,beta,average_true_range,volatility_week,volatility_month,20day_simple_moving_average,50day_simple_moving_average,200day_simple_moving_average,50day_high,50day_low,52week_high,52week_low,relative_strength_index_14,change_from_open,gap,ar,average_volume,relative_volume,price,change,volume,earnings_date,target_price,ipo_date,afterhours_close,afterhours_change,analyst_recom,rs_rating,returns_multiple,current_price,ma_20_day,ma_50_day,ma_200_day,low_52_week,high_52_week,sentiment_score,est_gl,my_score,in_sp500
1377,CFG,"Citizens Financial Group, Inc.",Financial,Banks - Regional,USA,23768.23,10.7,10.88,,4.9,1.1,1.51,,2.82%,34.70%,5.16,-41.70%,19.55%,7.50%,-2.76%,6.80%,74.50%,-4.50%,426.09,424.13,0.10%,0.00%,97.10%,-0.58%,3.08%,2.73,1.00%,9.10%,12.90%,,,0.32,0.32,,91.80%,39.50%,-0.14%,-0.79%,9.98%,28.77%,35.04%,16.89%,1.47,1.55,2.75%,3.06%,3.89%,8.51%,15.94%,-3.11%,26.79%,-3.11%,39.63%,61.67,1.53%,-1.36%,2.0,4786.6,0.67,55.23,0.15%,3221619,1/19/2022 8:30:00 AM,60.53,9/24/2014,55.25,0.04%,69.0,87,1.19,55.23,53.21,51.05,47.67,39.56,57.0,12.0,9.6,56.0,True
1644,COP,ConocoPhillips,Energy,Oil & Gas E&P,USA,116933.81,14.87,11.49,8.37,2.55,2.72,11.12,54.98,1.68%,146.30%,6.07,-139.20%,-9.72%,6.80%,1.78%,-8.60%,526.20%,158.20%,1332.29,1317.82,0.10%,-20.39%,80.50%,0.09%,1.30%,2.08,2.30%,4.60%,-2.40%,1.9,1.8,0.42,0.45,48.20%,5.90%,4.00%,-2.95%,3.09%,24.53%,68.99%,89.68%,24.98%,1.45,3.16,2.74%,3.64%,0.75%,11.51%,34.74%,-4.97%,36.94%,-4.97%,90.40%,56.85,0.24%,0.35%,1.8,8200.49,0.84,90.21,0.59%,6852053,2/3/2022 8:30:00 AM,99.98,1/13/1978,90.0,-0.23%,75.0,98,1.66,90.21,89.68,81.32,67.29,47.51,94.93,13.0,10.83,62.0,True
1785,CTRA,Coterra Energy Inc.,Energy,Oil & Gas E&P,USA,17742.32,26.17,6.71,0.35,10.55,3.93,232.53,59.48,1.97%,47.80%,0.87,-69.30%,16.56%,30.70%,74.49%,1.60%,514.80%,51.30%,813.58,797.84,1.30%,-4.51%,64.10%,16.68%,3.55%,3.45,7.60%,15.30%,7.60%,1.0,0.9,0.41,0.41,62.10%,29.00%,20.90%,0.62%,4.81%,9.01%,57.11%,30.75%,20.37%,-0.2,0.94,4.02%,4.24%,4.44%,8.73%,22.49%,-6.23%,24.36%,-6.23%,65.36%,56.23,-1.08%,0.87%,2.3,8205.59,0.67,22.87,-0.22%,5536042,2/23/2022 4:30:00 PM,27.52,2/8/1990,22.87,0.00%,59.0,81,1.11,22.87,22.0,21.1,19.03,14.28,24.39,30.0,20.33,56.666666666666664,True
1829,CVS,CVS Health Corporation,Healthcare,Healthcare Plans,USA,137835.88,17.45,11.59,3.04,0.47,1.83,11.0,10.51,2.12%,33.30%,5.96,8.80%,8.15%,3.90%,5.74%,10.50%,30.60%,10.10%,1322.0,1308.28,0.10%,-21.60%,79.20%,0.46%,1.10%,2.13,3.40%,10.80%,7.80%,0.9,0.6,0.69,0.75,39.80%,4.40%,2.70%,-0.81%,-0.55%,11.90%,22.88%,45.33%,0.76%,0.8,2.5,1.89%,2.38%,-1.68%,0.68%,15.21%,-6.57%,13.48%,-6.57%,52.81%,47.1,0.86%,0.08%,2.1,6764.03,0.83,103.94,0.94%,5623404,2/9/2022 8:30:00 AM,115.47,10/1/1952,103.15,-0.76%,66.0,91,1.28,103.94,105.74,103.47,90.33,68.02,111.25,14.0,11.09,57.0,True
1833,CVX,Chevron Corporation,Energy,Oil & Gas Integrated,USA,253722.25,16.51,14.56,,1.63,1.9,42.06,,3.99%,279.00%,8.13,-291.90%,-11.97%,-26.20%,-4.90%,-6.10%,,77.30%,1918.01,1897.83,0.04%,-63.37%,67.80%,0.68%,1.22%,1.87,1.50%,2.70%,-2.10%,1.3,1.0,0.27,0.27,42.70%,2.80%,2.30%,-2.53%,3.80%,14.51%,38.88%,41.37%,14.44%,1.17,3.35,2.17%,2.53%,0.49%,7.13%,21.65%,-3.69%,21.29%,-3.69%,45.02%,55.33,-0.52%,0.55%,2.2,12434.73,0.91,134.3,0.03%,11339191,1/28/2022 8:30:00 AM,141.05,6/24/1921,134.13,-0.13%,63.0,89,1.24,134.3,133.91,125.73,110.54,92.86,139.44,12.0,5.03,54.666666666666664,True
2183,DVN,Devon Energy Corporation,Energy,Oil & Gas E&P,USA,35182.9,31.15,9.77,1.25,3.94,4.05,15.16,12.78,0.82%,19.80%,1.73,3855.60%,64.25%,26.40%,25.00%,-18.20%,535.60%,224.80%,671.0,640.84,0.50%,-3.31%,90.10%,-2.27%,2.69%,1.45,6.70%,16.70%,-31.00%,1.2,1.2,0.76,0.76,42.90%,16.00%,13.40%,3.32%,6.93%,28.16%,115.81%,178.97%,22.25%,2.91,2.61,4.63%,5.52%,4.92%,14.00%,54.36%,-2.87%,51.48%,-2.87%,192.20%,61.1,3.34%,1.34%,1.8,11882.45,1.74,53.85,4.73%,20719268,2/15/2022 4:30:00 PM,55.23,3/17/1992,53.9,0.09%,75.0,99,2.3,53.85,51.57,47.55,36.03,19.61,55.7,27.0,2.56,67.0,True
2432,EOG,"EOG Resources, Inc.",Energy,Oil & Gas E&P,USA,63104.22,21.61,10.48,0.29,4.07,2.98,14.7,12.51,2.68%,31.00%,5.17,-122.20%,23.49%,33.90%,73.84%,4.80%,,105.70%,585.09,583.05,0.30%,1.90%,87.80%,-0.53%,1.14%,1.48,8.30%,14.40%,-1.60%,2.1,2.0,0.23,0.24,60.80%,26.20%,19.40%,-1.36%,5.77%,24.45%,74.98%,91.22%,25.82%,1.82,4.25,3.16%,3.98%,1.53%,12.94%,33.34%,-4.38%,38.55%,-4.38%,91.57%,58.08,-0.28%,1.06%,2.0,4486.73,0.9,111.77,0.78%,4040563,2/25/2022 8:30:00 AM,116.55,10/4/1989,111.77,0.00%,69.0,97,1.62,111.77,110.42,99.69,85.7,60.46,116.89,18.0,4.28,61.333333333333336,True
2621,EXC,Exelon Corporation,Utilities,Utilities - Diversified,USA,41001.66,24.59,18.72,1.54,1.18,1.21,13.87,,3.64%,89.40%,1.71,-33.30%,-20.14%,-4.60%,16.00%,2.30%,139.40%,0.60%,979.0,975.59,0.10%,-25.87%,82.60%,0.35%,1.89%,1.75,1.30%,5.10%,3.40%,0.9,0.8,1.05,1.23,58.10%,6.80%,4.80%,-1.41%,5.10%,8.57%,22.15%,37.94%,1.97%,0.48,0.99,2.20%,2.63%,1.00%,4.26%,16.79%,-4.59%,13.43%,-4.59%,53.57%,55.34,0.26%,0.36%,2.1,10546.75,0.92,42.0,0.62%,9730734,,50.78,7/6/1943,41.9,-0.24%,66.0,88,1.21,42.0,41.67,40.37,36.02,27.35,44.02,18.0,20.9,57.333333333333336,True
2632,EXPE,"Expedia Group, Inc.",Consumer Cyclical,Travel Services,USA,33307.9,,19.89,,4.6,15.97,7.73,10.83,,,-6.83,90.50%,39.68%,-24.40%,22.80%,-0.40%,162.10%,147.70%,153.58,144.81,0.40%,-38.32%,97.20%,-0.31%,5.03%,2.76,-1.20%,-18.00%,3.90%,0.9,0.9,3.75,4.11,80.50%,5.00%,-3.70%,8.56%,20.41%,21.83%,52.33%,36.41%,18.30%,1.58,9.08,6.36%,4.77%,15.59%,19.52%,27.89%,0.85%,41.74%,0.85%,56.32%,73.82,2.79%,-1.85%,2.5,2638.43,1.57,213.8,0.88%,4146193,2/10/2022 4:30:00 PM,211.19,7/20/2005,212.5,-0.61%,53.0,87,1.2,213.8,186.83,179.84,167.38,136.77,217.72,14.0,-1.22,51.333333333333336,True
2662,FANG,"Diamondback Energy, Inc.",Energy,Oil & Gas E&P,USA,22626.33,67.37,7.32,1.1,4.08,2.05,49.51,7.87,1.54%,82.70%,1.93,269.40%,58.66%,-27.70%,61.03%,44.50%,150.50%,165.30%,181.03,180.27,0.20%,-9.97%,90.40%,1.73%,3.24%,2.02,2.10%,4.20%,-31.20%,0.7,0.7,0.6,0.6,79.40%,33.70%,8.00%,0.73%,3.08%,17.83%,85.96%,99.29%,20.37%,2.36,6.28,4.77%,5.24%,1.69%,9.29%,33.48%,-4.93%,36.62%,-4.93%,105.90%,54.93,0.57%,0.94%,1.9,2901.49,0.78,129.82,1.52%,2269482,2/22/2022 4:30:00 PM,143.73,10/12/2012,129.8,-0.02%,72.0,98,1.75,129.82,127.87,119.21,97.51,63.05,136.55,23.0,10.71,64.33333333333333,True
2818,FITB,Fifth Third Bancorp,Financial,Banks - Regional,USA,34257.45,13.28,12.79,,6.57,1.69,0.9,,2.42%,31.20%,3.73,-45.10%,13.72%,-1.80%,-2.98%,6.70%,24.20%,-2.80%,697.46,681.88,0.20%,-6.51%,83.70%,-0.27%,1.57%,1.99,1.20%,12.00%,13.80%,,,0.56,0.56,,96.40%,47.40%,0.65%,-0.22%,10.44%,31.99%,49.04%,13.69%,1.38,1.4,2.57%,3.23%,5.73%,8.10%,18.00%,-2.23%,22.64%,-2.23%,51.82%,63.18,1.10%,-0.83%,1.9,5370.77,0.69,49.51,0.26%,3690267,1/20/2022 8:30:00 AM,51.68,3/17/1980,49.51,0.00%,72.0,92,1.31,49.51,46.91,45.92,42.0,32.61,50.64,18.0,4.38,60.666666666666664,True
2959,FOXA,Fox Corporation,Communication Services,Broadcasting,USA,23578.08,17.55,11.77,2.92,1.73,2.17,5.54,21.85,1.12%,19.00%,2.45,122.80%,24.62%,15.90%,6.00%,7.70%,-139.90%,8.70%,569.0,461.75,0.10%,0.00%,99.94%,0.77%,3.18%,4.05,6.30%,12.80%,12.40%,3.0,2.6,0.64,0.71,35.50%,18.60%,10.60%,-1.92%,7.79%,6.41%,17.64%,33.68%,16.56%,,1.29,3.12%,3.33%,5.95%,10.84%,12.34%,-4.32%,22.01%,-4.32%,36.53%,63.96,0.70%,-1.02%,2.4,3623.53,0.87,43.01,-0.32%,3140209,2/9/2022 8:30:00 AM,47.26,3/12/2019,42.4,-1.42%,56.0,86,1.17,43.01,40.76,38.93,38.32,31.67,44.95,11.0,9.88,51.0,True
3475,HAL,Halliburton Company,Energy,Oil & Gas Equipment & Services,USA,29166.29,20.58,14.35,0.33,1.91,4.48,9.58,30.67,0.54%,11.00%,1.63,148.90%,32.88%,17.50%,62.70%,-0.80%,447.50%,32.10%,895.0,891.41,0.40%,-4.12%,79.70%,2.20%,1.71%,1.38,6.90%,25.40%,12.60%,2.3,1.8,1.37,1.38,13.20%,11.80%,9.50%,2.82%,17.38%,42.19%,77.62%,71.54%,46.79%,2.49,1.28,4.37%,4.48%,8.18%,24.64%,43.21%,-0.18%,59.36%,-0.18%,88.40%,69.94,2.04%,1.17%,2.2,11007.5,1.19,33.57,3.23%,13069613,1/24/2022 8:30:00 AM,32.14,9/15/1948,33.6,0.09%,63.0,96,1.51,33.57,31.29,27.15,23.5,17.82,34.32,5.0,-4.26,54.666666666666664,True
3547,HES,Hess Corporation,Energy,Oil & Gas E&P,USA,28041.41,52.16,16.67,,3.75,5.18,11.59,18.92,1.06%,,1.81,-641.90%,13.76%,0.90%,,-6.40%,146.60%,51.80%,308.1,278.25,0.30%,-30.50%,85.50%,-0.71%,2.63%,2.86,-0.80%,-2.90%,-16.80%,1.4,1.3,1.46,1.55,70.50%,10.40%,-2.20%,1.02%,2.26%,15.90%,45.60%,55.24%,27.33%,1.83,3.8,3.70%,4.45%,2.38%,11.37%,16.32%,-2.58%,37.97%,-2.58%,56.09%,58.39,0.12%,1.03%,2.2,2559.09,0.95,94.26,1.15%,2442650,1/26/2022 8:30:00 AM,111.5,5/24/1962,94.26,0.00%,63.0,94,1.36,94.26,92.22,84.98,81.12,60.39,96.76,9.0,18.29,55.333333333333336,True
3576,HIG,"The Hartford Financial Services Group, Inc.",Financial,Insurance - Diversified,USA,24721.17,10.72,9.0,0.92,1.1,1.4,106.56,6.98,2.16%,22.60%,6.64,-16.20%,16.71%,11.10%,11.71%,5.00%,8.00%,10.00%,345.6,337.0,0.10%,-33.48%,94.20%,-0.02%,0.74%,1.35,2.80%,12.00%,8.80%,,,0.28,0.0,,12.60%,9.50%,-2.47%,-0.14%,-0.07%,6.76%,44.11%,3.16%,1.02,1.96,3.06%,2.94%,0.02%,1.53%,4.67%,-4.93%,9.35%,-8.89%,46.54%,50.33,0.69%,-0.39%,2.1,1829.26,0.65,71.22,0.30%,1186941,2/3/2022 4:30:00 PM,82.5,12/15/1995,71.22,0.00%,66.0,91,1.27,71.22,71.25,70.22,68.06,49.37,78.17,14.0,15.84,57.0,True
3650,HPE,Hewlett Packard Enterprise Company,Technology,Communication Equipment,USA,23015.26,6.87,8.04,0.39,0.83,1.16,5.76,8.39,2.72%,18.40%,2.57,3.10%,8.03%,6.70%,17.77%,-1.70%,1526.10%,2.00%,1312.0,1289.05,0.20%,-26.64%,86.00%,0.51%,3.11%,3.76,6.20%,19.60%,10.00%,0.9,0.7,0.5,0.67,33.70%,12.60%,12.30%,1.97%,1.85%,20.99%,19.92%,26.54%,11.86%,1.18,0.47,3.11%,2.99%,5.85%,8.49%,15.53%,-0.68%,21.66%,-0.68%,35.80%,65.07,2.02%,-0.52%,2.3,10657.39,0.76,17.64,1.50%,8063203,3/1/2022 4:30:00 PM,17.86,10/19/2015,17.69,0.28%,59.0,81,1.11,17.64,16.71,16.31,15.28,12.99,17.76,18.0,1.25,52.666666666666664,True
4683,LNC,Lincoln National Corporation,Financial,Insurance - Life,USA,13542.75,9.95,7.06,0.28,0.7,0.65,5.18,,2.45%,22.30%,7.39,-44.70%,22.30%,-12.10%,35.73%,5.00%,-17.50%,-2.20%,187.28,164.63,0.60%,-25.20%,80.00%,-0.88%,2.23%,2.38,0.40%,6.60%,3.00%,,,0.3,0.31,,10.00%,7.30%,-0.16%,1.10%,-0.10%,10.08%,37.30%,7.69%,2.0,2.73,3.78%,4.17%,4.14%,5.53%,7.63%,-3.78%,19.11%,-5.23%,38.72%,56.27,1.83%,-0.80%,2.5,1541.85,0.77,73.51,1.02%,1192188,2/2/2022 4:30:00 PM,81.85,8/20/1969,73.51,0.00%,53.0,88,1.21,73.51,70.7,69.8,68.35,53.11,77.57,18.0,11.35,53.0,True
4807,MAR,"Marriott International, Inc.",Consumer Cyclical,Lodging,USA,61371.94,129.6,34.96,,5.3,65.45,79.5,100.77,,0.00%,1.41,-121.60%,80.63%,-17.70%,,-6.10%,118.30%,75.10%,327.3,272.34,1.20%,-1.81%,61.00%,-0.83%,1.37%,1.67,1.90%,78.60%,2.60%,0.5,0.5,10.09,10.72,20.20%,7.10%,4.00%,5.61%,14.89%,19.01%,40.97%,38.85%,10.91%,1.72,6.05,3.93%,3.67%,12.07%,13.23%,22.61%,1.06%,25.70%,1.06%,44.04%,71.61,2.87%,-1.68%,2.5,2245.26,1.45,183.26,1.14%,3261402,2/15/2022 8:30:00 AM,166.95,3/23/1998,183.09,-0.09%,53.0,88,1.22,183.26,164.98,162.37,149.64,127.23,184.99,13.0,-8.9,51.333333333333336,True
4858,MCK,McKesson Corporation,Healthcare,Medical Distribution,USA,41673.64,30.8,11.99,2.38,0.16,,15.13,10.37,0.68%,19.20%,8.96,-667.60%,-3.70%,-37.30%,12.96%,4.50%,99.90%,9.60%,151.6,146.83,0.05%,-63.30%,89.80%,-1.50%,1.20%,1.66,2.20%,-235.80%,-61.00%,1.0,0.6,,,5.20%,0.90%,0.50%,-1.07%,9.22%,25.03%,38.10%,55.20%,10.96%,0.73,6.79,1.94%,2.58%,5.59%,10.60%,28.96%,-2.44%,25.81%,-2.44%,62.88%,69.25,1.09%,-0.39%,1.9,1060.02,0.98,275.82,0.70%,1040018,2/2/2022 4:30:00 PM,300.87,11/10/1994,275.82,0.00%,72.0,94,1.36,275.82,262.45,250.41,214.29,169.34,282.73,15.0,9.08,60.333333333333336,True
5067,MOS,The Mosaic Company,Basic Materials,Agricultural Inputs,USA,17185.63,9.95,6.01,1.42,1.57,1.69,20.39,29.15,0.97%,5.30%,4.65,160.60%,48.14%,-9.50%,7.00%,-0.50%,,43.50%,379.8,376.71,0.65%,-93.39%,80.20%,-0.03%,1.51%,1.12,8.70%,18.00%,6.80%,1.3,0.7,0.38,0.38,22.40%,16.30%,16.30%,3.40%,6.15%,24.77%,49.76%,67.41%,17.82%,1.71,2.02,5.46%,5.01%,8.65%,15.09%,28.45%,-2.65%,35.95%,-2.65%,70.03%,64.09,1.07%,0.48%,2.4,5093.4,1.09,46.29,1.56%,5565689,2/22/2022 4:30:00 PM,48.13,1/26/1988,46.2,-0.19%,56.0,96,1.47,46.29,42.82,40.46,36.1,27.23,47.55,18.0,3.97,56.666666666666664,True
5080,MPC,Marathon Petroleum Corporation,Energy,Oil & Gas Refining & Marketing,USA,47194.29,37.44,14.95,1.24,0.39,1.75,3.57,31.78,2.97%,19.70%,2.08,-716.80%,5.73%,-39.20%,30.11%,-0.60%,156.30%,85.90%,633.0,590.89,0.20%,-5.78%,79.30%,-0.38%,3.09%,2.66,8.60%,30.40%,-18.20%,2.0,1.5,0.96,0.97,9.00%,0.40%,6.30%,-2.17%,4.71%,20.39%,38.70%,52.40%,21.99%,1.94,2.32,2.84%,3.24%,3.43%,11.79%,23.99%,-4.09%,30.19%,-4.09%,55.53%,60.82,-1.38%,0.94%,1.8,6868.49,0.83,78.06,-0.45%,5733385,2/2/2022 8:30:00 AM,85.33,6/23/2011,77.88,-0.23%,75.0,93,1.34,78.06,75.71,70.13,63.06,50.19,81.39,17.0,9.31,61.666666666666664,True
