Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange
WCC,WESCO INTERNATIONAL INC,Industrials,Equity,124319280,0.21,124319280,1035994,120,United States,New York Stock Exchange Inc.
SWAV,SHOCKWAVE MEDICAL INC,Health Care,Equity,123502835.3,0.2,123502835.3,784394,157.45,United States,NASDAQ
POWI,POWER INTEGRATIONS INC,Information Technology,Equity,121629252.36,0.2,121629252.36,1395471,87.16,United States,NASDAQ
ONB,OLD NATIONAL BANCORP,Financials,Equity,119533583.4,0.2,119533583.4,6842220,17.47,United States,NASDAQ
CHX,CHAMPIONX CORP,Energy,Equity,119178707.9,0.2,119178707.9,4703185,25.34,United States,NASDAQ
CCMP,CMC MATERIALS INC,Information Technology,Equity,118762985.02,0.2,118762985.02,656657,180.86,United States,NASDAQ
ROG,ROGERS CORP,Information Technology,Equity,118586534.67,0.2,118586534.67,434367,273.01,United States,New York Stock Exchange Inc.
UFPI,UFP INDUSTRIES INC,Industrials,Equity,117611624.68,0.19,117611624.68,1395818,84.26,United States,NASDAQ
TRNO,TERRENO REALTY REIT CORP,Real Estate,Equity,117319576.6,0.19,117319576.6,1707460,68.71,United States,New York Stock Exchange Inc.
SSD,SIMPSON MANUFACTURING INC,Industrials,Equity,116871892,0.19,116871892,1011440,115.55,United States,New York Stock Exchange Inc.
HELE,HELEN OF TROY LTD,Consumer Discretionary,Equity,115510877.1,0.19,115510877.1,559917,206.3,United States,NASDAQ
SIGI,SELECTIVE INSURANCE GROUP INC,Financials,Equity,115399109.34,0.19,115399109.34,1386009,83.26,United States,NASDAQ
TGNA,TEGNA INC,Communication,Equity,114936831.4,0.19,114936831.4,5154118,22.3,United States,New York Stock Exchange Inc.
BXMT,BLACKSTONE MORTGAGE TRUST REIT CLA,Financials,Equity,114568272.2,0.19,114568272.2,3631324,31.55,United States,New York Stock Exchange Inc.
EXPO,EXPONENT INC,Industrials,Equity,114149778.6,0.19,114149778.6,1209470,94.38,United States,NASDAQ
POR,PORTLAND GENERAL ELECTRIC,Utilities,Equity,113100378,0.19,113100378,2090580,54.1,United States,New York Stock Exchange Inc.
NSA,NATIONAL STORAGE AFFILIATES TRUST,Real Estate,Equity,113024512.6,0.19,113024512.6,1884370,59.98,United States,New York Stock Exchange Inc.
HLI,HOULIHAN LOKEY INC CLASS A,Financials,Equity,112794655.44,0.19,112794655.44,1183823,95.28,United States,New York Stock Exchange Inc.
VG,VONAGE HOLDINGS CORP,Information Technology,Equity,112640129.66,0.19,112640129.66,5615161,20.06,United States,NASDAQ
AQUA,EVOQUA WATER TECHNOLOGIES CORP,Industrials,Equity,112379144.57,0.19,112379144.57,2675057,42.01,United States,New York Stock Exchange Inc.
MIME,MIMECAST LTD,Information Technology,Equity,112242162.6,0.19,112242162.6,1415055,79.32,United States,NASDAQ
CMC,COMMERCIAL METALS,Materials,Equity,112198344.18,0.19,112198344.18,2775126,40.43,United States,New York Stock Exchange Inc.
KRG,KITE REALTY GROUP TRUST REIT,Real Estate,Equity,111914601.6,0.19,111914601.6,5018592,22.3,United States,New York Stock Exchange Inc.
CADE,CADENCE BANK,Financials,Equity,111792024.39,0.19,111792024.39,3760243,29.73,United States,New York Stock Exchange Inc.
RHP,RYMAN HOSPITALITY PROPERTIES REIT,Real Estate,Equity,111549704.2,0.18,111549704.2,1247620,89.41,United States,New York Stock Exchange Inc.
TENB,TENABLE HOLDINGS INC,Information Technology,Equity,111480121.53,0.18,111480121.53,2139323,52.11,United States,NASDAQ
HALO,HALOZYME THERAPEUTICS INC,Health Care,Equity,111182640.8,0.18,111182640.8,3202265,34.72,United States,NASDAQ
UBSI,UNITED BANKSHARES INC,Financials,Equity,109137857.92,0.18,109137857.92,3060512,35.66,United States,NASDAQ
ITCI,INTRA CELLULAR THERAPIES INC,Health Care,Equity,107821485.28,0.18,107821485.28,1838702,58.64,United States,NASDAQ
IRDM,IRIDIUM COMMUNICATIONS INC,Communication,Equity,107346429.96,0.18,107346429.96,2733548,39.27,United States,NASDAQ
HWC,HANCOCK WHITNEY CORP,Financials,Equity,107286956.7,0.18,107286956.7,2011002,53.35,United States,NASDAQ
ATKR,ATKORE INC,Industrials,Equity,106021168.44,0.18,106021168.44,1068331,99.24,United States,New York Stock Exchange Inc.
SM,SM ENERGY,Energy,Equity,105917674.82,0.18,105917674.82,2785841,38.02,United States,New York Stock Exchange Inc.
OGS,ONE GAS INC,Utilities,Equity,105745162.1,0.18,105745162.1,1227454,86.15,United States,New York Stock Exchange Inc.
BKH,BLACK HILLS CORP,Utilities,Equity,105690896.64,0.18,105690896.64,1487766,71.04,United States,New York Stock Exchange Inc.
KNSL,KINSALE CAPITAL GROUP INC,Financials,Equity,105663883.26,0.18,105663883.26,503593,209.82,United States,New York Stock Exchange Inc.
MATX,MATSON INC,Industrials,Equity,104875183.14,0.17,104875183.14,968466,108.29,United States,New York Stock Exchange Inc.
MMS,MAXIMUS INC,Information Technology,Equity,104292859.56,0.17,104292859.56,1428278,73.02,United States,New York Stock Exchange Inc.
AVNT,AVIENT CORP,Materials,Equity,103596122.88,0.17,103596122.88,2117664,48.92,United States,New York Stock Exchange Inc.
ENSG,ENSIGN GROUP INC,Health Care,Equity,103391763.1,0.17,103391763.1,1218955,84.82,United States,NASDAQ
NOVT,NOVANTA INC,Information Technology,Equity,103354902.72,0.17,103354902.72,817164,126.48,United States,NASDAQ
CWST,CASELLA WASTE SYSTEMS INC CLASS A,Industrials,Equity,102861328.1,0.17,102861328.1,1134083,90.7,United States,NASDAQ
SPSC,SPS COMMERCE INC,Information Technology,Equity,102652448.22,0.17,102652448.22,837774,122.53,United States,NASDAQ
IIPR,INNOVATIVE INDUSTRIAL PROPERTIES I,Real Estate,Equity,102599945.57,0.17,102599945.57,548927,186.91,United States,New York Stock Exchange Inc.
ESNT,ESSENT GROUP LTD,Financials,Equity,102597868.98,0.17,102597868.98,2512806,40.83,United States,New York Stock Exchange Inc.
ADC,AGREE REALTY REIT CORP,Real Estate,Equity,102399447.64,0.17,102399447.64,1596997,64.12,United States,New York Stock Exchange Inc.
AMN,AMN HEALTHCARE INC,Health Care,Equity,102321294.84,0.17,102321294.84,1091078,93.78,United States,New York Stock Exchange Inc.
SFBS,SERVISFIRST BANCSHARES INC,Financials,Equity,102085672.32,0.17,102085672.32,1160592,87.96,United States,New York Stock Exchange Inc.
HP,HELMERICH & PAYNE INC,Energy,Equity,101934831.12,0.17,101934831.12,2433974,41.88,United States,New York Stock Exchange Inc.
SWX,SOUTHWEST GAS HOLDINGS INC,Utilities,Equity,101665561.55,0.17,101665561.55,1400545,72.59,United States,New York Stock Exchange Inc.
BIPC,BROOKFIELD INFRASTRUCTURE CORP CLA,Utilities,Equity,101405919.6,0.17,101405919.6,1432287,70.8,Canada,New York Stock Exchange Inc.
UMBF,UMB FINANCIAL CORP,Financials,Equity,100904453.28,0.17,100904453.28,1016772,99.24,United States,NASDAQ
QLYS,QUALYS INC,Information Technology,Equity,100846113.52,0.17,100846113.52,791074,127.48,United States,NASDAQ
TRTN,TRITON INTERNATIONAL LTD,Industrials,Equity,100464457.64,0.17,100464457.64,1549421,64.84,United States,New York Stock Exchange Inc.
ABG,ASBURY AUTOMOTIVE GROUP INC,Consumer Discretionary,Equity,100320004.05,0.17,100320004.05,533759,187.95,United States,New York Stock Exchange Inc.
VRNS,VARONIS SYSTEMS INC,Information Technology,Equity,100038679.02,0.17,100038679.02,2476818,40.39,United States,NASDAQ
LXP,LXP INDUSTRIAL TRUST,Real Estate,Equity,99977616.2,0.17,99977616.2,6492053,15.4,United States,New York Stock Exchange Inc.
BCPC,BALCHEM CORP,Materials,Equity,99780033.6,0.17,99780033.6,747360,133.51,United States,NASDAQ
FOXF,FOX FACTORY HOLDING CORP,Consumer Discretionary,Equity,99655232.5,0.17,99655232.5,981100,101.58,United States,NASDAQ
NJR,NEW JERSEY RESOURCES CORP,Utilities,Equity,98949235.42,0.16,98949235.42,2247314,44.03,United States,New York Stock Exchange Inc.
NTLA,INTELLIA THERAPEUTICS INC,Health Care,Equity,98742541.59,0.16,98742541.59,1611071,61.29,United States,NASDAQ
ARWR,ARROWHEAD PHARMACEUTICALS INC,Health Care,Equity,98677466.3,0.16,98677466.3,2361835,41.78,United States,NASDAQ
HQY,HEALTHEQUITY INC,Health Care,Equity,98133588.94,0.16,98133588.94,1892279,51.86,United States,NASDAQ
GATX,GATX CORP,Industrials,Equity,98095544.2,0.16,98095544.2,817940,119.93,United States,New York Stock Exchange Inc.
RDN,RADIAN GROUP INC,Financials,Equity,98027770.68,0.16,98027770.68,4191012,23.39,United States,New York Stock Exchange Inc.
RLI,RLI CORP,Financials,Equity,97354805.76,0.16,97354805.76,935744,104.04,United States,New York Stock Exchange Inc.
MUSA,MURPHY USA INC,Consumer Discretionary,Equity,97262400.2,0.16,97262400.2,554834,175.3,United States,New York Stock Exchange Inc.
HGV,HILTON GRAND VACATIONS INC,Consumer Discretionary,Equity,97195880.32,0.16,97195880.32,1972319,49.28,United States,New York Stock Exchange Inc.
LHCG,LHC GROUP INC,Health Care,Equity,96613709.76,0.16,96613709.76,708104,136.44,United States,NASDAQ
ZD,ZIFF DAVIS INC,Communication,Equity,96106061.23,0.16,96106061.23,1013029,94.87,United States,NASDAQ
EXLS,EXLSERVICE HOLDINGS INC,Information Technology,Equity,96093629.46,0.16,96093629.46,767889,125.14,United States,NASDAQ
APG,API GROUP CORP,Industrials,Equity,95059554.9,0.16,95059554.9,4664355,20.38,United States,New York Stock Exchange Inc.
MEDP,MEDPACE HOLDINGS INC,Health Care,Equity,94755931.2,0.16,94755931.2,671076,141.2,United States,NASDAQ
OPCH,OPTION CARE HEALTH INC,Health Care,Equity,94591389,0.16,94591389,3673452,25.75,United States,NASDAQ
CROX,CROCS INC,Consumer Discretionary,Equity,94533289.2,0.16,94533289.2,1347780,70.14,United States,NASDAQ
FLR,FLUOR CORP,Industrials,Equity,94172327,0.16,94172327,3301975,28.52,United States,New York Stock Exchange Inc.
WK,WORKIVA INC CLASS A,Information Technology,Equity,94122444.15,0.16,94122444.15,988785,95.19,United States,New York Stock Exchange Inc.
SMTC,SEMTECH CORP,Information Technology,Equity,92964908.01,0.15,92964908.01,1497743,62.07,United States,NASDAQ
ZWS,ZURN WATER SOLUTIONS CORP,Industrials,Equity,92683308.91,0.15,92683308.91,2819693,32.87,United States,New York Stock Exchange Inc.
SAIL,SAILPOINT TECHNOLOGIES HOLDINGS IN,Information Technology,Equity,92672015.48,0.15,92672015.48,2116766,43.78,United States,New York Stock Exchange Inc.
CNMD,CONMED CORP,Health Care,Equity,92596525.68,0.15,92596525.68,670552,138.09,United States,New York Stock Exchange Inc.
OUT,OUTFRONT MEDIA INC,Real Estate,Equity,92271998.18,0.15,92271998.18,3360233,27.46,United States,New York Stock Exchange Inc.
HR,HEALTHCARE REALTY TRUST REIT INC,Real Estate,Equity,91929626.64,0.15,91929626.64,3427652,26.82,United States,New York Stock Exchange Inc.
CARG,CARGURUS INC CLASS A,Communication,Equity,91691168.53,0.15,91691168.53,2221739,41.27,United States,NASDAQ
PNM,PNM RESOURCES INC,Utilities,Equity,91637373.24,0.15,91637373.24,2004317,45.72,United States,New York Stock Exchange Inc.
CBT,CABOT CORP,Materials,Equity,91284264.12,0.15,91284264.12,1301458,70.14,United States,New York Stock Exchange Inc.
ALKS,ALKERMES,Health Care,Equity,90887884.22,0.15,90887884.22,3727969,24.38,United States,NASDAQ
APLE,APPLE HOSPITALITY REIT INC,Real Estate,Equity,90512449.3,0.15,90512449.3,5008990,18.07,United States,New York Stock Exchange Inc.
AIT,APPLIED INDUSTRIAL TECHNOLOGIES IN,Industrials,Equity,90466924.32,0.15,90466924.32,896067,100.96,United States,New York Stock Exchange Inc.
WTS,WATTS WATER TECHNOLOGIES INC CLASS,Industrials,Equity,90313861.72,0.15,90313861.72,639526,141.22,United States,New York Stock Exchange Inc.
WD,WALKER & DUNLOP INC,Financials,Equity,90301038.39,0.15,90301038.39,681363,132.53,United States,New York Stock Exchange Inc.
MXL,MAXLINEAR INC,Information Technology,Equity,89710513.2,0.15,89710513.2,1647576,54.45,United States,NASDAQ
CNX,CNX RESOURCES CORP,Energy,Equity,88959537.82,0.15,88959537.82,4858522,18.31,United States,New York Stock Exchange Inc.
FELE,FRANKLIN ELECTRIC INC,Industrials,Equity,88700528.63,0.15,88700528.63,1083961,81.83,United States,NASDAQ
LIVN,LIVANOVA PLC,Health Care,Equity,88531318.08,0.15,88531318.08,1237854,71.52,United States,NASDAQ
ONTO,ONTO INNOVATION INC,Information Technology,Equity,88139141.72,0.15,88139141.72,1131004,77.93,United States,New York Stock Exchange Inc.
VIAV,VIAVI SOLUTIONS INC,Information Technology,Equity,88062088.92,0.15,88062088.92,5580614,15.78,United States,NASDAQ
ACIW,ACI WORLDWIDE INC,Information Technology,Equity,87033140.62,0.14,87033140.62,2753342,31.61,United States,NASDAQ
EBC,EASTERN BANKSHARES INC,Financials,Equity,86800075.2,0.14,86800075.2,4018522,21.6,United States,NASDAQ
DOC,PHYSICIANS REALTY TRUST REIT,Real Estate,Equity,86539594.68,0.14,86539594.68,5157306,16.78,United States,New York Stock Exchange Inc.
HRI,HERC HOLDINGS INC,Industrials,Equity,86490215.63,0.14,86490215.63,576563,150.01,United States,New York Stock Exchange Inc.
ENV,ENVESTNET INC,Information Technology,Equity,85891885.32,0.14,85891885.32,1178862,72.86,United States,New York Stock Exchange Inc.
INDB,INDEPENDENT BANK CORP,Financials,Equity,85740888.15,0.14,85740888.15,1014565,84.51,United States,NASDAQ
LTHM,LIVENT CORP,Materials,Equity,85622632.92,0.14,85622632.92,3745522,22.86,United States,New York Stock Exchange Inc.
SAFM,SANDERSON FARMS INC,Consumer Staples,Equity,85305493,0.14,85305493,476567,179,United States,NASDAQ
BL,BLACKLINE INC,Information Technology,Equity,85079083.32,0.14,85079083.32,1263801,67.32,United States,NASDAQ
REZI,RESIDEO TECHNOLOGIES INC,Industrials,Equity,84970046.49,0.14,84970046.49,3362487,25.27,United States,New York Stock Exchange Inc.
WING,WINGSTOP INC,Consumer Discretionary,Equity,84942153.3,0.14,84942153.3,690306,123.05,United States,NASDAQ
NSIT,INSIGHT ENTERPRISES INC,Information Technology,Equity,84850397.62,0.14,84850397.62,812899,104.38,United States,NASDAQ
HL,HECLA MINING,Materials,Equity,84580027,0.14,84580027,12329450,6.86,United States,New York Stock Exchange Inc.
NEOG,NEOGEN CORP,Health Care,Equity,84444329.34,0.14,84444329.34,2497614,33.81,United States,NASDAQ
UCBI,UNITED COMMUNITY BANKS INC,Financials,Equity,84379064.6,0.14,84379064.6,2231660,37.81,United States,NASDAQ
PCH,POTLATCHDELTIC CORP,Real Estate,Equity,84091577.15,0.14,84091577.15,1533119,54.85,United States,NASDAQ
GT,GOODYEAR TIRE & RUBBER,Consumer Discretionary,Equity,84008060.64,0.14,84008060.64,6452232,13.02,United States,NASDAQ
HASI,HANNON ARMSTRONG SUSTAINABLE INFRA,Financials,Equity,83927320.62,0.14,83927320.62,1778498,47.19,United States,New York Stock Exchange Inc.
CBU,COMMUNITY BANK SYSTEM INC,Financials,Equity,83807063.15,0.14,83807063.15,1172947,71.45,United States,New York Stock Exchange Inc.
DEN,DENBURY INC,Energy,Equity,83713029.3,0.14,83713029.3,1174590,71.27,United States,New York Stock Exchange Inc.
TMHC,TAYLOR MORRISON HOME CORP,Consumer Discretionary,Equity,83407042.71,0.14,83407042.71,2771919,30.09,United States,New York Stock Exchange Inc.
DIOD,DIODES INC,Information Technology,Equity,83379323.4,0.14,83379323.4,1014347,82.2,United States,NASDAQ
SJI,S JERSEY INDS INC,Utilities,Equity,83250490.68,0.14,83250490.68,2388138,34.86,United States,New York Stock Exchange Inc.
FN,FABRINET,Information Technology,Equity,83208405.48,0.14,83208405.48,858084,96.97,United States,New York Stock Exchange Inc.
SUM,SUMMIT MATERIALS INC CLASS A,Materials,Equity,83145943.02,0.14,83145943.02,2788261,29.82,United States,New York Stock Exchange Inc.
FLOW,SPX FLOW INC,Industrials,Equity,82763141.89,0.14,82763141.89,965393,85.73,United States,New York Stock Exchange Inc.
HOMB,HOME BANCSHARES INC,Financials,Equity,82540134,0.14,82540134,3570075,23.12,United States,New York Stock Exchange Inc.
ORA,ORMAT TECH INC,Utilities,Equity,82446143.76,0.14,82446143.76,1050537,78.48,United States,New York Stock Exchange Inc.
SFM,SPROUTS FARMERS MARKET INC,Consumer Staples,Equity,82182857.05,0.14,82182857.05,2650205,31.01,United States,NASDAQ
BOX,BOX INC CLASS A,Information Technology,Equity,81598438.92,0.14,81598438.92,3230342,25.26,United States,New York Stock Exchange Inc.
LNTH,LANTHEUS HOLDINGS INC,Health Care,Equity,81360975.58,0.13,81360975.58,1570069,51.82,United States,NASDAQ
IRTC,IRHYTHM TECHNOLOGIES INC,Health Care,Equity,81354459.42,0.13,81354459.42,685841,118.62,United States,NASDAQ
ISBC,INVESTORS BANCORP INC,Financials,Equity,81073456.17,0.13,81073456.17,5288549,15.33,United States,NASDAQ
SR,SPIRE INC,Utilities,Equity,80976468.37,0.13,80976468.37,1179899,68.63,United States,New York Stock Exchange Inc.
MTH,MERITAGE CORP,Consumer Discretionary,Equity,80799954.3,0.13,80799954.3,852590,94.77,United States,New York Stock Exchange Inc.
TNET,TRINET GROUP INCINARY,Industrials,Equity,80696956.77,0.13,80696956.77,947481,85.17,United States,New York Stock Exchange Inc.
ALE,ALLETE INC,Utilities,Equity,80659046.16,0.13,80659046.16,1228248,65.67,United States,New York Stock Exchange Inc.
ASB,ASSOCIATED BANCORP,Financials,Equity,80524704.37,0.13,80524704.37,3469397,23.21,United States,New York Stock Exchange Inc.
SKY,SKYLINE CHAMPION CORP,Consumer Discretionary,Equity,80353263.56,0.13,80353263.56,1211234,66.34,United States,New York Stock Exchange Inc.
CRC,CALIFORNIA RESOURCES CORP,Energy,Equity,80302828.27,0.13,80302828.27,1889923,42.49,United States,New York Stock Exchange Inc.
SIG,SIGNET JEWELERS LTD,Consumer Discretionary,Equity,80149650.21,0.13,80149650.21,1219377,65.73,United States,New York Stock Exchange Inc.
FIBK,FIRST INTERSTATE BANCSYSTEM INC CL,Financials,Equity,80037962.34,0.13,80037962.34,2050678,39.03,United States,NASDAQ
FUL,HB FULLER,Materials,Equity,79448291.61,0.13,79448291.61,1218719,65.19,United States,New York Stock Exchange Inc.
SI,SILVERGATE CAPITAL CLASS A CORP,Financials,Equity,78818024.88,0.13,78818024.88,638306,123.48,United States,New York Stock Exchange Inc.
JBT,JOHN BEAN TECHNOLOGIES CORP,Industrials,Equity,78657646.37,0.13,78657646.37,726227,108.31,United States,New York Stock Exchange Inc.
CATY,CATHAY GENERAL BANCORP,Financials,Equity,78371446.58,0.13,78371446.58,1731583,45.26,United States,NASDAQ
ATI,ALLEGHENY TECHNOLOGIES INC,Materials,Equity,77949193.5,0.13,77949193.5,2941479,26.5,United States,New York Stock Exchange Inc.
BPMC,BLUEPRINT MEDICINES CORP,Health Care,Equity,77909295.6,0.13,77909295.6,1364436,57.1,United States,NASDAQ
BKU,BANKUNITED INC,Financials,Equity,77770304.76,0.13,77770304.76,1866786,41.66,United States,New York Stock Exchange Inc.
ESGR,ENSTAR GROUP LTD,Financials,Equity,77760689.41,0.13,77760689.41,290141,268.01,United States,NASDAQ
SEAS,SEAWORLD ENTERTAINMENT INC,Consumer Discretionary,Equity,77665352,0.13,77665352,1197800,64.84,United States,New York Stock Exchange Inc.
EYE,NATIONAL VISION HOLDINGS INC,Consumer Discretionary,Equity,77356223.37,0.13,77356223.37,1897381,40.77,United States,NASDAQ
KFY,KORN FERRY,Industrials,Equity,77271887.84,0.13,77271887.84,1268624,60.91,United States,New York Stock Exchange Inc.
BNL,BROADSTONE NET LEASE INC,Real Estate,Equity,77241733.6,0.13,77241733.6,3643478,21.2,United States,New York Stock Exchange Inc.
BECN,BEACON ROOFING SUPPLY INC,Industrials,Equity,77235872,0.13,77235872,1304660,59.2,United States,NASDAQ
MP,MP MATERIALS CORP CLASS A,Materials,Equity,77187035.86,0.13,77187035.86,1765082,43.73,United States,New York Stock Exchange Inc.
DBRG,DIGITALBRIDGE GROUP INC CLASS A,Real Estate,Equity,77058873.27,0.13,77058873.27,11216721,6.87,United States,New York Stock Exchange Inc.
MSTR,MICROSTRATEGY INC CLASS A,Information Technology,Equity,76507314.02,0.13,76507314.02,195761,390.82,United States,NASDAQ
ADNT,ADIENT PLC,Consumer Discretionary,Equity,76453989.5,0.13,76453989.5,2203285,34.7,United States,New York Stock Exchange Inc.
PRFT,PERFICIENT INC,Information Technology,Equity,76306415,0.13,76306415,752900,101.35,United States,NASDAQ
GPI,GROUP AUTOMOTIVE INC,Consumer Discretionary,Equity,76131630.12,0.13,76131630.12,406122,187.46,United States,New York Stock Exchange Inc.
HI,HILLENBRAND INC,Industrials,Equity,75715511.04,0.13,75715511.04,1696136,44.64,United States,New York Stock Exchange Inc.
BE,BLOOM ENERGY CLASS A CORP,Industrials,Equity,75287848.05,0.12,75287848.05,3294873,22.85,United States,New York Stock Exchange Inc.
AVA,AVISTA CORP,Utilities,Equity,75245886.84,0.12,75245886.84,1654483,45.48,United States,New York Stock Exchange Inc.
OFC,CORPORATE OFFICE PROPERTIES TRUST,Real Estate,Equity,75082939.6,0.12,75082939.6,2624360,28.61,United States,New York Stock Exchange Inc.
MGY,MAGNOLIA OIL GAS CORP CLASS A,Energy,Equity,74940519.44,0.12,74940519.44,3333653,22.48,United States,New York Stock Exchange Inc.
ARVN,ARVINAS INC,Health Care,Equity,74802632.92,0.12,74802632.92,1096652,68.21,United States,NASDAQ
SBRA,SABRA HEALTH CARE REIT INC,Real Estate,Equity,74723585.68,0.12,74723585.68,5360372,13.94,United States,NASDAQ
FIX,COMFORT SYSTEMS USA INC,Industrials,Equity,74635230.9,0.12,74635230.9,822155,90.78,United States,New York Stock Exchange Inc.
SXT,SENSIENT TECHNOLOGIES CORP,Materials,Equity,74559761.78,0.12,74559761.78,990038,75.31,United States,New York Stock Exchange Inc.
MMSI,MERIT MEDICAL SYSTEMS INC,Health Care,Equity,74546880.65,0.12,74546880.65,1191035,62.59,United States,NASDAQ
NWE,NORTHWESTERN CORP,Utilities,Equity,74421682.6,0.12,74421682.6,1235830,60.22,United States,NASDAQ
PPBI,PACIFIC PREMIER BANCORP INC,Financials,Equity,73915987.6,0.12,73915987.6,2030659,36.4,United States,NASDAQ
WLL,WHITING PETROLEUM CORP,Energy,Equity,73805811.84,0.12,73805811.84,919584,80.26,United States,New York Stock Exchange Inc.
