,ticker,company,sector,industry,market cap,analyst_recom,sentiment_score,rs_rating,returns_multiple,current_price,target_price,est_gl,performance_(week),performance_(month),performance_(quarter),performance_(half year),performance_(year),performance_(ytd),50_day_ma,200_day_ma,52_week_low,52_week_high,my_score,in_russell_3k
44,BOOT,"Boot Barn Holdings, Inc.",Consumer Cyclical,Apparel Retail,3572.75,79.0,17.0,96,2.32,121.11,126.2,4.2,1.67%,25.53%,43.12%,62.80%,211.26%,179.31%,98.74,79.69,38.07,122.06,64.0,True
45,BPOP,"Popular, Inc.",Financial,Banks - Regional,6716.5,89.0,52.0,78,1.27,84.41,102.0,20.84,2.17%,6.59%,11.95%,5.14%,66.82%,49.88%,79.21,74.86,48.42,85.59,73.0,True
47,BSIG,BrightSphere Investment Group Inc.,Financial,Asset Management,2433.86,76.5,18.0,78,1.26,30.63,31.75,3.66,1.32%,14.46%,15.28%,33.76%,73.34%,58.87%,27.52,23.9,17.45,30.88,57.5,True
49,BVH,Bluegreen Vacations Holding Corporation,Consumer Cyclical,Resorts & Casinos,679.44,81.5,18.0,95,2.16,31.47,50.0,58.88,4.00%,27.72%,48.86%,49.86%,175.33%,132.59%,25.97,20.5,11.03,32.67,64.83333333333333,True
50,BWB,"Bridgewater Bancshares, Inc.",Financial,Banks - Regional,551.98,81.5,19.0,78,1.26,19.3,21.0,8.81,2.17%,8.24%,22.54%,11.11%,61.64%,54.52%,17.54,16.56,11.24,20.05,59.5,True
52,BX,Blackstone Inc.,Financial,Asset Management,169090.91,79.0,17.0,93,1.91,142.8,147.5,3.29,0.54%,16.07%,26.58%,62.11%,154.27%,120.34%,129.56,100.7,56.53,146.8,63.0,True
53,BXC,BlueLinx Holdings Inc.,Industrials,Building Products & Equipment,699.48,74.0,15.0,95,2.19,72.56,96.33,32.76,5.48%,41.19%,31.09%,37.32%,211.95%,147.98%,53.87,48.68,23.8,74.53,61.333333333333336,True
57,CARE,"Carter Bankshares, Inc.",Financial,Banks - Regional,426.28,81.5,41.0,87,1.5,15.9,18.75,17.92,-2.63%,8.53%,32.17%,9.96%,104.90%,48.32%,14.73,13.36,7.93,16.4,69.83333333333333,True
58,CARG,"CarGurus, Inc.",Communication Services,Internet Content & Information,4524.71,79.0,19.0,82,1.34,38.18,42.75,11.97,6.35%,10.16%,40.32%,34.53%,72.53%,20.33%,33.5,28.71,21.52,39.76,60.0,True
59,CASH,"Meta Financial Group, Inc.",Financial,Banks - Regional,2057.38,89.0,17.0,86,1.47,65.48,68.5,4.61,3.13%,7.79%,34.18%,30.13%,95.00%,79.10%,56.67,50.29,32.32,65.96,64.0,True
60,CBNK,"Capital Bancorp, Inc.",Financial,Banks - Regional,379.08,89.0,20.0,91,1.71,27.63,30.25,9.48,0.88%,13.33%,14.32%,29.48%,130.06%,98.35%,24.57,21.53,11.6,28.16,66.66666666666667,True
61,CBRE,"CBRE Group, Inc.",Real Estate,Real Estate Services,35029.28,79.0,16.0,81,1.33,104.59,123.33,17.92,-1.35%,3.07%,12.56%,22.13%,80.86%,66.76%,100.37,88.29,56.56,107.88,58.666666666666664,True
65,CDXS,"Codexis, Inc.",Healthcare,Biotechnology,2369.3,91.5,14.0,92,1.73,36.25,39.38,8.63,-13.24%,27.96%,57.34%,94.06%,132.07%,66.06%,29.81,24.33,15.46,42.01,65.83333333333333,True
67,CLAR,Clarus Corporation,Consumer Cyclical,Leisure,1047.08,89.0,15.0,86,1.48,28.43,35.5,24.87,-4.92%,2.52%,5.30%,33.85%,87.90%,84.61%,27.75,23.63,14.08,32.36,63.333333333333336,True
68,CLFD,"Clearfield, Inc.",Technology,Communication Equipment,863.93,81.5,23.0,96,2.27,66.1,71.0,7.41,2.39%,25.93%,62.65%,80.90%,187.02%,167.39%,51.74,40.29,21.41,72.0,66.83333333333333,True
71,CNOB,"ConnectOne Bancorp, Inc.",Financial,Banks - Regional,1399.55,91.5,14.0,88,1.53,35.2,38.4,9.09,1.03%,9.11%,22.99%,27.77%,102.76%,77.87%,31.61,27.69,16.96,35.48,64.5,True
73,CNXC,Concentrix Corporation,Technology,Information Technology Services,9626.47,106.5,13.0,92,1.78,184.84,208.67,12.89,3.91%,1.34%,14.16%,23.89%,,87.27%,177.31,156.13,80.0,187.22,70.5,True
75,COOP,Mr. Cooper Group Inc.,Financial,Mortgage Finance,3218.41,79.0,19.0,79,1.28,42.42,49.71,17.19,-4.03%,-0.12%,11.75%,27.01%,73.00%,36.71%,42.12,36.16,24.63,45.27,59.0,True
76,CPRI,Capri Holdings Limited,Consumer Cyclical,Apparel Manufacturing,9769.15,76.5,17.0,87,1.51,64.06,79.33,23.84,-1.04%,22.14%,15.95%,12.80%,118.04%,52.52%,54.53,53.48,30.11,69.26,60.166666666666664,True
79,CR,Crane Co.,Industrials,Specialty Industrial Machinery,6312.77,81.5,17.0,78,1.27,107.8,126.0,16.88,0.48%,15.69%,7.61%,12.99%,75.48%,38.81%,97.22,94.21,63.24,108.64,58.833333333333336,True
80,CROX,"Crocs, Inc.",Consumer Cyclical,Footwear & Accessories,10192.05,79.0,20.0,96,2.36,177.5,193.88,9.23,0.54%,29.38%,27.93%,74.38%,212.01%,183.27%,152.1,115.59,56.2,183.88,65.0,True
81,CSV,"Carriage Services, Inc.",Consumer Cyclical,Personal Services,832.76,94.0,14.0,82,1.35,50.47,63.75,26.31,1.20%,14.29%,29.61%,34.80%,81.03%,61.14%,46.16,39.39,27.15,52.44,63.333333333333336,True
83,CUBE,CubeSmart,Real Estate,REIT - Industrial,11147.8,71.5,17.0,77,1.25,55.04,57.33,4.16,1.66%,5.64%,7.96%,29.69%,61.88%,63.76%,52.29,45.71,31.44,56.64,55.166666666666664,True
84,CUBI,"Customers Bancorp, Inc.",Financial,Banks - Regional,1900.02,79.0,22.0,97,2.53,58.48,65.75,12.43,-0.86%,28.41%,53.37%,65.01%,283.94%,221.67%,46.46,37.7,16.65,61.48,66.0,True
85,CURO,CURO Group Holdings Corp.,Financial,Credit Services,694.1,91.5,13.0,87,1.51,17.59,24.0,36.44,2.09%,-5.07%,8.71%,16.26%,106.70%,22.75%,17.47,16.15,7.67,20.81,63.833333333333336,True
88,DAR,Darling Ingredients Inc.,Consumer Defensive,Packaged Foods,12966.46,89.0,45.0,76,1.23,77.69,98.33,26.57,-6.89%,4.62%,2.36%,8.37%,63.90%,34.69%,76.26,72.02,46.09,85.98,70.0,True
90,DCOM,"Dime Community Bancshares, Inc.",Financial,Banks - Regional,1528.44,86.5,26.0,83,1.36,37.27,40.6,8.93,-1.45%,7.13%,12.26%,8.94%,80.22%,54.14%,34.29,32.75,20.67,38.35,65.16666666666667,True
91,DECK,Deckers Outdoor Corporation,Consumer Cyclical,Footwear & Accessories,11356.99,94.0,15.0,78,1.27,417.69,476.33,14.04,0.00%,16.59%,-1.04%,25.61%,66.34%,45.65%,393.09,366.1,241.24,451.49,62.333333333333336,True
92,DELL,Dell Technologies Inc.,Technology,Computer Hardware,43529.16,79.0,15.0,78,1.27,56.7,84.16,48.43,2.11%,3.91%,14.42%,14.04%,69.30%,52.72%,53.62,49.28,33.74,58.29,57.333333333333336,True
95,DIOD,Diodes Incorporated,Technology,Semiconductors,4943.12,79.0,14.0,81,1.31,108.64,117.67,8.31,0.84%,24.10%,23.50%,55.18%,68.96%,54.10%,94.91,83.88,61.74,111.35,58.0,True
96,DKS,"DICK'S Sporting Goods, Inc.",Consumer Cyclical,Specialty Retail,11834.75,76.5,23.0,94,1.94,134.44,152.33,13.31,3.15%,12.28%,32.35%,61.26%,175.41%,149.39%,126.73,100.62,51.51,147.39,64.5,True
99,DOMO,"Domo, Inc.",Technology,Software - Application,2648.31,86.5,21.0,93,1.88,85.1,106.25,24.85,-2.91%,-2.91%,-1.10%,47.23%,148.10%,33.45%,84.76,75.22,33.33,98.35,66.83333333333333,True
101,DVN,Devon Energy Corporation,Energy,Oil & Gas E&P,29328.72,86.5,24.0,97,2.54,43.18,47.69,10.44,-2.13%,7.68%,62.63%,68.10%,277.36%,181.17%,37.22,28.2,12.27,44.79,69.16666666666667,True
106,ECPG,"Encore Capital Group, Inc.",Financial,Mortgage Finance,1742.27,76.5,19.0,85,1.44,59.08,66.75,12.98,-1.53%,15.50%,23.86%,36.57%,93.70%,51.68%,51.65,45.0,29.21,60.75,60.166666666666664,True
110,ENVA,"Enova International, Inc.",Financial,Credit Services,1481.85,81.5,20.0,87,1.51,42.23,44.5,5.38,6.91%,17.14%,33.85%,18.76%,103.91%,70.49%,35.16,34.02,20.24,43.47,62.833333333333336,True
111,EPAM,"EPAM Systems, Inc.",Technology,Information Technology Services,37295.39,81.5,18.0,88,1.54,660.68,780.53,18.14,-7.92%,6.74%,6.50%,47.98%,98.18%,84.37%,630.42,515.36,311.82,725.4,62.5,True
112,EQBK,"Equity Bancshares, Inc.",Financial,Banks - Regional,592.63,76.5,14.0,81,1.32,35.15,36.75,4.55,3.41%,1.94%,8.99%,10.19%,75.40%,62.81%,33.43,30.54,19.91,35.68,57.166666666666664,True
115,ERII,"Energy Recovery, Inc.",Industrials,Pollution & Treatment Controls,1242.9,81.5,35.0,90,1.62,22.1,26.5,19.91,-1.47%,10.83%,17.93%,24.09%,118.16%,62.02%,20.36,19.41,10.13,23.69,68.83333333333333,True
117,ESI,Element Solutions Inc,Basic Materials,Specialty Chemicals,6218.23,79.0,23.0,87,1.51,25.62,28.17,9.95,3.68%,13.36%,9.11%,14.89%,100.94%,44.50%,22.81,21.79,12.62,26.92,63.0,True
118,ESTC,Elastic N.V.,Technology,Software - Application,16066.48,86.5,17.0,83,1.36,182.47,187.47,2.74,6.29%,6.17%,22.76%,67.48%,78.40%,24.87%,165.13,143.17,97.89,189.84,62.166666666666664,True
119,ESTE,"Earthstone Energy, Inc.",Energy,Oil & Gas E&P,1037.4,79.0,31.0,97,2.67,11.38,17.16,50.79,-7.48%,9.53%,46.46%,14.37%,281.88%,113.51%,10.04,9.02,3.13,13.15,69.0,True
121,EVC,Entravision Communications Corporation,Communication Services,Broadcasting,739.11,94.0,14.0,96,2.28,8.52,12.5,46.71,-7.49%,12.40%,23.30%,98.60%,261.02%,209.82%,7.68,5.6,2.5,9.34,68.0,True
122,EVR,Evercore Inc.,Financial,Capital Markets,6865.14,84.0,19.0,82,1.35,155.32,172.12,10.82,2.49%,0.55%,15.81%,7.32%,78.98%,41.66%,146.69,137.63,87.16,164.63,61.666666666666664,True
123,EVRI,Everi Holdings Inc.,Consumer Cyclical,Gambling,2186.91,94.0,17.0,92,1.75,24.75,32.88,32.85,4.39%,3.47%,9.85%,38.66%,126.86%,79.22%,23.79,20.18,10.57,26.61,67.66666666666667,True
124,EWBC,"East West Bancorp, Inc.",Financial,Banks - Diversified,11996.54,86.5,15.0,86,1.46,83.98,99.18,18.1,0.85%,1.43%,14.84%,9.66%,94.53%,65.61%,79.03,74.62,42.42,87.77,62.5,True
126,FANG,"Diamondback Energy, Inc.",Energy,Oil & Gas E&P,19925.0,86.5,28.0,96,2.3,111.17,128.29,15.4,-3.92%,2.67%,54.66%,38.96%,230.86%,129.69%,99.91,84.16,34.7,117.71,70.16666666666667,True
128,FC,Franklin Covey Co.,Industrials,Consulting Services,690.63,81.5,21.0,91,1.68,49.19,54.0,9.78,10.76%,18.22%,33.85%,61.44%,115.56%,120.88%,42.38,34.47,21.21,50.92,64.5,True
130,FFWM,First Foundation Inc.,Financial,Banks - Regional,1311.17,86.5,21.0,75,1.22,28.76,32.6,13.35,-0.03%,8.69%,19.73%,13.77%,72.73%,43.80%,26.48,24.28,17.52,29.41,60.833333333333336,True
131,FISI,"Financial Institutions, Inc.",Financial,Banks - Regional,530.34,81.5,19.0,76,1.24,33.25,36.75,10.53,0.54%,5.12%,4.72%,2.97%,72.46%,47.78%,31.26,30.47,19.51,33.65,58.833333333333336,True
132,FITB,Fifth Third Bancorp,Financial,Banks - Regional,30571.39,81.5,16.0,81,1.32,44.62,48.58,8.87,0.81%,2.34%,18.36%,6.21%,75.74%,61.84%,42.72,39.21,25.0,45.92,59.5,True
133,FLWS,"1-800-FLOWERS.COM, Inc.",Consumer Cyclical,Specialty Retail,2296.84,89.0,19.0,75,1.22,35.26,50.86,44.24,2.23%,17.03%,16.06%,4.32%,62.34%,35.62%,31.76,30.99,21.53,39.61,61.0,True
134,FND,"Floor & Decor Holdings, Inc.",Consumer Cyclical,Home Improvement Retail,13456.3,89.0,22.0,81,1.31,130.0,150.73,15.95,-3.68%,6.41%,15.47%,29.86%,71.12%,40.01%,128.12,111.33,74.02,145.89,64.0,True
135,FOCS,Focus Financial Partners Inc.,Financial,Capital Markets,4969.44,89.0,32.0,82,1.35,68.0,74.62,9.74,1.60%,16.42%,38.52%,43.61%,81.19%,56.32%,58.0,51.29,36.74,68.94,67.66666666666667,True
137,FRG,"Franchise Group, Inc.",Consumer Cyclical,Personal Services,1817.73,84.0,26.0,81,1.31,44.96,50.0,11.21,0.90%,20.50%,33.21%,23.21%,68.77%,47.65%,38.1,36.58,25.28,46.03,63.666666666666664,True
138,FTNT,"Fortinet, Inc.",Technology,Software - Infrastructure,53945.88,76.5,19.0,95,2.18,335.13,367.7,9.72,-4.57%,6.29%,12.22%,64.08%,189.10%,125.63%,316.08,246.86,115.17,355.35,63.5,True
142,GDEN,"Golden Entertainment, Inc.",Consumer Cyclical,Resorts & Casinos,1457.65,89.0,30.0,96,2.39,50.16,65.8,31.18,-2.64%,-0.38%,10.78%,21.42%,223.20%,152.19%,49.17,39.95,15.37,54.86,71.66666666666667,True
147,GLOB,Globant S.A.,Technology,Software - Application,13409.2,86.5,14.0,81,1.33,314.77,337.3,7.16,-9.53%,3.94%,10.38%,45.38%,67.90%,44.65%,310.44,250.13,173.34,354.62,60.5,True
148,GMS,GMS Inc.,Industrials,Building Products & Equipment,2489.86,79.0,17.0,84,1.39,57.37,60.67,5.75,-2.23%,23.67%,19.37%,26.17%,99.06%,88.22%,48.6,44.95,26.77,60.36,60.0,True
149,GPI,"Group 1 Automotive, Inc.",Consumer Cyclical,Auto & Truck Dealerships,3656.39,84.0,22.0,80,1.3,205.3,266.0,29.57,2.34%,12.92%,24.35%,22.71%,74.50%,56.55%,187.51,167.52,115.19,209.72,62.0,True
151,GT,The Goodyear Tire & Rubber Company,Consumer Cyclical,Auto Parts,6377.81,76.5,16.0,91,1.66,22.76,23.57,3.56,-1.39%,20.81%,44.32%,16.06%,127.83%,108.62%,19.07,17.55,9.95,24.89,61.166666666666664,True
152,GTYH,GTY Technology Holdings Inc.,Technology,Software - Application,441.56,81.5,22.0,92,1.81,7.65,9.67,26.41,0.92%,-1.29%,10.07%,18.42%,153.31%,47.68%,7.46,6.92,3.26,8.28,65.16666666666667,True
154,HLIT,Harmonic Inc.,Technology,Communication Equipment,1101.56,76.5,41.0,79,1.28,10.77,12.5,16.06,-0.28%,16.18%,13.37%,54.52%,72.04%,45.74%,9.32,8.43,6.2,11.2,65.5,True
155,HRI,Herc Holdings Inc.,Industrials,Rental & Leasing Services,5682.61,84.0,13.0,97,2.59,192.37,214.17,11.33,-1.00%,7.58%,53.15%,78.10%,274.63%,189.67%,167.17,120.87,54.53,203.14,64.66666666666667,True
157,IGT,International Game Technology PLC,Consumer Cyclical,Gambling,6101.99,81.5,20.0,93,1.92,29.64,37.15,25.34,-2.27%,0.75%,58.76%,30.57%,177.79%,74.97%,27.35,21.76,11.02,32.95,64.83333333333333,True
160,INBK,First Internet Bancorp,Financial,Banks - Regional,450.89,86.5,17.0,80,1.3,45.27,52.8,16.63,3.50%,40.42%,51.61%,28.03%,71.22%,57.52%,33.9,33.32,24.45,45.92,61.166666666666664,True
161,INBX,"Inhibrx, Inc.",Healthcare,Biotechnology,1699.52,89.0,13.0,91,1.66,44.49,54.2,21.83,-0.04%,12.04%,59.35%,156.72%,121.90%,34.94%,37.35,27.96,14.27,50.97,64.33333333333333,True
165,INSP,"Inspire Medical Systems, Inc.",Healthcare,Medical Devices,7460.46,81.5,59.0,78,1.26,277.65,301.3,8.52,-0.90%,13.24%,35.78%,58.39%,58.97%,47.62%,251.27,214.92,159.18,286.29,72.83333333333333,True
167,INVE,"Identiv, Inc.",Technology,Computer Hardware,524.89,81.5,14.0,97,2.7,23.74,28.75,21.1,-3.34%,31.16%,53.26%,63.16%,253.27%,179.29%,19.74,15.75,6.41,25.25,64.16666666666667,True
169,ISBC,"Investors Bancorp, Inc.",Financial,Banks - Regional,3951.43,81.5,26.0,80,1.29,16.01,16.93,5.75,2.63%,3.42%,15.18%,7.31%,74.59%,51.61%,15.16,14.42,9.35,16.2,62.5,True
170,ISEE,"IVERIC bio, Inc.",Healthcare,Biotechnology,1945.82,89.0,13.0,95,2.17,16.49,23.75,44.03,-9.89%,-3.74%,77.12%,135.57%,165.54%,138.64%,16.41,9.54,4.96,19.32,65.66666666666667,True
172,JBL,Jabil Inc.,Technology,Electronic Components,9345.91,86.5,26.0,79,1.28,63.86,73.0,14.31,-0.55%,2.41%,7.56%,19.39%,69.35%,50.15%,61.89,55.82,37.17,65.79,63.833333333333336,True
173,JCI,Johnson Controls International plc,Industrials,Engineering & Construction,54347.71,79.0,22.0,82,1.35,78.33,83.39,6.46,5.18%,9.86%,7.30%,22.72%,75.43%,68.13%,72.87,66.75,44.11,79.12,61.0,True
174,JEF,Jefferies Financial Group Inc.,Financial,Financial Conglomerates,10546.65,89.0,21.0,83,1.38,42.89,50.33,17.35,-1.15%,3.03%,23.67%,35.13%,84.39%,74.35%,40.0,34.1,22.7,44.47,64.33333333333333,True
175,KAI,Kadant Inc.,Industrials,Specialty Industrial Machinery,2590.61,76.5,19.0,78,1.27,221.42,228.67,3.27,-3.51%,7.45%,10.43%,29.52%,70.31%,57.06%,215.9,187.33,126.29,238.15,57.833333333333336,True
176,KBR,"KBR, Inc.",Industrials,Engineering & Construction,6280.74,81.5,21.0,80,1.29,45.02,50.67,12.55,1.97%,6.13%,14.47%,9.83%,72.29%,45.55%,41.3,38.39,26.24,45.48,60.833333333333336,True
179,KFRC,Kforce Inc.,Industrials,Staffing & Employment Services,1658.63,81.5,20.0,86,1.45,78.09,79.33,1.59,3.01%,21.30%,31.38%,29.31%,95.22%,85.53%,65.24,59.2,39.5,78.97,62.5,True
180,KFY,Korn Ferry,Industrials,Staffing & Employment Services,4434.65,96.5,15.0,89,1.6,80.88,97.75,20.86,-1.46%,7.48%,19.57%,22.23%,111.84%,85.93%,75.86,67.85,37.86,84.68,66.83333333333333,True
181,KIM,Kimco Realty Corporation,Real Estate,REIT - Retail,14876.74,74.0,19.0,75,1.22,23.87,25.07,5.03,2.36%,6.04%,11.75%,14.87%,67.86%,59.03%,22.37,20.79,14.03,24.95,56.0,True
182,KKR,KKR & Co. Inc.,Financial,Asset Management,66354.14,86.5,16.0,89,1.58,77.77,89.25,14.76,-1.47%,17.46%,22.43%,41.43%,107.33%,92.07%,69.01,58.8,37.41,83.9,63.833333333333336,True
183,KOS,Kosmos Energy Ltd.,Energy,Oil & Gas E&P,1759.76,81.5,31.0,93,1.85,3.7,6.03,62.97,3.35%,-2.89%,83.17%,15.62%,189.06%,57.45%,3.22,2.96,1.36,4.24,68.5,True
184,LEGH,Legacy Housing Corporation,Consumer Cyclical,Residential Construction,621.72,81.5,16.0,83,1.36,26.09,30.5,16.9,25.43%,54.47%,45.75%,39.74%,86.36%,72.67%,18.73,17.98,13.95,27.93,60.166666666666664,True
188,LGND,Ligand Pharmaceuticals Incorporated,Healthcare,Biotechnology,2755.41,81.5,15.0,87,1.52,164.11,211.71,29.0,6.69%,25.99%,52.99%,33.93%,96.05%,65.02%,140.21,137.19,79.52,219.75,61.166666666666664,True
189,LKQ,LKQ Corporation,Consumer Cyclical,Auto Parts,16922.77,94.0,17.0,76,1.24,58.87,65.89,11.92,2.33%,6.55%,17.60%,18.05%,63.35%,67.05%,53.68,48.43,34.11,59.42,62.333333333333336,True
190,LNG,"Cheniere Energy, Inc.",Energy,Oil & Gas Midstream,26198.46,91.5,23.0,86,1.47,103.4,121.12,17.14,-4.29%,-6.42%,20.13%,23.54%,98.58%,72.25%,99.91,84.81,52.25,113.4,66.83333333333333,True
192,LOVE,The Lovesac Company,Consumer Cyclical,"Furnishings, Fixtures & Appliances",1265.17,96.5,16.0,96,2.39,83.62,101.43,21.3,1.33%,17.16%,42.14%,9.15%,213.77%,94.06%,72.87,67.47,24.66,95.51,69.5,True
193,LPLA,LPL Financial Holdings Inc.,Financial,Capital Markets,13335.31,89.0,31.0,84,1.39,166.9,202.6,21.39,-0.10%,-3.25%,17.07%,14.01%,86.40%,60.14%,161.42,146.29,89.65,176.96,68.0,True
194,LPX,Louisiana-Pacific Corporation,Industrials,Building Products & Equipment,5726.28,71.5,27.0,88,1.54,66.81,76.12,13.94,3.36%,0.57%,19.26%,3.42%,114.48%,79.74%,63.26,59.19,31.72,76.35,62.166666666666664,True
195,LRN,"Stride, Inc.",Consumer Defensive,Education & Training Services,1518.6,89.0,42.0,77,1.25,36.02,48.25,33.95,0.31%,5.05%,6.07%,25.20%,56.00%,69.67%,35.04,31.09,20.39,38.33,69.33333333333333,True
199,MANH,"Manhattan Associates, Inc.",Technology,Software - Application,10940.89,76.5,13.0,85,1.44,173.72,195.0,12.25,-1.36%,7.10%,10.66%,31.49%,86.37%,65.16%,165.33,144.38,90.62,188.52,58.166666666666664,True
200,MATX,"Matson, Inc.",Industrials,Marine Shipping,3882.49,81.5,28.0,76,1.24,93.15,96.0,3.06,2.36%,12.47%,25.32%,47.97%,62.71%,63.51%,84.71,72.48,55.41,94.54,61.833333333333336,True
201,MBIN,Merchants Bancorp,Financial,Banks - Regional,1362.7,89.0,21.0,79,1.28,46.78,52.33,11.86,-1.70%,12.05%,30.82%,8.84%,84.68%,69.31%,41.38,39.59,25.59,48.87,63.0,True
202,MCB,Metropolitan Bank Holding Corp.,Financial,Banks - Regional,1066.19,81.5,16.0,95,2.23,101.93,120.0,17.73,0.72%,16.29%,34.97%,58.15%,216.85%,181.03%,87.63,67.44,30.47,102.93,64.16666666666667,True
