"Ticker","Company","Sector","Industry","Market Cap","P/E","Dividend Yield","EPS growth past 5 years","Sales growth past 5 years","Shares Outstanding","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Operating Margin","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Beta","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","52-Week High","52-Week Low","Relative Strength Index (14)","Analyst Recom","Price","Change","Volume","Target Price"
"AAON","AAON, Inc.","Industrials","Building Products & Equipment",3981.79,57.53,0.50%,12.10%,7.50%,52.42,18.10%,-0.08%,72.10%,0.28%,3.14%,17.40%,2.59%,9.64%,12.75%,15.34%,17.91%,15.19%,0.58,2.42%,5.60%,11.12%,12.27%,-5.54%,29.60%,71.35,3.00,76.75,-0.95%,289982,64.50
"AAP","Advance Auto Parts, Inc.","Consumer Cyclical","Specialty Retail",15204.04,25.93,1.65%,2.20%,0.70%,64.75,0.20%,-4.77%,,-0.73%,5.58%,7.90%,6.14%,12.29%,16.43%,20.93%,57.08%,53.58%,1.26,2.21%,5.23%,11.41%,21.71%,0.39%,69.65%,73.09,2.20,241.91,1.20%,1078484,240.65
"AAPL","Apple Inc.","Technology","Consumer Electronics",2426175.00,26.75,0.59%,22.00%,11.10%,16487.12,0.07%,-20.07%,59.20%,-0.05%,0.61%,29.80%,-0.29%,3.56%,-0.13%,20.14%,25.78%,13.05%,1.22,1.48%,0.28%,1.84%,9.31%,-4.62%,33.23%,54.61,1.90,150.00,0.01%,58972145,168.45
"AAQC","Accelerate Acquisition Corp.","Financial","Shell Companies",391.20,,,,,40.00,,,,,,,-1.21%,0.51%,1.35%,0.72%,,-0.00%,,0.46%,0.07%,0.48%,0.80%,-1.81%,1.89%,51.52,,9.78,0.00%,16114,
"AAT","American Assets Trust, Inc.","Real Estate","REIT - Diversified",2393.64,100.88,3.08%,-11.70%,4.60%,59.99,0.50%,188.03%,98.20%,0.18%,1.35%,24.30%,-0.41%,-1.42%,3.02%,10.66%,46.39%,34.83%,1.22,2.25%,0.03%,0.33%,7.84%,-4.63%,53.64%,50.42,2.60,38.94,0.93%,241041,40.30
"AATC","Autoscope Technologies Corporation","Technology","Scientific & Technical Instruments",36.57,12.66,6.96%,21.20%,-2.80%,5.34,13.60%,0.00%,28.50%,-0.46%,0.82%,21.40%,-1.29%,-1.29%,1.32%,-2.68%,70.79%,53.67%,1.10,2.35%,-0.35%,-5.73%,7.16%,-40.41%,73.80%,45.78,,6.90,-0.03%,24163,
"AAU","Almaden Minerals Ltd.","Basic Materials","Gold",54.79,,,-11.30%,,138.95,7.20%,0.00%,5.10%,0.30%,0.58%,,1.91%,1.15%,-0.66%,-28.32%,-64.48%,-15.95%,0.96,4.35%,1.97%,0.42%,-23.17%,-67.14%,8.06%,50.77,,0.39,-6.30%,1040553,1.10
"AAWW","Atlas Air Worldwide Holdings, Inc.","Industrials","Airports & Air Services",2538.62,5.14,,115.40%,12.00%,29.02,0.20%,-13.43%,,0.80%,12.59%,16.90%,1.55%,11.46%,12.97%,18.36%,60.34%,60.84%,1.13,3.22%,5.73%,9.27%,25.51%,-4.41%,74.67%,62.01,2.00,87.72,2.44%,322657,105.57
"AAXJ","iShares MSCI All Country Asia ex Japan ETF","Financial","Exchange Traded Fund",,,1.11%,,,,,,,,,,0.96%,0.39%,3.10%,-4.54%,3.98%,-2.14%,,0.81%,0.54%,1.07%,-4.01%,-14.40%,6.07%,55.38,,87.69,-0.27%,554547,
"AB","AllianceBernstein Holding L.P.","Financial","Asset Management",5445.59,15.86,6.04%,9.30%,8.00%,99.41,0.30%,0.00%,14.30%,1.19%,1.21%,100.00%,-0.92%,7.34%,14.36%,28.65%,76.96%,65.80%,1.43,2.02%,1.00%,6.28%,22.00%,-2.69%,80.26%,59.46,2.30,55.99,-0.69%,142746,56.00
"ABB","ABB Ltd","Industrials","Specialty Industrial Machinery",71374.25,34.43,2.49%,-30.70%,-5.90%,2001.00,,,6.00%,1.04%,0.10%,11.10%,0.00%,1.13%,-7.31%,3.07%,29.19%,24.75%,1.07,0.91%,2.56%,1.16%,3.51%,-8.28%,32.60%,56.39,2.20,34.88,-0.51%,633544,37.66
"ABBV","AbbVie Inc.","Healthcare","Drug Manufacturers - General",205958.54,27.81,4.45%,-2.80%,14.90%,1770.00,0.12%,-7.90%,69.40%,1.05%,0.77%,30.10%,0.67%,6.87%,-2.36%,-0.32%,17.97%,9.04%,0.79,1.47%,3.53%,6.02%,4.63%,-3.86%,19.96%,65.59,1.90,116.84,-0.11%,3929264,127.78
"ABC","AmerisourceBergen Corporation","Healthcare","Medical Distribution",25925.40,16.84,1.41%,8.70%,6.90%,206.16,0.20%,-41.08%,66.20%,0.33%,0.99%,-2.10%,-1.24%,3.80%,2.88%,6.39%,15.08%,27.27%,0.47,1.89%,0.65%,1.63%,5.84%,-3.96%,31.12%,52.62,2.20,124.42,-0.73%,663540,144.08
"ABCB","Ameris Bancorp","Financial","Banks - Regional",3830.08,9.68,1.11%,24.30%,30.70%,69.44,1.30%,0.27%,90.80%,-0.87%,2.82%,96.80%,-2.32%,4.01%,9.97%,-4.07%,61.03%,41.74%,1.29,2.55%,0.28%,4.63%,5.36%,-9.84%,69.63%,52.82,2.10,53.96,0.33%,320273,59.43
"ABCL","AbCellera Biologics Inc.","Healthcare","Biotechnology",4624.27,25.45,,,,272.20,20.60%,-21.50%,42.00%,2.63%,5.38%,,6.91%,5.54%,-1.21%,-50.32%,,-59.27%,,5.79%,3.18%,-5.21%,-33.59%,-77.21%,24.36%,51.72,1.60,16.39,9.12%,3133535,43.20
"ABCM","Abcam plc","Healthcare","Biotechnology",5070.20,234.74,,,,219.60,,,10.60%,0.00%,0.08%,3.50%,-2.40%,5.17%,10.53%,10.43%,21.57%,5.66%,,1.62%,-0.34%,5.60%,10.22%,-7.78%,32.85%,55.18,2.00,22.77,-1.43%,23702,22.33
"ABEO","Abeona Therapeutics Inc.","Healthcare","Biotechnology",94.25,,,-11.50%,57.30%,96.51,2.50%,-5.80%,27.30%,-3.50%,3.12%,,-6.04%,0.07%,-22.17%,-41.63%,-28.86%,-42.00%,1.39,6.34%,1.85%,-11.67%,-41.40%,-75.97%,15.12%,45.11,1.70,0.91,-0.48%,624383,5.00
"ABEQ","Absolute Core Strategy ETF","Financial","Exchange Traded Fund",,,0.50%,,,,,,,,,,0.09%,1.94%,1.11%,-0.24%,16.41%,10.98%,,0.41%,1.05%,2.55%,3.56%,-1.96%,15.58%,59.85,,28.24,-0.41%,3155,
"ABEV","Ambev S.A.","Consumer Defensive","Beverages - Brewers",49414.81,16.97,0.32%,39.83%,,15737.20,,,9.28%,,0.96%,,-0.32%,12.54%,2.61%,-5.71%,15.09%,2.61%,,3.15%,6.71%,7.98%,2.61%,-20.51%,31.87%,61.16,3.00,3.14,0.00%,14514840,3.50
"ABG","Asbury Automotive Group, Inc.","Consumer Cyclical","Auto & Truck Dealerships",4202.56,7.41,,15.50%,1.60%,19.30,0.10%,0.00%,89.10%,-1.14%,8.22%,7.50%,-0.44%,-12.64%,-3.69%,-8.80%,53.38%,26.25%,1.51,3.72%,-7.42%,-5.47%,-2.40%,-20.33%,63.18%,39.65,2.20,184.00,-0.39%,193022,252.38
"ABGI","ABG Acquisition Corp. I","Financial","Shell Companies",189.92,,,,,19.33,3.22%,0.00%,87.30%,0.18%,0.03%,,0.20%,0.98%,0.10%,-1.90%,,-5.03%,,0.27%,0.60%,1.04%,-0.53%,-8.14%,2.19%,60.66,,9.82,0.20%,167,
"ABIO","ARCA biopharma, Inc.","Healthcare","Biotechnology",34.48,,,42.50%,,14.41,0.40%,0.00%,8.20%,-1.45%,2.04%,,-8.96%,-12.54%,-15.28%,-27.38%,-39.45%,-39.15%,2.50,4.13%,-7.80%,-13.40%,-28.59%,-55.64%,2.09%,33.12,,2.44,-1.21%,107201,
"ABM","ABM Industries Incorporated","Industrials","Specialty Business Services",3287.48,22.90,1.56%,-68.40%,4.10%,67.50,1.00%,-1.30%,98.60%,3.50%,2.53%,3.70%,2.28%,8.26%,3.01%,-4.76%,26.97%,29.15%,1.34,2.12%,6.68%,6.61%,3.26%,-11.91%,34.59%,67.22,2.00,48.87,0.66%,286934,62.00
"ABMD","Abiomed, Inc.","Healthcare","Medical Devices",15662.26,107.12,,42.20%,20.80%,45.44,1.40%,-13.79%,94.40%,0.49%,1.84%,14.90%,-3.17%,-0.86%,6.03%,27.62%,28.03%,7.45%,1.26,3.80%,-1.28%,-0.08%,7.29%,-10.08%,36.93%,47.98,2.40,348.36,-3.47%,201720,387.33
"ABNB","Airbnb, Inc.","Communication Services","Internet Content & Information",120372.44,,,,29.70%,621.01,4.00%,-24.79%,50.90%,5.34%,4.34%,-58.70%,3.44%,22.48%,44.00%,53.47%,,41.15%,,3.48%,15.52%,20.15%,24.78%,-5.79%,70.54%,73.36,2.30,207.21,0.32%,7467952,194.29
"ABOS","Acumen Pharmaceuticals, Inc.","Healthcare","Biotechnology",496.63,,,,,41.91,0.50%,,70.40%,,1.86%,,-18.72%,-12.55%,-23.10%,,,-41.04%,,6.59%,-16.67%,-20.60%,-25.27%,-56.08%,-6.69%,31.27,2.00,11.85,-8.49%,70684,25.00
"ABR","Arbor Realty Trust, Inc.","Real Estate","REIT - Mortgage",2847.17,8.95,7.29%,6.50%,33.50%,142.62,1.00%,0.28%,45.60%,0.51%,4.95%,48.70%,-2.78%,0.05%,7.14%,8.05%,51.54%,35.40%,1.85,1.54%,-2.94%,0.95%,8.48%,-7.43%,52.02%,44.35,2.20,19.20,-0.05%,1148305,21.62
"ABSI","Absci Corporation","Healthcare","Biotechnology",1216.05,,,,,73.29,8.40%,126.52%,29.90%,,5.54%,,-37.16%,6.59%,-41.90%,,,-47.52%,,11.16%,-18.18%,-11.91%,-32.81%,-64.07%,17.78%,39.54,2.80,11.33,1.34%,255520,26.25
"ABST","Absolute Software Corporation","Technology","Software - Application",634.26,,2.65%,-20.80%,6.30%,49.67,0.42%,0.00%,83.73%,,0.55%,-2.50%,-15.00%,-14.34%,-12.26%,-31.47%,-5.86%,-17.72%,0.74,2.89%,-12.53%,-13.36%,-26.41%,-53.77%,4.70%,22.96,2.00,9.80,-3.73%,341986,
"ABT","Abbott Laboratories","Healthcare","Medical Devices",226749.11,31.90,1.39%,7.80%,11.10%,1774.52,0.20%,-6.18%,75.70%,0.21%,0.64%,20.10%,2.08%,10.17%,2.98%,10.65%,14.96%,18.22%,0.68,1.64%,2.49%,4.50%,7.41%,-0.20%,22.90%,62.07,2.00,129.44,0.77%,4554297,138.61
"ABTX","Allegiance Bancshares, Inc.","Financial","Banks - Regional",860.08,11.58,1.11%,9.20%,22.20%,20.22,6.64%,0.00%,51.30%,-0.73%,1.55%,89.20%,0.09%,12.10%,16.46%,7.08%,39.81%,26.25%,1.00,2.80%,7.17%,12.26%,11.09%,-0.67%,41.88%,67.54,3.00,43.09,1.84%,126451,46.25
"ABUS","Arbutus Biopharma Corporation","Healthcare","Biotechnology",454.51,,,6.20%,-21.60%,101.29,28.70%,0.00%,22.70%,4.04%,3.00%,,-6.67%,-17.65%,1.20%,19.57%,-7.44%,-5.35%,2.60,4.43%,-13.14%,-17.00%,-2.96%,-42.76%,38.27%,27.31,2.40,3.36,-3.17%,1301232,6.00
"ABVC","ABVC BioPharma, Inc.","Healthcare","Biotechnology",89.75,,,13.40%,,24.42,92.60%,0.00%,0.40%,,4.67%,,-3.78%,31.37%,67.14%,-33.46%,-11.00%,-30.20%,0.39,15.49%,10.00%,23.88%,-13.43%,-88.11%,82.56%,54.05,,3.56,7.23%,3780580,9.50
"AC","Associated Capital Group, Inc.","Financial","Capital Markets",913.08,9.25,0.48%,187.70%,-3.60%,22.08,0.50%,0.09%,72.80%,-0.03%,0.75%,,10.09%,13.27%,14.04%,16.12%,21.04%,19.59%,1.23,3.16%,12.02%,12.68%,14.39%,-3.43%,39.03%,74.01,,42.00,1.60%,30245,
"ACA","Arcosa, Inc.","Industrials","Infrastructure Operations",2689.27,38.25,0.36%,-4.70%,-2.00%,48.20,1.30%,-6.10%,93.00%,0.11%,2.42%,5.50%,-0.39%,7.05%,13.26%,-9.31%,9.13%,1.38%,,2.90%,3.77%,7.78%,-2.77%,-18.65%,15.59%,59.95,1.70,55.69,0.52%,295778,66.43
"ACAD","ACADIA Pharmaceuticals Inc.","Healthcare","Biotechnology",3182.77,,,-1.80%,491.50%,160.66,0.20%,-1.32%,93.40%,-0.26%,4.89%,-40.70%,1.02%,12.91%,14.68%,-7.57%,-61.66%,-63.02%,0.58,5.14%,3.69%,11.34%,-19.52%,-65.59%,26.09%,54.27,2.60,19.77,-4.26%,1275658,24.95
"ACAHU","Atlantic Coastal Acquisition Corp.","Financial","Shell Companies",,,,,,,,,39.93%,,0.00%,,0.20%,0.61%,0.20%,-0.70%,,0.10%,,0.15%,0.47%,0.48%,0.25%,-1.29%,1.63%,58.49,,9.96,0.30%,1224,
"ACB","Aurora Cannabis Inc.","Healthcare","Drug Manufacturers - Specialty & Generic",1813.23,,,-50.40%,179.40%,198.07,0.03%,0.00%,19.79%,,16.36%,,11.10%,15.36%,20.15%,9.89%,14.55%,-2.41%,3.12,6.26%,13.17%,16.77%,-4.53%,-57.27%,38.63%,61.53,3.50,8.11,-4.59%,14256424,6.84
"ACBI","Atlantic Capital Bancshares, Inc.","Financial","Banks - Regional",608.09,12.73,,70.00%,15.10%,20.31,1.60%,-6.28%,89.40%,3.24%,2.43%,99.40%,1.66%,9.58%,20.90%,9.58%,99.40%,88.25%,0.82,2.75%,5.57%,13.09%,19.62%,-0.07%,114.53%,67.67,2.20,29.97,0.84%,71947,28.00
"ACC","American Campus Communities, Inc.","Real Estate","REIT - Residential",7739.92,441.37,3.44%,-12.80%,2.90%,139.07,0.10%,-22.48%,94.00%,-0.58%,1.91%,14.90%,0.31%,6.02%,12.82%,17.19%,34.47%,27.96%,1.00,1.93%,2.94%,6.47%,15.07%,-0.76%,37.69%,61.01,2.10,54.73,2.45%,736957,57.75
"ACCD","Accolade, Inc.","Healthcare","Health Information Services",2302.35,,,,,64.40,1.00%,0.00%,70.40%,2.98%,6.33%,-62.40%,-11.78%,-12.75%,-16.51%,-20.70%,-6.56%,-19.77%,,3.65%,-10.96%,-15.83%,-24.65%,-46.51%,0.09%,29.49,1.50,34.90,-4.07%,450135,56.36
"ACCO","ACCO Brands Corporation","Industrials","Business Equipment & Supplies",887.49,11.37,2.84%,-3.70%,1.80%,95.60,3.16%,0.04%,91.30%,1.19%,2.83%,6.80%,-0.44%,3.51%,-0.11%,-5.38%,32.66%,8.17%,2.14,3.24%,2.75%,2.39%,3.84%,-6.45%,37.03%,54.41,1.60,9.14,0.44%,298747,13.75
"ACEL","Accel Entertainment, Inc.","Consumer Cyclical","Gambling",1230.46,53.28,,,,93.62,5.40%,-8.42%,65.30%,0.03%,3.17%,-2.80%,-2.95%,5.68%,18.23%,-0.31%,17.37%,27.13%,1.19,3.92%,1.33%,4.70%,8.61%,-8.90%,45.58%,52.98,2.40,12.84,0.00%,141989,16.50
"ACER","Acer Therapeutics Inc.","Healthcare","Biotechnology",33.10,,,37.30%,,14.31,15.34%,0.00%,29.70%,-0.05%,2.61%,,-8.38%,-1.22%,-3.21%,-11.75%,-14.27%,-8.38%,1.16,4.53%,-0.47%,-4.21%,-15.05%,-55.47%,6.21%,46.90,2.70,2.40,-3.21%,41803,10.00
"ACES","ALPS Clean Energy ETF","Financial","Exchange Traded Fund",,,0.54%,,,,,,,,,,-1.43%,13.87%,18.66%,23.37%,29.06%,-0.21%,,2.37%,3.85%,11.72%,8.25%,-21.37%,31.01%,61.82,,79.98,-0.68%,38948,
"ACET","Adicet Bio, Inc.","Healthcare","Biotechnology",293.50,,,,,31.88,1.80%,-9.78%,67.00%,0.16%,1.50%,,0.32%,16.29%,38.93%,-31.35%,-29.70%,-33.45%,2.36,5.56%,5.66%,15.42%,-14.05%,-47.47%,49.60%,60.00,1.40,9.35,-4.10%,88480,28.29
"ACEV","ACE Convergence Acquisition Corp.","Financial","Shell Companies",285.76,,,,,28.75,,,51.50%,17.51%,2.47%,,0.00%,0.30%,0.91%,-0.10%,1.63%,-2.64%,,0.27%,-0.00%,0.22%,-2.06%,-26.30%,2.68%,51.30,,9.95,-0.10%,36373,
"ACEVU","ACE Convergence Acquisition Corp.","Financial","Shell Companies",,,,,,,,,1.25%,,0.00%,,-0.85%,3.43%,-1.95%,-10.14%,4.87%,-3.12%,,1.16%,0.64%,2.39%,-4.86%,-29.67%,6.33%,52.63,,10.55,-3.58%,101,
"ACGL","Arch Capital Group Ltd.","Financial","Insurance - Diversified",16142.55,8.55,,19.50%,16.30%,389.27,0.20%,87.27%,99.43%,-0.82%,0.82%,21.40%,-0.61%,-0.26%,1.10%,5.45%,24.04%,17.44%,0.90,2.17%,-0.36%,3.86%,8.05%,-3.11%,35.64%,53.20,1.90,42.36,0.81%,1754322,49.82
"ACGLN","Arch Capital Group Ltd.","Financial","Insurance - Diversified",,,,,,,,,,,0.01%,,-1.27%,-1.08%,-1.98%,,,2.72%,,0.74%,-0.99%,-1.34%,-0.86%,-4.04%,2.80%,38.43,,25.68,-0.08%,54154,49.82
"ACH","Aluminum Corporation of China Limited","Basic Materials","Aluminum",12902.55,16.26,,25.50%,8.50%,680.91,,,1.60%,-0.29%,0.01%,5.00%,-5.21%,-26.15%,-8.67%,-9.97%,98.36%,52.88%,1.75,2.94%,-14.42%,-25.95%,-8.37%,-44.48%,99.40%,32.74,,13.27,-3.28%,149850,14.51
"ACHC","Acadia Healthcare Company, Inc.","Healthcare","Medical Care Facilities",5766.60,30.43,,-0.60%,3.10%,88.96,0.10%,-40.32%,,-0.89%,3.13%,,0.95%,14.10%,3.76%,5.37%,55.32%,29.15%,1.40,2.57%,7.21%,5.40%,6.61%,-5.45%,60.87%,65.81,2.20,64.91,0.28%,375814,75.14
"ACHL","Achilles Therapeutics plc","Healthcare","Biotechnology",243.79,,,,,40.62,,,49.60%,-2.46%,2.68%,,-16.91%,-25.10%,-9.81%,-55.47%,,-65.56%,,8.61%,-15.66%,-16.71%,-40.15%,-69.92%,4.59%,34.51,1.80,5.70,-7.77%,336256,20.00
"ACHR","Archer Aviation Inc.","Industrials","Aerospace & Defense",1483.23,,,,,62.50,18.30%,2.02%,28.40%,22.70%,18.27%,,-5.54%,-18.31%,-41.88%,-41.35%,,-42.35%,,6.76%,-7.45%,-25.80%,-40.84%,-68.82%,11.54%,33.42,2.50,5.80,1.05%,1784031,12.50
"ACHV","Achieve Life Sciences, Inc.","Healthcare","Biotechnology",77.52,,,,,9.45,0.10%,168.07%,27.10%,0.54%,4.57%,,-4.37%,0.62%,18.59%,-19.16%,-16.58%,0.00%,1.26,5.13%,-2.39%,-2.86%,-14.31%,-49.69%,22.17%,44.63,1.60,8.10,-1.46%,43575,31.50
"ACI","Albertsons Companies, Inc.","Consumer Defensive","Grocery Stores",16098.23,27.89,1.15%,23.00%,3.50%,465.30,0.30%,0.36%,58.90%,-0.84%,5.57%,1.80%,4.35%,21.88%,17.88%,79.62%,129.77%,98.01%,,4.28%,9.12%,12.96%,51.56%,-2.25%,136.80%,66.46,2.30,34.81,-0.63%,854043,32.44
"ACII","Atlas Crest Investment Corp. II","Financial","Shell Companies",420.95,,,,,43.12,,,61.80%,1.05%,1.06%,,0.00%,-0.10%,0.93%,0.36%,,-2.40%,,0.26%,-0.08%,0.09%,-0.20%,-5.88%,3.17%,49.36,,9.76,-0.08%,23609,
"ACIO","Aptus Collared Income Opportunity ETF","Financial","Exchange Traded Fund",,,0.75%,,,,,,,,,,-0.25%,3.69%,3.76%,9.00%,16.86%,15.10%,,0.64%,1.15%,3.43%,7.29%,-2.11%,19.21%,67.09,,32.02,0.05%,59411,
"ACIU","AC Immune SA","Healthcare","Biotechnology",430.55,,,-33.80%,-17.00%,72.89,60.54%,0.00%,28.70%,8.39%,4.15%,,-21.57%,-6.47%,-11.49%,-9.26%,12.45%,11.80%,0.80,7.05%,-11.38%,-13.31%,-18.38%,-54.16%,20.17%,35.26,1.30,5.78,-2.03%,520076,15.17
"ACIW","ACI Worldwide, Inc.","Technology","Software - Infrastructure",4013.52,48.41,,-3.10%,4.40%,117.51,0.90%,-7.56%,97.60%,-1.86%,1.87%,11.50%,9.70%,11.25%,11.14%,-11.41%,9.22%,-9.68%,1.06,3.34%,9.27%,10.29%,-3.92%,-19.70%,19.81%,64.73,1.50,34.71,-1.25%,643572,42.80
"ACKIT","Ackrell SPAC Partners I Co.","Financial","Shell Companies",,,,,,,,,9.62%,,,,0.20%,0.50%,1.41%,0.70%,,-1.18%,,0.06%,0.31%,0.62%,0.87%,-3.45%,2.44%,62.25,,10.08,0.20%,616,
"ACKIU","Ackrell SPAC Partners I Co.","Financial","Shell Companies",335.80,,,,,18.17,3.29%,0.00%,18.20%,-0.44%,,,0.82%,2.10%,1.80%,1.80%,,1.41%,,1.54%,0.90%,1.58%,1.34%,-5.14%,28.19%,55.18,,10.44,0.82%,126,
"ACLS","Axcelis Technologies, Inc.","Technology","Semiconductor Equipment & Materials",2049.62,27.33,,24.70%,9.50%,33.54,2.90%,-5.93%,86.90%,-1.94%,3.27%,16.40%,-0.06%,25.20%,47.41%,63.82%,137.64%,112.26%,1.51,4.11%,11.62%,20.91%,43.17%,-2.25%,142.73%,73.05,1.80,61.81,0.65%,357378,68.50
"ACM","AECOM","Industrials","Engineering & Construction",10449.96,55.00,,24.90%,-5.90%,146.11,1.18%,-3.38%,88.70%,0.60%,1.64%,3.90%,2.37%,14.43%,15.83%,11.70%,46.76%,45.96%,1.48,2.43%,6.14%,9.84%,14.19%,0.06%,55.89%,68.94,1.60,72.66,2.67%,1950756,75.78
"ACMR","ACM Research, Inc.","Technology","Semiconductor Equipment & Materials",2140.73,77.72,,34.30%,38.10%,19.12,0.10%,-94.95%,55.40%,12.74%,13.81%,11.30%,3.66%,4.72%,36.21%,70.83%,30.68%,35.74%,0.55,4.77%,3.72%,4.35%,18.71%,-23.84%,81.28%,55.68,2.00,110.29,4.40%,235337,134.28
