,ticker,company,sector,industry,market cap,analyst_recom,sentiment_score,rs_rating,returns_multiple,current_price,target_price,est_gl,performance_(week),performance_(month),performance_(quarter),performance_(half year),performance_(year),performance_(ytd),20_day_ma,50_day_ma,200_day_ma,52_week_low,52_week_high,my_score,in_russell_3k
117,EQBK,"Equity Bancshares, Inc.",Financial,Banks - Regional,594.82,76.5,14.0,79,1.23,34.69,36.75,5.94,0.89%,4.32%,11.15%,10.63%,67.84%,63.41%,34.12,,30.77,19.91,36.0,56.5,True
119,ERII,"Energy Recovery, Inc.",Industrials,Pollution & Treatment Controls,1315.45,81.5,35.0,93,1.72,24.18,26.5,9.59,4.23%,19.46%,23.43%,28.80%,124.80%,71.48%,21.7,,19.59,10.42,24.31,69.83333333333333,True
120,ESI,Element Solutions Inc,Basic Materials,Specialty Chemicals,5953.68,79.0,23.0,88,1.45,25.01,28.17,12.63,-3.01%,9.12%,6.65%,8.25%,88.69%,38.35%,24.46,,21.93,12.82,26.92,63.333333333333336,True
121,ESTC,Elastic N.V.,Technology,Software - Application,15803.21,86.5,17.0,75,1.17,175.22,187.47,6.99,2.71%,6.37%,15.34%,58.16%,72.18%,22.82%,175.27,,143.52,97.89,189.84,59.5,True
124,EVC,Entravision Communications Corporation,Communication Services,Broadcasting,707.01,94.0,14.0,96,2.22,7.9,12.5,58.23,-4.12%,4.09%,26.55%,79.91%,182.99%,196.36%,8.35,,5.7,2.5,9.34,68.0,True
125,EVR,Evercore Inc.,Financial,Capital Markets,6704.7,84.0,19.0,82,1.29,149.86,172.12,14.85,-1.74%,-7.04%,13.92%,2.35%,71.77%,38.35%,153.42,,138.35,87.16,164.63,61.666666666666664,True
126,EWBC,"East West Bancorp, Inc.",Financial,Banks - Diversified,11827.98,86.5,15.0,87,1.42,81.19,99.18,22.16,-0.97%,-3.47%,15.90%,8.15%,90.13%,63.28%,82.56,,74.99,42.51,87.77,62.833333333333336,True
127,EXP,Eagle Materials Inc.,Basic Materials,Building Materials,6369.77,86.5,14.0,83,1.32,161.2,175.13,8.64,0.65%,12.58%,6.69%,11.24%,76.34%,58.51%,155.02,,141.29,90.85,165.69,61.166666666666664,True
128,EXTR,"Extreme Networks, Inc.",Technology,Communication Equipment,1652.88,76.5,16.0,94,1.82,13.45,15.3,13.75,15.26%,28.32%,24.08%,15.67%,122.34%,90.71%,11.34,,10.37,5.54,13.54,62.166666666666664,True
130,FAF,First American Financial Corporation,Financial,Insurance - Specialty,8331.73,74.0,18.0,75,1.16,77.6,82.4,6.19,2.21%,3.41%,11.83%,16.73%,53.25%,48.50%,74.68,,64.82,47.75,78.23,55.666666666666664,True
132,FC,Franklin Covey Co.,Industrials,Consulting Services,676.31,81.5,21.0,92,1.65,47.9,54.0,12.73,-3.45%,15.79%,28.38%,56.50%,114.66%,116.30%,45.43,,34.91,21.24,50.92,64.83333333333333,True
133,FCBC,"First Community Bankshares, Inc.",Financial,Banks - Regional,598.04,81.5,15.0,79,1.23,35.1,37.0,5.41,0.46%,5.46%,9.85%,10.69%,57.85%,61.21%,33.74,,30.22,20.86,35.28,58.5,True
135,FFWM,First Foundation Inc.,Financial,Banks - Regional,1297.49,86.5,21.0,76,1.18,28.06,32.6,16.18,-2.10%,6.75%,17.51%,13.75%,58.11%,42.30%,27.93,,24.43,17.52,29.41,61.166666666666664,True
136,FISI,"Financial Institutions, Inc.",Financial,Banks - Regional,519.65,81.5,19.0,76,1.18,31.91,36.75,15.17,-2.46%,2.39%,4.62%,0.68%,63.47%,44.80%,32.57,,30.61,19.92,33.65,58.833333333333336,True
137,FITB,Fifth Third Bancorp,Financial,Banks - Regional,30242.52,81.5,19.0,83,1.3,43.55,48.58,11.55,-0.36%,-3.18%,17.33%,5.30%,71.75%,60.10%,44.23,,39.47,25.11,45.92,61.166666666666664,True
138,FND,"Floor & Decor Holdings, Inc.",Consumer Cyclical,Home Improvement Retail,13776.15,89.0,22.0,79,1.24,131.7,150.73,14.45,2.96%,3.70%,13.03%,36.54%,73.09%,43.34%,134.92,,112.02,77.59,145.89,63.333333333333336,True
139,FOCS,Focus Financial Partners Inc.,Financial,Capital Markets,4984.79,89.0,32.0,84,1.34,68.15,74.62,9.49,0.10%,12.10%,38.89%,42.97%,78.14%,56.80%,65.6,,51.63,36.77,69.13,68.33333333333333,True
140,FOXF,Fox Factory Holding Corp.,Consumer Cyclical,Recreational Vehicles,7860.24,74.0,17.0,93,1.72,184.49,188.14,1.98,2.91%,26.04%,23.51%,21.59%,119.33%,77.50%,174.33,,150.03,78.2,190.29,61.333333333333336,True
141,FRG,"Franchise Group, Inc.",Consumer Cyclical,Personal Services,1837.95,84.0,28.0,81,1.27,45.08,50.0,10.91,2.97%,20.26%,36.68%,26.14%,70.97%,49.29%,42.19,,36.76,25.28,46.11,64.33333333333333,True
142,FTNT,"Fortinet, Inc.",Technology,Software - Infrastructure,55294.81,76.5,19.0,96,2.2,342.51,367.7,7.35,1.97%,3.02%,15.30%,62.93%,194.40%,131.27%,335.84,,250.62,115.71,355.35,63.833333333333336,True
146,GDEN,"Golden Entertainment, Inc.",Consumer Cyclical,Resorts & Casinos,1480.32,89.0,30.0,97,2.33,50.13,65.8,31.26,1.35%,3.68%,12.23%,25.16%,213.67%,156.11%,51.36,,40.59,15.84,54.86,72.0,True
151,GMS,GMS Inc.,Industrials,Building Products & Equipment,2558.86,79.0,17.0,87,1.42,58.43,60.67,3.83,0.07%,26.25%,21.87%,31.11%,88.13%,93.44%,54.85,,45.5,26.77,60.36,61.0,True
152,GOOG,Alphabet Inc.,Communication Services,Internet Content & Information,2069129.03,91.5,13.0,83,1.3,2999.05,3279.44,9.35,2.70%,5.82%,8.86%,28.53%,72.56%,72.05%,2943.43,,2533.65,1699.0,3036.33,62.5,True
153,GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,1956471.27,89.0,13.0,83,1.3,2978.53,3262.59,9.54,2.79%,5.69%,9.03%,30.63%,72.16%,70.99%,2930.94,,2503.27,1694.0,3019.33,61.666666666666664,True
154,GPI,"Group 1 Automotive, Inc.",Consumer Cyclical,Auto & Truck Dealerships,3412.57,84.0,22.0,77,1.2,190.84,266.0,39.38,-5.94%,0.75%,20.50%,17.99%,57.46%,46.11%,195.51,,168.57,115.19,211.79,61.0,True
155,GT,The Goodyear Tire & Rubber Company,Consumer Cyclical,Auto Parts,6240.5,76.5,16.0,91,1.6,21.84,23.57,7.92,-5.07%,12.82%,53.90%,14.79%,109.11%,104.12%,21.79,,17.76,9.95,24.89,61.166666666666664,True
156,HCCI,"Heritage-Crystal Clean, Inc",Industrials,Waste Management,834.61,96.5,48.0,78,1.21,33.63,38.4,14.18,-2.77%,12.02%,19.59%,6.51%,57.82%,61.41%,34.57,,29.34,18.86,36.29,74.16666666666667,True
158,HLIT,Harmonic Inc.,Technology,Communication Equipment,1119.97,76.5,40.0,82,1.29,11.08,12.5,12.82,1.96%,19.15%,11.39%,58.70%,71.90%,48.17%,10.24,,8.49,6.31,11.36,66.16666666666667,True
159,HUBS,"HubSpot, Inc.",Technology,Software - Application,38644.94,84.0,18.0,92,1.68,822.34,840.26,2.18,2.62%,5.65%,26.61%,66.49%,133.80%,111.96%,816.98,,598.5,347.78,866.0,64.66666666666667,True
160,IGT,International Game Technology PLC,Consumer Cyclical,Gambling,5951.7,81.5,20.0,93,1.7,28.91,37.15,28.5,-5.24%,-2.59%,65.96%,20.81%,139.52%,70.66%,30.44,,21.94,11.87,32.95,64.83333333333333,True
162,IIPR,"Innovative Industrial Properties, Inc.",Real Estate,REIT - Industrial,6578.99,84.0,31.0,86,1.38,277.01,287.0,3.61,-0.14%,9.63%,18.44%,60.11%,84.59%,51.26%,271.22,,211.52,146.81,288.02,67.0,True
163,INBK,First Internet Bancorp,Financial,Banks - Regional,443.72,86.5,18.0,82,1.28,44.55,52.8,18.52,-1.96%,33.90%,47.32%,27.21%,71.61%,55.01%,40.74,,33.5,24.45,45.92,62.166666666666664,True
164,INBX,"Inhibrx, Inc.",Healthcare,Biotechnology,1635.34,89.0,13.0,82,1.29,42.81,54.2,26.61,-1.63%,11.31%,50.42%,155.28%,86.29%,29.85%,42.68,,28.03,14.27,50.97,61.333333333333336,True
170,INVE,"Identiv, Inc.",Technology,Computer Hardware,527.32,81.5,14.0,97,2.53,23.17,28.75,24.08,-0.96%,29.97%,45.78%,43.76%,260.27%,180.59%,22.14,,16.04,6.48,25.25,64.16666666666667,True
171,IQV,IQVIA Holdings Inc.,Healthcare,Diagnostics & Research,50662.0,89.0,17.0,77,1.19,266.6,288.22,8.11,5.55%,6.00%,4.67%,11.57%,57.69%,48.80%,256.43,,233.51,165.52,271.32,61.0,True
173,ISBC,"Investors Bancorp, Inc.",Financial,Banks - Regional,3934.15,81.5,26.0,79,1.24,15.64,16.93,8.25,1.21%,-0.99%,16.01%,5.91%,67.61%,50.95%,15.67,,14.49,9.38,16.2,62.166666666666664,True
175,JBL,Jabil Inc.,Technology,Electronic Components,9309.32,86.5,26.0,82,1.29,63.61,73.0,14.76,-1.40%,4.38%,6.76%,17.06%,68.37%,49.57%,62.95,,56.12,37.17,65.79,64.83333333333333,True
176,JCI,Johnson Controls International plc,Industrials,Engineering & Construction,55742.3,79.0,22.0,84,1.34,80.34,83.39,3.8,5.46%,9.87%,9.46%,24.56%,74.80%,72.44%,75.37,,67.19,44.91,80.42,61.666666666666664,True
178,KBR,"KBR, Inc.",Industrials,Engineering & Construction,6381.19,81.5,22.0,82,1.29,45.74,50.67,10.78,2.33%,6.79%,22.82%,11.67%,73.59%,47.88%,43.7,,38.62,26.72,46.16,61.833333333333336,True
182,KFY,Korn Ferry,Industrials,Staffing & Employment Services,4505.93,96.5,15.0,91,1.63,82.18,97.75,18.95,0.53%,11.22%,22.20%,27.19%,112.24%,88.92%,79.42,,68.34,37.86,84.68,67.5,True
183,KIM,Kimco Realty Corporation,Real Estate,REIT - Retail,15007.62,74.0,19.0,78,1.22,24.08,25.07,4.11,1.18%,3.61%,12.95%,18.21%,65.50%,60.43%,23.41,,20.9,14.03,24.95,57.0,True
184,KKR,KKR & Co. Inc.,Financial,Asset Management,66900.2,86.5,16.0,90,1.55,78.41,89.25,13.82,0.40%,11.09%,23.85%,41.94%,106.02%,93.65%,78.39,,59.33,37.49,83.9,64.16666666666667,True
185,KOS,Kosmos Energy Ltd.,Energy,Oil & Gas E&P,1716.95,81.5,31.0,93,1.75,3.61,6.03,67.04,-5.25%,-12.17%,82.32%,19.14%,129.94%,53.62%,3.69,,2.97,1.51,4.24,68.5,True
186,LBAI,"Lakeland Bancorp, Inc.",Financial,Banks - Regional,962.37,91.5,15.0,76,1.18,18.87,21.36,13.2,-1.72%,3.91%,14.23%,0.21%,53.92%,48.58%,18.64,,17.4,11.94,19.43,60.833333333333336,True
187,LEGH,Legacy Housing Corporation,Consumer Cyclical,Residential Construction,627.21,81.5,16.0,84,1.34,26.36,30.5,15.71,-0.19%,50.74%,43.59%,36.73%,76.76%,74.19%,21.77,,18.18,13.95,27.93,60.5,True
191,LGND,Ligand Pharmaceuticals Incorporated,Healthcare,Biotechnology,2698.66,81.5,15.0,88,1.47,161.92,211.71,30.75,-0.87%,22.32%,54.40%,31.22%,97.26%,61.62%,154.72,,136.74,80.34,219.75,61.5,True
