no,ticker,company,sector,industry,country,market_cap,pe,forward_pe,peg,ps,pb,pcash,pfree_cash_flow,dividend_yield,payout_ratio,eps_ttm,eps_growth_this_year,eps_growth_next_year,eps_growth_past_5_years,eps_growth_next_5_years,sales_growth_past_5_years,eps_growth_quarter_over_quarter,sales_growth_quarter_over_quarter,shares_outstanding,shares_float,insider_ownership,insider_transactions,institutional_ownership,institutional_transactions,float_short,short_ratio,return_on_assets,return_on_equity,return_on_investment,current_ratio,quick_ratio,lt_debtequity,total_debtequity,gross_margin,operating_margin,profit_margin,performance_week,performance_month,performance_quarter,performance_half_year,performance_year,performance_ytd,beta,average_true_range,volatility_week,volatility_month,20day_simple_moving_average,50day_simple_moving_average,200day_simple_moving_average,50day_high,50day_low,52week_high,52week_low,relative_strength_index_14,change_from_open,gap,ar,average_volume,relative_volume,price,change,volume,earnings_date,target_price,ipo_date,afterhours_close,afterhours_change,analyst_recom,rs_rating,returns_multiple,current_price,ma_20_day,ma_50_day,ma_200_day,low_52_week,high_52_week,sentiment_score,est_gl,my_score,in_sp500
1644,COP,ConocoPhillips,Energy,Oil & Gas E&P,USA,121224.36,15.41,11.91,8.68,2.65,2.82,11.53,56.99,1.63%,146.30%,6.07,-139.20%,-9.72%,6.80%,1.78%,-8.60%,526.20%,158.20%,1332.29,1317.82,0.10%,-20.39%,80.50%,0.09%,1.30%,2.11,2.30%,4.60%,-2.40%,1.9,1.8,0.42,0.45,48.20%,5.90%,4.00%,1.80%,10.81%,30.00%,67.55%,98.85%,29.56%,1.45,3.17,3.50%,3.71%,5.45%,17.45%,40.93%,-1.49%,41.96%,-1.49%,107.43%,67.84,1.76%,-0.01%,1.8,8107.04,1.18,93.52,1.75%,9575743.0,2/3/2022 8:30:00 AM,99.98,1/13/1978,93.92,0.43%,75.0,98,1.66,90.88,89.39,80.59,66.91,47.51,94.93,12.0,10.01,61.666666666666664,True
1785,CTRA,Coterra Energy Inc.,Energy,Oil & Gas E&P,USA,18704.3,27.59,7.08,0.37,11.12,4.14,245.14,62.7,1.87%,47.80%,0.87,-69.30%,16.56%,30.70%,74.49%,1.60%,514.80%,51.30%,813.58,797.84,1.30%,-4.51%,64.10%,16.68%,3.55%,3.46,7.60%,15.30%,7.60%,1.0,0.9,0.41,0.41,62.10%,29.00%,20.90%,2.95%,6.97%,16.61%,57.36%,36.56%,26.89%,-0.2,0.94,3.58%,4.20%,11.22%,15.73%,29.86%,-0.62%,31.10%,-0.62%,74.33%,67.14,3.52%,1.30%,2.3,8179.41,0.95,24.11,4.87%,7744340.0,2/23/2022 4:30:00 PM,27.52,2/8/1990,24.25,0.58%,59.0,84,1.13,23.13,21.84,20.98,18.97,14.28,24.39,30.0,18.98,57.666666666666664,True
1833,CVX,Chevron Corporation,Energy,Oil & Gas Integrated,USA,262242.62,17.07,15.05,,1.68,1.96,43.48,,3.86%,279.00%,8.13,-291.90%,-11.97%,-26.20%,-4.90%,-6.10%,,77.30%,1918.01,1897.83,0.04%,-59.82%,67.80%,0.68%,1.22%,1.9,1.50%,2.70%,-2.10%,1.3,1.0,0.27,0.27,42.70%,2.80%,2.30%,2.16%,9.02%,21.59%,36.14%,49.98%,18.29%,1.17,3.28,2.48%,2.47%,4.83%,11.94%,26.27%,-0.44%,25.36%,-0.44%,54.10%,66.76,1.33%,0.70%,2.2,12220.96,1.05,138.81,2.04%,12805160.0,1/28/2022 8:30:00 AM,141.05,6/24/1921,139.17,0.26%,63.0,93,1.3,135.92,133.36,124.95,110.25,92.61,139.44,13.0,3.78,56.333333333333336,True
2183,DVN,Devon Energy Corporation,Energy,Oil & Gas E&P,USA,35352.77,31.3,9.81,1.25,3.96,4.07,15.23,12.85,0.81%,19.80%,1.73,3855.60%,64.25%,26.40%,25.00%,-18.20%,535.60%,224.80%,671.0,640.84,0.50%,-3.31%,90.10%,-2.27%,2.69%,1.48,6.70%,16.70%,-31.00%,1.2,1.2,0.76,0.76,42.90%,16.00%,13.40%,2.35%,8.44%,30.92%,102.38%,188.17%,22.84%,2.91,2.45,3.98%,5.39%,6.19%,16.40%,57.14%,-2.40%,52.21%,-2.40%,208.06%,65.92,2.79%,0.80%,1.8,11672.31,1.02,54.11,3.62%,11932798.0,2/15/2022 4:30:00 PM,55.23,3/17/1992,54.25,0.26%,75.0,99,2.22,52.01,51.26,47.13,35.74,19.61,55.44,31.0,6.2,68.33333333333333,True
2432,EOG,"EOG Resources, Inc.",Energy,Oil & Gas E&P,USA,65915.88,22.57,10.95,0.31,4.25,3.12,15.35,13.06,2.57%,31.00%,5.17,-122.20%,23.49%,33.90%,73.84%,4.80%,,105.70%,585.09,583.05,0.30%,1.90%,87.80%,-0.53%,1.14%,1.48,8.30%,14.40%,-1.60%,2.1,2.0,0.23,0.24,60.80%,26.20%,19.40%,2.68%,13.60%,25.86%,75.68%,98.27%,31.43%,1.82,4.24,3.49%,4.02%,7.40%,20.14%,40.31%,0.19%,44.73%,0.19%,108.02%,71.54,2.66%,0.95%,2.0,4492.97,1.05,116.75,3.63%,4730204.0,2/25/2022 8:30:00 AM,116.55,10/4/1989,117.35,0.51%,69.0,97,1.59,112.83,109.8,98.69,85.34,60.46,116.89,18.0,3.3,61.333333333333336,True
2621,EXC,Exelon Corporation,Utilities,Utilities - Diversified,USA,41128.57,24.67,18.77,1.54,1.18,1.22,13.91,,3.63%,89.40%,1.71,-33.30%,-20.14%,-4.60%,16.00%,2.30%,139.40%,0.60%,979.0,975.59,0.10%,-25.87%,82.60%,0.35%,1.89%,1.79,1.30%,5.10%,3.40%,0.9,0.8,1.05,1.23,58.10%,6.80%,4.80%,-3.19%,5.52%,8.01%,22.20%,39.97%,2.29%,0.48,0.98,2.08%,2.49%,2.02%,5.28%,17.65%,-4.29%,14.21%,-4.29%,54.04%,57.32,0.02%,0.19%,2.1,10293.36,1.09,42.13,0.21%,11252857.0,,50.78,7/6/1943,42.13,0.00%,66.0,91,1.25,42.08,41.49,40.21,35.92,27.35,44.02,19.0,20.67,58.666666666666664,True
2632,EXPE,"Expedia Group, Inc.",Consumer Cyclical,Travel Services,USA,29930.37,,17.88,,4.13,14.35,6.94,9.73,,,-6.83,90.50%,39.68%,-24.40%,22.80%,-0.40%,162.10%,147.70%,153.58,144.81,0.40%,-38.18%,97.20%,-0.31%,5.03%,2.99,-1.20%,-18.00%,3.90%,0.9,0.9,3.75,4.11,80.50%,5.00%,-3.70%,3.67%,6.00%,5.23%,29.26%,31.13%,6.31%,1.58,8.28,5.19%,4.62%,5.42%,8.97%,15.17%,-4.86%,27.37%,-4.86%,40.47%,59.9,-7.99%,5.72%,2.5,2435.56,3.25,192.12,-2.73%,7909816.0,2/10/2022 4:30:00 PM,211.19,7/20/2005,192.58,0.24%,53.0,89,1.2,198.57,183.31,177.78,167.0,136.77,210.5,14.0,6.35,52.0,True
2662,FANG,"Diamondback Energy, Inc.",Energy,Oil & Gas E&P,USA,23628.5,70.35,7.65,1.15,4.26,2.14,51.7,8.22,1.48%,82.70%,1.93,269.40%,58.66%,-27.70%,61.03%,44.50%,150.50%,165.30%,181.03,180.27,0.20%,-9.97%,90.40%,1.73%,3.24%,2.06,2.10%,4.20%,-31.20%,0.7,0.7,0.6,0.6,79.40%,33.70%,8.00%,2.66%,8.83%,24.64%,79.23%,96.14%,25.70%,2.36,6.23,4.80%,5.22%,6.81%,15.66%,40.43%,-0.10%,42.68%,-0.10%,115.02%,63.94,3.41%,0.52%,1.9,2840.94,1.29,135.57,3.95%,3669007.0,2/22/2022 4:30:00 PM,143.73,10/12/2012,136.0,0.32%,72.0,98,1.68,129.84,127.54,118.33,97.03,63.05,136.55,23.0,10.7,64.33333333333333,True
2719,FCX,Freeport-McMoRan Inc.,Basic Materials,Copper,USA,64480.77,22.38,13.89,0.77,3.4,4.71,8.4,10.91,0.70%,7.70%,1.91,344.60%,-17.91%,15.30%,28.90%,-0.60%,321.30%,58.00%,1469.0,1458.24,0.40%,-5.55%,78.60%,0.75%,2.05%,1.6,6.40%,24.40%,5.90%,2.5,1.8,0.66,0.72,33.20%,32.30%,14.90%,11.40%,-5.05%,4.82%,12.52%,37.28%,2.73%,2.1,1.96,4.92%,4.72%,5.50%,6.75%,12.73%,-7.36%,22.50%,-7.36%,45.60%,58.38,0.47%,-2.98%,2.1,18678.34,1.26,42.8,-2.53%,23458794.0,1/26/2022 8:30:00 AM,44.55,7/10/1995,42.86,0.14%,66.0,86,1.15,42.59,40.42,40.38,38.07,29.45,46.2,16.0,4.61,56.0,True
2818,FITB,Fifth Third Bancorp,Financial,Banks - Regional,USA,33586.28,13.02,12.54,,6.45,1.66,0.88,,2.47%,31.20%,3.73,-45.10%,13.72%,-1.80%,-2.98%,6.70%,24.20%,-2.80%,697.46,681.88,0.20%,-6.22%,83.70%,-0.27%,1.57%,2.03,1.20%,12.00%,13.80%,,,0.56,0.56,,96.40%,47.40%,2.53%,-1.34%,9.57%,26.14%,49.31%,11.46%,1.38,1.44,2.40%,3.30%,3.27%,6.80%,16.03%,-4.15%,20.24%,-4.15%,52.40%,59.54,-0.31%,-0.88%,1.9,5263.73,1.1,48.54,-1.18%,5814987.0,1/20/2022 8:30:00 AM,51.68,3/17/1980,48.54,0.00%,72.0,93,1.29,48.44,46.85,45.68,41.91,32.61,50.64,20.0,6.69,61.666666666666664,True
2959,FOXA,Fox Corporation,Communication Services,Broadcasting,USA,23791.88,17.71,11.88,2.95,1.75,2.19,5.59,22.05,1.11%,19.00%,2.45,122.80%,24.62%,15.90%,6.00%,7.70%,-139.90%,8.70%,569.0,461.75,0.10%,0.00%,99.94%,0.77%,3.18%,4.09,6.30%,12.80%,12.40%,3.0,2.6,0.64,0.71,35.50%,18.60%,10.60%,6.66%,10.46%,5.47%,17.30%,33.17%,17.62%,,1.32,3.72%,3.50%,8.01%,13.21%,13.62%,-3.45%,26.16%,-3.45%,38.39%,68.53,-1.25%,-0.11%,2.4,3584.69,1.21,43.4,-1.36%,4354075.0,2/9/2022 8:30:00 AM,47.26,3/12/2019,43.49,0.21%,56.0,89,1.21,42.97,40.45,38.67,38.25,31.5,44.95,11.0,9.98,52.0,True
3475,HAL,Halliburton Company,Energy,Oil & Gas Equipment & Services,USA,29122.85,20.55,14.32,0.33,1.9,4.47,9.57,30.62,0.54%,11.00%,1.63,148.90%,32.88%,17.50%,62.70%,-0.80%,447.50%,32.10%,895.0,891.41,0.40%,-4.12%,79.70%,2.20%,1.71%,1.41,6.90%,25.40%,12.60%,2.3,1.8,1.37,1.38,13.20%,11.80%,9.50%,4.95%,22.16%,41.32%,66.52%,66.19%,46.57%,2.49,1.19,4.02%,4.24%,10.35%,27.60%,44.16%,0.09%,61.39%,0.09%,88.12%,75.21,3.11%,0.31%,2.2,10823.33,1.18,33.52,3.42%,12733164.0,1/24/2022 8:30:00 AM,32.14,9/15/1948,33.77,0.75%,63.0,95,1.4,32.31,30.83,26.72,23.38,17.82,33.63,5.0,-0.53,54.333333333333336,True
3547,HES,Hess Corporation,Energy,Oil & Gas E&P,USA,28618.54,53.24,17.01,,3.83,5.28,11.83,19.31,1.04%,,1.81,-641.90%,13.76%,0.90%,,-6.40%,146.60%,51.80%,308.1,278.25,0.30%,-30.50%,85.50%,-0.71%,2.63%,2.95,-0.80%,-2.90%,-16.80%,1.4,1.3,1.46,1.55,70.50%,10.40%,-2.20%,0.60%,5.04%,18.30%,37.55%,60.33%,29.95%,1.83,3.82,3.35%,4.43%,5.03%,15.25%,19.12%,-0.58%,40.81%,-0.58%,67.71%,64.45,2.81%,1.27%,2.2,2476.85,1.13,96.2,4.11%,2808926.0,1/26/2022 8:30:00 AM,111.5,5/24/1962,96.49,0.30%,63.0,95,1.37,94.55,92.01,84.29,80.96,60.39,96.76,9.0,17.93,55.666666666666664,True
4683,LNC,Lincoln National Corporation,Financial,Insurance - Life,USA,13443.26,9.88,7.01,0.28,0.7,0.65,5.14,,2.47%,22.30%,7.39,-44.70%,22.30%,-12.10%,35.73%,5.00%,-17.50%,-2.20%,187.28,164.63,0.60%,-25.20%,80.00%,-0.88%,2.23%,2.43,0.40%,6.60%,3.00%,,,0.3,0.31,,10.00%,7.30%,1.98%,0.33%,-0.44%,3.64%,39.39%,6.90%,2.0,2.82,3.05%,4.21%,3.15%,5.40%,7.01%,-4.49%,18.24%,-5.93%,42.94%,55.74,-1.62%,-0.30%,2.5,1510.34,1.19,72.97,-1.91%,1792305.0,2/2/2022 4:30:00 PM,81.85,8/20/1969,72.97,0.00%,53.0,88,1.18,71.84,70.63,69.53,68.27,52.99,77.57,19.0,13.93,53.333333333333336,True
4807,MAR,"Marriott International, Inc.",Consumer Cyclical,Lodging,USA,56891.11,120.14,32.41,,4.91,60.67,73.69,93.42,,0.00%,1.41,-121.60%,80.63%,-17.70%,,-6.10%,118.30%,75.10%,327.3,272.34,1.20%,-1.81%,61.00%,-0.83%,1.37%,1.72,1.90%,78.60%,2.60%,0.5,0.5,10.09,10.72,20.20%,7.10%,4.00%,4.39%,3.05%,8.29%,26.42%,31.20%,2.81%,1.72,5.6,3.66%,3.50%,5.03%,6.00%,13.94%,-3.76%,19.54%,-3.76%,35.87%,59.32,-3.01%,0.27%,2.5,2169.05,1.3,169.88,-2.75%,2819143.0,2/15/2022 8:30:00 AM,166.95,3/23/1998,169.77,-0.06%,53.0,88,1.18,171.83,162.46,161.23,149.31,127.23,177.23,12.0,-2.84,51.0,True
4858,MCK,McKesson Corporation,Healthcare,Medical Distribution,USA,40974.1,30.28,11.79,2.34,0.16,,14.88,10.2,0.69%,19.20%,8.96,-667.60%,-3.70%,-37.30%,12.96%,4.50%,99.90%,9.60%,151.6,146.83,0.05%,-63.30%,89.80%,-1.50%,1.20%,1.69,2.20%,-235.80%,-61.00%,1.0,0.6,,,5.20%,0.90%,0.50%,2.12%,6.50%,21.69%,36.67%,48.81%,9.10%,0.73,6.94,2.66%,2.60%,4.86%,10.17%,27.53%,-4.08%,25.98%,-4.08%,60.15%,65.79,-0.73%,-0.12%,1.9,1040.85,1.13,271.19,-0.86%,1175277.0,2/2/2022 4:30:00 PM,300.87,11/10/1994,270.9,-0.11%,72.0,94,1.33,270.02,260.11,248.26,213.47,169.34,282.73,15.0,11.43,60.333333333333336,True
5067,MOS,The Mosaic Company,Basic Materials,Agricultural Inputs,USA,17400.96,10.08,6.09,1.44,1.59,1.71,20.65,29.52,0.96%,5.30%,4.65,160.60%,48.14%,-9.50%,7.00%,-0.50%,,43.50%,379.8,376.71,0.65%,-93.39%,80.20%,-0.03%,1.51%,1.15,8.70%,18.00%,6.80%,1.3,0.7,0.38,0.38,22.40%,16.30%,16.30%,6.94%,11.83%,27.33%,39.66%,60.13%,19.29%,1.71,1.94,4.34%,4.85%,11.14%,18.56%,30.62%,-1.43%,39.54%,-1.43%,72.16%,71.17,2.31%,-0.24%,2.4,4942.27,1.94,46.87,2.07%,9587783.0,2/22/2022 4:30:00 PM,48.13,1/26/1988,47.12,0.53%,56.0,93,1.29,44.42,42.5,39.99,35.98,27.23,47.55,19.0,8.35,56.0,True
5080,MPC,Marathon Petroleum Corporation,Energy,Oil & Gas Refining & Marketing,USA,49086.66,38.94,15.54,1.29,0.41,1.82,3.71,33.05,2.86%,19.70%,2.08,-716.80%,5.73%,-39.20%,30.11%,-0.60%,156.30%,85.90%,633.0,590.89,0.20%,-5.78%,79.30%,-0.38%,3.09%,2.67,8.60%,30.40%,-18.20%,2.0,1.5,0.96,0.97,9.00%,0.40%,6.30%,3.84%,11.10%,23.02%,37.26%,60.90%,26.88%,1.94,2.27,2.56%,3.14%,8.75%,18.06%,29.68%,-0.15%,35.41%,-0.15%,66.85%,74.85,1.22%,0.59%,1.8,6837.87,0.95,81.19,1.82%,6516483.0,2/2/2022 8:30:00 AM,85.33,6/23/2011,81.38,0.23%,75.0,95,1.37,79.04,75.27,69.49,62.85,50.19,81.39,18.0,7.95,62.666666666666664,True
5104,MRO,Marathon Oil Corporation,Energy,Oil & Gas E&P,USA,16668.6,,10.2,,3.71,1.62,,12.18,1.08%,,-0.05,-409.20%,64.05%,6.10%,-2.40%,-8.60%,158.10%,92.00%,789.0,765.84,0.30%,-6.69%,76.70%,2.19%,3.18%,1.38,-0.20%,-0.40%,-7.70%,1.0,0.9,0.37,0.37,88.50%,3.80%,-0.90%,3.30%,18.71%,32.76%,83.55%,147.60%,35.26%,2.84,0.89,3.76%,4.71%,11.18%,24.74%,53.30%,0.82%,55.38%,0.82%,160.99%,72.47,2.92%,0.79%,2.2,17648.25,1.39,22.21,3.74%,24547402.0,2/16/2022 4:30:00 PM,21.55,11/26/1965,22.29,0.36%,63.0,99,1.98,21.22,20.25,18.06,14.59,9.11,22.28,20.0,1.56,60.666666666666664,True
5138,MTB,M&T Bank Corporation,Financial,Banks - Regional,USA,23564.1,14.02,12.56,2.76,5.85,1.49,0.57,15.71,2.63%,33.80%,13.01,-27.70%,29.24%,6.70%,5.08%,5.70%,34.20%,-0.80%,128.69,128.05,0.30%,-1.21%,87.50%,-0.40%,4.86%,5.03,1.10%,10.90%,17.60%,,,0.22,0.22,,95.70%,41.50%,1.53%,1.54%,14.50%,30.27%,28.17%,18.70%,0.97,5.5,2.24%,3.41%,4.26%,11.39%,19.60%,-2.49%,28.84%,-2.49%,41.91%,63.06,0.60%,-1.04%,2.5,1236.76,1.07,182.3,-0.44%,1319866.0,1/20/2022 8:30:00 AM,187.74,3/17/1980,182.3,0.00%,53.0,81,1.09,181.28,174.6,165.03,152.65,128.46,186.95,16.0,3.56,50.0,True
5331,NI,NiSource Inc.,Utilities,Utilities - Regulated Gas,USA,11192.24,25.61,19.83,7.28,2.38,2.37,290.71,15.65,3.06%,76.00%,1.12,-121.70%,6.93%,-18.40%,3.52%,0.10%,123.60%,6.30%,393.2,391.12,0.30%,-1.66%,97.70%,0.01%,4.10%,3.19,2.00%,9.20%,2.20%,0.7,0.4,1.92,2.02,73.90%,20.00%,9.50%,-2.01%,2.90%,14.63%,12.92%,27.65%,4.17%,0.3,0.61,1.85%,2.19%,1.13%,4.81%,11.96%,-4.74%,17.97%,-4.74%,36.24%,55.57,0.74%,0.18%,1.9,5013.53,1.14,28.76,0.91%,5717886.0,2/23/2022 8:30:00 AM,30.3,12/19/1962,28.76,0.00%,72.0,84,1.13,28.48,28.47,27.6,25.71,21.11,30.19,18.0,6.41,58.0,True
