no,ticker,company,sector,industry,country,market_cap,pe,forward_pe,peg,ps,pb,pcash,pfree_cash_flow,dividend_yield,payout_ratio,eps_ttm,eps_growth_this_year,eps_growth_next_year,eps_growth_past_5_years,eps_growth_next_5_years,sales_growth_past_5_years,eps_growth_quarter_over_quarter,sales_growth_quarter_over_quarter,shares_outstanding,shares_float,insider_ownership,insider_transactions,institutional_ownership,institutional_transactions,float_short,short_ratio,return_on_assets,return_on_equity,return_on_investment,current_ratio,quick_ratio,lt_debtequity,total_debtequity,gross_margin,operating_margin,profit_margin,performance_week,performance_month,performance_quarter,performance_half_year,performance_year,performance_ytd,beta,average_true_range,volatility_week,volatility_month,simple_moving_average_20day,simple_moving_average_50day,simple_moving_average_200day,high_50day,low_50day,high_52week,low_52week,relative_strength_index_14,change_from_open,gap,average_volume,relative_volume,price,change,volume,earnings_date,target_price,ipo_date,afterhours_close,afterhours_change,analyst_recom,rs_rating,returns_multiple,current_price,ma_20_day,ma_50_day,ma_200_day,low_52_week,high_52_week,sentiment_score,est_gl,my_score,in_sp500
2662,FANG,"Diamondback Energy, Inc.",Energy,Oil & Gas E&P,USA,22913.91,68.23,7.42,1.12,4.13,2.07,50.14,7.97,1.52%,82.70%,1.93,269.40%,58.66%,-27.70%,61.03%,44.50%,150.50%,165.30%,181.03,180.27,0.20%,-9.97%,90.40%,1.73%,3.24%,2.02,2.10%,4.20%,-31.20%,0.7,0.7,0.6,0.6,79.40%,33.70%,8.00%,-3.02%,7.84%,21.78%,92.83%,92.21%,21.90%,2.36,6.15,4.12%,5.11%,2.50%,10.02%,34.51%,-3.72%,38.36%,-3.72%,108.52%,56.93,2.71%,-1.30%,2898.8,0.98,131.47,1.37%,2854971,2/22/2022 4:30:00 PM,143.73,10/12/2012,131.5,0.02%,72.0,98,1.8,131.47,128.94,119.85,97.99,63.05,136.55,24.0,9.33,64.66666666666667,True
2818,FITB,Fifth Third Bancorp,Financial,Banks - Regional,USA,33371.78,12.93,12.46,,6.4,1.65,0.88,,2.49%,31.20%,3.73,-45.10%,13.72%,-1.80%,-2.98%,6.70%,24.20%,-2.80%,697.46,681.88,0.20%,-6.51%,83.70%,-0.27%,1.57%,1.99,1.20%,12.00%,13.80%,,,0.56,0.56,,96.40%,47.40%,-0.64%,3.45%,9.27%,28.20%,38.27%,10.75%,1.38,1.38,2.21%,2.99%,2.65%,4.85%,14.75%,-4.76%,19.47%,-4.76%,47.90%,54.73,0.12%,-0.04%,5380.0,1.13,48.23,0.08%,6053150,1/20/2022 8:30:00 AM,51.68,3/17/1980,48.23,0.00%,72.0,91,1.25,48.23,47.14,46.08,42.06,33.4,50.64,19.0,7.15,60.666666666666664,True
3547,HES,Hess Corporation,Energy,Oil & Gas E&P,USA,27925.39,51.95,16.6,,3.74,5.15,11.54,18.84,1.07%,,1.81,-641.90%,13.76%,0.90%,,-6.40%,146.60%,51.80%,308.1,278.25,0.30%,-33.74%,85.50%,-0.71%,2.63%,2.83,-0.80%,-2.90%,-16.80%,1.4,1.3,1.46,1.55,70.50%,10.40%,-2.20%,-2.42%,5.51%,16.26%,45.94%,43.51%,26.80%,1.83,3.67,3.22%,4.28%,1.50%,10.10%,15.62%,-2.99%,37.40%,-2.99%,55.44%,57.25,0.94%,-1.27%,2588.39,0.96,93.87,-0.35%,2484886,1/26/2022 8:30:00 AM,111.5,5/24/1962,94.05,0.19%,63.0,94,1.33,93.87,92.79,85.53,81.25,60.85,96.76,9.0,18.78,55.333333333333336,True
3576,HIG,"The Hartford Financial Services Group, Inc.",Financial,Insurance - Diversified,USA,24481.67,10.62,8.91,0.91,1.09,1.39,105.52,6.91,2.18%,22.60%,6.64,-16.20%,16.71%,11.10%,11.71%,5.00%,8.00%,10.00%,345.6,337.0,0.10%,-34.12%,94.20%,-0.02%,0.74%,1.37,2.80%,12.00%,8.80%,,,0.28,0.0,,12.60%,9.50%,-1.41%,-0.80%,0.04%,6.48%,38.21%,2.16%,1.02,1.88,2.45%,2.83%,-0.97%,0.38%,3.60%,-5.85%,8.29%,-9.77%,42.87%,47.41,0.33%,-0.45%,1812.09,0.72,70.53,-0.13%,1299488,2/3/2022 4:30:00 PM,82.5,12/15/1995,70.53,0.00%,66.0,92,1.27,70.53,71.28,70.3,68.1,49.47,78.17,14.0,16.97,57.333333333333336,True
4858,MCK,McKesson Corporation,Healthcare,Medical Distribution,USA,40916.68,30.24,11.77,2.33,0.16,,14.86,10.18,0.69%,19.20%,8.96,-667.60%,-3.70%,-37.30%,12.96%,4.50%,99.90%,9.60%,151.6,146.83,0.05%,-63.30%,89.80%,-1.50%,1.20%,1.67,2.20%,-235.80%,-61.00%,1.0,0.6,,,5.20%,0.90%,0.50%,-0.14%,7.53%,20.13%,35.13%,52.15%,8.95%,0.73,6.47,1.82%,2.54%,2.77%,7.73%,26.13%,-4.22%,23.53%,-4.22%,59.92%,60.76,-1.07%,0.15%,1053.22,0.89,270.81,-0.93%,935311,2/2/2022 4:30:00 PM,300.87,11/10/1994,270.12,-0.25%,72.0,95,1.37,270.81,264.73,252.27,215.14,169.34,282.73,14.0,11.1,60.333333333333336,True
5067,MOS,The Mosaic Company,Basic Materials,Agricultural Inputs,USA,16706.7,9.68,5.84,1.38,1.52,1.64,19.82,28.34,1.00%,5.30%,4.65,160.60%,48.14%,-9.50%,7.00%,-0.50%,,43.50%,379.8,376.71,0.65%,-93.39%,80.20%,-0.03%,1.51%,1.13,8.70%,18.00%,6.80%,1.3,0.7,0.38,0.38,22.40%,16.30%,16.30%,-3.99%,11.03%,22.22%,46.48%,51.52%,14.53%,1.71,1.97,4.27%,4.83%,4.42%,10.67%,24.48%,-5.36%,30.13%,-5.36%,65.29%,57.56,-1.53%,-0.70%,5064.97,0.95,45.0,-2.22%,4820211,2/22/2022 4:30:00 PM,48.13,1/26/1988,45.0,0.00%,56.0,95,1.39,45.0,43.38,40.84,36.2,27.89,47.55,20.0,6.96,57.0,True
5080,MPC,Marathon Petroleum Corporation,Energy,Oil & Gas Refining & Marketing,USA,46565.52,36.94,14.75,1.23,0.39,1.72,3.52,31.36,3.01%,19.70%,2.08,-716.80%,5.73%,-39.20%,30.11%,-0.60%,156.30%,85.90%,633.0,590.89,0.20%,-5.78%,79.30%,-0.38%,3.09%,2.64,8.60%,30.40%,-18.20%,2.0,1.5,0.96,0.97,9.00%,0.40%,6.30%,-5.14%,6.99%,22.84%,40.62%,40.42%,20.36%,1.94,2.26,2.73%,3.11%,1.40%,9.43%,21.96%,-5.36%,28.45%,-5.36%,53.46%,56.54,1.05%,-0.96%,6900.28,0.7,77.02,0.08%,4845186,2/2/2022 8:30:00 AM,85.33,6/23/2011,76.53,-0.64%,75.0,93,1.31,77.02,76.27,70.64,63.24,50.19,81.39,17.0,10.79,61.666666666666664,True
5138,MTB,M&T Bank Corporation,Financial,Banks - Regional,USA,23570.56,14.02,12.57,2.76,5.85,1.49,0.57,15.72,2.63%,33.80%,13.01,-27.70%,29.24%,6.70%,5.08%,5.70%,34.20%,-0.80%,128.69,128.05,0.30%,-1.21%,87.50%,-0.40%,4.86%,4.96,1.10%,10.90%,17.60%,,,0.22,0.22,,95.70%,41.50%,0.03%,9.62%,14.38%,34.38%,17.44%,18.73%,0.97,5.2,2.11%,2.89%,3.63%,9.16%,19.17%,-2.46%,28.88%,-2.46%,41.95%,59.16,0.42%,-0.59%,1254.59,1.19,182.35,-0.17%,1487933,1/20/2022 8:30:00 AM,187.74,3/17/1980,182.35,0.00%,53.0,81,1.09,182.35,177.07,167.65,153.12,128.46,186.95,18.0,2.96,50.666666666666664,True
5331,NI,NiSource Inc.,Utilities,Utilities - Regulated Gas,USA,11071.6,25.33,19.62,7.2,2.35,2.34,287.57,15.48,3.09%,76.00%,1.12,-121.70%,6.93%,-18.40%,3.52%,0.10%,123.60%,6.30%,393.2,391.12,0.30%,-1.66%,97.70%,0.01%,4.10%,3.14,2.00%,9.20%,2.20%,0.7,0.4,1.92,2.02,73.90%,20.00%,9.50%,-1.08%,2.19%,13.26%,10.66%,27.12%,3.04%,0.3,0.62,2.15%,2.32%,-0.28%,2.45%,10.47%,-5.76%,10.74%,-5.76%,34.77%,51.53,0.07%,-0.49%,5105.88,0.98,28.45,-0.42%,5024478,2/23/2022 8:30:00 AM,30.3,12/19/1962,28.45,0.00%,72.0,83,1.12,28.45,28.58,27.82,25.77,21.11,30.19,17.0,6.5,57.333333333333336,True
5358,NLOK,NortonLifeLock Inc.,Technology,Software - Infrastructure,USA,16547.33,17.87,14.74,1.44,6.01,,9.29,23.77,1.79%,32.00%,1.56,29.00%,9.15%,24.10%,12.40%,-6.70%,17.90%,9.90%,582.0,579.53,0.10%,-0.16%,98.25%,3.41%,4.60%,6.18,13.70%,-274.30%,23.60%,0.7,0.7,,,85.20%,41.00%,33.10%,-6.33%,6.43%,12.87%,8.62%,36.37%,7.66%,0.63,0.82,2.62%,3.16%,1.70%,5.38%,7.04%,-9.53%,17.13%,-9.53%,44.10%,52.27,-0.18%,-0.60%,4311.74,1.98,27.97,-0.78%,8555395,2/3/2022 4:30:00 PM,29.26,6/23/1989,28.01,0.14%,66.0,90,1.23,27.97,27.6,26.61,26.17,19.41,30.92,16.0,4.61,57.333333333333336,True
5751,OXY,Occidental Petroleum Corporation,Energy,Oil & Gas E&P,USA,34971.04,,11.1,,1.56,4.06,16.98,5.65,0.10%,,-0.79,155.00%,63.94%,-8.00%,37.40%,7.30%,115.80%,64.90%,935.4,932.01,0.21%,0.00%,71.00%,0.57%,3.75%,2.04,-1.40%,-12.90%,-23.10%,1.1,0.9,3.39,3.48,59.40%,7.40%,-5.00%,-7.96%,13.19%,29.11%,80.23%,49.45%,36.46%,2.12,1.89,4.01%,5.18%,1.61%,15.43%,31.37%,-8.33%,51.86%,-8.33%,82.98%,56.82,0.97%,-1.71%,17097.48,0.85,39.56,-0.75%,14449343,2/24/2022 4:30:00 PM,43.68,7/2/1962,39.62,0.15%,53.0,95,1.4,39.56,39.23,34.45,30.18,21.62,43.16,7.0,10.41,51.666666666666664,True
6248,PXD,Pioneer Natural Resources Company,Energy,Oil & Gas E&P,USA,54813.96,45.86,11.0,,3.83,2.46,75.61,15.84,0.99%,59.00%,5.09,-126.30%,64.94%,7.50%,,19.50%,889.30%,167.20%,244.0,242.59,0.40%,0.16%,86.50%,-0.01%,2.46%,2.64,4.30%,7.00%,1.50%,0.6,0.6,0.29,0.3,49.30%,28.50%,9.30%,1.08%,8.55%,32.06%,67.93%,70.16%,28.32%,1.66,8.35,4.03%,3.81%,6.01%,15.37%,35.78%,0.23%,39.77%,0.23%,80.12%,66.13,2.91%,-1.46%,2259.04,1.59,233.38,1.41%,3594495,2/16/2022 4:30:00 PM,238.85,12/22/1987,233.79,0.18%,72.0,97,1.57,233.38,221.47,203.26,174.16,131.81,237.56,26.0,2.34,65.0,True
6509,RJF,"Raymond James Financial, Inc.",Financial,Capital Markets,USA,23002.98,14.97,12.02,1.75,2.2,2.6,2.8,10.82,1.25%,13.90%,7.25,71.00%,20.07%,22.20%,8.54%,12.40%,40.70%,24.70%,206.3,185.58,0.40%,-7.02%,76.50%,-0.29%,1.61%,2.5,2.50%,19.00%,3.20%,,,0.34,4.33,96.20%,18.60%,14.70%,-2.48%,6.76%,10.86%,19.84%,36.21%,8.09%,1.11,3.29,2.30%,3.21%,0.92%,4.14%,14.17%,-7.54%,16.66%,-7.54%,42.96%,51.0,0.24%,-0.66%,1194.58,0.97,108.52,-0.42%,1154649,1/26/2022 4:30:00 PM,133.88,7/1/1983,108.52,0.00%,72.0,90,1.24,108.52,108.05,104.4,95.14,75.91,117.37,15.0,23.37,59.0,True
7676,TSN,"Tyson Foods, Inc.",Consumer Defensive,Farm Products,USA,33407.27,8.65,11.6,1.15,0.67,1.81,11.3,17.42,1.99%,16.80%,10.67,48.00%,-5.09%,13.00%,7.50%,5.00%,138.70%,23.60%,362.0,285.54,1.20%,-5.15%,87.00%,1.27%,1.19%,1.47,10.30%,21.60%,12.60%,1.7,0.9,0.45,0.51,15.30%,10.40%,7.50%,-5.84%,2.00%,11.76%,15.42%,34.98%,5.86%,0.78,2.4,2.26%,2.38%,-0.98%,2.49%,14.12%,-8.39%,11.83%,-8.39%,37.51%,48.34,-0.75%,-0.26%,2302.12,1.49,92.27,-1.01%,3438666,2/7/2022 8:30:00 AM,101.18,3/17/1980,92.27,0.00%,63.0,90,1.23,92.27,93.3,90.2,80.93,67.23,100.72,11.0,9.66,54.666666666666664,True
8064,VLO,Valero Energy Corporation,Energy,Oil & Gas Refining & Marketing,USA,34641.17,,11.9,,0.37,2.02,9.9,73.08,4.52%,,-1.09,-160.10%,4.88%,-19.50%,-13.80%,-5.90%,199.10%,86.70%,408.84,407.04,0.30%,-2.18%,79.00%,0.11%,3.13%,3.19,-2.50%,-7.60%,-2.10%,1.3,0.9,0.75,0.81,1.00%,-1.30%,-1.40%,-5.74%,6.52%,18.86%,44.05%,16.79%,15.46%,1.97,2.88,2.59%,3.72%,1.20%,8.76%,16.14%,-7.52%,33.15%,-7.52%,47.36%,54.82,0.72%,-1.08%,3991.63,0.67,86.72,-0.37%,2655160,1/27/2022 8:30:00 AM,94.95,11/1/1984,86.92,0.23%,72.0,81,1.09,86.72,86.06,80.05,74.7,58.85,93.77,23.0,9.49,58.666666666666664,True
8269,WFC,Wells Fargo & Company,Financial,Banks - Diversified,USA,224624.49,11.23,11.49,,5.66,1.34,0.45,,1.44%,11.50%,4.96,-89.80%,23.25%,-36.90%,,-0.60%,181.20%,-8.90%,4056.3,3948.38,0.10%,0.00%,73.50%,-0.13%,0.92%,1.21,0.70%,8.60%,8.70%,,,0.97,0.97,,95.70%,36.20%,-4.60%,1.15%,11.48%,17.31%,49.30%,15.94%,1.18,1.68,2.52%,2.93%,-0.88%,4.47%,14.29%,-7.74%,20.28%,-7.74%,54.83%,48.82,-1.17%,0.25%,29911.38,0.74,55.63,-0.93%,22130244,1/14/2022 8:30:00 AM,62.84,12/10/1962,55.51,-0.22%,63.0,93,1.32,55.63,56.22,53.37,48.72,35.93,60.3,24.0,12.96,60.0,True
8339,WRB,W. R. Berkley Corporation,Financial,Insurance - Property & Casualty,USA,16330.74,16.51,14.56,1.83,1.73,2.52,7.89,10.17,0.57%,9.80%,5.48,-20.20%,12.37%,1.70%,9.00%,2.30%,73.20%,18.80%,185.03,134.35,5.70%,-0.24%,71.60%,0.35%,1.00%,1.7,3.10%,14.30%,6.90%,,,0.49,0.49,,14.50%,9.80%,0.56%,8.61%,11.93%,19.99%,35.32%,9.81%,0.81,2.02,1.79%,2.45%,3.28%,7.27%,16.51%,-3.54%,16.21%,-3.54%,38.74%,60.85,1.11%,-0.31%,790.56,0.84,90.47,0.79%,663696,1/27/2022 4:30:00 PM,97.67,3/17/1980,90.47,0.00%,53.0,89,1.2,90.47,87.99,84.55,78.51,67.14,93.79,19.0,7.96,53.666666666666664,True
8542,ZION,"Zions Bancorporation, National Association",Financial,Banks - Regional,USA,11201.34,10.62,12.24,,4.9,1.55,0.86,64.75,2.15%,20.40%,6.66,-27.30%,15.75%,20.30%,,5.20%,42.60%,-2.10%,160.22,154.95,1.00%,-5.13%,84.80%,-1.32%,2.12%,2.32,1.30%,14.70%,20.80%,,,0.14,0.14,,,47.70%,-3.41%,10.10%,6.80%,31.28%,32.53%,11.97%,1.31,2.34,3.12%,3.45%,1.23%,5.71%,17.05%,-6.26%,21.55%,-6.26%,50.27%,52.16,-0.24%,-0.46%,1416.55,1.2,70.72,-0.70%,1701586,1/24/2022 4:30:00 PM,73.0,3/17/1980,70.72,0.00%,53.0,90,1.23,70.72,70.31,67.05,60.47,47.06,75.44,14.0,3.22,52.333333333333336,True
