"Ticker","Company","Sector","Industry","Market Cap","P/E","Dividend Yield","EPS growth past 5 years","Sales growth past 5 years","Shares Outstanding","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Operating Margin","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Beta","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","50-Day High","50-Day Low","52-Week High","52-Week Low","Relative Strength Index (14)","Analyst Recom","Price","Change","Volume","Target Price"
"AAL","American Airlines Group Inc.","Industrials","Airlines",12672.55,,,-29.60%,-15.80%,648.56,0.10%,0.00%,56.40%,4.18%,14.91%,-11.40%,-2.01%,0.36%,-2.21%,-20.34%,31.31%,23.40%,1.66,3.18%,-4.04%,-3.99%,-8.29%,-12.93%,3.24%,-25.41%,40.51%,42.22,3.10,19.46,-0.05%,21212217,19.03
"AAMC","Altisource Asset Management Corporation","Financial","Asset Management",40.53,0.52,,-41.60%,,2.05,1.60%,0.00%,24.50%,-8.71%,1.51%,,-23.32%,-28.28%,38.05%,11.03%,-16.86%,-19.68%,1.10,5.07%,-21.85%,-22.19%,-6.66%,-32.76%,-10.32%,-40.61%,51.03%,27.48,,18.94,-13.91%,48644,
"AAME","Atlantic American Corporation","Financial","Insurance - Life",81.29,6.36,0.50%,24.30%,3.30%,20.40,2.90%,0.00%,5.80%,-10.84%,3.72%,8.80%,-4.97%,-1.71%,8.68%,-6.52%,91.88%,94.67%,0.21,5.00%,-4.81%,-3.76%,-4.19%,-12.63%,11.26%,-74.89%,98.52%,42.85,,4.01,0.26%,4706,
"AAN","The Aaron's Company, Inc.","Industrials","Rental & Leasing Services",796.69,8.86,1.61%,-37.70%,-4.00%,32.48,1.30%,-12.99%,95.50%,-2.07%,2.14%,7.00%,-0.64%,2.81%,-7.57%,-31.03%,,31.43%,,4.18%,-1.85%,-7.13%,-11.29%,-21.36%,11.93%,-33.53%,53.83%,42.97,2.70,24.92,-0.95%,191218,34.43
"AAOI","Applied Optoelectronics, Inc.","Technology","Semiconductors",161.12,,,-43.50%,4.30%,27.10,7.60%,0.00%,49.80%,2.34%,17.73%,-26.90%,0.33%,-19.60%,-14.95%,-26.55%,-23.77%,-29.14%,1.69,5.12%,-9.34%,-13.29%,-23.70%,-31.94%,8.65%,-56.77%,8.65%,39.01,2.70,6.03,1.86%,334141,15.36
"AAON","AAON, Inc.","Industrials","Building Products & Equipment",4083.73,59.02,0.48%,12.10%,7.50%,52.42,0.20%,-24.16%,71.10%,-1.09%,3.14%,17.40%,3.18%,12.46%,16.83%,19.36%,17.86%,18.16%,0.58,2.41%,4.97%,11.29%,15.18%,-0.01%,22.16%,-3.10%,32.94%,74.32,3.00,78.73,0.41%,184640,67.00
"AAP","Advance Auto Parts, Inc.","Consumer Cyclical","Specialty Retail",14674.31,23.62,1.71%,2.20%,0.70%,62.85,0.20%,-4.77%,99.18%,-1.74%,5.64%,8.00%,0.35%,0.35%,11.76%,23.71%,55.76%,48.16%,1.26,2.22%,0.68%,5.17%,15.83%,-3.98%,16.50%,-3.98%,63.02%,55.44,2.20,233.37,-1.02%,358285,254.06
"AAPL","Apple Inc.","Technology","Consumer Electronics",2612501.95,28.88,0.54%,22.00%,11.10%,16487.12,0.07%,-20.62%,58.80%,-0.59%,0.61%,29.80%,5.51%,8.45%,9.76%,29.26%,40.61%,22.04%,1.22,1.80%,6.32%,9.52%,17.39%,-2.27%,17.12%,-2.27%,43.83%,76.57,1.90,161.94,0.33%,69323691,168.45
"AAQC","Accelerate Acquisition Corp.","Financial","Shell Companies",389.60,,,,,40.00,,,,,,,-0.20%,0.00%,1.19%,0.93%,,-0.41%,,0.48%,-0.40%,-0.06%,0.36%,-1.81%,0.93%,-2.21%,1.47%,45.46,,9.74,0.10%,86883,
"AAT","American Assets Trust, Inc.","Real Estate","REIT - Diversified",2310.76,98.70,3.15%,-11.70%,4.60%,59.99,0.40%,,98.50%,0.45%,1.35%,24.30%,-0.44%,-3.32%,0.03%,5.83%,21.41%,31.93%,1.22,2.27%,-1.20%,-1.38%,4.54%,-6.69%,4.61%,-6.69%,40.33%,45.46,2.60,38.10,0.26%,85053,40.30
"AATC","Autoscope Technologies Corporation","Technology","Scientific & Technical Instruments",38.32,13.00,6.90%,21.20%,-2.80%,5.34,13.60%,0.00%,29.00%,1.27%,0.82%,18.10%,-0.94%,2.27%,-8.50%,-16.52%,53.17%,54.88%,1.10,2.29%,0.70%,-2.83%,6.81%,-16.11%,3.02%,-39.95%,71.12%,49.18,,6.95,1.52%,8077,
"AAU","Almaden Minerals Ltd.","Basic Materials","Gold",46.51,,,-11.30%,,137.22,7.20%,0.00%,5.00%,-0.53%,0.58%,,-11.45%,-12.70%,-14.79%,-39.25%,-65.52%,-28.27%,0.97,4.81%,-12.20%,-13.12%,-32.49%,-23.02%,3.86%,-71.96%,3.86%,31.10,,0.34,-1.03%,668143,1.10
"AAWW","Atlas Air Worldwide Holdings, Inc.","Industrials","Airports & Air Services",2735.93,5.52,,115.40%,12.00%,29.02,0.20%,-14.66%,,1.26%,12.59%,16.90%,6.31%,15.02%,28.63%,24.61%,67.10%,72.68%,1.14,3.30%,8.87%,14.04%,32.32%,-0.86%,31.70%,-0.86%,87.53%,71.73,2.00,94.18,-0.77%,240415,105.57
"AAXJ","iShares MSCI All Country Asia ex Japan ETF","Financial","Exchange Traded Fund",,,1.02%,,,,,,,,,,-1.81%,-2.27%,-0.42%,-8.42%,-1.21%,-4.10%,,0.81%,-0.99%,-0.54%,-5.52%,-3.34%,3.96%,-16.11%,3.96%,43.45,,85.94,-0.09%,1571901,
"AB","AllianceBernstein Holding L.P.","Financial","Asset Management",5625.65,15.73,6.09%,9.30%,8.00%,99.41,0.20%,0.00%,13.70%,-2.96%,1.21%,100.00%,0.58%,0.02%,9.40%,23.26%,72.75%,64.47%,1.43,1.95%,-0.37%,4.42%,19.46%,-3.48%,18.50%,-3.48%,78.13%,54.97,2.20,55.54,1.11%,187214,56.00
"ABB","ABB Ltd","Industrials","Specialty Industrial Machinery",71852.66,34.72,2.47%,-30.70%,-5.90%,2001.00,,,6.10%,1.75%,0.10%,11.10%,-1.35%,6.74%,-5.89%,2.96%,31.08%,25.79%,1.07,0.88%,1.49%,2.57%,3.74%,-4.30%,8.48%,-7.52%,33.70%,55.08,2.20,35.17,-1.10%,1349438,37.66
"ABBV","AbbVie Inc.","Healthcare","Drug Manufacturers - General",211274.14,28.25,4.38%,-2.80%,14.90%,1770.00,0.12%,-7.36%,68.40%,-0.38%,0.77%,30.10%,1.12%,8.38%,-1.45%,5.64%,14.14%,10.74%,0.79,1.54%,2.45%,6.52%,5.90%,-0.56%,12.41%,-2.36%,16.85%,65.80,2.00,118.66,-0.19%,5752815,128.32
"ABC","AmerisourceBergen Corporation","Healthcare","Medical Distribution",26493.93,16.71,1.43%,8.70%,6.90%,206.16,0.20%,-39.76%,65.50%,-0.79%,1.00%,-2.10%,-0.99%,0.39%,5.68%,7.33%,19.73%,26.27%,0.47,2.12%,-0.57%,0.89%,4.53%,-4.71%,7.58%,-4.71%,30.09%,50.20,2.30,123.44,-0.18%,574384,144.08
"ABCB","Ameris Bancorp","Financial","Banks - Regional",3769.22,9.54,1.13%,24.30%,30.70%,69.44,1.30%,0.27%,92.60%,1.06%,2.82%,96.80%,1.35%,-1.90%,9.85%,-3.43%,48.52%,39.74%,1.29,2.60%,-0.82%,1.54%,3.19%,-6.07%,17.99%,-11.11%,57.12%,50.00,1.90,53.20,-0.47%,350403,59.43
"ABCL","AbCellera Biologics Inc.","Healthcare","Biotechnology",3939.95,20.20,,,,278.93,20.70%,-21.99%,43.60%,6.87%,5.37%,63.90%,-2.56%,-7.32%,-16.87%,-46.81%,,-64.12%,,6.61%,-7.78%,-14.35%,-38.66%,-36.20%,9.56%,-79.92%,9.56%,43.04,1.60,14.44,3.44%,759852,41.50
"ABCM","Abcam plc","Healthcare","Biotechnology",5174.55,230.82,,,,219.60,,,10.30%,-2.09%,0.08%,3.50%,-2.54%,-0.70%,8.28%,12.76%,20.06%,4.97%,,1.75%,-1.28%,3.66%,9.47%,-3.33%,14.94%,-8.38%,31.97%,51.31,2.00,22.62,1.43%,287422,23.00
"ABEO","Abeona Therapeutics Inc.","Healthcare","Biotechnology",79.89,,,-11.50%,57.30%,97.99,2.50%,-5.70%,25.90%,-7.65%,3.09%,,-10.94%,-13.78%,-41.32%,-54.12%,-45.54%,-51.78%,1.39,7.82%,-12.85%,-21.52%,-49.25%,-40.39%,3.70%,-80.03%,3.70%,33.08,1.70,0.76,1.47%,233201,5.00
"ABEQ","Absolute Core Strategy ETF","Financial","Exchange Traded Fund",,,0.50%,,,,,,,,,,-1.12%,-0.21%,0.77%,-1.07%,13.60%,9.78%,,0.33%,-0.32%,1.18%,2.15%,-2.06%,4.81%,-3.01%,14.20%,49.56,,27.93,-0.24%,828,
"ABEV","Ambev S.A.","Consumer Defensive","Beverages - Brewers",47682.81,18.48,0.33%,39.83%,,15736.90,,,9.82%,,0.96%,,-3.19%,12.22%,-5.61%,-10.09%,11.86%,-0.98%,,2.72%,-1.69%,4.15%,-1.21%,-7.34%,21.20%,-23.29%,27.25%,50.34,3.20,3.03,-0.66%,18644408,3.51
"ABG","Asbury Automotive Group, Inc.","Consumer Cyclical","Auto & Truck Dealerships",3938.56,6.61,,15.50%,1.60%,19.30,0.10%,0.00%,89.90%,-0.16%,8.90%,7.50%,-1.40%,-21.47%,-11.55%,-17.79%,29.54%,12.51%,1.49,4.00%,-10.02%,-15.60%,-13.30%,-29.01%,1.95%,-29.01%,45.42%,31.80,2.30,163.97,-1.60%,367656,249.25
"ABGI","ABG Acquisition Corp. I","Financial","Shell Companies",188.66,,,,,19.33,3.22%,0.00%,78.70%,-7.92%,0.03%,,-0.51%,0.36%,0.51%,-1.71%,,-5.51%,,0.34%,-0.05%,0.44%,-1.01%,-0.51%,1.66%,-8.61%,1.66%,50.45,,9.77,-0.10%,162,
"ABIO","ARCA biopharma, Inc.","Healthcare","Biotechnology",33.69,,,42.50%,,14.41,0.39%,,10.60%,29.21%,2.04%,,-1.63%,-10.41%,-21.75%,-29.94%,-40.35%,-39.90%,2.48,5.27%,-4.31%,-11.45%,-27.75%,-22.51%,11.06%,-56.18%,11.06%,42.60,,2.41,4.78%,582423,
"ABM","ABM Industries Incorporated","Industrials","Specialty Business Services",3214.67,22.63,1.57%,-68.40%,4.10%,67.50,1.00%,-1.32%,97.40%,2.26%,2.53%,3.70%,1.24%,10.05%,-1.59%,-3.44%,17.47%,27.62%,1.35,2.03%,2.81%,4.92%,1.39%,-1.73%,12.46%,-12.96%,32.99%,57.72,2.00,48.29,-1.11%,164761,62.00
"ABMD","Abiomed, Inc.","Healthcare","Medical Devices",15379.12,103.87,,42.20%,20.80%,45.44,1.40%,-15.36%,92.30%,-1.76%,1.84%,14.90%,-1.67%,-3.02%,-5.78%,18.17%,27.14%,4.19%,1.26,4.09%,-3.41%,-2.17%,3.92%,-10.95%,8.50%,-12.81%,32.77%,44.30,2.40,337.78,2.93%,124672,387.33
"ABNB","Airbnb, Inc.","Communication Services","Internet Content & Information",117182.14,,,,29.70%,621.01,4.00%,-22.23%,58.90%,12.46%,4.34%,-58.70%,-9.65%,5.11%,17.78%,25.65%,,22.54%,,4.43%,-4.60%,1.57%,8.21%,-15.38%,12.82%,-18.21%,48.06%,45.43,2.30,179.89,0.91%,4740441,197.09
"ABOS","Acumen Pharmaceuticals, Inc.","Healthcare","Biotechnology",380.07,,,,,42.23,0.50%,,85.30%,,1.86%,,-16.43%,-40.91%,-48.42%,,,-55.22%,,8.38%,-29.83%,-35.67%,-41.85%,-49.18%,0.90%,-66.64%,0.90%,20.47,2.00,9.00,0.00%,69216,24.00
"ABR","Arbor Realty Trust, Inc.","Real Estate","REIT - Mortgage",2644.20,8.62,7.57%,6.50%,33.50%,142.62,1.00%,0.29%,43.80%,-3.45%,4.95%,48.70%,-1.28%,-6.89%,3.01%,1.87%,34.35%,30.47%,1.84,1.74%,-4.56%,-3.08%,3.79%,-10.80%,4.52%,-10.80%,40.47%,39.04,2.20,18.50,0.60%,717051,21.62
"ABSI","Absci Corporation","Healthcare","Biotechnology",1042.62,,,,,73.29,8.40%,182.70%,38.50%,,5.54%,,-8.91%,-12.94%,-47.89%,,,-47.94%,,10.89%,-17.98%,-8.44%,-31.55%,-37.97%,16.84%,-64.35%,16.84%,42.31,2.60,11.24,4.56%,128264,26.25
"ABST","Absolute Software Corporation","Technology","Software - Application",590.29,,2.88%,-20.80%,6.30%,49.67,0.42%,0.00%,84.10%,,0.53%,-2.50%,-7.38%,-19.38%,-21.55%,-35.78%,-9.25%,-24.18%,0.72,3.53%,-14.39%,-17.75%,-31.47%,-24.37%,1.57%,-57.41%,1.57%,20.72,,9.03,-0.77%,255419,
"ABT","Abbott Laboratories","Healthcare","Medical Devices",222554.56,30.82,1.44%,7.80%,11.10%,1774.52,0.20%,-7.27%,75.50%,-0.08%,0.64%,20.10%,-2.76%,-2.39%,-0.32%,8.11%,16.23%,14.23%,0.68,1.56%,-2.02%,1.03%,3.63%,-4.97%,9.33%,-4.97%,18.75%,46.69,1.90,125.07,0.47%,3707686,138.61
"ABTX","Allegiance Bancshares, Inc.","Financial","Banks - Regional",907.00,12.01,1.07%,9.20%,22.20%,20.22,6.66%,0.00%,51.60%,-0.03%,1.55%,89.20%,0.99%,11.20%,21.12%,10.10%,34.50%,30.91%,1.01,3.24%,6.69%,12.86%,14.42%,-2.06%,29.28%,-2.06%,42.07%,68.28,3.00,44.68,-1.43%,63599,46.25
"ABUS","Arbutus Biopharma Corporation","Healthcare","Biotechnology",431.51,,,6.20%,-21.60%,101.29,28.70%,0.00%,26.30%,20.29%,3.00%,,-3.04%,-21.62%,-1.85%,11.93%,-11.14%,-10.14%,2.58,4.87%,-10.86%,-19.56%,-7.00%,-32.70%,5.63%,-45.66%,31.28%,27.89,2.40,3.19,2.24%,720179,6.00
"ABVC","ABVC BioPharma, Inc.","Healthcare","Biotechnology",92.59,,,13.40%,,26.88,0.10%,0.00%,0.80%,,1.42%,,-6.23%,26.91%,10.10%,-42.55%,-21.00%,-38.04%,0.43,15.63%,-10.24%,9.60%,-22.06%,-72.97%,49.76%,-89.45%,62.05%,48.34,,3.16,0.00%,172126,9.50
"AC","Associated Capital Group, Inc.","Financial","Capital Markets",938.53,9.30,0.47%,187.70%,-3.60%,22.08,0.50%,0.09%,72.80%,-0.03%,0.75%,,-1.77%,15.27%,16.48%,16.22%,9.84%,20.16%,1.24,3.99%,7.71%,11.10%,14.24%,-5.53%,22.35%,-5.53%,39.69%,67.07,,42.20,1.69%,6028,
"ACA","Arcosa, Inc.","Industrials","Infrastructure Operations",2724.72,39.31,0.35%,-4.70%,-2.00%,48.20,0.30%,-20.58%,93.50%,0.84%,2.42%,5.50%,1.20%,8.55%,11.93%,-10.17%,2.20%,4.19%,,3.26%,3.63%,8.47%,0.13%,-2.93%,18.56%,-16.40%,18.78%,60.19,1.70,57.23,-1.07%,85120,66.43
"ACAD","ACADIA Pharmaceuticals Inc.","Healthcare","Biotechnology",3146.60,,,-1.80%,491.50%,160.66,0.20%,-2.18%,91.30%,-2.51%,4.89%,-40.70%,1.54%,12.64%,18.59%,-10.25%,-63.85%,-63.00%,0.59,5.32%,0.63%,8.66%,-15.83%,-9.60%,25.99%,-65.58%,26.15%,53.83,2.60,19.78,1.49%,676954,24.95
"ACAHU","Atlantic Coastal Acquisition Corp.","Financial","Shell Companies",,,,,,,,,48.47%,,0.00%,,0.80%,1.50%,1.01%,1.21%,,1.01%,,0.20%,1.18%,1.32%,1.15%,0.60%,1.82%,-0.40%,2.55%,66.23,,10.05,1.52%,198105,
"ACB","Aurora Cannabis Inc.","Healthcare","Drug Manufacturers - Specialty & Generic",1683.81,,,-50.40%,179.40%,198.07,0.14%,0.00%,20.03%,,18.58%,,-14.07%,-3.56%,-3.14%,-24.41%,-26.54%,-18.41%,3.10,7.10%,-6.06%,-3.38%,-18.15%,-21.98%,15.90%,-64.28%,15.90%,44.57,,6.78,2.26%,4636200,
"ACBI","Atlantic Capital Bancshares, Inc.","Financial","Banks - Regional",601.59,12.47,,70.00%,15.10%,20.31,1.60%,-6.22%,86.80%,0.19%,2.43%,99.40%,-0.68%,6.80%,21.42%,3.97%,79.24%,84.42%,0.82,2.93%,1.23%,7.45%,15.47%,-2.68%,32.61%,-2.68%,110.16%,58.14,2.20,29.36,-0.37%,68710,28.00
"ACC","American Campus Communities, Inc.","Real Estate","REIT - Residential",7513.50,433.55,3.50%,-12.80%,2.90%,139.07,0.10%,-22.69%,96.30%,1.90%,1.91%,14.90%,0.81%,2.01%,7.84%,16.21%,30.74%,25.70%,1.00,1.74%,-0.21%,3.82%,12.12%,-2.52%,11.95%,-2.52%,35.25%,54.43,2.10,53.76,1.17%,215935,58.38
"ACCD","Accolade, Inc.","Healthcare","Health Information Services",1965.53,,,,,64.40,1.00%,0.00%,73.10%,6.69%,6.33%,-62.40%,-13.41%,-27.89%,-35.95%,-44.35%,-43.53%,-34.67%,,4.32%,-21.85%,-27.62%,-37.61%,-40.49%,5.61%,-56.44%,5.61%,19.11,1.50,28.42,1.57%,578984,56.36
"ACCO","ACCO Brands Corporation","Industrials","Business Equipment & Supplies",850.22,11.01,2.94%,-3.70%,1.80%,95.60,3.16%,0.04%,90.60%,0.41%,2.83%,6.80%,1.37%,-0.90%,-1.12%,-2.10%,5.73%,4.73%,2.15,3.32%,0.45%,-0.11%,0.57%,-6.84%,7.53%,-9.42%,16.14%,50.06,1.60,8.85,1.49%,276700,13.40
"ACEL","Accel Entertainment, Inc.","Consumer Cyclical","Gambling",1260.47,54.23,,,,93.62,5.30%,-9.35%,65.50%,0.37%,3.17%,-2.80%,4.56%,8.46%,11.61%,0.38%,16.18%,29.41%,1.20,4.12%,1.82%,5.18%,9.76%,-7.27%,19.03%,-7.27%,48.19%,56.21,2.40,13.07,-0.23%,130353,16.50
"ACER","Acer Therapeutics Inc.","Healthcare","Biotechnology",32.07,,,37.30%,,14.31,15.34%,0.00%,29.40%,-0.88%,2.61%,,-4.24%,-5.44%,-12.06%,-23.65%,-14.72%,-13.74%,1.16,4.97%,-5.35%,-8.09%,-18.44%,-25.66%,4.90%,-58.07%,4.90%,41.33,2.70,2.26,3.20%,87556,10.00
"ACES","ALPS Clean Energy ETF","Financial","Exchange Traded Fund",,,0.55%,,,,,,,,,,-2.48%,4.81%,10.61%,10.77%,10.31%,-3.98%,,2.71%,-2.85%,5.63%,5.08%,-6.02%,22.02%,-24.34%,26.06%,49.98,,76.96,0.42%,47479,
"ACET","Adicet Bio, Inc.","Healthcare","Biotechnology",317.47,,,,,31.88,1.80%,-5.96%,62.60%,-6.01%,1.50%,,4.90%,20.12%,27.92%,-24.92%,-22.20%,-29.89%,2.36,4.94%,6.55%,18.18%,-8.45%,-0.30%,45.93%,-44.66%,57.60%,67.43,1.40,9.85,3.58%,126558,28.29
"ACEV","ACE Convergence Acquisition Corp.","Financial","Shell Companies",286.66,473.81,,,,28.75,,,70.40%,47.74%,2.47%,,0.00%,0.10%,0.81%,-0.20%,1.74%,-2.64%,,0.31%,-0.04%,0.15%,-1.71%,-0.50%,0.61%,-26.30%,2.58%,51.54,,9.95,0.20%,93873,
"ACEVU","ACE Convergence Acquisition Corp.","Financial","Shell Companies",,,,,,,,,1.25%,,0.00%,,1.85%,3.62%,4.63%,-6.57%,7.13%,-1.33%,,1.22%,2.26%,4.16%,-3.15%,-2.05%,6.07%,-28.37%,8.29%,64.46,,10.74,2.33%,50,
"ACGL","Arch Capital Group Ltd.","Financial","Insurance - Diversified",16751.86,8.84,,19.50%,16.30%,389.27,0.20%,96.89%,99.43%,-2.59%,0.82%,21.40%,3.89%,1.48%,5.80%,10.36%,26.74%,21.40%,0.90,2.19%,3.23%,6.23%,10.80%,-0.11%,16.98%,-0.11%,40.22%,61.53,1.90,43.79,0.11%,1330407,49.82
"ACGLN","Arch Capital Group Ltd.","Financial","Insurance - Diversified",,,,,,,,,,,0.01%,,-0.85%,-1.92%,-1.81%,,,2.20%,,0.69%,-1.14%,-1.60%,-1.32%,-4.52%,0.24%,-4.52%,2.28%,34.96,,25.55,-0.16%,40157,49.82
"ACH","Aluminum Corporation of China Limited","Basic Materials","Aluminum",12605.46,16.01,,25.50%,8.50%,680.91,,,1.70%,-0.07%,0.01%,5.00%,1.08%,-22.14%,-19.85%,-9.86%,41.56%,50.69%,1.74,2.92%,-5.65%,-22.19%,-10.73%,-41.48%,2.51%,-45.27%,72.79%,33.77,,13.08,0.23%,92960,14.51
"ACHC","Acadia Healthcare Company, Inc.","Healthcare","Medical Care Facilities",5748.93,28.72,,-0.60%,3.10%,88.96,0.10%,-39.01%,,-0.27%,3.13%,,-6.07%,9.49%,-4.68%,-3.91%,39.78%,21.87%,1.40,2.53%,-2.54%,-0.14%,0.05%,-8.32%,12.57%,-10.78%,46.95%,45.17,2.20,61.25,0.64%,252846,75.14
"ACHL","Achilles Therapeutics plc","Healthcare","Biotechnology",226.44,,,,,40.62,,,47.80%,-5.71%,2.68%,,-7.32%,-20.88%,-18.65%,-58.81%,,-68.64%,,8.34%,-15.97%,-22.79%,-44.47%,-42.33%,13.69%,-72.61%,13.69%,34.60,1.80,5.19,1.96%,112485,20.00
"ACHR","Archer Aviation Inc.","Industrials","Aerospace & Defense",1424.03,,,,,236.89,18.30%,2.15%,28.70%,25.29%,20.76%,,-2.47%,-6.32%,-40.70%,-40.04%,,-41.05%,,7.00%,-1.67%,-18.37%,-38.40%,-40.94%,14.04%,-68.12%,14.04%,40.22,2.50,5.93,2.24%,1630909,12.50
"ACHV","Achieve Life Sciences, Inc.","Healthcare","Biotechnology",69.49,,,,,9.45,0.10%,182.37%,25.50%,-5.28%,4.57%,,-4.59%,-8.00%,-2.35%,-5.79%,-16.24%,-7.65%,1.26,4.93%,-8.54%,-10.02%,-19.07%,-25.87%,3.17%,-53.54%,12.82%,37.57,1.60,7.48,2.61%,18812,31.50
"ACI","Albertsons Companies, Inc.","Consumer Defensive","Grocery Stores",16732.68,27.91,1.15%,23.00%,3.50%,465.30,0.50%,0.21%,58.60%,-1.37%,5.57%,1.80%,2.11%,15.10%,24.26%,83.51%,119.06%,98.12%,,3.88%,3.53%,11.46%,47.61%,-4.63%,30.45%,-4.63%,136.94%,58.47,2.30,34.83,-1.22%,484957,32.56
"ACII","Atlas Crest Investment Corp. II","Financial","Shell Companies",421.38,,,,,43.12,,,69.40%,10.78%,1.06%,,0.21%,-0.20%,0.93%,0.10%,,-2.30%,,0.24%,0.04%,0.12%,-0.09%,-0.41%,1.03%,-5.79%,3.28%,52.17,,9.77,0.10%,5946,
"ACIO","Aptus Collared Income Opportunity ETF","Financial","Exchange Traded Fund",,,0.75%,,,,,,,,,,0.24%,1.36%,3.82%,7.55%,17.23%,15.20%,,0.66%,0.53%,3.02%,6.86%,-2.02%,8.06%,-2.02%,19.32%,63.25,,32.05,0.06%,13321,
"ACIU","AC Immune SA","Healthcare","Biotechnology",383.70,,,-33.80%,-17.00%,72.89,60.54%,0.00%,26.70%,0.96%,4.15%,,-5.14%,-14.13%,-23.57%,-16.28%,1.71%,3.48%,0.79,7.64%,-15.52%,-17.02%,-23.90%,-34.28%,3.68%,-57.57%,11.23%,31.78,1.30,5.35,0.56%,312028,15.17
