no,ticker,company,sector,industry,country,market_cap,pe,forward_pe,peg,ps,pb,pcash,pfree_cash_flow,dividend_yield,payout_ratio,eps_ttm,eps_growth_this_year,eps_growth_next_year,eps_growth_past_5_years,eps_growth_next_5_years,sales_growth_past_5_years,eps_growth_quarter_over_quarter,sales_growth_quarter_over_quarter,shares_outstanding,shares_float,insider_ownership,insider_transactions,institutional_ownership,institutional_transactions,float_short,short_ratio,return_on_assets,return_on_equity,return_on_investment,current_ratio,quick_ratio,lt_debtequity,total_debtequity,gross_margin,operating_margin,profit_margin,performance_week,performance_month,performance_quarter,performance_half_year,performance_year,performance_ytd,beta,average_true_range,volatility_week,volatility_month,simple_moving_average_20day,simple_moving_average_50day,simple_moving_average_200day,high_50day,low_50day,high_52week,low_52week,relative_strength_index_14,change_from_open,gap,average_volume,relative_volume,price,change,volume,earnings_date,target_price,ipo_date,afterhours_close,afterhours_change,analyst_recom,rs_rating,returns_multiple,current_price,ma_20_day,ma_50_day,ma_200_day,low_52_week,high_52_week,sentiment_score,est_gl,my_score,in_russell_3k
788,BCOR,"Blucora, Inc.",Financial,Asset Management,USA,935.08,129.66,7.37,8.64,1.06,2.72,6.94,143.86,,0.00%,0.15,102.20%,14.38%,39.00%,15.00%,14.20%,54.00%,14.90%,48.84,47.33,1.90%,8.50%,96.10%,3.53%,2.94%,3.48,0.70%,2.20%,4.40%,1.8,1.8,1.62,1.62,45.80%,3.50%,0.90%,-4.22%,16.08%,17.44%,16.93%,13.05%,10.05%,1.58,0.78,3.17%,4.37%,1.30%,8.20%,12.71%,-7.48%,26.23%,-7.48%,34.13%,55.31,-3.00%,-0.46%,399.38,1.07,19.06,-3.44%,428346,2/16/2022 8:30:00 AM,23.67,12/15/1998,19.06,0.00%,69.0,80,1.06,19.74,18.82,17.61,16.91,14.21,20.6,15.0,19.91,54.666666666666664,True
791,BCRX,"BioCryst Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,3281.39,,,,20.87,,6.46,,,,-1.03,6.00%,18.00%,-6.60%,22.40%,42.90%,71.40%,571.80%,181.87,165.52,1.20%,-14.14%,65.50%,14.57%,15.60%,6.81,-52.00%,169.20%,-25.90%,5.5,5.3,,,95.40%,-77.50%,,4.52%,16.12%,51.75%,10.86%,56.47%,25.34%,2.36,0.95,5.11%,5.70%,-0.08%,11.49%,15.78%,-13.16%,50.24%,-13.16%,88.08%,55.15,7.49%,0.31%,3790.13,0.97,17.36,7.83%,3667178,2/23/2022 8:30:00 AM,22.36,3/4/1994,17.5,0.81%,66.0,90,1.21,16.1,17.37,15.57,14.99,9.23,19.99,11.0,38.88,55.666666666666664,True
1035,BOX,"Box, Inc.",Technology,Software - Infrastructure,USA,3812.18,,18.51,,4.36,,5.38,16.22,,,-0.35,71.50%,26.64%,30.10%,8.00%,20.60%,-257.40%,14.30%,151.43,144.25,1.60%,-13.83%,86.60%,-0.59%,6.00%,5.46,-2.70%,99.30%,-112.90%,1.6,1.6,,,71.50%,-2.60%,-4.30%,3.44%,3.44%,2.71%,1.73%,40.38%,1.15%,1.25,0.98,4.40%,3.57%,1.21%,1.93%,5.01%,-5.83%,12.72%,-5.83%,50.26%,53.59,-2.65%,-0.55%,1586.52,1.48,26.49,-3.18%,2343273,3/2/2022 4:30:00 PM,32.38,1/23/2015,26.02,-1.77%,56.0,88,1.17,27.36,26.17,25.99,25.23,19.1,28.13,14.0,18.35,52.666666666666664,True
1073,BRO,"Brown & Brown, Inc.",Financial,Insurance Brokers,USA,18609.31,32.01,25.94,2.42,6.1,4.37,20.68,23.55,0.62%,18.30%,2.07,22.70%,9.10%,17.90%,13.22%,11.60%,4.90%,15.00%,276.58,233.61,2.20%,0.06%,75.70%,2.30%,2.38%,3.37,6.10%,14.30%,10.30%,1.2,1.2,0.47,0.48,,26.80%,18.80%,-2.04%,-0.62%,1.56%,12.37%,42.89%,-5.76%,0.74,1.88,2.35%,2.58%,-1.33%,-1.30%,9.59%,-6.39%,8.04%,-6.39%,48.70%,47.5,-2.34%,-0.86%,1650.0,0.94,66.23,-3.19%,1548813,1/24/2022 4:30:00 PM,71.12,11/1/1982,66.23,0.00%,53.0,94,1.35,68.41,67.12,67.1,60.43,44.54,70.75,16.0,3.96,54.333333333333336,True
1187,BXC,BlueLinx Holdings Inc.,Industrials,Building Products & Equipment,USA,831.24,3.42,5.24,0.14,0.2,2.91,4156.21,8.29,,0.00%,24.69,552.90%,-20.74%,53.30%,25.00%,10.10%,-17.10%,11.40%,9.72,9.33,0.60%,-25.76%,87.10%,4.09%,3.34%,2.21,20.40%,139.10%,19.60%,3.1,1.5,1.74,1.76,17.00%,8.60%,5.80%,-5.58%,14.47%,7.89%,43.84%,137.25%,-11.87%,1.89,5.63,5.65%,7.24%,1.33%,2.98%,36.33%,-12.67%,29.83%,-12.67%,155.34%,51.21,-5.71%,0.52%,141.01,1.0,84.39,-5.22%,141342,2/22/2022 4:30:00 PM,113.75,12/14/2004,84.39,0.00%,69.0,99,2.16,89.04,83.28,81.94,61.9,35.0,96.63,18.0,27.75,62.0,True
1242,CARE,"Carter Bankshares, Inc.",Financial,Banks - Regional,USA,418.35,14.5,11.46,,3.22,1.03,,,,,1.09,176.40%,3.80%,,,,,20.30%,26.46,25.36,2.99%,1.22%,38.18%,,0.66%,2.61,,,,,,,,,,,-5.10%,3.13%,8.44%,17.90%,12.69%,2.73%,,0.5,3.47%,2.78%,-1.64%,0.45%,11.04%,-6.28%,10.64%,-6.28%,57.78%,47.38,-2.41%,-0.12%,63.95,6.76,15.81,-2.53%,432231,,18.5,2/28/2007,15.81,0.00%,69.0,79,1.04,16.22,16.07,15.74,14.24,10.02,16.87,42.0,14.06,63.333333333333336,True
1243,CARG,"CarGurus, Inc.",Communication Services,Internet Content & Information,USA,4689.96,,19.61,,4.93,8.65,14.57,51.77,,0.00%,-0.01,-100.20%,20.25%,64.80%,13.00%,36.90%,-407.60%,123.80%,117.7,96.33,2.00%,-42.57%,,4.75%,8.90%,6.94,0.00%,0.00%,21.10%,3.3,3.2,0.0,0.0,69.10%,15.60%,0.00%,-21.65%,15.56%,5.01%,26.87%,55.32%,12.84%,1.51,2.99,8.39%,7.13%,0.72%,10.25%,19.25%,-24.13%,33.19%,-24.13%,67.74%,50.56,-8.77%,-0.26%,1236.47,1.14,37.96,-9.01%,1407883,2/24/2022 4:30:00 PM,49.5,10/12/2017,36.62,-3.53%,69.0,96,1.51,41.72,37.69,34.43,31.83,22.63,50.03,19.0,18.65,61.333333333333336,True
1277,CBT,Cabot Corporation,Basic Materials,Specialty Chemicals,USA,3889.03,40.3,10.52,3.4,1.07,4.86,21.73,,2.18%,81.90%,1.69,199.60%,11.62%,13.30%,11.86%,7.20%,-252.90%,29.80%,56.8,56.15,1.10%,-4.49%,92.40%,-0.53%,2.65%,3.45,3.10%,11.30%,15.60%,1.2,0.8,0.9,1.65,22.30%,7.00%,2.70%,-7.07%,9.43%,22.59%,29.16%,31.05%,20.98%,1.46,2.52,3.55%,3.25%,-4.36%,8.10%,18.66%,-9.19%,27.91%,-9.19%,42.87%,48.21,-5.84%,0.45%,431.38,1.12,67.99,-5.42%,481993,1/31/2022 4:30:00 PM,77.33,8/23/1968,67.0,-1.46%,69.0,92,1.27,71.89,71.09,62.9,57.3,47.59,74.87,12.0,7.57,57.666666666666664,True
1425,CHK,Chesapeake Energy Corporation,Energy,Oil & Gas E&P,USA,9649.74,1.61,8.65,0.3,1.67,1.71,10.66,9.97,2.04%,2.50%,53.37,105.40%,16.11%,,5.45%,-6.00%,119.70%,150.70%,112.9,103.99,0.04%,0.00%,,31.10%,15.43%,10.87,78.50%,158.20%,80.20%,0.9,0.9,0.4,0.4,76.10%,,,13.06%,29.02%,44.77%,47.95%,96.84%,35.36%,,3.38,5.06%,4.48%,23.13%,27.12%,43.41%,0.80%,42.13%,0.80%,118.34%,82.55,0.09%,0.95%,1476.85,2.08,85.89,1.05%,3074358,2/23/2022 4:30:00 PM,97.45,2/10/2021,89.0,3.62%,69.0,98,1.75,85.0,70.86,68.68,60.89,40.0,85.21,28.0,14.65,65.0,True
1561,CMRE,Costamare Inc.,Industrials,Marine Shipping,Monaco,1781.88,6.45,3.3,,2.83,1.11,6.29,,3.25%,18.90%,2.2,-130.60%,85.49%,-16.10%,,-1.30%,506.10%,100.40%,123.31,54.76,77.90%,0.00%,25.90%,-6.64%,2.51%,2.06,7.40%,18.60%,2.10%,1.1,1.0,1.43,1.61,73.10%,47.30%,42.90%,4.96%,8.09%,19.88%,-7.39%,43.13%,12.02%,1.34,0.59,4.37%,4.11%,2.04%,7.52%,10.44%,-4.55%,26.07%,-15.25%,54.36%,57.71,-0.91%,0.70%,666.24,1.11,14.17,-0.21%,737293,3/9/2022 4:30:00 PM,18.5,11/4/2010,14.0,-1.20%,91.0,93,1.3,14.17,13.94,13.22,12.85,9.18,16.72,15.0,30.56,66.33333333333333,True
1571,CNC,Centene Corporation,Healthcare,Healthcare Plans,USA,47944.97,36.8,13.23,3.44,0.38,1.84,3.57,16.75,,0.00%,2.27,-0.60%,16.53%,16.60%,10.69%,37.30%,2.30%,11.40%,583.24,576.13,1.90%,-1.39%,95.50%,0.89%,1.24%,2.03,1.00%,2.80%,4.70%,,,0.7,0.71,,1.20%,0.60%,1.05%,2.40%,17.51%,29.70%,35.27%,1.32%,0.51,2.43,3.08%,2.77%,0.35%,2.88%,14.86%,-3.82%,12.12%,-3.82%,41.87%,53.65,-2.74%,-0.24%,3521.01,0.86,83.49,-2.98%,3039486,2/8/2022 8:30:00 AM,95.33,12/13/2001,82.94,-0.65%,69.0,92,1.27,86.05,83.2,81.15,72.69,59.33,86.81,19.0,10.78,60.0,True
1592,CNR,"Cornerstone Building Brands, Inc.",Industrials,Building Products & Equipment,USA,3021.9,4.65,7.88,0.13,0.54,2.6,7.61,,,0.00%,5.18,235.00%,23.14%,46.50%,34.70%,25.80%,1933.50%,23.50%,126.71,56.82,1.70%,-9.09%,92.70%,0.31%,6.81%,3.13,11.80%,81.60%,20.40%,2.3,1.4,2.56,2.58,21.50%,19.60%,11.80%,9.15%,64.84%,46.24%,38.82%,74.26%,38.19%,1.85,1.13,3.41%,5.02%,18.49%,35.43%,44.93%,4.10%,77.99%,4.10%,101.84%,72.56,-0.37%,13.51%,1235.7,21.99,24.1,13.09%,27179062,3/1/2022 4:30:00 PM,23.91,4/3/1992,24.1,0.00%,69.0,96,1.47,21.31,20.34,17.79,16.63,11.94,23.15,16.0,12.2,60.333333333333336,True
1605,CNXC,Concentrix Corporation,Technology,Information Technology Services,USA,10236.7,24.46,13.91,1.57,1.83,3.7,56.25,28.04,0.53%,0.00%,7.69,141.20%,11.77%,,15.60%,28.60%,88.80%,12.70%,51.56,43.26,0.60%,-13.83%,85.30%,0.88%,1.33%,2.16,7.90%,15.80%,12.30%,1.6,1.6,0.31,0.31,35.30%,10.20%,7.20%,-5.88%,-5.84%,11.33%,8.23%,42.44%,5.33%,,7.2,4.12%,3.33%,-5.72%,0.48%,8.87%,-9.76%,22.01%,-9.76%,59.54%,43.65,-1.61%,-0.79%,266.03,0.56,188.14,-2.39%,147972,1/18/2022 4:30:00 PM,215.67,11/24/2020,188.14,0.00%,100.0,93,1.31,192.74,199.54,187.24,172.81,125.6,208.48,15.0,11.9,69.33333333333333,True
1643,COOP,Mr. Cooper Group Inc.,Financial,Mortgage Finance,USA,3584.87,2.88,6.5,,1.08,1.05,4.01,1.38,,0.00%,16.46,418.00%,30.02%,35.50%,-8.54%,261.20%,4.90%,-33.80%,74.56,72.3,1.80%,-7.69%,87.40%,-3.52%,5.27%,3.96,6.80%,44.00%,13.70%,,,2.28,2.72,,49.90%,42.70%,-6.85%,23.66%,17.99%,15.74%,42.66%,13.79%,1.5,1.74,3.34%,3.72%,-1.32%,7.06%,18.32%,-9.53%,26.37%,-9.53%,55.09%,49.9,-4.23%,-0.18%,961.8,1.54,47.35,-4.40%,1485109,2/11/2022 8:30:00 AM,59.14,3/28/2012,47.0,-0.74%,66.0,93,1.32,49.53,47.99,44.23,40.02,30.53,52.34,18.0,19.4,59.0,True
1644,COP,ConocoPhillips,Energy,Oil & Gas E&P,USA,127849.32,16.69,13.03,4.29,2.79,2.93,23.36,13.73,1.40%,32.50%,6.07,342.80%,-12.73%,32.60%,3.89%,13.70%,376.60%,175.40%,1315.13,1298.37,0.10%,-25.60%,80.10%,-1.93%,1.13%,1.73,9.30%,18.30%,10.80%,1.3,1.2,0.41,0.44,48.20%,25.10%,17.60%,6.76%,11.44%,42.81%,80.57%,72.76%,40.30%,1.42,3.46,3.41%,3.60%,9.52%,17.72%,46.40%,0.93%,45.36%,0.93%,112.23%,72.88,0.27%,0.73%,8480.84,1.63,101.27,1.00%,13782018,2/3/2022 8:30:00 AM,104.6,1/13/1978,101.27,0.00%,75.0,97,1.58,100.27,92.47,86.05,69.31,47.85,100.34,-4.0,4.32,56.0,True
1680,CPRX,"Catalyst Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,822.12,19.82,10.8,,6.16,3.99,4.7,15.42,,0.00%,0.39,134.70%,79.40%,37.00%,,,-76.50%,22.90%,103.2,95.36,7.50%,-0.05%,66.50%,1.16%,5.37%,4.4,20.20%,22.60%,43.90%,9.4,9.0,0.0,0.0,85.50%,36.20%,31.20%,-1.15%,36.22%,12.39%,46.86%,119.03%,13.88%,1.3,0.37,4.36%,5.84%,2.83%,14.15%,25.94%,-7.11%,47.14%,-7.11%,135.78%,59.0,0.65%,0.39%,1162.9,0.66,7.71,1.05%,762980,3/16/2022 4:30:00 PM,11.0,11/8/2006,7.65,-0.78%,69.0,99,1.88,7.63,7.5,6.75,6.12,3.57,8.3,12.0,44.17,60.0,True
1750,CSGS,"CSG Systems International, Inc.",Technology,Software - Infrastructure,USA,2035.85,28.76,16.98,,1.95,4.71,8.72,25.13,1.54%,43.90%,2.26,24.20%,8.05%,3.50%,-5.00%,6.60%,31.20%,5.60%,31.63,31.28,2.20%,-0.22%,96.59%,2.98%,5.08%,5.48,5.40%,16.60%,11.80%,1.1,1.1,0.31,0.86,48.10%,11.90%,6.90%,5.25%,13.49%,21.76%,34.16%,37.98%,12.74%,0.82,1.83,3.28%,2.90%,7.66%,10.90%,27.14%,0.54%,18.50%,0.54%,52.56%,72.14,1.06%,-0.45%,290.05,1.54,64.96,0.60%,446824,2/1/2022 4:30:00 PM,67.0,2/28/1996,64.96,0.00%,100.0,91,1.24,64.57,60.34,58.57,51.09,42.58,64.61,20.0,3.76,70.33333333333333,True
1763,CSTR,"CapStar Financial Holdings, Inc.",Financial,Banks - Regional,USA,473.66,9.69,10.35,,4.81,1.27,1.32,86.12,1.13%,11.50%,2.19,1.60%,10.50%,11.80%,,17.80%,73.00%,0.40%,22.16,18.77,6.80%,-0.29%,44.50%,2.51%,0.75%,3.22,1.30%,11.40%,18.50%,,,0.08,0.08,,88.90%,40.90%,-0.70%,0.00%,2.07%,-0.75%,29.49%,1.05%,1.03,0.48,1.88%,2.00%,-0.34%,-0.27%,-0.26%,-3.72%,7.11%,-7.61%,34.07%,48.86,-0.23%,-0.14%,43.89,8.32,21.25,-0.38%,365051,1/27/2022 4:30:00 PM,25.43,9/22/2016,21.25,0.00%,69.0,88,1.17,21.33,21.32,21.31,21.3,15.85,23.0,11.0,19.22,56.0,True
1787,CTRA,Coterra Energy Inc.,Energy,Oil & Gas E&P,USA,21466.62,15.84,11.3,0.21,6.22,1.87,20.72,134.17,1.67%,36.40%,1.71,358.90%,-13.19%,35.20%,74.49%,24.40%,251.80%,386.90%,813.62,800.39,1.10%,-5.94%,94.50%,73.63%,4.17%,3.85,13.70%,24.80%,8.20%,1.8,1.7,0.27,0.27,76.20%,45.30%,33.60%,17.62%,19.57%,35.71%,59.09%,48.58%,44.43%,-0.22,1.12,4.83%,4.49%,16.93%,25.40%,43.89%,2.60%,49.22%,2.60%,98.42%,75.28,-0.18%,3.60%,8677.28,1.97,27.0,3.41%,17108078,2/23/2022 4:30:00 PM,27.32,2/8/1990,27.49,1.81%,59.0,92,1.28,26.11,23.45,21.87,19.37,14.28,26.32,30.0,4.63,60.333333333333336,True
1793,CTSH,Cognizant Technology Solutions Corporation,Technology,Information Technology Services,USA,44939.34,21.4,17.06,1.86,2.43,3.81,16.53,26.33,1.25%,23.70%,4.05,57.30%,11.44%,9.70%,11.49%,6.50%,84.70%,14.20%,527.0,523.9,0.10%,-4.26%,94.60%,1.09%,1.17%,2.04,12.50%,18.70%,16.80%,2.1,2.1,0.05,0.06,37.30%,15.30%,11.50%,0.55%,0.63%,10.29%,13.13%,19.14%,-2.39%,1.1,2.62,2.91%,2.82%,-1.08%,-0.57%,10.64%,-6.32%,6.95%,-6.32%,30.84%,49.09,-2.28%,-0.29%,3004.35,1.5,86.6,-2.57%,4495726,2/2/2022 4:30:00 PM,94.78,6/19/1998,86.6,0.00%,56.0,83,1.09,88.88,87.55,87.09,78.27,66.19,92.44,24.0,6.64,54.333333333333336,True
1837,CW,Curtiss-Wright Corporation,Industrials,Specialty Industrial Machinery,USA,5836.29,23.42,17.72,,2.33,3.3,34.13,17.96,0.47%,10.60%,6.59,37.20%,6.37%,9.40%,,3.50%,49.50%,-0.20%,39.07,38.05,0.30%,-24.42%,82.60%,-8.00%,2.08%,4.33,6.60%,14.30%,10.20%,1.8,1.2,0.58,0.58,37.20%,15.30%,10.70%,4.69%,16.95%,19.08%,29.91%,29.50%,11.37%,1.43,4.85,4.11%,3.19%,10.20%,11.77%,20.44%,-3.09%,22.13%,-3.09%,38.81%,73.18,-1.00%,0.08%,183.05,4.05,154.44,-0.92%,742208,2/23/2022 4:30:00 PM,168.33,8/22/1929,154.44,0.00%,84.0,89,1.18,154.44,141.28,138.57,128.38,111.26,162.98,18.0,8.99,63.666666666666664,True
2063,DLTR,"Dollar Tree, Inc.",Consumer Defensive,Discount Stores,USA,32352.72,24.29,15.86,1.36,1.23,4.37,46.13,48.62,,0.00%,5.8,62.90%,13.48%,34.90%,17.87%,10.50%,-30.50%,3.90%,224.9,221.94,1.34%,-0.64%,97.00%,9.89%,2.09%,1.8,7.10%,20.60%,13.40%,1.3,0.2,0.45,0.45,29.40%,7.90%,5.70%,-0.86%,6.84%,2.79%,51.77%,30.34%,0.24%,0.73,5.25,5.21%,3.65%,1.33%,3.16%,23.98%,-5.32%,13.95%,-5.70%,67.17%,53.74,-1.81%,-0.01%,2584.15,1.67,140.86,-1.82%,4303212,3/2/2022 8:30:00 AM,158.17,3/7/1995,140.54,-0.23%,53.0,89,1.19,140.86,139.37,136.64,113.78,84.26,149.37,4.0,12.29,48.666666666666664,True
