no,ticker,company,sector,industry,country,market_cap,pe,forward_pe,peg,ps,pb,pcash,pfree_cash_flow,dividend_yield,payout_ratio,eps_ttm,eps_growth_this_year,eps_growth_next_year,eps_growth_past_5_years,eps_growth_next_5_years,sales_growth_past_5_years,eps_growth_quarter_over_quarter,sales_growth_quarter_over_quarter,shares_outstanding,shares_float,insider_ownership,insider_transactions,institutional_ownership,institutional_transactions,float_short,short_ratio,return_on_assets,return_on_equity,return_on_investment,current_ratio,quick_ratio,lt_debtequity,total_debtequity,gross_margin,operating_margin,profit_margin,performance_week,performance_month,performance_quarter,performance_half_year,performance_year,performance_ytd,beta,average_true_range,volatility_week,volatility_month,20day_simple_moving_average,50day_simple_moving_average,200day_simple_moving_average,50day_high,50day_low,52week_high,52week_low,relative_strength_index_14,change_from_open,gap,ar,average_volume,relative_volume,price,change,volume,earnings_date,target_price,ipo_date,afterhours_close,afterhours_change,analyst_recom,rs_rating,returns_multiple,current_price,ma_20_day,ma_50_day,ma_200_day,low_52_week,high_52_week,sentiment_score,est_gl,my_score,in_russell_3k
369,AMRK,"A-Mark Precious Metals, Inc.",Financial,Capital Markets,USA,841.43,4.12,10.85,,0.1,2.08,43.37,5.0,,0.00%,17.88,312.90%,-13.72%,68.70%,,2.30%,125.40%,28.20%,11.38,8.44,8.00%,-10.42%,44.70%,4.18%,2.32%,2.17,15.40%,51.30%,17.20%,1.5,0.6,0.23,1.18,3.40%,2.70%,2.30%,-0.43%,24.35%,0.15%,60.87%,163.94%,20.59%,-0.46,2.92,3.93%,4.91%,13.72%,19.26%,30.45%,-4.31%,35.29%,-8.95%,190.30%,73.47,0.11%,0.14%,2.0,90.61,0.72,73.68,0.24%,65208,2/8/2022 4:30:00 PM,93.5,3/17/2014,73.68,0.00%,69.0,99,2.24,73.68,65.47,62.0,57.42,26.24,80.93,54.0,26.9,74.0,True
379,AMTB,Amerant Bancorp Inc.,Financial,Banks - Regional,USA,1249.78,11.23,14.01,,5.04,1.55,5.84,21.62,0.18%,0.00%,3.03,-103.50%,17.04%,-16.20%,,4.60%,900.60%,-0.80%,37.13,27.37,0.90%,-17.74%,32.70%,2.32%,1.29%,2.39,0.50%,5.10%,20.10%,,,0.15,0.15,,88.40%,16.40%,-0.09%,0.86%,11.92%,40.18%,110.92%,-1.65%,1.38,1.28,3.14%,4.60%,-0.98%,0.37%,26.58%,-7.46%,16.17%,-7.46%,111.58%,48.84,-0.03%,-0.06%,1.8,147.84,0.99,33.98,-0.09%,146435,1/20/2022 8:30:00 AM,37.04,8/29/2018,33.98,0.00%,75.0,98,1.85,33.98,34.36,33.92,26.92,16.06,36.72,15.0,9.01,62.666666666666664,True
393,ANDE,"The Andersons, Inc.",Consumer Defensive,Food Distribution,USA,1300.89,15.18,14.99,1.9,0.11,1.28,6.0,,1.81%,25.70%,2.63,-58.00%,0.00%,20.10%,8.00%,14.30%,,56.00%,33.28,30.77,2.60%,-23.56%,78.00%,-0.31%,1.61%,2.63,2.20%,9.00%,0.70%,1.4,0.9,0.53,0.9,4.80%,1.10%,0.80%,4.86%,3.50%,6.92%,30.97%,61.92%,3.02%,0.73,1.38,4.15%,3.75%,5.22%,5.53%,21.54%,-1.02%,17.57%,-1.02%,62.55%,63.56,-2.66%,2.43%,2.0,188.2,2.2,39.88,-0.30%,413315,2/15/2022 4:30:00 PM,44.5,2/20/1996,39.88,0.00%,69.0,95,1.42,39.88,38.02,37.89,32.86,24.53,41.45,16.0,11.58,60.0,True
409,ANTM,"Anthem, Inc.",Healthcare,Healthcare Plans,USA,113714.08,18.55,14.22,1.44,0.82,3.12,20.71,23.93,0.99%,24.10%,24.72,-2.60%,13.22%,13.90%,12.86%,9.00%,602.40%,14.90%,243.4,241.15,0.20%,-0.77%,92.60%,0.14%,0.81%,1.73,4.50%,12.30%,9.10%,,,0.61,0.64,,4.60%,3.10%,-2.01%,2.34%,6.53%,23.47%,54.75%,-1.07%,1.06,12.06,2.58%,2.90%,2.56%,2.88%,13.13%,-2.85%,14.91%,-2.85%,59.05%,55.76,2.34%,-0.40%,1.9,1135.79,0.94,458.58,1.93%,1062657,1/26/2022 8:30:00 AM,491.32,10/30/2001,458.0,-0.13%,72.0,94,1.36,458.58,447.63,446.86,405.68,288.93,472.01,18.0,7.14,61.333333333333336,True
449,APR,"Apria, Inc.",Healthcare,Medical Instruments & Supplies,USA,1322.38,18.62,20.31,,1.16,56.44,6.11,17.42,,0.00%,2.0,195.30%,8.65%,18.20%,,0.30%,268.70%,3.80%,35.31,34.63,2.00%,-93.41%,94.50%,-7.31%,4.11%,2.35,10.50%,,14.00%,1.2,1.2,15.2,16.55,70.40%,9.30%,6.50%,0.03%,0.03%,22.09%,6.49%,79.52%,14.26%,,0.36,0.27%,0.35%,0.01%,8.66%,14.69%,-1.14%,30.36%,-6.87%,85.60%,64.97,-0.13%,-0.05%,1.8,604.67,0.93,37.25,-0.19%,564939,11/4/2021 4:30:00 PM,38.33,2/11/2021,37.25,0.00%,75.0,97,1.58,37.25,37.25,34.42,32.52,20.07,40.0,11.0,2.9,61.0,True
468,AR,Antero Resources Corporation,Energy,Oil & Gas E&P,USA,6143.04,,5.79,,1.74,1.31,,4.35,,,-3.24,-319.20%,115.62%,-27.40%,,-2.50%,12.20%,40.30%,313.79,273.59,0.90%,-37.44%,78.10%,0.78%,7.41%,2.83,-7.80%,-18.60%,-11.40%,0.3,0.3,0.48,0.48,64.40%,-34.60%,-28.80%,4.71%,5.20%,1.00%,68.64%,125.67%,15.54%,4.2,1.09,5.28%,6.04%,4.06%,8.71%,23.53%,-8.22%,31.47%,-8.22%,151.81%,55.22,-2.93%,1.86%,2.2,7156.03,1.27,20.22,-1.12%,9077108,2/16/2022 4:30:00 PM,28.25,10/10/2013,20.2,-0.10%,63.0,98,1.82,20.22,19.51,18.68,16.42,8.03,22.03,17.0,39.71,59.333333333333336,True
478,ARCH,"Arch Resources, Inc.",Energy,Thermal Coal,USA,1709.8,115.2,2.9,,0.97,4.33,8.15,,0.85%,0.00%,1.02,-268.30%,117.81%,30.20%,,-10.60%,139.00%,55.50%,15.3,14.99,1.40%,-0.84%,,3.10%,33.17%,9.75,1.80%,10.00%,-41.40%,1.5,1.1,1.01,1.35,18.80%,3.10%,1.80%,8.22%,20.64%,42.25%,81.76%,138.74%,28.42%,0.91,6.27,6.94%,6.30%,14.29%,23.19%,50.87%,-6.35%,46.28%,-6.35%,200.55%,71.74,-2.51%,0.77%,2.0,510.06,2.0,117.27,-1.76%,1018215,2/15/2022 8:30:00 AM,127.33,10/5/2016,117.5,0.20%,69.0,99,2.11,117.27,103.44,95.86,78.07,39.02,125.25,7.0,8.58,58.333333333333336,True
588,ATLC,Atlanticus Holdings Corporation,Financial,Credit Services,USA,1078.1,10.69,7.71,0.53,2.19,4.01,6.46,,,0.00%,6.53,138.40%,6.31%,100.30%,20.00%,29.70%,14.10%,31.50%,15.12,5.74,3.40%,-17.64%,19.20%,14.16%,5.53%,3.61,10.10%,79.20%,9.50%,,,3.8,3.8,75.30%,38.20%,27.10%,-2.62%,1.57%,-7.12%,46.63%,126.41%,-2.16%,1.55,3.62,4.13%,5.93%,6.26%,6.65%,26.96%,-6.50%,29.29%,-24.14%,174.08%,56.47,1.19%,0.26%,2.0,87.92,0.31,69.78,1.45%,27598,,98.0,4/23/1999,69.78,0.00%,69.0,99,2.01,69.78,65.95,65.69,55.15,25.46,91.98,19.0,40.44,62.333333333333336,True
688,AXP,American Express Company,Financial,Credit Services,USA,156621.01,19.85,17.47,0.57,3.66,6.38,5.73,18.74,0.87%,20.00%,9.99,-52.90%,17.14%,-5.70%,34.57%,2.20%,73.70%,23.30%,786.0,766.95,0.10%,-38.18%,86.70%,-0.48%,1.31%,2.33,3.70%,28.40%,2.10%,,,1.41,4.96,68.60%,21.40%,16.20%,1.01%,19.38%,9.65%,22.36%,54.39%,21.26%,1.14,5.06,2.08%,3.12%,9.88%,15.20%,17.67%,-0.17%,29.79%,-0.17%,57.35%,72.73,0.45%,-0.24%,2.4,4327.43,0.95,198.38,0.20%,4121905,1/25/2022 8:30:00 AM,195.52,4/4/1972,198.35,-0.02%,56.0,94,1.36,198.38,182.38,172.95,168.81,126.08,199.55,12.0,-1.44,54.0,True
715,BAC,Bank of America Corporation,Financial,Banks - Diversified,USA,399418.7,13.39,12.58,0.56,8.38,1.61,0.46,,1.76%,23.90%,3.56,-32.00%,16.25%,7.40%,23.89%,0.80%,69.00%,7.40%,8430.7,8103.31,0.10%,-1.54%,72.80%,0.04%,0.74%,1.15,0.90%,10.50%,7.30%,,,1.11,2.03,,89.10%,54.90%,-3.25%,3.07%,1.27%,16.89%,39.46%,7.17%,1.41,1.3,2.63%,2.89%,1.62%,3.27%,9.96%,-4.85%,11.96%,-4.85%,41.48%,53.11,0.63%,-0.86%,2.4,51759.56,0.71,47.68,-0.23%,36630855,1/19/2022 8:30:00 AM,51.73,6/5/1979,47.61,-0.15%,56.0,89,1.23,47.68,46.98,46.24,43.39,34.02,50.11,17.0,8.49,54.0,True
879,BHVN,Biohaven Pharmaceutical Holding Company Ltd.,Healthcare,Biotechnology,USA,9545.63,,,,31.03,,18.34,,,,-13.76,-19.70%,52.40%,,,,19.70%,666.70%,65.39,56.1,6.20%,-3.37%,92.60%,-0.18%,6.63%,5.8,-94.40%,202.60%,-198.10%,2.0,1.9,,,78.60%,,,3.63%,21.12%,19.74%,22.94%,74.02%,3.71%,1.04,6.53,4.33%,5.49%,11.74%,14.30%,21.15%,-0.64%,45.81%,-5.67%,128.42%,64.02,1.59%,-0.01%,1.8,641.21,0.79,142.92,1.58%,508408,11/9/2021 8:30:00 AM,159.3,5/4/2017,142.92,0.00%,75.0,96,1.53,142.92,129.29,125.89,118.33,62.57,151.51,8.0,11.46,59.666666666666664,True
919,BK,The Bank of New York Mellon Corporation,Financial,Asset Management,USA,52558.12,15.8,10.83,1.25,17.41,1.35,0.26,,2.18%,31.20%,3.96,-15.10%,21.21%,7.20%,12.65%,4.30%,-2.80%,-15.50%,844.09,823.92,0.10%,0.00%,85.50%,-0.82%,1.11%,2.04,0.70%,8.50%,2.80%,,,0.66,0.66,,93.70%,,-1.82%,-0.67%,5.66%,16.76%,48.17%,7.61%,1.09,1.75,2.59%,3.33%,3.08%,4.71%,13.69%,-3.30%,14.18%,-3.30%,49.16%,57.31,1.12%,-0.67%,2.1,4469.56,0.82,62.5,0.43%,3657776,1/18/2022 8:30:00 AM,68.75,12/4/1969,62.5,0.00%,66.0,91,1.28,62.5,60.79,59.83,55.04,41.9,64.63,29.0,10.0,62.0,True
933,BKR,Baker Hughes Company,Energy,Oil & Gas Equipment & Services,USA,29001.12,,17.32,,1.41,1.5,6.7,59.92,2.42%,,-0.36,2200.00%,35.36%,-27.10%,50.90%,5.60%,103.70%,0.90%,851.0,829.21,0.10%,-99.01%,93.60%,1.00%,8.10%,7.7,-0.10%,-0.20%,-70.90%,1.6,1.2,0.4,0.4,19.70%,3.00%,-0.20%,7.45%,10.86%,17.80%,40.27%,28.73%,23.48%,1.52,1.16,4.37%,4.52%,8.34%,14.37%,22.56%,1.47%,30.51%,1.47%,58.45%,67.98,2.27%,0.90%,2.0,8724.99,1.18,29.71,3.20%,10322561,1/20/2022 8:30:00 AM,32.41,10/3/1961,29.53,-0.61%,69.0,81,1.11,29.71,27.59,26.08,24.28,18.75,30.11,5.0,9.09,51.666666666666664,True
1044,BPOP,"Popular, Inc.",Financial,Banks - Regional,USA,7533.06,8.17,9.2,1.63,3.55,1.26,0.41,11.74,1.92%,16.70%,11.45,-14.70%,7.39%,-7.40%,5.00%,5.50%,54.00%,3.30%,80.13,78.58,1.40%,-7.52%,87.70%,0.78%,2.07%,3.0,1.20%,13.90%,22.90%,,,0.12,0.13,,92.30%,38.80%,0.28%,-3.15%,10.50%,25.54%,49.34%,14.08%,1.07,2.86,2.74%,3.36%,2.65%,7.84%,16.88%,-5.93%,25.59%,-5.93%,50.15%,57.9,0.28%,-0.86%,1.8,543.78,1.01,93.59,-0.58%,549916,1/27/2022 8:30:00 AM,112.08,11/4/1982,93.59,0.00%,75.0,92,1.31,93.59,91.16,87.09,80.16,62.4,99.49,50.0,19.76,72.33333333333333,True
1081,BRT,BRT Apartments Corp.,Real Estate,REIT - Residential,USA,413.6,15.28,,,14.36,1.99,13.97,,3.87%,57.10%,1.56,245.70%,-117.20%,-23.50%,,-22.20%,473.00%,5.50%,17.26,14.4,17.70%,-0.88%,45.90%,-0.36%,0.40%,1.08,7.40%,14.70%,-4.00%,,,0.83,0.83,55.90%,-35.40%,93.90%,15.73%,12.65%,20.84%,31.18%,53.35%,-0.92%,1.33,0.95,4.43%,4.49%,11.07%,11.61%,22.80%,-1.78%,29.54%,-1.78%,60.93%,64.99,6.12%,0.86%,2.2,52.64,3.96,23.77,7.02%,208335,11/8/2021 4:30:00 PM,21.75,5/23/1973,23.77,0.00%,63.0,93,1.35,23.77,21.56,21.39,19.38,15.3,24.2,12.0,-8.5,56.0,True
1243,CARE,"Carter Bankshares, Inc.",Financial,Banks - Regional,USA,430.79,14.94,11.8,,3.31,1.06,,,,,1.09,176.40%,3.80%,,,,,20.30%,26.46,25.36,2.99%,1.22%,38.18%,,0.46%,1.86,,,,,,,,,,,2.78%,2.45%,4.43%,39.74%,49.08%,5.78%,,0.41,2.48%,2.83%,4.65%,5.94%,15.54%,-1.09%,14.77%,-1.09%,62.48%,63.52,3.04%,-0.57%,2.0,62.61,1.03,16.28,2.45%,64722,,18.5,2/28/2007,16.28,0.00%,69.0,92,1.31,16.28,15.59,15.4,14.11,10.02,16.46,42.0,13.64,67.66666666666667,True
1278,CBT,Cabot Corporation,Basic Materials,Specialty Chemicals,USA,4258.25,44.17,11.57,3.72,1.17,5.33,23.79,,1.99%,81.90%,1.69,199.60%,11.24%,13.30%,11.86%,7.20%,-252.90%,29.80%,56.8,56.15,1.10%,-0.63%,93.60%,0.77%,2.15%,3.05,3.10%,11.30%,15.60%,1.2,0.8,0.9,1.65,22.30%,7.00%,2.70%,7.58%,24.10%,28.47%,36.99%,53.47%,32.58%,1.56,2.31,3.19%,3.95%,20.71%,27.20%,31.63%,1.79%,45.84%,1.79%,56.57%,80.25,2.77%,-0.34%,2.0,396.43,1.74,74.51,2.42%,691452,1/31/2022 4:30:00 PM,75.0,8/23/1968,74.51,0.00%,69.0,93,1.35,74.51,62.55,58.95,56.69,47.59,74.87,8.0,0.66,56.666666666666664,True
1343,CEIX,CONSOL Energy Inc.,Energy,Thermal Coal,USA,970.82,33.64,5.83,,0.76,2.09,5.99,6.13,,0.00%,0.87,-113.30%,-25.52%,-15.30%,,-6.50%,,25.70%,34.48,33.72,1.90%,0.00%,85.30%,4.24%,4.81%,3.58,1.40%,6.60%,2.50%,0.7,0.6,1.34,1.46,91.90%,6.50%,2.90%,0.69%,13.81%,17.27%,39.73%,172.58%,29.15%,2.48,1.76,5.96%,7.07%,18.90%,23.30%,31.27%,-7.62%,53.48%,-19.04%,239.08%,64.58,-2.23%,1.08%,2.0,452.77,0.72,29.33,-1.18%,325192,2/8/2022 8:30:00 AM,33.33,11/14/2017,30.45,3.82%,69.0,99,2.27,29.33,24.89,23.95,22.44,8.65,36.23,31.0,13.64,66.33333333333333,True
1357,CENX,Century Aluminum Company,Basic Materials,Aluminum,USA,1878.84,,5.6,,0.97,6.0,32.62,,,,-2.92,-51.40%,396.90%,-20.30%,,-3.80%,10.60%,48.00%,90.1,49.84,0.90%,0.00%,58.20%,1.11%,9.82%,3.83,-18.60%,-64.00%,-9.10%,1.1,0.4,1.03,1.22,2.80%,-1.20%,-13.50%,15.39%,22.78%,48.57%,86.92%,69.51%,28.56%,2.61,1.12,6.70%,6.76%,25.53%,31.81%,50.58%,4.26%,72.53%,4.26%,104.91%,77.51,4.88%,-0.25%,2.0,1277.82,1.38,21.29,4.62%,1759261,2/24/2022 4:30:00 PM,18.33,3/29/1996,21.3,0.05%,69.0,96,1.49,21.29,17.17,16.31,14.16,10.39,21.36,9.0,-13.9,58.0,True
1370,CF,"CF Industries Holdings, Inc.",Basic Materials,Agricultural Inputs,USA,15341.68,53.97,6.71,0.86,3.01,5.44,20.27,16.36,1.61%,86.40%,1.38,-33.80%,142.93%,-13.10%,62.70%,-0.90%,-557.70%,60.80%,214.9,213.64,0.40%,-37.92%,94.90%,0.55%,2.07%,1.36,2.50%,9.90%,8.60%,1.8,1.4,1.18,1.18,27.70%,14.50%,5.90%,1.89%,9.04%,13.65%,62.60%,69.64%,5.14%,1.06,4.18,8.32%,6.06%,4.54%,8.36%,30.32%,-3.65%,27.30%,-3.65%,73.68%,56.32,7.86%,-4.46%,2.1,3235.94,1.77,74.42,3.05%,5741609,2/15/2022 4:30:00 PM,73.74,8/11/2005,74.42,0.00%,66.0,95,1.45,74.42,71.56,68.99,57.23,42.85,77.24,14.0,-0.91,58.333333333333336,True
1372,CFB,"CrossFirst Bankshares, Inc.",Financial,Banks - Regional,USA,830.52,12.22,11.69,,4.3,1.28,2.62,10.2,,0.00%,1.33,-58.80%,6.97%,,,,167.20%,-2.50%,50.99,44.05,0.50%,-3.73%,49.30%,1.89%,0.85%,3.59,0.80%,6.90%,15.10%,,,0.0,0.0,,68.20%,22.60%,0.93%,3.36%,8.73%,23.73%,33.22%,4.55%,,0.41,1.98%,2.99%,3.62%,5.48%,13.79%,-1.06%,14.53%,-1.06%,39.91%,62.1,0.87%,-0.19%,2.4,103.86,0.57,16.32,0.68%,59511,1/24/2022 4:30:00 PM,18.0,8/15/2019,16.32,0.00%,56.0,86,1.17,16.32,15.79,15.5,14.35,11.81,16.5,13.0,10.29,51.666666666666664,True
1377,CFG,"Citizens Financial Group, Inc.",Financial,Banks - Regional,USA,23768.23,10.7,10.88,,4.9,1.1,1.51,,2.82%,34.70%,5.16,-41.70%,19.55%,7.50%,-2.76%,6.80%,74.50%,-4.50%,426.09,424.13,0.10%,0.00%,97.10%,-0.58%,3.08%,2.73,1.00%,9.10%,12.90%,,,0.32,0.32,,91.80%,39.50%,-0.14%,-0.79%,9.98%,28.77%,35.04%,16.89%,1.47,1.55,2.75%,3.06%,3.89%,8.51%,15.94%,-3.11%,26.79%,-3.11%,39.63%,61.67,1.53%,-1.36%,2.0,4786.6,0.67,55.23,0.15%,3221619,1/19/2022 8:30:00 AM,60.53,9/24/2014,55.25,0.04%,69.0,87,1.19,55.23,53.21,51.05,47.67,39.56,57.0,12.0,9.6,56.0,True
