no,ticker,company,sector,industry,country,market_cap,pe,forward_pe,peg,ps,pb,pcash,pfree_cash_flow,dividend_yield,payout_ratio,eps_ttm,eps_growth_this_year,eps_growth_next_year,eps_growth_past_5_years,eps_growth_next_5_years,sales_growth_past_5_years,eps_growth_quarter_over_quarter,sales_growth_quarter_over_quarter,shares_outstanding,shares_float,insider_ownership,insider_transactions,institutional_ownership,institutional_transactions,float_short,short_ratio,return_on_assets,return_on_equity,return_on_investment,current_ratio,quick_ratio,lt_debtequity,total_debtequity,gross_margin,operating_margin,profit_margin,performance_week,performance_month,performance_quarter,performance_half_year,performance_year,performance_ytd,beta,average_true_range,volatility_week,volatility_month,20day_simple_moving_average,50day_simple_moving_average,200day_simple_moving_average,50day_high,50day_low,52week_high,52week_low,relative_strength_index_14,change_from_open,gap,ar,average_volume,relative_volume,price,change,volume,earnings_date,target_price,ipo_date,afterhours_close,afterhours_change,analyst_recom,rs_rating,returns_multiple,current_price,ma_20_day,ma_50_day,ma_200_day,low_52_week,high_52_week,sentiment_score,est_gl,my_score,in_sp500
1370,CF,"CF Industries Holdings, Inc.",Basic Materials,Agricultural Inputs,USA,14888.15,52.37,6.51,0.84,2.92,5.28,19.67,15.87,1.66%,86.40%,1.38,-33.80%,142.93%,-13.10%,62.70%,-0.90%,-557.70%,60.80%,214.9,213.64,0.40%,-37.92%,94.90%,0.55%,2.07%,1.37,2.50%,9.90%,8.60%,1.8,1.4,1.18,1.18,27.70%,14.50%,5.90%,-1.38%,8.70%,10.18%,58.48%,60.28%,2.03%,1.06,3.96,6.82%,5.74%,1.73%,5.56%,26.72%,-6.50%,23.54%,-6.50%,68.54%,52.36,2.45%,-1.36%,2.1,3215.71,1.25,72.22,1.06%,4015050,2/15/2022 4:30:00 PM,73.74,8/11/2005,70.7,-2.10%,66.0,95,1.4,72.22,71.19,68.68,57.11,42.85,77.24,15.0,2.1,58.666666666666664,True
1377,CFG,"Citizens Financial Group, Inc.",Financial,Banks - Regional,USA,23733.8,10.69,10.86,,4.89,1.1,1.5,,2.83%,34.70%,5.16,-41.70%,19.55%,7.50%,-2.76%,6.80%,74.50%,-4.50%,426.09,424.13,0.10%,0.00%,97.10%,-0.58%,3.08%,2.71,1.00%,9.10%,12.90%,,,0.32,0.32,,91.80%,39.50%,-0.40%,-2.13%,10.41%,27.31%,31.84%,16.72%,1.47,1.57,2.49%,3.08%,3.69%,8.73%,15.88%,-3.25%,26.61%,-3.25%,39.43%,61.34,1.36%,1.40%,2.0,4815.98,0.72,55.15,2.78%,3479546,1/19/2022 8:30:00 AM,60.53,9/24/2014,55.25,0.18%,69.0,86,1.15,55.15,53.16,50.9,47.64,39.56,57.0,13.0,9.76,56.0,True
1644,COP,ConocoPhillips,Energy,Oil & Gas E&P,USA,116246.8,14.78,11.42,8.32,2.54,2.71,11.06,54.65,1.69%,146.30%,6.07,-139.20%,-9.72%,6.80%,1.78%,-8.60%,526.20%,158.20%,1332.29,1317.82,0.10%,-20.39%,80.50%,0.09%,1.30%,2.09,2.30%,4.60%,-2.40%,1.9,1.8,0.42,0.45,48.20%,5.90%,4.00%,-1.81%,3.39%,23.66%,64.95%,82.19%,24.24%,1.45,3.2,2.85%,3.70%,0.28%,11.37%,34.32%,-5.53%,36.13%,-5.53%,89.28%,55.65,1.13%,-3.13%,1.8,8165.84,1.03,89.68,-2.04%,8378862,2/3/2022 8:30:00 AM,99.98,1/13/1978,89.59,-0.10%,75.0,97,1.61,89.68,89.53,80.97,67.1,47.51,94.93,13.0,11.49,61.666666666666664,True
1785,CTRA,Coterra Energy Inc.,Energy,Oil & Gas E&P,USA,17781.11,26.22,6.73,0.35,10.57,3.94,233.04,59.61,1.96%,47.80%,0.87,-69.30%,16.56%,30.70%,74.49%,1.60%,514.80%,51.30%,813.58,797.84,1.30%,-4.51%,64.10%,16.68%,3.55%,3.45,7.60%,15.30%,7.60%,1.0,0.9,0.41,0.41,62.10%,29.00%,20.90%,2.37%,3.24%,10.09%,52.68%,27.37%,20.63%,-0.2,0.95,3.69%,4.27%,4.93%,9.25%,22.97%,-6.03%,24.63%,-6.03%,65.73%,56.65,0.70%,-2.02%,2.3,8207.18,0.78,22.92,-1.33%,6398047,2/23/2022 4:30:00 PM,27.52,2/8/1990,22.92,0.00%,59.0,82,1.1,22.92,21.9,21.03,19.0,14.28,24.39,30.0,20.07,57.0,True
1791,CTSH,Cognizant Technology Solutions Corporation,Technology,Information Technology Services,USA,48337.31,21.99,17.5,1.91,2.61,4.05,20.03,28.5,1.08%,29.10%,4.05,-21.80%,11.72%,-0.60%,11.49%,6.00%,61.40%,11.80%,525.0,524.87,0.10%,-2.99%,94.40%,1.13%,0.95%,1.68,9.90%,15.10%,11.10%,2.1,2.1,0.06,0.06,37.30%,13.10%,9.10%,-0.12%,2.13%,8.68%,15.65%,16.52%,0.38%,1.11,2.5,3.01%,2.84%,3.38%,3.74%,15.00%,-3.66%,14.50%,-3.66%,34.55%,55.85,2.19%,1.06%,2.4,2963.12,1.08,89.06,3.27%,3206687,2/2/2022 4:30:00 PM,94.78,6/19/1998,89.06,0.00%,56.0,75,1.03,89.06,86.29,86.06,77.48,66.19,92.44,23.0,6.42,51.333333333333336,True
1833,CVX,Chevron Corporation,Energy,Oil & Gas Integrated,USA,253646.67,16.51,14.56,,1.63,1.9,42.05,,3.99%,279.00%,8.13,-291.90%,-11.97%,-26.20%,-4.90%,-6.10%,,77.30%,1918.01,1897.83,0.04%,-61.50%,67.80%,0.68%,1.22%,1.87,1.50%,2.70%,-2.10%,1.3,1.0,0.27,0.27,42.70%,2.80%,2.30%,-1.60%,4.11%,14.93%,33.29%,39.97%,14.41%,1.17,3.42,2.14%,2.52%,0.64%,7.43%,21.77%,-3.71%,21.25%,-3.71%,44.97%,55.26,0.95%,-2.69%,2.2,12423.59,0.95,134.26,-1.76%,11746013,1/28/2022 8:30:00 AM,141.05,6/24/1921,134.3,0.03%,63.0,92,1.27,134.26,133.64,125.37,110.4,92.61,139.44,12.0,5.06,55.666666666666664,True
2183,DVN,Devon Energy Corporation,Energy,Oil & Gas E&P,USA,33595.26,29.74,9.33,1.19,3.76,3.87,14.47,12.21,0.86%,19.80%,1.73,3855.60%,64.25%,26.40%,25.00%,-18.20%,535.60%,224.80%,671.0,640.84,0.50%,-3.31%,90.10%,-2.27%,2.69%,1.46,6.70%,16.70%,-31.00%,1.2,1.2,0.76,0.76,42.90%,16.00%,13.40%,0.45%,2.04%,23.08%,100.18%,151.79%,16.73%,2.91,2.46,3.86%,5.46%,0.29%,9.36%,48.01%,-7.25%,44.64%,-7.25%,179.01%,53.75,1.18%,-2.76%,1.8,11846.16,0.95,51.42,-1.61%,11249775,2/15/2022 4:30:00 PM,55.23,3/17/1992,51.75,0.64%,75.0,99,2.17,51.42,51.33,47.32,35.88,19.61,55.44,30.0,7.41,68.0,True
2432,EOG,"EOG Resources, Inc.",Energy,Oil & Gas E&P,USA,62613.03,21.44,10.4,0.29,4.03,2.96,14.58,12.41,2.71%,31.00%,5.17,-122.20%,23.49%,33.90%,73.84%,4.80%,,105.70%,585.09,583.05,0.30%,1.90%,87.80%,-0.53%,1.14%,1.47,8.30%,14.40%,-1.60%,2.1,2.0,0.23,0.24,60.80%,26.20%,19.40%,-0.56%,4.99%,21.76%,72.01%,80.86%,24.85%,1.82,4.27,3.10%,4.00%,0.98%,12.68%,32.59%,-5.12%,37.47%,-5.12%,90.08%,56.62,1.23%,-3.40%,2.0,4523.63,0.88,110.9,-2.21%,4001635,2/25/2022 8:30:00 AM,116.55,10/4/1989,110.7,-0.18%,69.0,97,1.55,110.9,110.09,99.2,85.52,60.46,116.89,18.0,5.09,61.333333333333336,True
2621,EXC,Exelon Corporation,Utilities,Utilities - Diversified,USA,40747.84,24.44,18.6,1.53,1.17,1.21,13.78,,3.67%,89.40%,1.71,-33.30%,-20.14%,-4.60%,16.00%,2.30%,139.40%,0.60%,979.0,975.59,0.10%,-25.87%,82.60%,0.35%,1.89%,1.76,1.30%,5.10%,3.40%,0.9,0.8,1.05,1.23,58.10%,6.80%,4.80%,-2.98%,4.08%,6.88%,21.04%,38.81%,1.34%,0.48,1.0,2.30%,2.62%,0.59%,3.82%,16.23%,-5.18%,13.15%,-5.18%,52.62%,53.12,-1.39%,0.31%,2.1,10456.82,1.0,41.74,-1.09%,10408241,,50.78,7/6/1943,41.65,-0.22%,66.0,90,1.23,41.74,41.59,40.29,35.97,27.35,44.02,18.0,21.66,58.0,True
2632,EXPE,"Expedia Group, Inc.",Consumer Cyclical,Travel Services,USA,33016.57,,19.72,,4.56,15.83,7.66,10.74,,,-6.83,90.50%,39.68%,-24.40%,22.80%,-0.40%,162.10%,147.70%,153.58,144.81,0.40%,-38.32%,97.20%,-0.31%,5.03%,2.82,-1.20%,-18.00%,3.90%,0.9,0.9,3.75,4.11,80.50%,5.00%,-3.70%,9.30%,14.93%,19.32%,48.65%,37.58%,17.27%,1.58,9.01,5.88%,4.76%,15.66%,19.23%,26.91%,0.68%,40.50%,0.68%,54.95%,72.93,5.96%,1.44%,2.5,2583.48,2.07,211.93,7.49%,5347852,2/10/2022 4:30:00 PM,211.19,7/20/2005,211.1,-0.39%,53.0,91,1.26,211.93,184.96,178.88,167.18,136.77,210.5,14.0,-0.35,52.666666666666664,True
2662,FANG,"Diamondback Energy, Inc.",Energy,Oil & Gas E&P,USA,22288.2,66.36,7.21,1.09,4.02,2.02,48.77,7.75,1.56%,82.70%,1.93,269.40%,58.66%,-27.70%,61.03%,44.50%,150.50%,165.30%,181.03,180.27,0.20%,-9.97%,90.40%,1.73%,3.24%,2.02,2.10%,4.20%,-31.20%,0.7,0.7,0.6,0.6,79.40%,33.70%,8.00%,2.82%,-1.03%,15.03%,77.91%,85.76%,18.57%,2.36,6.25,4.73%,5.34%,0.24%,8.06%,31.79%,-6.35%,34.58%,-6.35%,102.82%,52.66,1.46%,-3.40%,1.9,2891.59,0.81,127.88,-1.99%,2330444,2/22/2022 4:30:00 PM,143.73,10/12/2012,127.2,-0.53%,72.0,98,1.63,127.88,127.67,118.78,97.26,63.05,136.55,22.0,12.39,64.0,True
2818,FITB,Fifth Third Bancorp,Financial,Banks - Regional,USA,34167.5,13.24,12.76,,6.56,1.69,0.9,,2.43%,31.20%,3.73,-45.10%,13.72%,-1.80%,-2.98%,6.70%,24.20%,-2.80%,697.46,681.88,0.20%,-6.51%,83.70%,-0.27%,1.57%,1.99,1.20%,12.00%,13.80%,,,0.56,0.56,,96.40%,47.40%,-0.24%,-2.12%,10.67%,30.98%,47.27%,13.39%,1.38,1.4,2.32%,3.24%,5.42%,8.12%,17.82%,-2.49%,22.32%,-2.49%,51.43%,62.63,1.35%,1.02%,1.9,5359.39,0.7,49.38,2.38%,3765148,1/20/2022 8:30:00 AM,51.68,3/17/1980,49.38,0.00%,72.0,93,1.3,49.38,46.83,45.8,41.96,32.61,50.64,19.0,4.66,61.333333333333336,True
2959,FOXA,Fox Corporation,Communication Services,Broadcasting,USA,23654.83,17.61,11.81,2.93,1.74,2.18,5.56,21.92,1.11%,19.00%,2.45,122.80%,24.62%,15.90%,6.00%,7.70%,-139.90%,8.70%,569.0,461.75,0.10%,0.00%,99.94%,0.77%,3.18%,4.05,6.30%,12.80%,12.40%,3.0,2.6,0.64,0.71,35.50%,18.60%,10.60%,5.71%,5.19%,4.56%,16.68%,35.91%,16.94%,,1.31,3.96%,3.43%,6.73%,11.61%,12.80%,-4.00%,22.41%,-4.00%,36.98%,65.03,0.58%,0.54%,2.4,3619.07,0.75,43.15,1.12%,2705818,2/9/2022 8:30:00 AM,47.26,3/12/2019,43.15,0.00%,56.0,88,1.2,43.15,40.59,38.8,38.29,31.5,44.95,11.0,9.52,51.666666666666664,True
3475,HAL,Halliburton Company,Energy,Oil & Gas Equipment & Services,USA,28254.03,19.94,13.9,0.32,1.85,4.34,9.28,29.71,0.55%,11.00%,1.63,148.90%,32.88%,17.50%,62.70%,-0.80%,447.50%,32.10%,895.0,891.41,0.40%,-4.12%,79.70%,2.20%,1.71%,1.39,6.90%,25.40%,12.60%,2.3,1.8,1.37,1.38,13.20%,11.80%,9.50%,2.39%,13.15%,38.97%,69.64%,58.25%,42.20%,2.49,1.23,4.16%,4.41%,5.46%,21.69%,39.08%,-3.30%,54.38%,-3.30%,82.51%,65.78,3.50%,-2.90%,2.2,10930.99,0.99,32.52,0.49%,10816808,1/24/2022 8:30:00 AM,32.14,9/15/1948,32.48,-0.12%,63.0,95,1.39,32.52,31.03,26.93,23.44,17.82,33.63,5.0,-1.17,54.333333333333336,True
3547,HES,Hess Corporation,Energy,Oil & Gas E&P,USA,27723.09,51.57,16.48,,3.71,5.12,11.46,18.71,1.07%,,1.81,-641.90%,13.76%,0.90%,,-6.40%,146.60%,51.80%,308.1,278.25,0.30%,-30.50%,85.50%,-0.71%,2.63%,2.9,-0.80%,-2.90%,-16.80%,1.4,1.3,1.46,1.55,70.50%,10.40%,-2.20%,-0.13%,1.54%,13.23%,40.35%,50.74%,25.88%,1.83,3.84,3.65%,4.53%,1.27%,10.56%,15.11%,-3.69%,36.40%,-3.69%,54.31%,56.3,2.86%,-4.36%,2.2,2526.84,1.32,93.19,-1.63%,3331142,1/26/2022 8:30:00 AM,111.5,5/24/1962,93.18,-0.01%,63.0,94,1.33,93.19,92.07,84.63,81.04,60.39,96.76,9.0,19.65,55.333333333333336,True
3576,HIG,"The Hartford Financial Services Group, Inc.",Financial,Insurance - Diversified,USA,24648.28,10.69,8.97,0.91,1.1,1.4,106.24,6.96,2.17%,22.60%,6.64,-16.20%,16.71%,11.10%,11.71%,5.00%,8.00%,10.00%,345.6,337.0,0.10%,-33.48%,94.20%,-0.02%,0.74%,1.36,2.80%,12.00%,8.80%,,,0.28,0.0,,12.60%,9.50%,-2.41%,-1.99%,-1.82%,5.20%,41.74%,2.85%,1.02,2.0,2.94%,2.96%,-0.30%,1.36%,4.40%,-5.21%,9.03%,-9.16%,46.11%,49.46,1.04%,0.89%,2.1,1823.26,0.82,71.01,1.94%,1500436,2/3/2022 4:30:00 PM,82.5,12/15/1995,71.01,0.00%,66.0,92,1.28,71.01,71.21,70.15,68.04,48.6,78.17,13.0,16.18,57.0,True
4683,LNC,Lincoln National Corporation,Financial,Insurance - Life,USA,13406.42,9.85,6.99,0.28,0.7,0.64,5.13,,2.47%,22.30%,7.39,-44.70%,22.30%,-12.10%,35.73%,5.00%,-17.50%,-2.20%,187.28,164.63,0.60%,-25.20%,80.00%,-0.88%,2.23%,2.4,0.40%,6.60%,3.00%,,,0.3,0.31,,10.00%,7.30%,-0.18%,-2.09%,-2.45%,7.81%,33.47%,6.61%,2.0,2.78,3.68%,4.18%,3.09%,4.69%,6.61%,-4.75%,17.91%,-6.19%,37.33%,54.55,1.00%,1.56%,2.5,1530.12,1.53,72.77,2.58%,2342783,2/2/2022 4:30:00 PM,81.85,8/20/1969,72.77,0.00%,53.0,87,1.18,72.77,70.59,69.66,68.3,52.99,77.57,18.0,12.48,52.666666666666664,True
4807,MAR,"Marriott International, Inc.",Consumer Cyclical,Lodging,USA,60682.07,128.15,34.57,,5.24,64.71,78.6,99.64,,0.00%,1.41,-121.60%,80.63%,-17.70%,,-6.10%,118.30%,75.10%,327.3,272.34,1.20%,-1.81%,61.00%,-0.83%,1.37%,1.7,1.90%,78.60%,2.60%,0.5,0.5,10.09,10.72,20.20%,7.10%,4.00%,5.63%,11.30%,16.39%,39.00%,37.96%,9.66%,1.72,5.89,3.67%,3.59%,11.55%,12.39%,21.36%,2.24%,24.29%,2.24%,42.42%,70.11,3.01%,2.67%,2.5,2199.45,1.93,181.2,5.76%,4242985,2/15/2022 8:30:00 AM,166.95,3/23/1998,180.7,-0.28%,53.0,89,1.22,181.2,163.52,161.84,149.47,127.23,177.23,14.0,-7.86,52.0,True
4858,MCK,McKesson Corporation,Healthcare,Medical Distribution,USA,41383.55,30.59,11.9,2.36,0.16,,15.03,10.3,0.69%,19.20%,8.96,-667.60%,-3.70%,-37.30%,12.96%,4.50%,99.90%,9.60%,151.6,146.83,0.05%,-63.30%,89.80%,-1.50%,1.20%,1.66,2.20%,-235.80%,-61.00%,1.0,0.6,,,5.20%,0.90%,0.50%,-1.13%,6.78%,23.42%,34.85%,51.08%,10.19%,0.73,6.91,1.99%,2.60%,5.29%,10.32%,28.31%,-3.12%,26.20%,-3.12%,61.75%,67.71,-0.06%,1.26%,1.9,1060.43,0.88,273.9,1.19%,934412,2/2/2022 4:30:00 PM,300.87,11/10/1994,271.0,-1.06%,72.0,94,1.33,273.9,261.21,249.38,213.88,169.34,282.73,15.0,9.85,60.333333333333336,True
5067,MOS,The Mosaic Company,Basic Materials,Agricultural Inputs,USA,16922.03,9.8,5.92,1.4,1.54,1.66,20.08,28.71,0.99%,5.30%,4.65,160.60%,48.14%,-9.50%,7.00%,-0.50%,,43.50%,379.8,376.71,0.65%,-93.39%,80.20%,-0.03%,1.51%,1.12,8.70%,18.00%,6.80%,1.3,0.7,0.38,0.38,22.40%,16.30%,16.30%,1.45%,5.44%,20.30%,46.09%,49.79%,16.01%,1.71,2.09,5.43%,5.09%,7.23%,13.96%,26.67%,-4.14%,33.86%,-4.14%,67.42%,62.01,2.27%,-0.11%,2.4,5074.31,1.22,45.58,2.15%,6179908,2/22/2022 4:30:00 PM,48.13,1/26/1988,45.3,-0.62%,56.0,93,1.31,45.58,42.6,40.22,36.04,27.23,47.55,19.0,5.59,56.0,True
5080,MPC,Marathon Petroleum Corporation,Energy,Oil & Gas Refining & Marketing,USA,47405.9,37.61,15.01,1.25,0.39,1.75,3.58,31.92,2.96%,19.70%,2.08,-716.80%,5.73%,-39.20%,30.11%,-0.60%,156.30%,85.90%,633.0,590.89,0.20%,-5.78%,79.30%,-0.38%,3.09%,2.65,8.60%,30.40%,-18.20%,2.0,1.5,0.96,0.97,9.00%,0.40%,6.30%,-1.11%,4.91%,18.59%,37.32%,51.11%,22.53%,1.94,2.28,2.54%,3.23%,4.16%,12.83%,24.75%,-3.66%,30.77%,-3.66%,56.23%,62.28,1.44%,-2.35%,1.8,6899.02,0.62,78.41,-0.95%,4311519,2/2/2022 8:30:00 AM,85.33,6/23/2011,78.41,0.00%,75.0,94,1.34,78.41,75.47,69.83,62.96,50.19,81.39,18.0,8.83,62.333333333333336,True
