"Ticker","Company","Sector","Industry","Market Cap","P/E","Dividend Yield","EPS growth past 5 years","Sales growth past 5 years","Shares Outstanding","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Operating Margin","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Beta","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","52-Week High","52-Week Low","Relative Strength Index (14)","Analyst Recom","Price","Change","Volume","Target Price"
"AAL","American Airlines Group Inc.","Industrials","Airlines",13831.82,,,-29.60%,-15.80%,648.56,0.10%,0.00%,55.20%,2.03%,14.91%,-11.40%,-8.67%,1.70%,5.07%,-13.75%,66.01%,28.85%,1.66,2.98%,-1.98%,-2.00%,-6.21%,-23.96%,62.22%,44.19,3.10,19.84,-2.36%,35648167,19.08
"AAMC","Altisource Asset Management Corporation","Financial","Asset Management",49.66,0.68,,-41.60%,,2.05,1.60%,0.00%,25.90%,-3.52%,1.51%,,1.25%,3.37%,73.13%,55.78%,5.13%,4.77%,1.11,4.97%,-1.40%,-0.73%,22.12%,-22.44%,97.23%,51.30,,24.74,0.12%,4329,
"AAME","Atlantic American Corporation","Financial","Insurance - Life",84.59,5.60,0.47%,24.30%,3.30%,21.79,2.90%,0.00%,6.70%,2.47%,3.69%,12.90%,-0.70%,-1.39%,17.31%,-5.32%,94.09%,107.28%,0.21,4.60%,-1.84%,0.08%,-0.91%,-74.01%,105.45%,47.15,,4.15,-2.81%,17001,
"AAN","The Aaron's Company, Inc.","Industrials","Rental & Leasing Services",819.11,9.16,1.55%,-37.70%,-4.00%,32.48,1.30%,-13.05%,,3.30%,2.14%,7.00%,-4.38%,-6.30%,-7.37%,-20.70%,,35.81%,,5.23%,-4.57%,-6.41%,-9.60%,-32.70%,55.74%,43.93,2.70,25.23,-2.02%,145252,34.43
"AAOI","Applied Optoelectronics, Inc.","Technology","Semiconductors",163.80,,,-43.50%,4.30%,27.10,7.60%,0.00%,51.30%,5.35%,17.73%,-26.90%,3.25%,-16.34%,-7.36%,-22.37%,-20.42%,-29.02%,1.71,4.88%,-15.26%,-15.82%,-25.51%,-56.91%,8.29%,36.23,2.70,6.01,-0.50%,692621,15.64
"AAON","AAON, Inc.","Industrials","Building Products & Equipment",3981.79,57.53,0.50%,12.10%,7.50%,52.42,18.10%,-0.08%,72.10%,0.28%,3.14%,17.40%,2.59%,9.64%,12.75%,15.34%,17.91%,15.19%,0.58,2.42%,5.64%,11.30%,12.75%,-5.12%,30.18%,72.31,3.00,77.09,0.44%,108723,64.50
"AAP","Advance Auto Parts, Inc.","Consumer Cyclical","Specialty Retail",15204.04,25.93,1.65%,2.20%,0.70%,64.75,0.20%,-4.77%,,-0.73%,5.58%,7.90%,6.14%,12.29%,16.43%,20.93%,57.08%,53.58%,1.26,2.21%,2.09%,8.12%,18.31%,-3.03%,65.29%,60.92,2.20,235.69,-2.57%,1541980,240.65
"AAPL","Apple Inc.","Technology","Consumer Electronics",2426175.00,26.75,0.59%,22.00%,11.10%,16487.12,0.07%,-20.07%,59.20%,-0.05%,0.61%,29.80%,-0.29%,3.56%,-0.13%,20.14%,25.78%,13.05%,1.22,1.48%,0.83%,2.57%,9.98%,-3.98%,34.11%,57.44,1.90,151.00,0.67%,58977819,168.45
"AAQC","Accelerate Acquisition Corp.","Financial","Shell Companies",391.20,,,,,40.00,,,,,,,-1.21%,0.51%,1.35%,0.72%,,-0.00%,,0.46%,-0.06%,0.36%,0.69%,-1.91%,1.78%,50.00,,9.77,-0.10%,30333,
"AAT","American Assets Trust, Inc.","Real Estate","REIT - Diversified",2393.64,100.88,3.08%,-11.70%,4.60%,59.99,0.50%,188.03%,98.20%,0.18%,1.35%,24.30%,-0.41%,-1.42%,3.02%,10.66%,46.39%,34.83%,1.22,2.25%,-0.82%,-0.53%,6.71%,-5.49%,42.14%,47.82,2.60,38.59,-0.90%,171960,40.30
"AATC","Autoscope Technologies Corporation","Technology","Scientific & Technical Instruments",36.57,12.66,6.96%,21.20%,-2.80%,5.34,13.60%,0.00%,28.50%,-0.46%,0.82%,21.40%,-1.29%,-1.29%,1.32%,-2.68%,70.79%,53.67%,1.10,2.35%,-0.65%,-5.83%,6.49%,-40.67%,73.05%,44.59,,6.87,-0.43%,20267,
"AAU","Almaden Minerals Ltd.","Basic Materials","Gold",54.79,,,-11.30%,,138.95,7.20%,0.00%,5.10%,0.30%,0.58%,,1.91%,1.15%,-0.66%,-28.32%,-64.48%,-15.95%,0.96,4.35%,-0.83%,-2.06%,-24.79%,-68.00%,5.23%,46.63,,0.38,-2.61%,866092,1.10
"AAWW","Atlas Air Worldwide Holdings, Inc.","Industrials","Airports & Air Services",2538.62,5.14,,115.40%,12.00%,29.02,0.20%,-13.43%,,0.80%,12.59%,16.90%,1.55%,11.46%,12.97%,18.36%,60.34%,60.84%,1.13,3.22%,5.51%,9.22%,25.59%,-4.12%,75.21%,62.55,2.00,87.99,0.31%,453011,105.57
"AAXJ","iShares MSCI All Country Asia ex Japan ETF","Financial","Exchange Traded Fund",,,1.11%,,,,,,,,,,0.96%,0.39%,3.10%,-4.54%,3.98%,-2.14%,,0.81%,0.87%,1.49%,-3.62%,-14.10%,6.45%,57.11,,88.00,0.35%,555364,
"AB","AllianceBernstein Holding L.P.","Financial","Asset Management",5445.59,15.86,6.04%,9.30%,8.00%,99.41,0.30%,0.00%,14.30%,1.19%,1.21%,100.00%,-0.92%,7.34%,14.36%,28.65%,76.96%,65.80%,1.43,2.02%,0.97%,6.42%,22.11%,-2.40%,80.81%,60.47,2.30,56.16,0.30%,110828,56.00
"ABB","ABB Ltd","Industrials","Specialty Industrial Machinery",71374.25,34.43,2.49%,-30.70%,-5.90%,2001.00,,,6.00%,1.04%,0.10%,11.10%,0.00%,1.13%,-7.31%,3.07%,29.19%,24.75%,1.07,0.91%,3.11%,1.96%,4.09%,-7.70%,33.43%,58.43,2.20,35.10,0.63%,2177014,37.66
"ABBV","AbbVie Inc.","Healthcare","Drug Manufacturers - General",205958.54,27.81,4.45%,-2.80%,14.90%,1770.00,0.12%,-7.90%,69.40%,1.05%,0.77%,30.10%,0.67%,6.87%,-2.36%,-0.32%,17.97%,9.04%,0.79,1.47%,2.73%,5.54%,4.19%,-4.20%,18.40%,63.12,1.90,116.42,-0.36%,3459565,127.78
"ABC","AmerisourceBergen Corporation","Healthcare","Medical Distribution",25925.40,16.84,1.41%,8.70%,6.90%,206.16,0.20%,-41.08%,66.20%,0.33%,0.99%,-2.10%,-1.24%,3.80%,2.88%,6.39%,15.08%,27.27%,0.47,1.89%,-0.05%,1.18%,5.29%,-4.39%,30.53%,50.80,2.20,123.86,-0.45%,786764,144.08
"ABCB","Ameris Bancorp","Financial","Banks - Regional",3830.08,9.68,1.11%,24.30%,30.70%,69.44,1.30%,0.27%,90.80%,-0.87%,2.82%,96.80%,-2.32%,4.01%,9.97%,-4.07%,61.03%,41.74%,1.29,2.55%,-0.05%,4.27%,5.11%,-9.94%,63.68%,52.48,2.10,53.90,-0.11%,388160,59.43
"ABCL","AbCellera Biologics Inc.","Healthcare","Biotechnology",4624.27,25.45,,,,272.20,20.60%,-21.50%,42.00%,2.63%,5.38%,,6.91%,5.54%,-1.21%,-50.32%,,-59.27%,,5.79%,2.63%,-5.13%,-33.21%,-77.25%,24.13%,51.54,1.60,16.36,-0.18%,1584119,43.20
"ABCM","Abcam plc","Healthcare","Biotechnology",5070.20,234.74,,,,219.60,,,10.60%,0.00%,0.08%,3.50%,-2.40%,5.17%,10.53%,10.43%,21.57%,5.66%,,1.62%,-0.03%,6.02%,10.79%,-7.29%,33.55%,56.79,2.00,22.89,0.53%,35733,22.33
"ABEO","Abeona Therapeutics Inc.","Healthcare","Biotechnology",94.25,,,-11.50%,57.30%,96.51,2.50%,-5.80%,27.30%,-3.50%,3.12%,,-6.04%,0.07%,-22.17%,-41.63%,-28.86%,-42.00%,1.39,6.34%,-2.67%,-14.77%,-43.75%,-77.02%,10.13%,39.58,1.70,0.87,-4.34%,466212,5.00
"ABEQ","Absolute Core Strategy ETF","Financial","Exchange Traded Fund",,,0.50%,,,,,,,,,,0.09%,1.94%,1.11%,-0.24%,16.41%,10.98%,,0.41%,0.84%,2.45%,3.43%,-2.03%,15.49%,59.12,,28.22,-0.07%,5052,
"ABEV","Ambev S.A.","Consumer Defensive","Beverages - Brewers",49414.81,16.97,0.32%,39.83%,,15737.20,,,9.28%,,0.96%,,-0.32%,12.54%,2.61%,-5.71%,15.09%,2.61%,,3.15%,5.41%,7.29%,1.92%,-21.01%,31.03%,59.32,3.00,3.12,-0.64%,22140599,3.50
"ABG","Asbury Automotive Group, Inc.","Consumer Cyclical","Auto & Truck Dealerships",4202.56,7.41,,15.50%,1.60%,19.30,0.10%,0.00%,89.10%,-1.14%,8.22%,7.50%,-0.44%,-12.64%,-3.69%,-8.80%,53.38%,26.25%,1.51,3.72%,-6.98%,-5.74%,-2.73%,-20.53%,62.78%,39.27,2.20,183.55,-0.24%,212409,252.38
"ABGI","ABG Acquisition Corp. I","Financial","Shell Companies",189.92,,,,,19.33,3.22%,0.00%,87.30%,0.18%,0.03%,,0.20%,0.98%,0.10%,-1.90%,,-5.03%,,0.27%,0.04%,0.51%,-1.03%,-8.61%,1.66%,51.20,,9.77,-0.51%,16,
"ABIO","ARCA biopharma, Inc.","Healthcare","Biotechnology",34.48,,,42.50%,,14.41,0.40%,0.00%,8.20%,-1.45%,2.04%,,-8.96%,-12.54%,-15.28%,-27.38%,-39.45%,-39.15%,2.50,4.13%,-7.67%,-13.34%,-28.66%,-55.82%,1.67%,32.62,,2.43,-0.41%,84362,
"ABM","ABM Industries Incorporated","Industrials","Specialty Business Services",3287.48,22.90,1.56%,-68.40%,4.10%,67.50,1.00%,-1.30%,98.60%,3.50%,2.53%,3.70%,2.28%,8.26%,3.01%,-4.76%,26.97%,29.15%,1.34,2.12%,6.06%,6.46%,2.99%,-12.04%,34.40%,66.54,2.00,48.80,-0.14%,375480,62.00
"ABMD","Abiomed, Inc.","Healthcare","Medical Devices",15662.26,107.12,,42.20%,20.80%,45.44,1.40%,-13.79%,94.40%,0.49%,1.84%,14.90%,-3.17%,-0.86%,6.03%,27.62%,28.03%,7.45%,1.26,3.80%,-0.28%,1.03%,8.32%,-9.20%,38.26%,50.13,2.40,351.74,0.97%,135325,387.33
"ABNB","Airbnb, Inc.","Communication Services","Internet Content & Information",120372.44,,,,29.70%,621.01,4.00%,-24.79%,50.90%,5.34%,4.34%,-58.70%,3.44%,22.48%,44.00%,53.47%,,41.15%,,3.48%,14.31%,19.37%,24.58%,-5.87%,70.40%,73.13,2.30,207.04,-0.08%,4372986,194.29
"ABOS","Acumen Pharmaceuticals, Inc.","Healthcare","Biotechnology",496.63,,,,,41.91,0.50%,,70.40%,,1.86%,,-18.72%,-12.55%,-23.10%,,,-41.04%,,6.59%,-24.12%,-27.74%,-32.16%,-60.23%,-7.90%,26.49,2.00,10.73,-9.45%,39886,25.00
"ABR","Arbor Realty Trust, Inc.","Real Estate","REIT - Mortgage",2847.17,8.95,7.29%,6.50%,33.50%,142.62,1.00%,0.28%,45.60%,0.51%,4.95%,48.70%,-2.78%,0.05%,7.14%,8.05%,51.54%,35.40%,1.85,1.54%,-3.51%,0.17%,7.60%,-8.05%,49.45%,42.23,2.20,19.07,-0.68%,919146,21.62
"ABSI","Absci Corporation","Healthcare","Biotechnology",1216.05,,,,,73.29,8.40%,126.52%,29.90%,,5.54%,,-37.16%,6.59%,-41.90%,,,-47.52%,,11.16%,-12.97%,-4.86%,-28.13%,-61.72%,25.47%,43.43,2.80,12.07,6.53%,169585,26.25
"ABST","Absolute Software Corporation","Technology","Software - Application",634.26,,2.65%,-20.80%,6.30%,49.67,0.42%,0.00%,83.73%,,0.55%,-2.50%,-15.00%,-14.34%,-12.26%,-31.47%,-5.86%,-17.72%,0.74,2.89%,-11.20%,-12.23%,-25.73%,-53.40%,5.56%,25.49,2.00,9.88,0.82%,229785,
"ABT","Abbott Laboratories","Healthcare","Medical Devices",226749.11,31.90,1.39%,7.80%,11.10%,1774.52,0.20%,-6.18%,75.70%,0.21%,0.64%,20.10%,2.08%,10.17%,2.98%,10.65%,14.96%,18.22%,0.68,1.64%,3.13%,5.66%,8.58%,0.53%,24.28%,65.30,2.00,130.89,1.12%,4111334,138.61
"ABTX","Allegiance Bancshares, Inc.","Financial","Banks - Regional",860.08,11.58,1.11%,9.20%,22.20%,20.22,6.64%,0.00%,51.30%,-0.73%,1.55%,89.20%,0.09%,12.10%,16.46%,7.08%,39.81%,26.25%,1.00,2.80%,8.14%,13.55%,12.65%,0.83%,43.18%,69.97,3.00,43.74,1.51%,129765,46.25
"ABUS","Arbutus Biopharma Corporation","Healthcare","Biotechnology",454.51,,,6.20%,-21.60%,101.29,28.70%,0.00%,22.70%,4.04%,3.00%,,-6.67%,-17.65%,1.20%,19.57%,-7.44%,-5.35%,2.60,4.43%,-12.78%,-17.47%,-3.46%,-43.10%,37.45%,26.76,2.40,3.34,-0.60%,1216486,6.00
"ABVC","ABVC BioPharma, Inc.","Healthcare","Biotechnology",89.75,,,13.40%,,24.42,92.60%,0.00%,0.40%,,4.67%,,-3.78%,31.37%,67.14%,-33.46%,-11.00%,-30.20%,0.39,15.49%,4.06%,18.75%,-16.67%,-88.58%,75.38%,52.24,,3.42,-3.93%,437322,9.50
"AC","Associated Capital Group, Inc.","Financial","Capital Markets",913.08,9.25,0.48%,187.70%,-3.60%,22.08,0.50%,0.09%,72.80%,-0.03%,0.75%,,10.09%,13.27%,14.04%,16.12%,21.04%,19.59%,1.23,3.16%,11.71%,12.64%,14.58%,-3.64%,39.39%,74.36,,42.11,0.26%,10083,
"ACA","Arcosa, Inc.","Industrials","Infrastructure Operations",2689.27,38.25,0.36%,-4.70%,-2.00%,48.20,1.30%,-6.10%,93.00%,0.11%,2.42%,5.50%,-0.39%,7.05%,13.26%,-9.31%,9.13%,1.38%,,2.90%,7.05%,11.37%,0.69%,-15.78%,19.68%,66.27,1.70,57.66,3.54%,396578,66.43
"ACAD","ACADIA Pharmaceuticals Inc.","Healthcare","Biotechnology",3182.77,,,-1.80%,491.50%,160.66,0.20%,-1.32%,93.40%,-0.26%,4.89%,-40.70%,1.02%,12.91%,14.68%,-7.57%,-61.66%,-63.02%,0.58,5.14%,6.70%,14.84%,-16.26%,-64.39%,30.49%,57.87,2.60,20.46,3.49%,2366236,24.95
"ACAHU","Atlantic Coastal Acquisition Corp.","Financial","Shell Companies",,,,,,,,,39.93%,,0.00%,,0.20%,0.61%,0.20%,-0.70%,,0.10%,,0.15%,0.43%,0.47%,0.25%,-1.29%,1.63%,58.49,,9.96,0.00%,3380,
"ACB","Aurora Cannabis Inc.","Healthcare","Drug Manufacturers - Specialty & Generic",1813.23,,,-50.40%,179.40%,198.07,0.03%,0.00%,19.79%,,16.36%,,11.10%,15.36%,20.15%,9.89%,14.55%,-2.41%,3.12,6.26%,15.15%,19.54%,-1.88%,-56.16%,42.22%,63.55,3.50,8.32,2.59%,6988546,6.84
"ACBI","Atlantic Capital Bancshares, Inc.","Financial","Banks - Regional",608.09,12.73,,70.00%,15.10%,20.31,1.60%,-6.28%,89.40%,3.24%,2.43%,99.40%,1.66%,9.58%,20.90%,9.58%,99.40%,88.25%,0.82,2.75%,3.60%,11.06%,17.71%,-1.96%,111.60%,62.40,2.20,29.56,-1.37%,237960,28.00
"ACC","American Campus Communities, Inc.","Real Estate","REIT - Residential",7739.92,441.37,3.44%,-12.80%,2.90%,139.07,0.10%,-22.48%,94.00%,-0.58%,1.91%,14.90%,0.31%,6.02%,12.82%,17.19%,34.47%,27.96%,1.00,1.93%,0.54%,4.20%,12.59%,-2.77%,34.89%,53.58,2.10,53.62,-2.03%,573811,57.75
"ACCD","Accolade, Inc.","Healthcare","Health Information Services",2302.35,,,,,64.40,1.00%,0.00%,70.40%,2.98%,6.33%,-62.40%,-11.78%,-12.75%,-16.51%,-20.70%,-6.56%,-19.77%,,3.65%,-11.85%,-16.58%,-25.65%,-47.31%,-1.24%,28.08,1.50,34.38,-1.49%,679046,56.36
"ACCO","ACCO Brands Corporation","Industrials","Business Equipment & Supplies",887.49,11.37,2.84%,-3.70%,1.80%,95.60,3.16%,0.04%,91.30%,1.19%,2.83%,6.80%,-0.44%,3.51%,-0.11%,-5.38%,32.66%,8.17%,2.14,3.24%,-0.06%,-0.17%,1.07%,-8.90%,25.00%,48.87,1.60,8.90,-2.63%,487626,13.75
"ACEL","Accel Entertainment, Inc.","Consumer Cyclical","Gambling",1230.46,53.28,,,,93.62,5.40%,-8.42%,65.30%,0.03%,3.17%,-2.80%,-2.95%,5.68%,18.23%,-0.31%,17.37%,27.13%,1.19,3.92%,0.34%,3.69%,7.62%,-9.61%,44.44%,51.08,2.40,12.74,-0.78%,119591,16.50
"ACER","Acer Therapeutics Inc.","Healthcare","Biotechnology",33.10,,,37.30%,,14.31,15.34%,0.00%,29.70%,-0.05%,2.61%,,-8.38%,-1.22%,-3.21%,-11.75%,-14.27%,-8.38%,1.16,4.53%,-0.51%,-4.02%,-14.87%,-55.47%,6.19%,46.87,2.70,2.40,-0.02%,43181,10.00
"ACES","ALPS Clean Energy ETF","Financial","Exchange Traded Fund",,,0.54%,,,,,,,,,,-1.43%,13.87%,18.66%,23.37%,29.06%,-0.21%,,2.37%,3.03%,11.23%,8.15%,-21.52%,30.76%,61.24,,79.83,-0.19%,54432,
"ACET","Adicet Bio, Inc.","Healthcare","Biotechnology",293.50,,,,,31.88,1.80%,-9.78%,67.00%,0.16%,1.50%,,0.32%,16.29%,38.93%,-31.35%,-29.70%,-33.45%,2.36,5.56%,4.99%,15.27%,-13.76%,-47.36%,49.92%,60.27,1.40,9.37,0.21%,34142,28.29
"ACEV","ACE Convergence Acquisition Corp.","Financial","Shell Companies",285.76,,,,,28.75,,,51.50%,17.51%,2.47%,,0.00%,0.30%,0.91%,-0.10%,1.63%,-2.64%,,0.27%,-0.01%,0.21%,-2.02%,-26.30%,2.68%,51.30,,9.95,0.00%,114884,
"ACEVU","ACE Convergence Acquisition Corp.","Financial","Shell Companies",,,,,,,,,1.25%,,0.00%,,-1.49%,3.31%,-3.12%,-8.89%,5.50%,-3.12%,,1.17%,0.35%,1.99%,-5.30%,-30.00%,5.83%,53.75,,10.50,-0.47%,190,
"ACGL","Arch Capital Group Ltd.","Financial","Insurance - Diversified",16142.55,8.55,,19.50%,16.30%,389.27,0.20%,87.27%,99.43%,-0.82%,0.82%,21.40%,-0.61%,-0.26%,1.10%,5.45%,24.04%,17.44%,0.90,2.17%,0.41%,4.52%,8.75%,-2.36%,36.70%,55.48,1.90,42.69,0.78%,1430549,49.82
"ACGLN","Arch Capital Group Ltd.","Financial","Insurance - Diversified",,,,,,,,,,,0.01%,,-1.27%,-1.08%,-1.98%,,,2.72%,,0.74%,-0.95%,-1.29%,-0.85%,-4.04%,2.80%,38.43,,25.68,0.00%,39648,49.82
"ACH","Aluminum Corporation of China Limited","Basic Materials","Aluminum",12902.55,16.26,,25.50%,8.50%,680.91,,,1.60%,-0.29%,0.01%,5.00%,-5.21%,-26.15%,-8.67%,-9.97%,98.36%,52.88%,1.75,2.94%,-15.26%,-27.55%,-11.02%,-45.98%,86.29%,30.99,,12.91,-2.71%,106508,14.51
"ACHC","Acadia Healthcare Company, Inc.","Healthcare","Medical Care Facilities",5766.60,30.43,,-0.60%,3.10%,88.96,0.10%,-40.32%,,-0.89%,3.13%,,0.95%,14.10%,3.76%,5.37%,55.32%,29.15%,1.40,2.57%,6.87%,5.90%,6.90%,-5.10%,57.94%,66.63,2.20,65.15,0.37%,265592,75.14
"ACHL","Achilles Therapeutics plc","Healthcare","Biotechnology",243.79,,,,,40.62,,,49.60%,-2.46%,2.68%,,-16.91%,-25.10%,-9.81%,-55.47%,,-65.56%,,8.61%,-17.04%,-18.72%,-41.58%,-70.71%,1.83%,33.07,1.80,5.55,-2.63%,156391,20.00
"ACHR","Archer Aviation Inc.","Industrials","Aerospace & Defense",1483.23,,,,,62.50,18.30%,2.02%,28.40%,22.70%,18.27%,,-5.54%,-18.31%,-41.88%,-41.35%,,-42.35%,,6.76%,-3.56%,-22.54%,-38.75%,-67.80%,15.19%,38.01,2.50,5.99,3.28%,1522566,12.50
"ACHV","Achieve Life Sciences, Inc.","Healthcare","Biotechnology",77.52,,,,,9.45,0.10%,168.07%,27.10%,0.54%,4.57%,,-4.37%,0.62%,18.59%,-19.16%,-16.58%,0.00%,1.26,5.13%,-3.36%,-3.63%,-14.87%,-50.12%,21.12%,43.20,1.60,8.03,-0.86%,40387,31.50
"ACI","Albertsons Companies, Inc.","Consumer Defensive","Grocery Stores",16098.23,27.89,1.15%,23.00%,3.50%,465.30,0.30%,0.36%,58.90%,-0.84%,5.57%,1.80%,4.35%,21.88%,17.88%,79.62%,129.77%,98.01%,,4.28%,5.64%,10.16%,47.37%,-5.51%,131.16%,60.35,2.30,33.98,-2.38%,1231563,32.44
"ACII","Atlas Crest Investment Corp. II","Financial","Shell Companies",420.95,,,,,43.12,,,61.80%,1.05%,1.06%,,0.00%,-0.10%,0.93%,0.36%,,-2.40%,,0.26%,0.13%,0.29%,0.01%,-5.69%,3.38%,54.89,,9.78,0.20%,58817,
"ACIO","Aptus Collared Income Opportunity ETF","Financial","Exchange Traded Fund",,,0.75%,,,,,,,,,,-0.25%,3.69%,3.76%,9.00%,16.86%,15.10%,,0.64%,1.21%,3.60%,7.44%,-1.90%,19.47%,68.55,,32.09,0.22%,36522,
"ACIU","AC Immune SA","Healthcare","Biotechnology",430.55,,,-33.80%,-17.00%,72.89,60.54%,0.00%,28.70%,8.39%,4.15%,,-21.57%,-6.47%,-11.49%,-9.26%,12.45%,11.80%,0.80,7.05%,-11.69%,-13.41%,-18.78%,-54.40%,19.54%,34.87,1.30,5.75,-0.52%,434682,15.17
"ACIW","ACI Worldwide, Inc.","Technology","Software - Infrastructure",4013.52,48.41,,-3.10%,4.40%,117.51,0.90%,-7.56%,97.60%,-1.86%,1.87%,11.50%,9.70%,11.25%,11.14%,-11.41%,9.22%,-9.68%,1.06,3.34%,8.05%,9.59%,-4.38%,-20.14%,19.16%,63.31,1.50,34.52,-0.55%,752861,42.80
"ACKIT","Ackrell SPAC Partners I Co.","Financial","Shell Companies",,,,,,,,,9.62%,,,,0.20%,0.50%,1.41%,0.70%,,-1.18%,,0.06%,0.18%,0.50%,0.77%,-3.54%,2.34%,58.06,,10.07,-0.10%,216,
"ACKIU","Ackrell SPAC Partners I Co.","Financial","Shell Companies",335.80,,,,,18.17,3.29%,0.00%,18.20%,-0.44%,,,0.82%,2.10%,1.80%,1.80%,,1.41%,,1.54%,0.17%,0.91%,0.70%,-5.73%,27.40%,51.12,,10.37,-0.62%,5447,
"ACLS","Axcelis Technologies, Inc.","Technology","Semiconductor Equipment & Materials",2049.62,27.33,,24.70%,9.50%,33.54,2.90%,-5.93%,86.90%,-1.94%,3.27%,16.40%,-0.06%,25.20%,47.41%,63.82%,137.64%,112.26%,1.51,4.11%,14.60%,24.94%,48.17%,1.47%,151.95%,77.04,1.80,64.16,3.80%,508552,68.50
"ACM","AECOM","Industrials","Engineering & Construction",10449.96,55.00,,24.90%,-5.90%,146.11,1.18%,-3.38%,88.70%,0.60%,1.64%,3.90%,2.37%,14.43%,15.83%,11.70%,46.76%,45.96%,1.48,2.43%,6.25%,10.52%,14.91%,-0.84%,57.13%,70.44,1.60,73.24,0.80%,983885,75.78
"ACMR","ACM Research, Inc.","Technology","Semiconductor Equipment & Materials",2140.73,77.72,,34.30%,38.10%,19.12,0.10%,-94.95%,55.40%,12.74%,13.81%,11.30%,3.66%,4.72%,36.21%,70.83%,30.68%,35.74%,0.55,4.77%,-0.12%,0.42%,14.49%,-26.49%,74.97%,50.54,2.00,106.45,-3.48%,231438,134.28
