"Ticker","Company","Sector","Industry","Market Cap","P/E","Dividend Yield","EPS growth past 5 years","Sales growth past 5 years","Shares Outstanding","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Operating Margin","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Beta","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","50-Day High","50-Day Low","52-Week High","52-Week Low","Relative Strength Index (14)","Analyst Recom","Price","Change","Volume","Target Price"
"AAIC","Arlington Asset Investment Corp.","Real Estate","REIT - Mortgage",114.25,,,7.90%,,31.93,3.10%,2.62%,34.90%,-22.64%,2.85%,,-1.63%,-5.73%,-2.95%,-10.84%,12.77%,-4.23%,1.76,1.72%,-4.85%,-5.62%,-8.63%,-11.14%,0.28%,-18.78%,11.84%,29.88,2.70,3.59,-0.83%,164211,4.62
"AAL","American Airlines Group Inc.","Industrials","Airlines",11519.91,,,-29.60%,-15.80%,648.56,0.10%,0.00%,56.40%,4.18%,11.31%,-11.40%,-9.88%,-7.86%,-11.28%,-31.49%,25.19%,12.18%,1.66,3.67%,-18.81%,-19.14%,-23.34%,-27.16%,-3.67%,-37.60%,17.55%,22.72,3.10,16.28,-7.97%,81586214,19.03
"AAMC","Altisource Asset Management Corporation","Financial","Asset Management",38.31,0.50,,-41.60%,,2.05,1.60%,0.00%,24.50%,-8.71%,0.69%,,-18.95%,-29.75%,-17.51%,6.48%,-24.66%,-24.09%,1.10,5.66%,-21.90%,-24.72%,-11.39%,-33.33%,3.65%,-43.87%,42.73%,29.89,,17.90,0.00%,0,
"AAME","Atlantic American Corporation","Financial","Insurance - Life",79.05,6.18,0.51%,24.30%,3.30%,20.40,2.90%,0.00%,5.80%,-10.84%,3.11%,8.80%,-3.70%,-4.41%,-1.76%,-22.00%,82.24%,89.32%,0.21,5.13%,-8.53%,-8.40%,-8.04%,-16.78%,5.99%,-76.08%,89.11%,37.87,,3.82,-2.05%,8267,
"AAN","The Aaron's Company, Inc.","Industrials","Rental & Leasing Services",709.73,7.89,1.80%,-37.70%,-4.00%,32.48,1.30%,-12.99%,95.50%,-2.07%,2.35%,7.00%,-12.70%,-5.09%,-16.29%,-38.49%,15.69%,17.09%,,4.08%,-13.83%,-17.76%,-22.29%,-30.92%,-1.13%,-41.61%,35.12%,29.83,2.70,21.89,-1.40%,303615,34.43
"AAOI","Applied Optoelectronics, Inc.","Technology","Semiconductors",157.92,,,-43.50%,4.30%,27.10,7.60%,0.00%,49.80%,2.34%,13.68%,-26.90%,-1.50%,-22.75%,-19.37%,-31.60%,-28.88%,-30.55%,1.69,5.25%,-10.21%,-17.22%,-27.09%,-36.00%,2.16%,-59.35%,2.16%,32.86,2.70,5.67,-4.06%,725665,15.36
"AAON","AAON, Inc.","Industrials","Building Products & Equipment",4045.86,58.47,0.49%,12.10%,7.50%,52.42,0.20%,-24.16%,71.10%,-1.09%,2.31%,17.40%,0.09%,8.86%,14.52%,22.45%,19.76%,17.06%,0.58,2.37%,1.24%,7.78%,13.15%,-2.18%,19.72%,-4.82%,30.58%,61.69,3.00,77.33,-0.86%,321635,67.00
"AAP","Advance Auto Parts, Inc.","Consumer Cyclical","Specialty Retail",13878.87,22.34,1.81%,2.20%,0.70%,62.85,0.20%,-4.77%,99.18%,-1.74%,4.53%,8.00%,-4.79%,-2.13%,8.81%,15.36%,49.44%,40.13%,1.26,2.17%,-5.89%,-2.40%,7.56%,-10.21%,6.92%,-10.21%,52.45%,37.14,2.20,218.23,-1.13%,638114,254.06
"AAPL","Apple Inc.","Technology","Consumer Electronics",2666707.26,29.48,0.53%,22.00%,11.10%,16487.12,0.07%,-20.62%,58.80%,-0.59%,0.61%,29.80%,2.66%,10.35%,8.87%,32.18%,38.85%,24.58%,1.22,1.90%,6.63%,10.57%,18.99%,-0.56%,19.17%,-0.56%,41.79%,69.87,1.90,164.77,-0.32%,148757266,168.45
"AAQC","Accelerate Acquisition Corp.","Financial","Shell Companies",389.20,,,,,40.00,,,,,,,-0.31%,0.00%,1.14%,0.93%,,-0.51%,,0.47%,-0.57%,-0.28%,0.14%,-2.02%,0.31%,-2.41%,1.26%,42.51,,9.72,-0.10%,30053,
"AAT","American Assets Trust, Inc.","Real Estate","REIT - Diversified",2086.36,89.12,3.49%,-11.70%,4.60%,59.99,0.40%,,98.50%,0.45%,1.67%,24.30%,-9.02%,-9.07%,-13.61%,-10.42%,19.90%,19.11%,1.22,2.55%,-11.21%,-11.91%,-7.46%,-17.12%,-1.28%,-17.12%,24.64%,23.45,2.60,33.84,-1.63%,342703,40.30
"AATC","Autoscope Technologies Corporation","Technology","Scientific & Technical Instruments",37.25,12.64,7.10%,21.20%,-2.80%,5.34,13.60%,0.27%,29.00%,1.27%,0.72%,18.10%,-2.44%,-1.17%,-10.46%,-13.89%,49.23%,50.56%,1.10,2.51%,-3.24%,-5.29%,2.36%,-14.65%,0.30%,-42.14%,64.87%,39.80,,6.70,-0.89%,12341,
"AAU","Almaden Minerals Ltd.","Basic Materials","Gold",47.48,,,-11.30%,,137.22,7.20%,0.00%,5.00%,-0.53%,0.31%,,-2.80%,-6.91%,-16.24%,-37.17%,-66.32%,-26.77%,0.97,4.93%,-12.74%,-14.38%,-32.71%,-25.10%,1.68%,-72.72%,1.68%,31.58,,0.33,-4.69%,466027,1.10
"AAWW","Atlas Air Worldwide Holdings, Inc.","Industrials","Airports & Air Services",2545.07,5.13,,115.40%,12.00%,29.02,0.20%,-38.22%,,1.26%,13.43%,16.90%,-5.35%,8.00%,19.73%,17.87%,56.98%,60.63%,1.14,3.44%,-3.34%,2.06%,18.93%,-10.00%,18.05%,-10.00%,70.25%,46.01,2.00,85.50,-2.41%,678807,105.57
"AAXJ","iShares MSCI All Country Asia ex Japan ETF","Financial","Exchange Traded Fund",,,1.06%,,,,,,,,,,-3.47%,-3.50%,-6.16%,-13.09%,-1.97%,-7.05%,,0.87%,-3.30%,-3.30%,-8.00%,-6.24%,1.11%,-18.63%,1.11%,31.73,,83.36,0.08%,901592,
"AB","AllianceBernstein Holding L.P.","Financial","Asset Management",5076.65,14.20,6.74%,9.30%,8.00%,99.41,0.20%,0.00%,13.70%,-2.96%,0.26%,100.00%,-6.94%,-11.12%,-4.30%,11.35%,57.26%,48.42%,1.43,2.25%,-9.46%,-6.40%,6.74%,-13.19%,2.77%,-13.19%,60.20%,30.69,2.20,49.95,-0.34%,371416,56.00
"ABB","ABB Ltd","Industrials","Specialty Industrial Machinery",70585.99,34.11,2.52%,-30.70%,-5.90%,2001.00,,,6.10%,1.75%,0.29%,11.10%,-3.00%,4.57%,-6.60%,-0.66%,31.17%,23.57%,1.07,0.98%,-2.30%,-0.12%,0.42%,-5.35%,5.34%,-10.20%,28.99%,43.93,2.20,34.15,-1.16%,2013619,37.66
"ABBV","AbbVie Inc.","Healthcare","Drug Manufacturers - General",205256.04,27.44,4.51%,-2.80%,14.90%,1770.00,0.12%,-3.89%,68.40%,-0.38%,0.76%,30.10%,-0.32%,0.53%,-4.55%,3.48%,10.23%,7.59%,0.79,1.47%,-0.77%,3.36%,3.21%,-2.87%,9.42%,-4.62%,14.14%,52.43,2.00,115.91,0.55%,6178943,128.32
"ABC","AmerisourceBergen Corporation","Healthcare","Medical Distribution",24843.42,15.67,1.52%,8.70%,6.90%,206.16,0.20%,-41.18%,65.50%,-0.79%,1.78%,-2.10%,-4.43%,-5.14%,-5.29%,0.55%,12.26%,18.40%,0.47,2.26%,-7.91%,-6.52%,-3.64%,-11.94%,-0.58%,-11.94%,20.22%,30.40,2.30,114.08,-1.44%,1113164,144.08
"ABCB","Ameris Bancorp","Financial","Banks - Regional",3448.27,8.73,1.23%,24.30%,30.70%,69.44,1.30%,0.27%,92.60%,1.06%,2.71%,96.80%,-7.86%,-7.10%,-1.16%,-12.87%,43.10%,27.84%,1.29,2.76%,-9.46%,-8.69%,-6.89%,-15.11%,4.18%,-19.67%,39.08%,30.99,1.90,48.08,-1.21%,459271,59.43
"ABCL","AbCellera Biologics Inc.","Healthcare","Biotechnology",4081.84,20.92,,,,278.93,20.70%,-21.99%,43.60%,6.87%,5.30%,63.90%,3.74%,-4.77%,-10.85%,-44.32%,,-62.82%,,6.85%,-4.90%,-11.19%,-36.41%,-33.99%,10.62%,-79.72%,10.62%,45.28,1.60,14.58,-2.54%,1505710,41.50
"ABCM","Abcam plc","Healthcare","Biotechnology",5183.70,231.22,,,,219.60,,,10.30%,-2.09%,0.13%,3.50%,2.30%,-1.48%,7.14%,9.63%,18.89%,5.15%,,1.80%,-1.01%,2.83%,9.45%,-3.42%,14.84%,-8.46%,31.86%,50.82,2.00,22.60,-0.26%,108054,23.00
"ABEO","Abeona Therapeutics Inc.","Healthcare","Biotechnology",72.71,,,-11.50%,57.30%,97.99,2.50%,-5.70%,25.90%,-7.65%,2.45%,,-11.36%,-15.18%,-47.80%,-60.85%,-57.47%,-56.11%,1.39,9.07%,-28.65%,-34.98%,-58.43%,-51.60%,-6.61%,-84.16%,-6.61%,26.44,1.70,0.60,-12.89%,1117472,5.00
"ABEQ","Absolute Core Strategy ETF","Financial","Exchange Traded Fund",,,0.52%,,,,,,,,,,-3.11%,-1.99%,-3.08%,-4.63%,8.66%,6.04%,,0.37%,-4.31%,-3.04%,-2.11%,-6.04%,0.14%,-6.96%,9.55%,27.26,,26.80,-0.68%,1628,
"ABEV","Ambev S.A.","Consumer Defensive","Beverages - Brewers",44378.06,17.20,0.35%,39.83%,,15736.90,,,9.82%,,1.58%,,-7.24%,-4.73%,-13.50%,-25.98%,8.80%,-7.84%,,2.60%,-10.87%,-5.33%,-10.39%,-15.90%,10.00%,-30.38%,15.49%,30.84,3.20,2.75,-2.48%,32924059,3.51
"ABG","Asbury Automotive Group, Inc.","Consumer Cyclical","Auto & Truck Dealerships",3930.63,6.59,,15.50%,1.60%,19.30,0.10%,0.00%,89.90%,-0.16%,13.46%,7.50%,-2.48%,-16.39%,-12.13%,-15.23%,45.11%,12.28%,1.49,3.97%,-8.18%,-16.67%,-15.01%,-30.37%,2.55%,-30.37%,42.62%,32.40,2.30,160.82,-1.72%,254828,249.25
"ABGI","ABG Acquisition Corp. I","Financial","Shell Companies",189.82,,,,,19.33,3.22%,0.00%,78.70%,-7.92%,0.03%,,0.20%,0.82%,1.34%,-1.21%,,-4.93%,,0.40%,0.43%,0.93%,-0.38%,0.00%,2.26%,-8.04%,2.29%,59.08,,9.83,0.00%,15280,
"ABIO","ARCA biopharma, Inc.","Healthcare","Biotechnology",33.06,,,42.50%,,14.41,0.39%,,10.60%,29.21%,3.14%,,6.05%,-13.69%,-23.46%,-33.57%,-44.22%,-41.02%,2.48,5.48%,-8.33%,-15.13%,-30.82%,-25.57%,4.61%,-58.73%,4.61%,39.05,,2.27,-4.02%,597475,
"ABM","ABM Industries Incorporated","Industrials","Specialty Business Services",2995.65,21.09,1.69%,-68.40%,4.10%,67.50,1.00%,-1.32%,97.40%,2.26%,1.30%,3.70%,-7.37%,2.25%,-9.13%,-8.56%,16.88%,18.92%,1.35,2.18%,-7.65%,-4.95%,-8.18%,-10.82%,2.07%,-21.00%,20.71%,34.54,2.00,43.83,-2.60%,333780,62.00
"ABMD","Abiomed, Inc.","Healthcare","Medical Devices",14331.93,96.80,,42.20%,20.80%,45.44,1.40%,-15.36%,92.30%,-1.76%,2.24%,14.90%,-6.13%,-5.20%,-13.51%,12.31%,14.84%,-2.91%,1.26,3.86%,-11.67%,-10.85%,-5.94%,-19.40%,-1.80%,-21.09%,20.16%,30.09,2.40,305.71,-2.88%,225165,387.33
"ABNB","Airbnb, Inc.","Communication Services","Internet Content & Information",112394.28,,,,29.70%,621.01,4.00%,-22.23%,58.90%,12.46%,4.48%,-58.70%,-5.06%,1.10%,11.32%,14.26%,,17.53%,,4.78%,-13.98%,-8.37%,-1.47%,-23.29%,1.53%,-25.85%,34.22%,36.68,2.30,163.08,-5.48%,7603604,197.09
"ABOS","Acumen Pharmaceuticals, Inc.","Healthcare","Biotechnology",333.62,,,,,42.23,0.50%,,85.30%,,1.81%,,-18.56%,-43.77%,-55.92%,,,-60.70%,,9.02%,-34.91%,-43.46%,-50.16%,-54.06%,-0.92%,-71.91%,-0.92%,16.14,2.00,7.58,-4.05%,80365,24.00
"ABR","Arbor Realty Trust, Inc.","Real Estate","REIT - Mortgage",2508.42,8.18,7.98%,6.50%,33.50%,142.62,1.00%,0.46%,43.80%,-3.45%,3.74%,48.70%,-3.04%,-12.73%,-3.99%,-4.62%,31.76%,23.77%,1.84,1.93%,-8.51%,-9.09%,-2.95%,-16.35%,-1.14%,-16.35%,29.48%,26.35,2.20,17.35,-1.14%,2374491,21.62
"ABSI","Absci Corporation","Healthcare","Biotechnology",978.62,,,,,73.29,8.40%,182.70%,38.50%,,5.81%,,0.48%,-28.08%,-43.82%,,,-51.13%,,10.89%,-19.17%,-13.74%,-35.18%,-42.11%,9.04%,-66.73%,9.04%,38.73,2.60,10.49,-0.57%,147582,26.25
"ABST","Absolute Software Corporation","Technology","Software - Application",578.52,,2.94%,-20.80%,6.30%,49.67,0.42%,0.00%,84.10%,,0.53%,-2.50%,-1.45%,-21.26%,-27.70%,-35.40%,-14.08%,-25.69%,0.72,3.86%,-14.28%,-19.69%,-33.68%,-27.49%,0.58%,-59.20%,0.58%,17.36,,8.65,-2.26%,444340,
"ABT","Abbott Laboratories","Healthcare","Medical Devices",223800.16,30.99,1.43%,7.80%,11.10%,1774.52,0.20%,-7.27%,75.50%,-0.08%,0.57%,20.10%,0.41%,-2.42%,-0.47%,17.65%,16.22%,14.87%,0.68,1.76%,-0.38%,2.41%,5.03%,-3.70%,10.79%,-3.70%,20.34%,51.57,1.90,126.74,0.77%,4747956,138.61
"ABTX","Allegiance Bancshares, Inc.","Financial","Banks - Regional",820.73,10.87,1.19%,9.20%,22.20%,20.22,6.66%,0.00%,51.60%,-0.03%,1.21%,89.20%,-8.80%,3.22%,8.77%,-0.32%,27.70%,18.46%,1.01,3.33%,-6.42%,-0.91%,1.53%,-13.40%,14.22%,-13.40%,23.21%,39.82,3.00,39.76,-1.66%,98459,46.25
"ABUS","Arbutus Biopharma Corporation","Healthcare","Biotechnology",432.86,,,6.20%,-21.60%,101.29,28.70%,0.00%,26.30%,20.29%,2.55%,,2.89%,-20.60%,-6.71%,6.67%,-29.36%,-9.86%,2.58,5.20%,35.31%,18.96%,35.38%,-2.74%,53.16%,-21.47%,89.71%,75.41,2.40,4.61,44.06%,318993300,6.00
"ABVC","ABVC BioPharma, Inc.","Healthcare","Biotechnology",89.07,,,13.40%,,26.88,0.10%,0.00%,0.80%,,1.91%,,-6.46%,19.69%,4.83%,-43.18%,-24.00%,-40.39%,0.43,15.51%,-14.81%,1.30%,-26.38%,-74.68%,40.28%,-90.12%,51.79%,44.51,,2.96,-2.63%,122595,9.50
"AC","Associated Capital Group, Inc.","Financial","Capital Markets",878.48,8.70,0.51%,187.70%,-3.60%,22.08,0.50%,0.09%,72.80%,-0.03%,1.73%,,-4.13%,8.67%,7.13%,5.00%,3.27%,12.47%,1.24,4.36%,-0.94%,3.17%,6.92%,-11.35%,14.45%,-11.35%,31.08%,49.45,,39.60,0.25%,8543,
"ACA","Arcosa, Inc.","Industrials","Infrastructure Operations",2436.20,35.14,0.39%,-4.70%,-2.00%,48.20,0.30%,-20.58%,93.50%,0.84%,1.33%,5.50%,-12.08%,-1.08%,0.69%,-16.28%,-1.39%,-6.85%,,3.37%,-8.78%,-4.61%,-11.06%,-14.08%,4.78%,-26.00%,5.15%,35.44,1.70,50.66,-1.00%,171003,66.43
"ACAD","ACADIA Pharmaceuticals Inc.","Healthcare","Biotechnology",3054.34,,,-1.80%,491.50%,160.66,0.20%,-2.18%,91.30%,-2.51%,4.57%,-40.70%,-0.47%,6.96%,9.65%,-15.12%,-66.11%,-64.09%,0.59,5.32%,-4.45%,2.56%,-17.37%,-13.62%,14.27%,-67.04%,20.54%,47.92,2.60,18.90,-1.56%,1019115,24.95
"ACAHU","Atlantic Coastal Acquisition Corp.","Financial","Shell Companies",,,,,,,,,48.47%,,0.00%,,0.70%,1.41%,0.90%,1.01%,,0.90%,,0.28%,1.49%,1.75%,1.63%,-0.10%,2.33%,-0.10%,3.06%,67.87,,10.10,0.60%,609975,
"ACB","Aurora Cannabis Inc.","Healthcare","Drug Manufacturers - Specialty & Generic",1594.41,,,-50.40%,179.40%,198.07,0.14%,0.00%,20.03%,,18.58%,,-4.18%,-3.17%,-13.48%,-36.44%,-45.03%,-22.74%,3.10,7.47%,-16.20%,-14.44%,-25.94%,-30.84%,2.74%,-68.34%,2.74%,36.01,,6.01,-6.39%,5401143,
"ACBI","Atlantic Capital Bancshares, Inc.","Financial","Banks - Regional",572.49,11.86,,70.00%,15.10%,20.31,1.60%,-6.22%,86.80%,0.19%,2.09%,99.40%,-5.16%,1.56%,15.31%,-0.32%,99.00%,75.50%,0.82,2.89%,-6.67%,-1.98%,6.29%,-9.78%,20.39%,-9.78%,93.05%,38.18,2.20,27.22,-2.58%,110352,28.00
"ACC","American Campus Communities, Inc.","Real Estate","REIT - Residential",7231.18,417.26,3.63%,-12.80%,2.90%,139.07,0.10%,-22.69%,96.30%,1.90%,2.59%,14.90%,-2.19%,-3.69%,1.75%,6.09%,30.00%,20.97%,1.00,1.81%,-6.33%,-3.55%,4.30%,-8.98%,4.34%,-8.98%,26.08%,35.97,2.10,50.20,-2.98%,893775,58.38
"ACCD","Accolade, Inc.","Healthcare","Health Information Services",1775.34,,,,,64.40,1.00%,0.00%,73.10%,6.69%,6.24%,-62.40%,-10.96%,-35.49%,-45.82%,-50.17%,-50.55%,-40.99%,,4.98%,-27.94%,-35.65%,-45.95%,-46.28%,-3.07%,-62.70%,-3.07%,13.69,1.50,24.34,-5.18%,1036281,56.36
"ACCO","ACCO Brands Corporation","Industrials","Business Equipment & Supplies",793.54,10.27,3.15%,-3.70%,1.80%,95.60,3.16%,0.04%,90.60%,0.41%,4.18%,6.80%,-5.06%,-0.12%,-11.85%,-8.83%,7.83%,-2.25%,2.15,3.26%,-9.77%,-9.67%,-9.22%,-16.00%,-2.58%,-18.32%,4.31%,35.86,1.60,7.98,-3.39%,566353,13.40
"ACEL","Accel Entertainment, Inc.","Consumer Cyclical","Gambling",1227.68,52.82,,,,93.62,5.30%,-9.35%,65.50%,0.37%,4.93%,-2.80%,-2.53%,4.52%,10.50%,-2.60%,21.93%,26.04%,1.20,4.07%,-6.31%,-3.37%,1.20%,-14.22%,6.24%,-14.22%,37.07%,42.07,2.40,12.09,-5.03%,288482,16.50
"ACER","Acer Therapeutics Inc.","Healthcare","Biotechnology",29.80,,,37.30%,,14.31,15.34%,0.00%,29.40%,-0.88%,2.23%,,-6.25%,-10.64%,-20.15%,-28.57%,-21.93%,-19.85%,1.16,4.76%,-14.61%,-17.35%,-26.53%,-33.88%,-1.95%,-62.71%,-1.95%,29.77,2.70,2.01,-4.29%,88981,10.00
"ACES","ALPS Clean Energy ETF","Financial","Exchange Traded Fund",,,0.57%,,,,,,,,,,-5.65%,-6.55%,4.96%,6.75%,5.44%,-7.65%,,2.79%,-9.49%,-3.10%,-2.29%,-13.14%,12.77%,-30.07%,16.51%,36.50,,71.13,-3.90%,70588,
"ACET","Adicet Bio, Inc.","Healthcare","Biotechnology",342.93,,,,,31.88,1.80%,-5.96%,62.60%,-6.01%,1.34%,,14.04%,23.72%,27.43%,-14.68%,-13.71%,-24.27%,2.36,5.10%,7.63%,18.93%,-4.14%,-5.48%,48.18%,-42.81%,62.88%,62.66,1.40,10.18,-4.32%,1077338,28.29
"ACEV","ACE Convergence Acquisition Corp.","Financial","Shell Companies",286.66,473.81,,,,28.75,,,70.40%,47.74%,2.25%,,0.00%,0.00%,0.81%,-0.50%,1.02%,-2.64%,,0.28%,-0.16%,0.02%,-1.37%,-0.60%,0.51%,-26.37%,1.43%,48.11,,9.94,-0.10%,35828,
"ACEVU","ACE Convergence Acquisition Corp.","Financial","Shell Companies",,,,,,,,,1.25%,,0.00%,,0.76%,2.42%,3.22%,-6.04%,5.27%,-2.85%,,1.07%,0.33%,2.33%,-4.70%,-3.56%,4.44%,-29.47%,6.63%,55.58,,10.58,0.00%,0,
"ACGL","Arch Capital Group Ltd.","Financial","Insurance - Diversified",15447.37,8.15,,19.50%,16.30%,389.27,0.20%,96.89%,99.43%,-2.59%,0.70%,21.40%,-6.33%,-3.44%,-1.75%,2.36%,25.42%,11.95%,0.90,2.12%,-3.87%,-1.73%,2.70%,-7.28%,8.80%,-7.28%,30.42%,41.85,1.90,40.73,0.87%,2174589,49.82
"ACGLN","Arch Capital Group Ltd.","Financial","Insurance - Diversified",,,,,,,,,,,0.01%,,-0.97%,-1.77%,-2.07%,,,1.96%,,0.78%,-0.56%,-1.19%,-1.11%,-4.37%,2.36%,-4.37%,2.44%,43.81,,25.59,0.39%,40336,49.82
"ACH","Aluminum Corporation of China Limited","Basic Materials","Aluminum",11882.67,15.09,,25.50%,8.50%,680.91,,,1.70%,-0.07%,0.00%,5.00%,-6.45%,-17.80%,-32.51%,-14.55%,25.56%,42.05%,1.74,2.82%,-9.81%,-25.65%,-18.56%,-44.41%,-0.66%,-49.83%,58.39%,27.60,,11.99,-2.76%,207848,14.51
"ACHC","Acadia Healthcare Company, Inc.","Healthcare","Medical Care Facilities",5272.12,26.33,,-0.60%,3.10%,88.96,0.10%,-39.01%,,-0.27%,3.13%,,-8.95%,-9.40%,-15.05%,-12.28%,32.32%,11.76%,1.40,2.57%,-13.92%,-12.02%,-12.33%,-19.53%,-1.19%,-21.69%,28.98%,24.37,2.20,53.76,-4.29%,863499,75.14
"ACHL","Achilles Therapeutics plc","Healthcare","Biotechnology",222.51,,,,,40.62,,,47.80%,-5.71%,3.58%,,5.59%,-16.94%,-24.78%,-59.72%,,-69.18%,,8.37%,-17.05%,-26.24%,-46.88%,-45.44%,7.56%,-74.09%,7.56%,34.31,1.80,4.91,-3.73%,67238,20.00
"ACHR","Archer Aviation Inc.","Industrials","Aerospace & Defense",1479.26,,,,,236.89,18.30%,2.33%,28.70%,25.29%,20.76%,,1.82%,8.07%,-38.40%,-37.84%,,-38.77%,,6.68%,-0.15%,-13.15%,-35.80%,-35.73%,16.92%,-67.31%,16.92%,44.53,2.50,6.08,-1.30%,1834077,12.50
"ACHV","Achieve Life Sciences, Inc.","Healthcare","Biotechnology",66.89,,,,,9.45,0.10%,0.00%,25.50%,-5.28%,4.68%,,-5.26%,-13.15%,-13.77%,-11.44%,-16.47%,-11.11%,1.26,5.41%,-14.00%,-16.74%,-24.42%,-31.91%,0.00%,-57.33%,3.62%,28.54,1.60,6.87,-4.58%,53405,31.50
"ACI","Albertsons Companies, Inc.","Consumer Defensive","Grocery Stores",16905.63,28.20,1.14%,23.00%,3.50%,465.30,0.50%,0.21%,58.60%,-1.37%,8.33%,1.80%,-2.74%,13.70%,15.91%,77.01%,119.53%,100.17%,,3.97%,-0.87%,8.21%,42.88%,-6.42%,28.28%,-6.42%,132.99%,53.12,2.30,34.25,-2.67%,881896,32.56
"ACII","Atlas Crest Investment Corp. II","Financial","Shell Companies",421.81,,,,,43.12,,,69.40%,10.78%,1.06%,,0.10%,0.10%,1.24%,0.41%,,-2.20%,,0.27%,-0.08%,-0.01%,-0.19%,-0.51%,0.51%,-5.88%,3.17%,48.17,,9.76,-0.20%,16484,
"ACIO","Aptus Collared Income Opportunity ETF","Financial","Exchange Traded Fund",,,0.77%,,,,,,,,,,-1.66%,-0.95%,0.67%,5.31%,14.53%,12.76%,,0.73%,-2.32%,-0.12%,3.64%,-4.74%,5.06%,-4.74%,16.01%,39.50,,31.16,-0.67%,59613,
