no,ticker,company,sector,industry,country,market_cap,pe,forward_pe,peg,ps,pb,pcash,pfree_cash_flow,dividend_yield,payout_ratio,eps_ttm,eps_growth_this_year,eps_growth_next_year,eps_growth_past_5_years,eps_growth_next_5_years,sales_growth_past_5_years,eps_growth_quarter_over_quarter,sales_growth_quarter_over_quarter,shares_outstanding,shares_float,insider_ownership,insider_transactions,institutional_ownership,institutional_transactions,float_short,short_ratio,return_on_assets,return_on_equity,return_on_investment,current_ratio,quick_ratio,lt_debtequity,total_debtequity,gross_margin,operating_margin,profit_margin,performance_week,performance_month,performance_quarter,performance_half_year,performance_year,performance_ytd,beta,average_true_range,volatility_week,volatility_month,20day_simple_moving_average,50day_simple_moving_average,200day_simple_moving_average,50day_high,50day_low,52week_high,52week_low,relative_strength_index_14,change_from_open,gap,ar,average_volume,relative_volume,price,change,volume,earnings_date,target_price,ipo_date,afterhours_close,afterhours_change,analyst_recom,rs_rating,returns_multiple,current_price,ma_20_day,ma_50_day,ma_200_day,low_52_week,high_52_week,sentiment_score,est_gl,my_score,in_sp1500
688,AXP,American Express Company,Financial,Credit Services,USA,151860.33,19.25,16.94,0.56,3.54,6.19,5.56,18.17,0.89%,20.00%,9.99,-52.90%,17.14%,-5.70%,34.57%,2.20%,73.70%,23.30%,786.0,766.95,0.10%,-38.09%,86.70%,-0.48%,1.31%,2.36,3.70%,28.40%,2.10%,,,1.41,4.96,68.60%,21.40%,16.20%,2.38%,11.00%,5.75%,16.05%,47.19%,17.57%,1.14,5.15,2.61%,3.20%,8.22%,12.72%,14.37%,-3.21%,27.00%,-3.21%,52.57%,67.83,0.05%,0.23%,2.4,4266.51,0.89,192.35,0.28%,3807337,1/25/2022 8:30:00 AM,195.52,4/4/1972,192.38,0.01%,56.0,94,1.32,192.35,178.94,171.36,168.37,126.08,198.72,11.0,1.65,53.666666666666664,True
715,BAC,Bank of America Corporation,Financial,Banks - Diversified,USA,397240.64,13.32,12.51,0.56,8.33,1.61,0.45,,1.77%,23.90%,3.56,-32.00%,16.25%,7.40%,23.89%,0.80%,69.00%,7.40%,8430.7,8103.31,0.10%,-1.54%,72.80%,0.04%,0.74%,1.16,0.90%,10.50%,7.30%,,,1.11,2.03,,89.10%,54.90%,-2.25%,-2.75%,1.09%,14.85%,38.37%,6.59%,1.41,1.34,2.65%,3.01%,1.18%,2.99%,9.54%,-5.37%,11.35%,-5.37%,44.09%,51.69,-1.21%,0.17%,2.4,51639.08,0.87,47.42,-1.04%,44746916,1/19/2022 8:30:00 AM,51.73,6/5/1979,47.38,-0.08%,56.0,90,1.24,47.42,46.84,46.09,43.32,33.7,50.11,16.0,9.09,54.0,True
919,BK,The Bank of New York Mellon Corporation,Financial,Asset Management,USA,51691.97,15.54,10.65,1.23,17.12,1.33,0.26,,2.21%,31.20%,3.96,-15.10%,21.21%,7.20%,12.65%,4.30%,-2.80%,-15.50%,844.09,823.92,0.10%,0.00%,85.50%,-0.82%,1.11%,2.07,0.70%,8.50%,2.80%,,,0.66,0.66,,93.70%,,-1.25%,-3.42%,2.31%,13.27%,43.79%,5.84%,1.09,1.8,2.59%,3.42%,1.15%,3.43%,12.05%,-4.89%,13.02%,-4.89%,47.84%,52.7,-1.41%,0.03%,2.1,4405.25,1.21,61.47,-1.38%,5335431,1/18/2022 8:30:00 AM,68.75,12/4/1969,61.47,0.00%,66.0,92,1.28,61.47,60.67,59.54,54.92,41.9,64.63,29.0,11.84,62.333333333333336,True
933,BKR,Baker Hughes Company,Energy,Oil & Gas Equipment & Services,USA,27859.04,,16.64,,1.36,1.44,6.44,57.56,2.52%,,-0.36,2200.00%,35.36%,-27.10%,50.90%,5.60%,103.70%,0.90%,851.0,829.21,0.10%,-99.01%,93.60%,1.00%,8.10%,7.73,-0.10%,-0.20%,-70.90%,1.6,1.2,0.4,0.4,19.70%,3.00%,-0.20%,3.67%,8.64%,17.16%,34.12%,22.86%,18.62%,1.52,1.13,4.05%,4.65%,4.66%,10.67%,18.11%,-2.53%,25.37%,-2.53%,52.21%,61.87,-1.42%,-0.65%,2.0,8693.48,0.84,28.54,-2.06%,7327334,1/20/2022 8:30:00 AM,32.41,10/3/1961,28.59,0.18%,69.0,82,1.1,28.54,27.32,25.87,24.2,18.75,29.28,2.0,13.56,51.0,True
1278,CBT,Cabot Corporation,Basic Materials,Specialty Chemicals,USA,3984.5,41.33,10.82,3.48,1.1,4.99,22.26,,2.12%,81.90%,1.69,199.60%,11.24%,13.30%,11.86%,7.20%,-252.90%,29.80%,56.8,56.15,1.10%,-0.63%,93.60%,0.77%,2.15%,3.12,3.10%,11.30%,15.60%,1.2,0.8,0.9,1.65,22.30%,7.00%,2.70%,9.26%,16.45%,19.65%,26.79%,39.61%,24.06%,1.56,2.19,3.43%,3.89%,14.94%,20.40%,23.51%,-1.91%,36.47%,-1.91%,46.50%,74.26,0.37%,0.07%,2.0,387.39,1.37,69.72,0.45%,529232,1/31/2022 4:30:00 PM,75.0,8/23/1968,69.72,0.00%,69.0,91,1.25,69.72,61.09,58.23,56.52,47.59,71.08,8.0,7.57,56.0,True
1343,CEIX,CONSOL Energy Inc.,Energy,Thermal Coal,USA,1044.97,36.2,6.27,,0.82,2.25,6.45,6.6,,0.00%,0.87,-113.30%,-25.52%,-15.30%,,-6.50%,,25.70%,34.48,33.72,1.90%,0.00%,85.30%,4.24%,4.81%,3.62,1.40%,6.60%,2.50%,0.7,0.6,1.34,1.46,91.90%,6.50%,2.90%,30.72%,29.33%,22.89%,39.26%,185.19%,39.01%,2.48,1.67,7.18%,7.10%,30.62%,34.74%,42.65%,0.19%,65.20%,-12.86%,264.97%,77.35,0.25%,0.00%,2.0,447.9,1.45,31.57,0.25%,650595,2/8/2022 8:30:00 AM,33.33,11/14/2017,31.29,-0.89%,69.0,99,2.55,31.57,24.47,23.63,22.24,8.65,36.23,31.0,5.57,66.33333333333333,True
1357,CENX,Century Aluminum Company,Basic Materials,Aluminum,USA,1684.69,,5.02,,0.87,5.38,29.25,,,,-2.92,-51.40%,396.90%,-20.30%,,-3.80%,10.60%,48.00%,90.1,49.84,0.90%,0.00%,58.20%,1.11%,9.82%,3.85,-18.60%,-64.00%,-9.10%,1.1,0.4,1.03,1.22,2.80%,-1.20%,-13.50%,18.57%,13.83%,19.31%,61.23%,42.14%,15.28%,2.61,1.06,7.00%,6.51%,14.32%,20.13%,35.37%,-0.10%,54.70%,-2.60%,83.73%,68.89,0.95%,1.45%,2.0,1272.04,1.21,19.09,2.41%,1538950,2/24/2022 4:30:00 PM,18.33,3/29/1996,19.09,0.00%,69.0,92,1.27,19.09,16.81,16.01,14.12,10.39,19.6,9.0,-3.98,56.666666666666664,True
1370,CF,"CF Industries Holdings, Inc.",Basic Materials,Agricultural Inputs,USA,14731.48,51.82,6.44,0.83,2.89,5.23,19.46,15.71,1.68%,86.40%,1.38,-33.80%,142.93%,-13.10%,62.70%,-0.90%,-557.70%,60.80%,214.9,213.64,0.40%,-37.92%,94.90%,0.55%,2.07%,1.4,2.50%,9.90%,8.60%,1.8,1.4,1.18,1.18,27.70%,14.50%,5.90%,-1.38%,8.97%,10.67%,54.04%,57.96%,0.96%,1.06,3.81,5.85%,5.55%,1.02%,4.82%,25.64%,-7.48%,23.85%,-7.48%,68.10%,50.93,-5.34%,-1.63%,2.1,3157.5,1.88,71.46,-6.88%,5941302,2/15/2022 4:30:00 PM,73.74,8/11/2005,71.6,0.20%,66.0,95,1.41,71.46,70.99,68.42,56.99,42.85,77.24,14.0,3.19,58.333333333333336,True
1377,CFG,"Citizens Financial Group, Inc.",Financial,Banks - Regional,USA,23092.58,10.4,10.57,,4.76,1.07,1.46,,2.91%,34.70%,5.16,-41.70%,19.55%,7.50%,-2.76%,6.80%,74.50%,-4.50%,426.09,424.13,0.10%,0.00%,97.10%,-0.58%,3.08%,2.7,1.00%,9.10%,12.90%,,,0.32,0.32,,91.80%,39.50%,-1.05%,-3.66%,8.71%,21.21%,27.67%,13.57%,1.47,1.58,2.43%,3.16%,0.63%,6.03%,12.83%,-5.86%,23.19%,-5.86%,35.66%,54.51,-1.79%,0.31%,2.0,4837.44,0.88,53.66,-1.49%,4276414,1/19/2022 8:30:00 AM,60.53,9/24/2014,53.66,0.00%,69.0,85,1.14,53.66,53.19,50.72,47.59,39.56,57.0,14.0,12.8,56.0,True
1605,CNXC,Concentrix Corporation,Technology,Information Technology Services,USA,10698.5,26.29,18.67,1.69,1.91,3.98,58.78,29.3,0.49%,0.00%,7.69,141.20%,-10.52%,,15.60%,28.60%,88.80%,12.70%,51.56,42.23,0.60%,-14.17%,85.10%,0.77%,1.72%,2.71,7.90%,15.80%,12.30%,1.6,1.6,0.31,0.31,35.30%,10.20%,7.20%,1.74%,17.54%,11.05%,22.03%,82.59%,13.22%,,7.24,3.03%,4.24%,7.45%,12.64%,19.17%,-2.99%,31.15%,-2.99%,91.84%,63.93,0.60%,0.41%,1.0,268.74,0.71,202.24,1.01%,189824,1/18/2022 4:30:00 PM,215.67,11/24/2020,202.24,0.00%,100.0,98,1.63,202.24,190.0,180.19,169.94,105.42,208.48,14.0,6.64,70.66666666666667,True
1643,COOP,Mr. Cooper Group Inc.,Financial,Mortgage Finance,USA,3180.24,3.11,7.34,,0.87,1.22,4.35,,,0.00%,16.22,8.30%,23.06%,21.80%,-8.54%,240.20%,80.90%,-0.30%,78.94,73.64,1.60%,-8.48%,89.10%,0.04%,3.36%,2.83,6.20%,48.30%,4.00%,,,3.15,3.98,,47.80%,39.80%,30.98%,15.07%,17.23%,31.53%,63.00%,21.32%,1.6,1.78,6.20%,3.91%,21.96%,21.86%,30.11%,1.32%,34.72%,1.32%,76.26%,79.19,2.08%,0.47%,2.1,872.47,2.38,50.48,2.56%,2076158,2/11/2022 8:30:00 AM,51.86,3/28/2012,50.48,0.00%,66.0,96,1.46,50.48,41.69,41.62,38.88,28.64,51.18,19.0,2.73,60.333333333333336,True
1644,COP,ConocoPhillips,Energy,Oil & Gas E&P,USA,118670.78,15.09,11.66,8.5,2.59,2.77,11.29,55.79,1.66%,146.30%,6.07,-139.20%,-9.72%,6.80%,1.78%,-8.60%,526.20%,158.20%,1332.29,1317.82,0.10%,-20.39%,80.50%,0.09%,1.30%,2.1,2.30%,4.60%,-2.40%,1.9,1.8,0.42,0.45,48.20%,5.90%,4.00%,-1.50%,9.48%,26.87%,67.50%,87.93%,26.84%,1.45,3.17,3.05%,3.75%,2.65%,14.27%,37.54%,-3.56%,38.97%,-3.56%,99.79%,61.21,-1.03%,-1.09%,1.8,8135.2,0.87,91.55,-2.11%,7111056,2/3/2022 8:30:00 AM,99.98,1/13/1978,91.45,-0.11%,75.0,98,1.67,91.55,89.43,80.6,66.91,47.51,94.93,11.0,9.21,61.333333333333336,True
1666,CPF,Central Pacific Financial Corp.,Financial,Banks - Regional,USA,807.69,10.3,11.31,1.29,3.69,1.47,2.26,34.22,3.43%,46.90%,2.83,-35.00%,13.51%,-1.20%,8.00%,6.40%,202.80%,12.00%,27.97,27.29,0.40%,-0.05%,91.90%,1.83%,2.07%,3.25,0.80%,10.20%,28.00%,,,0.19,0.19,,87.70%,25.50%,0.79%,-4.51%,2.28%,12.18%,34.33%,3.62%,1.21,0.78,2.63%,3.00%,-0.51%,1.76%,8.17%,-5.75%,10.69%,-5.75%,38.74%,50.58,-1.88%,0.44%,1.7,173.62,2.28,29.19,-1.45%,396653,1/26/2022 8:30:00 AM,32.67,8/28/1987,29.19,0.00%,78.0,89,1.2,29.19,29.25,28.71,27.0,21.04,30.97,10.0,11.92,59.0,True
1747,CSGS,"CSG Systems International, Inc.",Technology,Software - Infrastructure,USA,1937.19,28.24,15.52,,1.88,4.34,8.63,18.86,1.66%,47.00%,2.13,-28.70%,8.39%,-0.60%,-5.00%,5.70%,20.10%,7.80%,31.76,31.56,2.10%,0.00%,99.70%,0.45%,4.44%,5.32,5.00%,15.20%,9.70%,1.1,1.1,0.32,0.85,48.00%,11.30%,6.40%,4.44%,4.17%,14.41%,27.07%,26.69%,4.44%,0.86,1.69,3.17%,3.02%,4.74%,5.38%,20.32%,-2.27%,14.15%,-2.27%,41.33%,63.56,-1.17%,0.21%,1.0,263.57,1.18,60.18,-0.95%,310124,2/1/2022 4:30:00 PM,66.0,2/28/1996,60.18,0.00%,100.0,84,1.13,60.18,57.59,57.24,50.09,42.58,61.58,18.0,9.67,67.33333333333333,True
1785,CTRA,Coterra Energy Inc.,Energy,Oil & Gas E&P,USA,18021.6,26.58,6.82,0.36,10.72,3.99,236.19,60.41,1.94%,47.80%,0.87,-69.30%,16.56%,30.70%,74.49%,1.60%,514.80%,51.30%,813.58,797.84,1.30%,-4.51%,64.10%,16.68%,3.55%,3.46,7.60%,15.30%,7.60%,1.0,0.9,0.41,0.41,62.10%,29.00%,20.90%,0.13%,6.36%,12.77%,55.05%,31.00%,22.26%,-0.2,0.96,4.16%,4.29%,6.60%,11.04%,24.87%,-4.25%,26.32%,-4.25%,67.97%,59.19,-3.21%,-0.46%,2.3,8182.95,1.0,23.23,-3.65%,8190445,2/23/2022 4:30:00 PM,27.52,2/8/1990,23.57,1.46%,59.0,84,1.13,23.23,21.84,20.98,18.97,14.28,24.39,30.0,18.47,57.666666666666664,True
1833,CVX,Chevron Corporation,Energy,Oil & Gas Integrated,USA,258199.69,16.8,14.82,,1.66,1.93,42.8,,3.92%,279.00%,8.13,-291.90%,-11.97%,-26.20%,-4.90%,-6.10%,,77.30%,1918.01,1897.83,0.04%,-59.82%,67.80%,0.68%,1.22%,1.89,1.50%,2.70%,-2.10%,1.3,1.0,0.27,0.27,42.70%,2.80%,2.30%,-1.36%,7.78%,19.64%,35.42%,46.75%,16.46%,1.17,3.3,2.25%,2.52%,2.75%,9.74%,24.14%,-1.99%,23.43%,-1.99%,49.61%,61.02,-0.87%,-0.68%,2.2,12308.32,1.27,136.67,-1.54%,15575786,1/28/2022 8:30:00 AM,141.05,6/24/1921,137.01,0.25%,63.0,93,1.31,136.67,133.4,124.97,110.26,92.61,139.44,13.0,3.2,56.333333333333336,True
2183,DVN,Devon Energy Corporation,Energy,Oil & Gas E&P,USA,34144.07,30.23,9.48,1.21,3.83,3.93,14.71,12.41,0.84%,19.80%,1.73,3855.60%,64.25%,26.40%,25.00%,-18.20%,535.60%,224.80%,671.0,640.84,0.50%,-3.31%,90.10%,-2.27%,2.69%,1.47,6.70%,16.70%,-31.00%,1.2,1.2,0.76,0.76,42.90%,16.00%,13.40%,-0.63%,5.28%,26.86%,101.50%,166.45%,18.64%,2.91,2.48,3.98%,5.46%,2.11%,11.72%,51.08%,-5.74%,47.00%,-5.74%,193.14%,57.22,-2.92%,-0.52%,1.8,11755.08,1.01,52.26,-3.42%,11925637,2/15/2022 4:30:00 PM,55.23,3/17/1992,52.26,0.00%,75.0,99,2.24,52.26,51.27,47.13,35.74,19.61,55.44,31.0,5.68,68.33333333333333,True
2262,ECPG,"Encore Capital Group, Inc.",Financial,Mortgage Finance,USA,2068.18,7.13,8.05,0.55,1.42,1.52,13.07,,,0.00%,9.88,25.30%,-19.66%,21.00%,13.00%,5.70%,55.20%,-7.10%,30.23,28.76,0.40%,-41.92%,,1.44%,17.56%,11.67,6.60%,23.80%,9.40%,,,2.0,2.0,77.60%,40.10%,21.50%,5.01%,10.19%,19.58%,50.01%,110.98%,13.49%,1.35,1.9,2.16%,3.16%,6.39%,13.05%,34.48%,0.07%,27.91%,0.07%,121.53%,71.51,1.88%,-0.04%,2.2,432.63,0.64,70.49,1.83%,276661,2/23/2022 4:30:00 PM,69.0,7/9/1999,71.71,1.73%,63.0,99,1.89,70.49,66.41,62.58,52.57,31.82,70.81,17.0,-2.11,59.666666666666664,True
2424,ENVA,"Enova International, Inc.",Financial,Credit Services,USA,1671.46,6.51,6.31,,1.38,1.43,7.3,3.75,,0.00%,6.79,214.60%,19.98%,54.40%,,0.90%,-56.00%,76.10%,36.74,36.08,1.80%,-10.89%,90.80%,0.53%,2.35%,2.41,21.10%,46.30%,18.70%,15.9,15.9,0.95,0.95,,56.00%,39.80%,-1.87%,0.82%,2.96%,37.91%,50.20%,7.81%,1.52,1.97,4.36%,4.81%,5.77%,8.10%,21.52%,-7.77%,21.45%,-7.77%,63.56%,56.87,-0.88%,-0.62%,2.0,352.2,1.15,44.16,-1.49%,405174,2/3/2022 4:30:00 PM,50.6,10/30/2014,44.16,0.00%,69.0,94,1.34,44.16,41.75,40.96,36.39,27.0,47.88,20.0,14.58,61.0,True
2432,EOG,"EOG Resources, Inc.",Energy,Oil & Gas E&P,USA,64030.15,21.93,10.64,0.3,4.12,3.03,14.92,12.69,2.65%,31.00%,5.17,-122.20%,23.49%,33.90%,73.84%,4.80%,,105.70%,585.09,583.05,0.30%,1.90%,87.80%,-0.53%,1.14%,1.47,8.30%,14.40%,-1.60%,2.1,2.0,0.23,0.24,60.80%,26.20%,19.40%,-1.12%,11.19%,22.36%,76.04%,86.25%,27.67%,1.82,4.23,3.33%,4.06%,3.63%,15.90%,35.94%,-2.98%,40.59%,-2.98%,99.09%,62.45,-2.24%,-0.63%,2.0,4518.26,0.88,113.41,-2.86%,3959466,2/25/2022 8:30:00 AM,116.55,10/4/1989,113.41,0.00%,69.0,97,1.61,113.41,109.83,98.71,85.35,60.46,116.89,18.0,2.77,61.333333333333336,True
2586,EWBC,"East West Bancorp, Inc.",Financial,Banks - Diversified,USA,12857.46,14.65,12.05,1.83,7.94,2.23,1.53,,1.48%,22.80%,6.1,-13.90%,13.95%,8.30%,8.00%,8.60%,40.20%,13.60%,141.88,140.8,0.60%,-0.38%,91.80%,0.89%,2.17%,3.32,1.30%,13.80%,21.00%,,,0.03,0.03,,86.50%,46.50%,1.05%,-0.41%,7.57%,19.02%,29.21%,13.56%,1.63,2.71,2.85%,3.36%,2.85%,7.92%,15.27%,-3.53%,24.17%,-3.53%,35.65%,59.01,-0.89%,0.29%,1.7,920.27,1.57,89.35,-0.60%,1447279,1/27/2022 8:30:00 AM,107.9,2/3/1999,89.35,0.00%,78.0,86,1.15,89.35,86.82,83.01,77.58,65.87,92.62,17.0,20.76,60.333333333333336,True
