,ticker,company,sector,industry,market cap,analyst_recom,sentiment_score,rs_rating,returns_multiple,current_price,target_price,est_gl,performance_(week),performance_(month),performance_(quarter),performance_(half year),performance_(year),performance_(ytd),50_day_ma,200_day_ma,52_week_low,52_week_high,my_score,in_sp1500
84,CUBI,"Customers Bancorp, Inc.",Financial,Banks - Regional,1900.02,79.0,22.0,97,2.53,58.48,65.75,12.43,-0.86%,28.41%,53.37%,65.01%,283.94%,221.67%,46.46,37.7,16.65,61.48,66.0,True
88,DAR,Darling Ingredients Inc.,Consumer Defensive,Packaged Foods,12966.46,89.0,45.0,76,1.23,77.69,98.33,26.57,-6.89%,4.62%,2.36%,8.37%,63.90%,34.69%,76.26,72.02,46.09,85.98,70.0,True
90,DCOM,"Dime Community Bancshares, Inc.",Financial,Banks - Regional,1528.44,86.5,26.0,83,1.36,37.27,40.6,8.93,-1.45%,7.13%,12.26%,8.94%,80.22%,54.14%,34.29,32.75,20.67,38.35,65.16666666666667,True
91,DECK,Deckers Outdoor Corporation,Consumer Cyclical,Footwear & Accessories,11356.99,94.0,15.0,78,1.27,417.69,476.33,14.04,0.00%,16.59%,-1.04%,25.61%,66.34%,45.65%,393.09,366.1,241.24,451.49,62.333333333333336,True
95,DIOD,Diodes Incorporated,Technology,Semiconductors,4943.12,79.0,14.0,81,1.31,108.64,117.67,8.31,0.84%,24.10%,23.50%,55.18%,68.96%,54.10%,94.91,83.88,61.74,111.35,58.0,True
96,DKS,"DICK'S Sporting Goods, Inc.",Consumer Cyclical,Specialty Retail,11834.75,76.5,23.0,94,1.94,134.44,152.33,13.31,3.15%,12.28%,32.35%,61.26%,175.41%,149.39%,126.73,100.62,51.51,147.39,64.5,True
101,DVN,Devon Energy Corporation,Energy,Oil & Gas E&P,29328.72,86.5,24.0,97,2.54,43.18,47.69,10.44,-2.13%,7.68%,62.63%,68.10%,277.36%,181.17%,37.22,28.2,12.27,44.79,69.16666666666667,True
106,ECPG,"Encore Capital Group, Inc.",Financial,Mortgage Finance,1742.27,76.5,19.0,85,1.44,59.08,66.75,12.98,-1.53%,15.50%,23.86%,36.57%,93.70%,51.68%,51.65,45.0,29.21,60.75,60.166666666666664,True
110,ENVA,"Enova International, Inc.",Financial,Credit Services,1481.85,81.5,20.0,87,1.51,42.23,44.5,5.38,6.91%,17.14%,33.85%,18.76%,103.91%,70.49%,35.16,34.02,20.24,43.47,62.833333333333336,True
111,EPAM,"EPAM Systems, Inc.",Technology,Information Technology Services,37295.39,81.5,18.0,88,1.54,660.68,780.53,18.14,-7.92%,6.74%,6.50%,47.98%,98.18%,84.37%,630.42,515.36,311.82,725.4,62.5,True
122,EVR,Evercore Inc.,Financial,Capital Markets,6865.14,84.0,19.0,82,1.35,155.32,172.12,10.82,2.49%,0.55%,15.81%,7.32%,78.98%,41.66%,146.69,137.63,87.16,164.63,61.666666666666664,True
124,EWBC,"East West Bancorp, Inc.",Financial,Banks - Diversified,11996.54,86.5,15.0,86,1.46,83.98,99.18,18.1,0.85%,1.43%,14.84%,9.66%,94.53%,65.61%,79.03,74.62,42.42,87.77,62.5,True
126,FANG,"Diamondback Energy, Inc.",Energy,Oil & Gas E&P,19925.0,86.5,28.0,96,2.3,111.17,128.29,15.4,-3.92%,2.67%,54.66%,38.96%,230.86%,129.69%,99.91,84.16,34.7,117.71,70.16666666666667,True
132,FITB,Fifth Third Bancorp,Financial,Banks - Regional,30571.39,81.5,16.0,81,1.32,44.62,48.58,8.87,0.81%,2.34%,18.36%,6.21%,75.74%,61.84%,42.72,39.21,25.0,45.92,59.5,True
138,FTNT,"Fortinet, Inc.",Technology,Software - Infrastructure,53945.88,76.5,19.0,95,2.18,335.13,367.7,9.72,-4.57%,6.29%,12.22%,64.08%,189.10%,125.63%,316.08,246.86,115.17,355.35,63.5,True
142,GDEN,"Golden Entertainment, Inc.",Consumer Cyclical,Resorts & Casinos,1457.65,89.0,30.0,96,2.39,50.16,65.8,31.18,-2.64%,-0.38%,10.78%,21.42%,223.20%,152.19%,49.17,39.95,15.37,54.86,71.66666666666667,True
148,GMS,GMS Inc.,Industrials,Building Products & Equipment,2489.86,79.0,17.0,84,1.39,57.37,60.67,5.75,-2.23%,23.67%,19.37%,26.17%,99.06%,88.22%,48.6,44.95,26.77,60.36,60.0,True
149,GPI,"Group 1 Automotive, Inc.",Consumer Cyclical,Auto & Truck Dealerships,3656.39,84.0,22.0,80,1.3,205.3,266.0,29.57,2.34%,12.92%,24.35%,22.71%,74.50%,56.55%,187.51,167.52,115.19,209.72,62.0,True
151,GT,The Goodyear Tire & Rubber Company,Consumer Cyclical,Auto Parts,6377.81,76.5,16.0,91,1.66,22.76,23.57,3.56,-1.39%,20.81%,44.32%,16.06%,127.83%,108.62%,19.07,17.55,9.95,24.89,61.166666666666664,True
154,HLIT,Harmonic Inc.,Technology,Communication Equipment,1101.56,76.5,41.0,79,1.28,10.77,12.5,16.06,-0.28%,16.18%,13.37%,54.52%,72.04%,45.74%,9.32,8.43,6.2,11.2,65.5,True
169,ISBC,"Investors Bancorp, Inc.",Financial,Banks - Regional,3951.43,81.5,26.0,80,1.29,16.01,16.93,5.75,2.63%,3.42%,15.18%,7.31%,74.59%,51.61%,15.16,14.42,9.35,16.2,62.5,True
172,JBL,Jabil Inc.,Technology,Electronic Components,9345.91,86.5,26.0,79,1.28,63.86,73.0,14.31,-0.55%,2.41%,7.56%,19.39%,69.35%,50.15%,61.89,55.82,37.17,65.79,63.833333333333336,True
173,JCI,Johnson Controls International plc,Industrials,Engineering & Construction,54347.71,79.0,22.0,82,1.35,78.33,83.39,6.46,5.18%,9.86%,7.30%,22.72%,75.43%,68.13%,72.87,66.75,44.11,79.12,61.0,True
174,JEF,Jefferies Financial Group Inc.,Financial,Financial Conglomerates,10546.65,89.0,21.0,83,1.38,42.89,50.33,17.35,-1.15%,3.03%,23.67%,35.13%,84.39%,74.35%,40.0,34.1,22.7,44.47,64.33333333333333,True
176,KBR,"KBR, Inc.",Industrials,Engineering & Construction,6280.74,81.5,21.0,80,1.29,45.02,50.67,12.55,1.97%,6.13%,14.47%,9.83%,72.29%,45.55%,41.3,38.39,26.24,45.48,60.833333333333336,True
180,KFY,Korn Ferry,Industrials,Staffing & Employment Services,4434.65,96.5,15.0,89,1.6,80.88,97.75,20.86,-1.46%,7.48%,19.57%,22.23%,111.84%,85.93%,75.86,67.85,37.86,84.68,66.83333333333333,True
181,KIM,Kimco Realty Corporation,Real Estate,REIT - Retail,14876.74,74.0,19.0,75,1.22,23.87,25.07,5.03,2.36%,6.04%,11.75%,14.87%,67.86%,59.03%,22.37,20.79,14.03,24.95,56.0,True
188,LGND,Ligand Pharmaceuticals Incorporated,Healthcare,Biotechnology,2755.41,81.5,15.0,87,1.52,164.11,211.71,29.0,6.69%,25.99%,52.99%,33.93%,96.05%,65.02%,140.21,137.19,79.52,219.75,61.166666666666664,True
189,LKQ,LKQ Corporation,Consumer Cyclical,Auto Parts,16922.77,94.0,17.0,76,1.24,58.87,65.89,11.92,2.33%,6.55%,17.60%,18.05%,63.35%,67.05%,53.68,48.43,34.11,59.42,62.333333333333336,True
194,LPX,Louisiana-Pacific Corporation,Industrials,Building Products & Equipment,5726.28,71.5,27.0,88,1.54,66.81,76.12,13.94,3.36%,0.57%,19.26%,3.42%,114.48%,79.74%,63.26,59.19,31.72,76.35,62.166666666666664,True
199,MANH,"Manhattan Associates, Inc.",Technology,Software - Application,10940.89,76.5,13.0,85,1.44,173.72,195.0,12.25,-1.36%,7.10%,10.66%,31.49%,86.37%,65.16%,165.33,144.38,90.62,188.52,58.166666666666664,True
200,MATX,"Matson, Inc.",Industrials,Marine Shipping,3882.49,81.5,28.0,76,1.24,93.15,96.0,3.06,2.36%,12.47%,25.32%,47.97%,62.71%,63.51%,84.71,72.48,55.41,94.54,61.833333333333336,True
206,MLI,"Mueller Industries, Inc.",Industrials,Metal Fabrication,3554.2,81.5,18.0,83,1.38,60.21,100.0,66.09,3.69%,38.86%,34.67%,29.76%,86.52%,71.49%,47.06,44.17,32.01,63.07,60.833333333333336,True
207,MOS,The Mosaic Company,Basic Materials,Agricultural Inputs,14135.24,76.5,20.0,88,1.54,37.89,44.93,18.58,0.45%,-8.63%,21.44%,3.89%,110.27%,64.67%,37.66,33.57,18.27,43.24,61.5,True
208,MPWR,"Monolithic Power Systems, Inc.",Technology,Semiconductors,25614.68,86.5,14.0,85,1.43,562.96,603.29,7.16,2.66%,17.03%,24.36%,81.95%,83.40%,53.72%,505.66,411.16,299.83,565.0,61.833333333333336,True
211,MTDR,Matador Resources Company,Energy,Oil & Gas E&P,5361.77,79.0,16.0,99,3.83,45.11,49.93,10.68,0.33%,8.44%,64.57%,53.49%,452.82%,274.05%,38.93,30.38,8.43,47.23,64.66666666666667,True
214,MYRG,MYR Group Inc.,Industrials,Engineering & Construction,1871.22,76.5,18.0,92,1.76,113.96,117.0,2.67,0.05%,8.46%,15.90%,42.90%,141.19%,89.62%,105.32,87.22,47.19,116.3,62.166666666666664,True
215,NDAQ,"Nasdaq, Inc.",Financial,Financial Data & Stock Exchanges,34697.73,71.5,20.0,80,1.3,209.73,215.46,2.73,-0.93%,3.31%,10.39%,29.51%,66.69%,58.00%,200.3,174.48,122.23,214.96,57.166666666666664,True
221,NSA,National Storage Affiliates Trust,Real Estate,REIT - Industrial,5547.0,76.5,41.0,80,1.29,61.95,64.27,3.74,-0.59%,5.72%,10.92%,40.76%,70.10%,71.94%,58.32,49.51,33.01,64.98,65.83333333333333,True
227,NVT,nVent Electric plc,Industrials,Electrical Equipment & Parts,6246.37,79.0,13.0,82,1.34,37.39,42.5,13.67,0.35%,16.77%,13.17%,18.59%,84.10%,60.54%,33.63,30.98,21.0,37.89,58.0,True
231,OLN,Olin Corporation,Basic Materials,Specialty Chemicals,9832.26,86.5,16.0,95,2.24,63.73,72.69,14.06,4.91%,29.51%,38.54%,39.91%,203.77%,159.49%,52.66,44.57,20.89,64.76,65.83333333333333,True
232,OMCL,"Omnicell, Inc.",Healthcare,Health Information Services,7945.5,81.5,18.0,82,1.35,179.6,182.2,1.45,-0.10%,13.71%,19.44%,34.25%,82.48%,49.64%,163.89,146.78,98.08,184.42,60.5,True
235,ONTO,Onto Innovation Inc.,Technology,Semiconductors,4285.02,86.5,41.0,90,1.62,88.26,105.0,18.97,-2.48%,22.24%,31.20%,50.98%,117.98%,85.62%,77.55,69.92,40.47,94.96,72.5,True
237,OPCH,"Option Care Health, Inc.",Healthcare,Medical Care Facilities,4804.26,91.5,56.0,81,1.32,26.88,32.0,19.05,-3.90%,9.89%,23.36%,53.25%,69.91%,71.87%,25.78,21.58,14.31,28.29,76.16666666666667,True
245,PDCE,"PDC Energy, Inc.",Energy,Oil & Gas E&P,5631.18,86.5,33.0,97,2.7,57.42,66.38,15.6,-0.79%,12.96%,46.93%,38.83%,275.05%,179.69%,49.29,41.29,15.26,59.0,72.16666666666667,True
249,PGNY,"Progyny, Inc.",Healthcare,Health Information Services,5665.12,96.5,15.0,89,1.6,62.46,71.33,14.2,-6.30%,11.56%,43.82%,11.62%,103.45%,47.35%,59.93,54.66,28.35,68.32,66.83333333333333,True
252,PLCE,"The Children's Place, Inc.",Consumer Cyclical,Apparel Retail,1462.71,81.5,14.0,95,2.2,105.08,119.6,13.82,9.53%,29.22%,4.47%,14.39%,225.63%,109.74%,85.99,84.46,33.0,107.39,63.5,True
253,PNC,"The PNC Financial Services Group, Inc.",Financial,Banks - Regional,87411.03,74.0,14.0,76,1.24,204.82,212.52,3.76,-1.61%,2.86%,9.09%,5.63%,66.82%,37.46%,201.34,187.6,123.27,217.6,54.666666666666664,True
255,PRFT,"Perficient, Inc.",Technology,Information Technology Services,4651.7,91.5,23.0,96,2.34,140.79,149.83,6.42,-5.25%,9.31%,34.02%,99.96%,205.20%,195.47%,125.5,88.03,43.51,153.28,70.16666666666667,True
256,PWR,"Quanta Services, Inc.",Industrials,Engineering & Construction,16847.81,86.5,16.0,83,1.36,118.68,133.75,12.7,-0.93%,5.64%,24.86%,27.35%,72.15%,64.79%,116.02,97.01,66.63,124.69,61.833333333333336,True
257,PXD,Pioneer Natural Resources Company,Energy,Oil & Gas E&P,44534.34,84.0,26.0,86,1.47,182.66,222.39,21.75,-2.03%,-3.91%,25.97%,15.34%,101.46%,60.38%,176.34,158.52,92.03,196.64,65.33333333333333,True
259,RDNT,"RadNet, Inc.",Healthcare,Diagnostics & Research,1675.58,89.0,15.0,78,1.26,31.22,43.67,39.88,-6.67%,8.48%,-1.70%,21.95%,67.76%,59.53%,29.81,27.62,17.27,38.84,60.666666666666664,True
260,RJF,"Raymond James Financial, Inc.",Financial,Capital Markets,20600.14,86.5,18.0,79,1.28,99.34,118.62,19.41,-1.10%,-0.87%,9.49%,12.81%,74.79%,55.75%,96.08,87.95,57.2,103.46,61.166666666666664,True
263,ROG,Rogers Corporation,Technology,Electronic Components,5051.22,96.5,14.0,85,1.43,269.83,277.6,2.88,-0.01%,43.90%,36.73%,50.39%,94.60%,73.76%,206.4,195.23,141.22,273.0,65.16666666666667,True
269,SCHW,The Charles Schwab Corporation,Financial,Capital Markets,153538.56,79.0,18.0,80,1.29,81.92,91.54,11.74,0.29%,1.26%,12.99%,15.54%,78.09%,54.45%,77.23,70.74,46.25,84.49,59.0,True
273,SGH,"SMART Global Holdings, Inc.",Technology,Semiconductors,1419.9,89.0,52.0,87,1.49,58.36,72.0,23.37,0.21%,9.02%,37.54%,34.25%,96.83%,55.09%,50.58,48.12,29.05,60.75,76.0,True
277,SIVB,SVB Financial Group,Financial,Banks - Regional,43787.33,74.0,21.0,91,1.66,747.99,808.33,8.07,0.80%,8.35%,32.87%,29.98%,116.24%,92.87%,675.77,579.29,337.83,762.95,62.0,True
279,SLB,Schlumberger Limited,Energy,Oil & Gas Equipment & Services,45922.19,84.0,20.0,78,1.26,32.72,39.66,21.21,-4.61%,-3.76%,20.34%,-1.06%,81.78%,49.89%,31.29,29.74,19.27,36.87,60.666666666666664,True
280,SMPL,The Simply Good Foods Company,Consumer Defensive,Packaged Foods,3781.42,76.5,45.0,77,1.25,39.75,41.73,4.98,-2.76%,13.54%,12.54%,17.74%,66.39%,26.75%,36.61,34.48,21.21,41.35,66.16666666666667,True
281,SNV,Synovus Financial Corp.,Financial,Banks - Regional,7196.69,81.5,20.0,76,1.23,49.36,55.75,12.95,0.65%,8.22%,14.95%,2.51%,66.70%,52.49%,45.28,45.01,29.73,50.51,59.166666666666664,True
284,SSTK,"Shutterstock, Inc.",Communication Services,Internet Content & Information,4352.12,89.0,19.0,83,1.36,123.15,134.75,9.42,-0.32%,0.50%,21.28%,44.20%,80.52%,71.76%,118.41,100.11,62.21,128.36,63.666666666666664,True
285,STC,Stewart Information Services Corporation,Financial,Insurance - Property & Casualty,2122.95,81.5,20.0,84,1.39,79.81,88.0,10.26,6.60%,16.75%,34.54%,34.20%,86.95%,65.03%,67.38,59.24,41.84,80.14,61.833333333333336,True
287,STLD,"Steel Dynamics, Inc.",Basic Materials,Steel,13012.19,76.5,26.0,83,1.38,65.48,80.95,23.63,-2.06%,5.82%,-4.92%,3.46%,89.14%,77.60%,62.75,58.06,33.77,74.37,61.833333333333336,True
293,TBBK,"The Bancorp, Inc.",Financial,Banks - Regional,1825.75,94.0,15.0,94,2.02,31.56,36.0,14.07,-2.59%,5.84%,29.82%,30.04%,183.05%,131.21%,28.18,24.19,11.01,33.36,67.66666666666667,True
299,THC,Tenet Healthcare Corporation,Healthcare,Medical Care Facilities,8617.5,79.0,17.0,93,1.92,80.23,87.94,9.61,6.69%,26.23%,14.06%,29.34%,157.56%,100.93%,70.37,64.09,30.58,83.69,63.0,True
300,THRY,"Thryv Holdings, Inc.",Communication Services,Internet Content & Information,1217.02,91.5,20.0,97,2.7,35.43,47.0,32.66,8.32%,15.37%,14.88%,37.49%,245.66%,162.44%,30.25,28.25,8.87,38.54,69.5,True
303,TMST,TimkenSteel Corporation,Basic Materials,Steel,701.85,74.0,19.0,97,2.65,15.1,18.15,20.2,-4.37%,14.92%,0.53%,-2.33%,237.05%,223.34%,13.68,12.61,4.26,17.35,63.333333333333336,True
305,TRGP,Targa Resources Corp.,Energy,Oil & Gas Midstream,12865.26,84.0,16.0,93,1.88,55.14,63.32,14.83,-4.65%,-1.02%,27.55%,43.15%,168.58%,109.02%,51.74,41.59,21.01,58.18,64.33333333333333,True
310,TTGT,"TechTarget, Inc.",Communication Services,Internet Content & Information,3006.34,79.0,25.0,90,1.61,107.87,110.78,2.7,5.19%,23.92%,40.24%,58.12%,95.31%,82.49%,89.76,79.46,49.58,109.03,64.66666666666667,True
312,TXT,Textron Inc.,Industrials,Aerospace & Defense,16843.1,79.0,18.0,80,1.29,76.57,86.0,12.32,0.67%,3.54%,6.13%,15.35%,75.90%,58.43%,72.61,65.28,44.34,78.13,59.0,True
315,UFPI,"UFP Industries, Inc.",Basic Materials,Lumber & Wood Production,5458.35,81.5,14.0,77,1.25,88.28,93.83,6.29,0.58%,17.46%,19.23%,11.14%,66.91%,58.92%,76.09,74.23,52.11,89.97,57.5,True
318,UNVR,Univar Solutions Inc.,Basic Materials,Chemicals,4854.85,74.0,25.0,76,1.23,28.96,32.1,10.84,0.77%,12.51%,24.35%,7.86%,66.72%,52.34%,25.3,23.94,17.21,29.77,58.333333333333336,True
319,URI,"United Rentals, Inc.",Industrials,Rental & Leasing Services,27784.17,74.0,41.0,83,1.38,384.29,391.47,1.87,-2.16%,10.00%,11.36%,15.98%,85.41%,65.71%,358.48,328.65,209.16,414.99,66.0,True
321,VBTX,"Veritex Holdings, Inc.",Financial,Banks - Regional,2167.76,91.5,13.0,85,1.44,43.26,46.5,7.49,-0.28%,7.77%,25.57%,23.49%,94.34%,68.59%,39.55,34.99,21.44,45.36,63.166666666666664,True
325,VICR,Vicor Corporation,Technology,Electronic Components,7094.05,76.5,19.0,89,1.59,161.78,176.67,9.2,1.65%,9.16%,37.15%,104.78%,106.69%,75.43%,142.34,109.24,74.08,164.35,61.5,True
328,VRTS,"Virtus Investment Partners, Inc.",Financial,Asset Management,2448.81,81.5,15.0,82,1.34,330.92,396.0,19.67,1.07%,2.88%,5.50%,19.68%,82.04%,52.50%,319.57,282.77,174.17,338.8,59.5,True
329,VRTV,Veritiv Corporation,Industrials,Business Equipment & Supplies,2213.41,106.5,25.0,100,6.93,150.47,160.0,6.33,-2.46%,54.77%,86.53%,218.46%,666.14%,623.76%,105.6,65.85,16.6,158.99,77.16666666666667,True
330,VSTO,Vista Outdoor Inc.,Consumer Cyclical,Leisure,2666.36,89.0,13.0,92,1.74,47.81,62.33,30.37,6.27%,15.76%,14.73%,28.59%,118.31%,101.22%,42.1,38.57,18.75,48.75,64.66666666666667,True
331,VVI,Viad Corp,Industrials,Specialty Business Services,976.24,81.5,16.0,75,1.22,47.23,59.33,25.62,-4.82%,0.94%,14.55%,13.37%,82.85%,30.58%,45.89,44.22,28.03,52.73,57.5,True
332,VVV,Valvoline Inc.,Energy,Oil & Gas Refining & Marketing,6592.78,84.0,13.0,78,1.26,36.38,41.88,15.12,6.28%,4.18%,19.40%,16.04%,62.77%,57.22%,33.18,30.38,21.75,36.51,58.333333333333336,True
334,WFC,Wells Fargo & Company,Financial,Banks - Diversified,202188.95,76.5,26.0,89,1.57,51.08,52.0,1.8,0.41%,5.58%,4.87%,9.01%,112.21%,69.25%,48.27,44.39,24.52,52.57,63.833333333333336,True
336,WIRE,Encore Wire Corporation,Industrials,Electrical Equipment & Parts,2876.85,94.0,16.0,94,2.08,142.63,160.0,12.18,3.89%,28.86%,66.82%,75.20%,179.34%,135.48%,109.17,83.46,51.32,145.55,68.0,True
342,WTFC,Wintrust Financial Corporation,Financial,Banks - Regional,5339.27,89.0,14.0,79,1.28,92.76,101.75,9.69,0.64%,10.45%,26.88%,18.35%,76.62%,51.84%,83.81,77.66,53.64,94.92,60.666666666666664,True
343,YETI,"YETI Holdings, Inc.",Consumer Cyclical,Leisure,8798.12,84.0,13.0,83,1.36,102.09,112.35,10.05,-2.71%,15.84%,4.45%,18.43%,78.70%,49.10%,94.76,87.92,55.8,108.82,60.0,True
344,ZBRA,Zebra Technologies Corporation,Technology,Communication Equipment,31209.85,76.5,19.0,82,1.34,590.76,624.5,5.71,-1.01%,14.53%,4.99%,23.71%,70.81%,53.71%,547.35,517.67,333.06,614.1,59.166666666666664,True
345,ZD,"Ziff Davis, Inc.",Communication Services,Advertising Agencies,6357.4,86.5,24.0,81,1.33,127.71,167.88,31.45,-2.89%,3.02%,13.15%,18.08%,75.49%,50.40%,122.94,113.19,70.7,135.0,63.833333333333336,True
