,ticker,company,sector,industry,market cap,analyst_recom,sentiment_score,rs_rating,returns_multiple,current_price,target_price,est_gl,performance_(week),performance_(month),performance_(quarter),performance_(half year),performance_(year),performance_(ytd),20_day_ma,50_day_ma,200_day_ma,52_week_low,52_week_high,my_score,in_russell_3k
17,CMRE,Costamare Inc.,Industrials,Marine Shipping,1604.07,91.0,16.0,91,1.26,13.16,18.5,40.58,1.49%,12.95%,-7.52%,22.49%,38.97%,2.06%,12.67,,12.33,7.7,16.72,66.0,True
18,CNOB,"ConnectOne Bancorp, Inc.",Financial,Banks - Regional,1438.58,81.0,14.0,94,1.37,35.8,38.6,7.82,3.37%,14.76%,14.29%,45.29%,65.19%,11.71%,34.19,,29.65,19.5,37.0,63.0,True
19,COP,ConocoPhillips,Energy,Oil & Gas E&P,107349.69,75.0,13.0,96,1.57,87.08,91.8,5.42,6.54%,18.31%,13.23%,50.67%,74.68%,15.85%,77.81,,63.44,39.7,89.11,61.333333333333336,True
23,CRC,California Resources Corporation,Energy,Oil & Gas E&P,3586.22,69.0,8.0,95,1.45,43.13,56.0,29.84,2.07%,4.95%,3.38%,67.89%,73.54%,3.82%,43.16,,35.06,21.79,47.18,57.333333333333336,True
28,DVN,Devon Energy Corporation,Energy,Oil & Gas E&P,33248.87,75.0,29.0,99,2.07,49.7,51.64,3.9,2.63%,23.05%,28.98%,101.72%,160.45%,12.69%,46.6,,33.11,16.11,51.99,67.66666666666667,True
29,ECPG,"Encore Capital Group, Inc.",Financial,Mortgage Finance,1898.63,63.0,17.0,97,1.7,66.8,67.75,1.42,5.27%,9.56%,24.72%,37.57%,92.39%,2.99%,61.83,,50.08,29.21,67.94,59.0,True
30,ENVA,"Enova International, Inc.",Financial,Credit Services,1589.5,69.0,20.0,93,1.35,41.88,44.5,6.26,6.31%,13.53%,21.57%,35.10%,64.35%,6.93%,41.63,,35.68,22.01,44.43,60.666666666666664,True
31,EOG,"EOG Resources, Inc.",Energy,Oil & Gas E&P,58073.7,69.0,11.0,95,1.44,104.84,113.03,7.81,6.78%,19.58%,15.24%,41.21%,69.82%,14.83%,95.23,,81.85,50.08,107.99,58.333333333333336,True
32,ESTE,"Earthstone Energy, Inc.",Energy,Oil & Gas E&P,1261.6,63.0,31.0,98,1.85,13.81,18.41,33.31,3.70%,42.38%,33.30%,44.14%,130.81%,28.06%,12.39,,9.89,5.05,15.27,64.0,True
34,FANG,"Diamondback Energy, Inc.",Energy,Oil & Gas E&P,22874.15,72.0,22.0,98,1.74,125.46,135.03,7.63,0.35%,19.23%,14.01%,58.35%,100.36%,15.05%,116.55,,92.53,56.13,131.75,64.0,True
37,FBP,First BanCorp.,Financial,Banks - Regional,3181.12,69.0,12.0,93,1.32,16.08,23.3,44.9,3.69%,22.70%,19.05%,40.47%,54.44%,16.11%,14.79,,12.99,8.88,16.62,58.0,True
38,FC,Franklin Covey Co.,Industrials,Consulting Services,657.77,84.0,22.0,97,1.62,47.7,63.5,33.12,11.48%,17.19%,22.40%,43.67%,107.19%,9.99%,47.61,,38.71,23.82,52.52,67.66666666666667,True
40,FITB,Fifth Third Bancorp,Financial,Banks - Regional,33574.74,72.0,17.0,91,1.26,48.54,49.36,1.69,2.42%,14.89%,14.17%,36.10%,52.24%,13.75%,46.34,,41.18,28.25,50.64,60.0,True
42,GT,The Goodyear Tire & Rubber Company,Consumer Cyclical,Auto Parts,6731.79,63.0,17.0,97,1.67,22.74,24.29,6.82,4.92%,14.33%,23.49%,50.42%,97.89%,9.99%,21.93,,18.73,10.36,24.89,59.0,True
45,HES,Hess Corporation,Energy,Oil & Gas E&P,27620.65,63.0,11.0,89,1.22,91.5,107.21,17.17,6.29%,18.94%,0.74%,18.65%,42.07%,22.40%,81.96,,79.08,53.43,94.51,54.333333333333336,True
46,HMST,"HomeStreet, Inc.",Financial,Banks - Regional,1140.45,59.0,16.0,91,1.25,55.38,56.17,1.43,1.93%,14.42%,32.58%,47.66%,53.93%,8.79%,53.76,,44.16,32.75,57.4,55.333333333333336,True
47,INBK,First Internet Bancorp,Financial,Banks - Regional,513.74,75.0,18.0,95,1.43,51.74,56.0,8.23,4.16%,22.88%,64.43%,70.82%,70.93%,12.24%,48.96,,35.84,28.05,53.44,62.666666666666664,True
49,KOS,Kosmos Energy Ltd.,Energy,Oil & Gas E&P,2000.92,69.0,32.0,93,1.33,4.51,6.09,35.03,5.15%,27.92%,26.48%,94.37%,51.18%,29.77%,4.02,,3.12,1.8,4.89,64.66666666666667,True
53,LNG,"Cheniere Energy, Inc.",Energy,Oil & Gas Midstream,28856.01,81.0,23.0,93,1.34,108.87,125.43,15.21,2.88%,10.41%,6.36%,34.89%,70.77%,11.13%,106.87,,92.5,58.26,115.73,65.66666666666667,True
54,LPI,"Laredo Petroleum, Inc.",Energy,Oil & Gas E&P,1177.51,53.0,15.0,99,2.06,68.97,91.7,32.96,-5.91%,16.37%,-8.14%,16.97%,152.67%,16.56%,68.44,,62.19,22.62,99.26,55.666666666666664,True
58,LYV,"Live Nation Entertainment, Inc.",Communication Services,Entertainment,26350.66,63.0,21.0,90,1.23,113.21,115.0,1.58,-4.58%,5.25%,13.41%,45.00%,55.28%,-4.86%,117.31,,94.1,65.88,127.75,58.0,True
59,MCB,Metropolitan Bank Holding Corp.,Financial,Banks - Regional,1193.0,69.0,17.0,99,2.23,105.37,120.0,13.88,1.70%,19.87%,28.16%,87.21%,189.48%,5.35%,106.48,,78.64,37.5,115.78,61.666666666666664,True
61,MGY,Magnolia Oil & Gas Corporation,Energy,Oil & Gas E&P,4942.78,59.0,14.0,98,1.93,20.95,22.64,8.07,4.26%,9.74%,2.98%,52.83%,135.04%,11.61%,20.04,,16.3,8.4,22.84,57.0,True
62,MP,MP Materials Corp.,Basic Materials,Other Industrial Metals & Mining,8119.32,66.0,18.0,78,1.05,44.85,46.78,4.3,1.28%,9.63%,38.89%,38.68%,38.31%,1.03%,45.93,,35.82,23.18,53.03,54.0,True
63,MPC,Marathon Petroleum Corporation,Energy,Oil & Gas Refining & Marketing,44516.92,75.0,13.0,93,1.33,73.84,76.25,3.26,4.23%,17.09%,9.66%,37.29%,60.63%,14.27%,68.23,,60.89,42.32,75.88,60.333333333333336,True
65,MRO,Marathon Oil Corporation,Energy,Oil & Gas E&P,14290.91,63.0,21.0,98,1.87,19.23,20.53,6.76,3.00%,22.33%,15.06%,58.04%,114.19%,13.09%,17.5,,13.74,7.2,20.01,60.666666666666664,True
68,NOG,"Northern Oil and Gas, Inc.",Energy,Oil & Gas E&P,1733.02,78.0,21.0,97,1.68,23.16,32.62,40.85,0.00%,23.25%,-10.30%,43.47%,95.53%,10.50%,21.76,,19.05,9.46,27.87,65.33333333333333,True
70,OAS,Oasis Petroleum Inc.,Energy,Oil & Gas E&P,2717.97,66.0,13.0,99,2.58,134.7,157.25,16.74,0.09%,14.39%,26.67%,52.72%,208.45%,7.01%,130.92,,100.53,34.58,144.1,59.333333333333336,True
71,OCN,Ocwen Financial Corporation,Financial,Mortgage Finance,363.78,69.0,18.0,91,1.25,39.7,43.33,9.14,1.00%,10.21%,41.12%,55.67%,49.87%,1.58%,40.14,,31.22,22.34,41.92,59.333333333333336,True
72,OFG,OFG Bancorp,Financial,Banks - Regional,1477.33,69.0,9.0,90,1.23,29.9,32.67,9.26,3.03%,22.39%,15.72%,43.90%,45.79%,12.80%,28.14,,24.54,16.0,30.93,56.0,True
73,OMI,"Owens & Minor, Inc.",Healthcare,Medical Distribution,3381.46,63.0,19.0,94,1.38,45.36,51.67,13.91,4.74%,16.13%,41.10%,5.26%,69.49%,5.75%,44.63,,39.54,23.58,49.16,58.666666666666664,True
75,OVV,Ovintiv Inc.,Energy,Oil & Gas E&P,10173.21,66.0,22.0,98,1.83,38.51,48.33,25.5,1.81%,20.54%,-1.87%,48.45%,117.10%,14.93%,36.28,,30.66,15.51,41.34,62.0,True
76,OXY,Occidental Petroleum Corporation,Energy,Oil & Gas E&P,31463.08,53.0,7.0,92,1.31,36.24,41.16,13.58,4.24%,18.82%,6.75%,31.65%,40.88%,17.80%,31.93,,28.67,19.46,37.0,50.666666666666664,True
79,PDCE,"PDC Energy, Inc.",Energy,Oil & Gas E&P,5482.56,69.0,25.0,98,1.83,54.07,69.87,29.22,2.08%,16.49%,10.17%,42.56%,116.70%,12.94%,52.32,,45.35,21.53,59.0,64.0,True
81,PI,"Impinj, Inc.",Technology,Communication Equipment,2237.53,81.0,7.0,90,1.23,83.24,87.0,4.52,7.72%,8.88%,70.13%,113.55%,57.06%,0.54%,87.03,,60.02,39.69,94.39,59.333333333333336,True
82,PTEN,"Patterson-UTI Energy, Inc.",Energy,Oil & Gas Drilling,2144.9,66.0,12.0,92,1.28,10.12,11.15,10.18,2.37%,21.12%,10.47%,20.39%,44.40%,17.40%,9.36,,8.5,5.66,11.27,56.666666666666664,True
86,PXD,Pioneer Natural Resources Company,Energy,Oil & Gas E&P,50421.58,72.0,25.0,94,1.37,217.75,229.15,5.24,4.52%,16.78%,10.22%,49.57%,59.24%,13.98%,194.43,,166.63,115.15,218.28,63.666666666666664,True
87,RBB,RBB Bancorp,Financial,Banks - Regional,538.96,56.0,12.0,91,1.27,27.24,29.7,9.03,3.73%,15.01%,7.92%,18.44%,53.14%,6.15%,26.46,,24.39,16.05,27.81,53.0,True
89,ROCC,Ranger Oil Corporation,Energy,Oil & Gas E&P,1421.07,69.0,13.0,99,2.09,30.58,46.0,50.43,-3.78%,11.36%,-4.17%,63.43%,125.45%,12.56%,29.15,,23.05,9.82,35.31,60.333333333333336,True
92,SBNY,Signature Bank,Financial,Banks - Regional,21941.86,78.0,14.0,98,1.89,352.95,378.28,7.18,0.74%,21.79%,21.36%,54.80%,128.48%,12.89%,341.07,,274.44,146.1,374.76,63.333333333333336,True
93,SCHW,The Charles Schwab Corporation,Financial,Capital Markets,174619.66,69.0,18.0,92,1.28,91.28,97.06,6.33,2.91%,15.58%,19.55%,35.55%,57.39%,11.03%,88.89,,75.52,50.77,95.62,59.666666666666664,True
96,SM,SM Energy Company,Energy,Oil & Gas E&P,4436.3,56.0,29.0,100,3.16,33.3,44.08,32.37,0.87%,18.89%,18.28%,82.08%,291.22%,17.84%,32.25,,24.32,7.76,38.25,61.666666666666664,True
102,TGH,Textainer Group Holdings Limited,Industrials,Rental & Leasing Services,1943.5,69.0,26.0,97,1.59,38.0,50.0,31.58,3.23%,17.11%,5.64%,33.17%,97.46%,9.05%,37.11,,33.21,17.4,41.24,64.0,True
103,TRGP,Targa Resources Corp.,Energy,Oil & Gas Midstream,12994.81,78.0,18.0,96,1.57,56.75,66.71,17.55,2.79%,13.31%,3.44%,38.18%,83.81%,9.32%,54.15,,46.32,26.65,58.33,64.0,True
105,VBTX,"Veritex Holdings, Inc.",Financial,Banks - Regional,2116.79,78.0,13.0,89,1.21,41.9,46.5,10.98,1.28%,11.01%,6.38%,31.44%,47.25%,7.72%,40.95,,37.16,24.51,45.36,60.0,True
107,VEL,"Velocity Financial, Inc.",Financial,Mortgage Finance,432.39,78.0,7.0,96,1.57,13.23,16.0,20.94,0.15%,2.59%,6.65%,7.85%,92.43%,-1.68%,13.39,,12.19,6.45,14.0,60.333333333333336,True
110,VRS,Verso Corporation,Basic Materials,Paper & Paper Products,778.61,69.0,17.0,98,1.76,26.67,29.25,9.67,-0.11%,31.91%,28.74%,37.03%,112.43%,-0.70%,26.87,,19.97,11.24,27.29,61.333333333333336,True
111,WAL,Western Alliance Bancorporation,Financial,Banks - Regional,12978.75,78.0,10.0,94,1.36,115.72,144.0,24.44,0.44%,16.03%,7.39%,29.43%,68.62%,13.45%,113.69,,104.1,67.33,124.93,60.666666666666664,True
113,WHD,"Cactus, Inc.",Energy,Oil & Gas Equipment & Services,3320.32,78.0,9.0,93,1.33,45.82,47.33,3.3,2.67%,18.87%,4.23%,22.11%,50.38%,15.00%,41.17,,37.46,24.98,47.7,60.0,True
114,WLL,Whiting Petroleum Corporation,Energy,Oil & Gas E&P,2809.84,56.0,9.0,99,2.34,72.82,80.78,10.93,2.77%,13.60%,12.32%,56.14%,173.62%,11.94%,69.28,,54.13,19.75,76.76,54.666666666666664,True
