no,ticker,company,sector,industry,country,market_cap,pe,forward_pe,peg,ps,pb,pcash,pfree_cash_flow,dividend_yield,payout_ratio,eps_ttm,eps_growth_this_year,eps_growth_next_year,eps_growth_past_5_years,eps_growth_next_5_years,sales_growth_past_5_years,eps_growth_quarter_over_quarter,sales_growth_quarter_over_quarter,shares_outstanding,shares_float,insider_ownership,insider_transactions,institutional_ownership,institutional_transactions,float_short,short_ratio,return_on_assets,return_on_equity,return_on_investment,current_ratio,quick_ratio,lt_debtequity,total_debtequity,gross_margin,operating_margin,profit_margin,performance_week,performance_month,performance_quarter,performance_half_year,performance_year,performance_ytd,beta,average_true_range,volatility_week,volatility_month,simple_moving_average_20day,simple_moving_average_50day,simple_moving_average_200day,high_50day,low_50day,high_52week,low_52week,relative_strength_index_14,change_from_open,gap,average_volume,relative_volume,price,change,volume,earnings_date,target_price,ipo_date,afterhours_close,afterhours_change,analyst_recom,rs_rating,returns_multiple,current_price,ma_20_day,ma_50_day,ma_200_day,low_52_week,high_52_week,sentiment_score,est_gl,my_score,in_sp1500
1348,CEIX,CONSOL Energy Inc.,Energy,Thermal Coal,USA,991.57,45.4,5.64,,0.78,1.46,6.61,5.74,,0.00%,0.63,357.60%,-25.52%,-8.20%,,1.10%,511.80%,12.10%,34.48,33.66,2.00%,0.00%,86.00%,4.93%,4.82%,3.64,1.30%,5.80%,10.00%,0.9,0.7,0.91,1.0,91.90%,9.10%,2.70%,-3.10%,33.87%,19.26%,28.31%,158.13%,25.14%,2.38,1.69,5.06%,6.13%,7.53%,15.83%,24.89%,-10.49%,48.72%,-21.56%,228.55%,57.95,-0.70%,-1.45%,444.86,1.02,28.42,-2.13%,455372,2/8/2022 8:30:00 AM,33.33,11/14/2017,28.42,0.00%,69.0,99,2.3,28.42,26.81,24.69,22.83,8.65,36.23,31.0,17.28,66.33333333333333,True
1610,CNXC,Concentrix Corporation,Technology,Information Technology Services,USA,10155.57,24.89,14.15,1.6,1.82,3.77,55.8,27.82,0.52%,0.00%,7.69,141.20%,11.77%,,15.60%,28.60%,88.80%,12.70%,51.56,42.23,0.60%,-14.14%,85.20%,0.81%,1.72%,2.74,7.90%,15.80%,12.30%,1.6,1.6,0.31,0.31,35.30%,10.20%,7.20%,-6.53%,8.65%,8.74%,13.90%,62.88%,7.19%,,7.02,3.17%,3.50%,-3.40%,4.47%,11.84%,-8.16%,24.17%,-8.16%,79.28%,48.18,3.34%,-3.04%,265.73,0.92,191.47,0.20%,243232,1/18/2022 4:30:00 PM,215.67,11/24/2020,191.47,0.00%,100.0,96,1.45,191.47,198.71,183.68,171.37,111.11,208.48,15.0,12.64,70.33333333333333,True
1648,COOP,Mr. Cooper Group Inc.,Financial,Mortgage Finance,USA,3807.8,3.04,6.87,,1.15,1.21,5.21,,,0.00%,16.45,8.30%,30.02%,21.80%,-8.54%,240.20%,80.90%,-0.30%,78.94,74.96,1.60%,-7.83%,85.80%,-3.59%,3.30%,2.58,5.90%,46.20%,6.10%,,,3.15,3.98,,51.00%,41.80%,-4.10%,21.51%,18.91%,29.73%,66.56%,20.28%,1.49,1.75,2.99%,3.91%,13.27%,16.90%,26.99%,-4.38%,33.57%,-4.38%,66.83%,67.62,4.27%,-4.72%,956.2,1.18,50.05,-0.66%,1130196,2/11/2022 8:30:00 AM,59.14,3/28/2012,50.05,0.00%,66.0,96,1.49,50.05,44.63,42.99,39.5,30.0,52.34,18.0,18.16,60.0,True
1649,COP,ConocoPhillips,Energy,Oil & Gas E&P,USA,117686.29,14.46,11.27,8.14,2.57,2.54,21.5,12.64,1.73%,32.50%,6.07,342.80%,-13.67%,32.60%,1.78%,13.70%,376.60%,175.40%,1318.95,1317.17,0.10%,-19.84%,78.80%,-1.93%,1.30%,2.09,9.30%,18.30%,10.80%,1.3,1.2,0.41,0.44,48.20%,25.10%,17.60%,-2.75%,0.71%,19.24%,57.04%,65.89%,21.54%,1.43,3.41,3.95%,3.45%,-3.17%,6.32%,29.40%,-7.58%,33.17%,-7.58%,83.85%,49.04,-2.52%,2.01%,8167.61,1.41,87.73,-0.57%,11504069,2/3/2022 8:30:00 AM,102.29,1/13/1978,87.7,-0.03%,75.0,96,1.48,87.73,90.63,82.9,68.1,47.85,94.93,6.0,16.6,59.0,True
1683,CPRI,Capri Holdings Limited,Consumer Cyclical,Apparel Manufacturing,United Kingdom,9794.23,18.28,9.89,0.34,1.83,3.56,37.53,14.38,,0.00%,3.61,72.10%,11.21%,-15.90%,54.49%,-2.90%,79.40%,23.60%,149.72,144.02,0.70%,-40.42%,92.50%,0.91%,3.64%,2.85,7.40%,22.30%,-1.30%,1.2,0.6,0.35,0.36,65.80%,12.00%,10.40%,-6.68%,16.58%,3.08%,10.14%,41.70%,1.73%,2.47,3.04,3.74%,4.79%,1.35%,5.30%,14.77%,-8.76%,28.34%,-8.76%,49.21%,52.61,3.17%,-4.48%,1838.52,2.31,66.03,-1.45%,4247941,2/2/2022 8:30:00 AM,84.76,12/15/2011,66.03,0.00%,66.0,93,1.27,66.03,65.72,62.78,57.59,44.25,72.37,16.0,28.37,58.333333333333336,True
1754,CSGS,"CSG Systems International, Inc.",Technology,Software - Infrastructure,USA,1980.87,28.15,15.68,,1.92,4.33,8.82,19.29,1.67%,47.00%,2.13,-28.70%,8.05%,-0.60%,-5.00%,5.70%,20.10%,7.80%,31.76,31.56,2.10%,0.00%,96.59%,2.82%,4.44%,5.14,5.00%,15.20%,9.70%,1.1,1.1,0.32,0.85,48.00%,11.30%,6.40%,-0.61%,7.37%,13.12%,27.04%,27.83%,4.11%,0.84,1.64,2.49%,3.00%,2.48%,3.74%,18.80%,-2.57%,11.13%,-2.57%,40.89%,57.84,3.18%,-1.51%,273.03,0.96,59.99,1.63%,262851,2/1/2022 4:30:00 PM,67.0,2/28/1996,59.99,0.00%,100.0,86,1.14,59.99,58.75,57.89,50.57,42.58,61.58,19.0,11.69,68.33333333333333,True
1792,CTRA,Coterra Energy Inc.,Energy,Oil & Gas E&P,USA,18254.15,25.45,6.51,0.34,10.86,3.82,239.24,61.19,2.02%,47.80%,0.87,-69.30%,16.97%,30.70%,74.49%,1.60%,514.80%,51.30%,813.58,797.84,1.30%,-4.27%,94.50%,69.70%,3.55%,3.46,7.60%,15.30%,7.60%,1.0,0.9,0.41,0.41,62.10%,29.00%,20.90%,-2.75%,9.29%,5.90%,53.09%,21.44%,17.05%,-0.21,1.02,5.18%,4.22%,-1.56%,4.56%,18.17%,-8.82%,20.94%,-8.82%,60.81%,49.76,-4.63%,0.47%,8193.83,1.85,22.24,-4.18%,15144194,2/23/2022 4:30:00 PM,27.56,2/8/1990,22.23,-0.04%,59.0,79,1.05,22.24,22.69,21.3,19.16,14.28,24.39,30.0,23.92,56.0,True
1840,CVX,Chevron Corporation,Energy,Oil & Gas Integrated,USA,260318.5,16.58,14.58,,1.67,1.9,43.16,,3.97%,279.00%,8.13,-291.90%,-11.93%,-26.20%,-4.90%,-6.10%,,77.30%,1918.01,1897.83,0.04%,-64.07%,67.60%,0.35%,1.22%,1.83,1.50%,2.70%,-2.10%,1.3,1.0,0.27,0.27,42.70%,2.80%,2.30%,0.41%,1.70%,15.95%,36.89%,31.75%,14.91%,1.15,3.77,3.12%,2.54%,-0.04%,6.21%,21.45%,-3.29%,21.78%,-3.29%,45.22%,55.63,-2.06%,1.58%,12696.11,1.74,134.85,-0.52%,22091845,1/28/2022 8:30:00 AM,141.26,6/24/1921,134.6,-0.19%,63.0,89,1.18,134.85,135.01,127.35,111.17,92.86,139.44,5.0,4.75,52.333333333333336,True
2190,DVN,Devon Energy Corporation,Energy,Oil & Gas E&P,USA,35337.22,12.61,9.46,1.18,2.97,3.76,15.56,9.94,0.83%,7.90%,4.18,161.70%,-1.38%,32.10%,10.72%,3.40%,,233.80%,660.0,641.02,0.80%,-2.20%,86.00%,-6.71%,2.69%,1.38,13.50%,31.90%,19.70%,1.4,1.4,0.73,0.73,49.00%,27.00%,23.40%,-2.04%,2.91%,25.51%,88.99%,162.90%,19.75%,2.85,2.91,5.94%,5.04%,0.16%,9.07%,48.01%,-9.10%,48.38%,-9.10%,176.55%,53.91,-1.77%,0.28%,12487.28,1.69,52.75,-1.49%,21046088,2/15/2022 4:30:00 PM,56.02,3/17/1992,52.55,-0.38%,75.0,99,2.21,52.75,52.71,48.6,36.73,20.14,58.03,24.0,6.2,66.0,True
2269,ECPG,"Encore Capital Group, Inc.",Financial,Mortgage Finance,USA,1933.12,6.7,7.55,0.52,1.33,1.43,12.22,,,0.00%,9.88,25.30%,-19.66%,21.00%,13.00%,5.70%,55.20%,-7.10%,30.23,28.76,0.40%,-42.03%,,-7.21%,17.56%,11.11,6.60%,23.80%,9.40%,,,2.0,2.0,77.60%,40.10%,21.50%,-7.12%,2.27%,11.81%,41.65%,99.52%,6.55%,1.31,2.26,3.62%,2.93%,-2.95%,3.10%,23.81%,-8.93%,15.26%,-8.93%,107.98%,44.84,-1.30%,-4.92%,454.58,1.79,66.18,-6.15%,813753,2/23/2022 4:30:00 PM,70.25,7/9/1999,66.18,0.00%,63.0,98,1.78,66.18,68.29,64.34,53.58,31.82,72.67,17.0,6.15,59.333333333333336,True
2440,EOG,"EOG Resources, Inc.",Energy,Oil & Gas E&P,USA,64984.32,21.29,10.35,0.29,4.19,2.94,15.14,12.88,2.72%,31.00%,5.17,-122.20%,23.15%,33.90%,73.84%,4.80%,,105.70%,585.09,583.05,0.30%,1.82%,87.70%,-0.64%,1.14%,1.53,8.30%,14.40%,-1.60%,2.1,2.0,0.23,0.24,60.80%,26.20%,19.40%,-1.49%,2.95%,22.78%,63.92%,61.63%,23.94%,1.8,4.57,4.40%,3.72%,-1.66%,8.64%,30.00%,-5.87%,36.48%,-5.87%,79.90%,53.24,-2.57%,2.42%,4340.16,1.56,110.1,-0.21%,6771440,2/25/2022 8:30:00 AM,117.52,10/4/1989,110.0,-0.09%,69.0,95,1.39,110.1,112.09,101.83,86.46,62.81,116.97,18.0,6.74,60.666666666666664,True
2629,EXC,Exelon Corporation,Utilities,Utilities - Diversified,USA,40521.08,24.18,18.4,1.51,1.16,1.19,13.7,,3.70%,89.40%,1.71,-33.30%,-20.06%,-4.60%,16.00%,2.30%,139.40%,0.60%,979.0,975.59,0.10%,-25.78%,82.50%,0.27%,1.89%,1.7,1.30%,5.10%,3.40%,0.9,0.8,1.05,1.23,58.10%,6.80%,4.80%,-1.67%,4.43%,6.51%,18.47%,48.82%,0.27%,0.47,0.96,2.01%,2.53%,-1.52%,1.66%,14.06%,-6.18%,11.54%,-6.18%,51.01%,48.39,1.13%,-0.32%,10849.33,1.11,41.3,0.81%,11996914,,49.78,7/6/1943,41.4,0.24%,66.0,94,1.33,41.3,42.02,40.69,36.27,27.35,44.02,18.0,20.53,59.333333333333336,True
2640,EXPE,"Expedia Group, Inc.",Consumer Cyclical,Travel Services,USA,30196.32,,18.18,,3.51,14.47,7.0,9.82,,,-2.14,90.50%,37.31%,-24.40%,22.80%,-0.40%,162.10%,147.70%,153.58,149.04,0.40%,-41.56%,97.80%,3.09%,4.89%,2.67,-1.20%,-18.00%,3.90%,0.9,0.9,3.75,4.11,82.30%,4.20%,-3.10%,-9.38%,11.22%,8.86%,31.24%,23.26%,7.20%,1.52,9.45,4.38%,4.66%,0.36%,6.01%,15.27%,-11.01%,28.44%,-11.01%,41.65%,50.91,4.71%,-6.85%,2734.48,2.89,193.74,-2.46%,7899940,2/10/2022 4:30:00 PM,213.5,7/20/2005,193.91,0.09%,53.0,83,1.1,193.74,193.88,183.41,168.18,136.77,217.72,12.0,10.2,49.333333333333336,True
2670,FANG,"Diamondback Energy, Inc.",Energy,Oil & Gas E&P,USA,22856.5,66.37,7.09,1.09,4.12,2.02,50.01,7.95,1.56%,82.70%,1.93,269.40%,61.60%,-27.70%,61.03%,44.50%,150.50%,165.30%,181.03,180.28,0.20%,-9.75%,87.70%,-1.39%,3.24%,2.0,2.10%,4.20%,-31.20%,0.7,0.7,0.6,0.6,79.40%,33.70%,8.00%,-1.49%,0.72%,16.06%,70.50%,85.19%,18.58%,2.33,6.87,5.69%,4.90%,-1.24%,6.07%,29.91%,-6.34%,34.59%,-6.34%,95.94%,51.22,-3.96%,2.79%,2924.76,1.58,127.89,-1.29%,4633152,2/22/2022 4:30:00 PM,145.85,10/12/2012,126.01,-1.47%,72.0,98,1.65,127.89,129.52,121.0,98.68,65.27,136.55,24.0,14.04,64.66666666666667,True
3168,GCO,Genesco Inc.,Consumer Cyclical,Apparel Retail,USA,939.02,6.54,9.1,0.65,0.4,1.57,3.32,4.31,,0.00%,9.91,-200.00%,5.02%,-24.20%,10.00%,-10.00%,333.50%,25.30%,14.31,13.71,2.30%,-0.01%,95.40%,-3.94%,7.99%,6.8,8.70%,24.60%,-8.60%,1.6,0.9,0.03,0.03,47.90%,5.80%,6.10%,-5.25%,-0.38%,-7.21%,1.31%,40.17%,0.92%,2.04,3.27,5.26%,4.89%,-0.62%,2.50%,5.75%,-7.42%,15.23%,-12.15%,59.12%,49.98,8.75%,-4.83%,161.1,1.12,64.76,3.50%,180076,12/3/2021 8:30:00 AM,72.67,1/5/1950,64.76,0.00%,53.0,92,1.25,64.76,65.3,63.25,61.3,40.7,73.72,19.0,12.21,54.666666666666664,True
3175,GDEN,"Golden Entertainment, Inc.",Consumer Cyclical,Resorts & Casinos,USA,1610.29,13.15,12.73,0.88,1.58,4.82,7.34,11.43,,0.00%,3.86,-241.30%,19.98%,-40.10%,15.00%,31.40%,468.80%,37.50%,28.95,18.8,1.00%,-22.01%,64.20%,2.73%,4.47%,4.26,5.40%,38.60%,,1.9,1.9,3.39,3.39,44.80%,9.30%,8.60%,-13.66%,12.91%,1.15%,-4.85%,118.91%,0.59%,2.63,2.72,6.00%,5.34%,2.63%,5.15%,7.66%,-14.31%,23.76%,-14.31%,139.88%,51.88,6.49%,-3.24%,197.52,2.72,50.83,3.04%,537610,2/17/2022 4:30:00 PM,69.0,1/4/1999,51.46,1.24%,75.0,99,1.95,50.83,49.83,48.45,47.25,21.19,59.32,33.0,35.75,69.0,True
3478,HAFC,Hanmi Financial Corporation,Financial,Banks - Regional,USA,765.71,11.25,10.54,1.41,3.59,1.25,0.91,5.38,3.47%,17.70%,2.26,30.00%,-11.98%,-4.00%,8.00%,6.40%,62.20%,1.10%,30.47,30.04,0.10%,0.22%,91.10%,0.90%,1.62%,2.59,1.10%,11.50%,13.80%,,,0.35,0.35,,85.60%,32.20%,-7.03%,-0.67%,2.50%,32.53%,47.64%,7.18%,1.12,1.02,3.43%,3.65%,-4.89%,0.63%,18.12%,-12.00%,19.21%,-12.00%,56.96%,42.23,0.79%,-3.38%,187.65,0.87,25.38,-2.61%,162958,1/25/2022 4:30:00 PM,28.92,5/14/1997,25.38,0.00%,59.0,94,1.32,25.38,26.6,25.3,21.51,16.17,28.84,20.0,13.95,57.666666666666664,True
3482,HAL,Halliburton Company,Energy,Oil & Gas Equipment & Services,USA,28900.47,19.29,13.45,0.31,1.89,4.2,9.49,30.39,0.57%,11.00%,1.63,148.90%,32.88%,17.50%,62.70%,-0.80%,447.50%,32.10%,895.0,891.41,0.40%,-5.31%,81.20%,3.95%,1.71%,1.36,6.90%,25.40%,12.60%,2.3,1.8,1.37,1.38,13.20%,11.80%,9.50%,-6.26%,2.88%,37.00%,56.02%,42.85%,37.60%,2.44,1.34,4.01%,3.98%,-1.55%,13.09%,32.80%,-8.30%,49.39%,-8.30%,76.62%,54.13,-2.87%,2.27%,11149.5,1.64,31.47,-0.66%,18256267,1/24/2022 8:30:00 AM,32.14,9/15/1948,31.37,-0.32%,63.0,93,1.28,31.47,32.0,28.0,23.74,17.82,34.32,0.0,2.13,52.0,True
3554,HES,Hess Corporation,Energy,Oil & Gas E&P,USA,29608.71,52.72,16.08,,3.96,5.23,12.24,19.98,1.05%,,1.81,-641.90%,16.78%,0.90%,,-6.40%,146.60%,51.80%,308.1,278.58,0.30%,-32.76%,84.30%,-2.02%,2.63%,2.76,-0.80%,-2.90%,-16.80%,1.4,1.3,1.46,1.55,70.50%,10.40%,-2.20%,1.06%,4.11%,16.77%,37.38%,42.26%,28.68%,1.81,3.87,3.89%,4.07%,2.24%,10.61%,17.08%,-2.19%,39.43%,-2.19%,53.82%,60.69,-1.61%,3.07%,2648.75,2.01,95.26,1.41%,5317889,1/26/2022 8:30:00 AM,112.38,5/24/1962,95.26,0.00%,63.0,93,1.27,95.26,93.55,86.49,81.44,61.93,97.39,9.0,17.97,55.0,True
3734,HWC,Hancock Whitney Corporation,Financial,Banks - Regional,USA,4558.76,12.41,9.82,1.55,4.5,1.28,1.27,8.53,2.02%,25.10%,4.3,-114.60%,3.09%,-18.40%,8.00%,9.30%,62.10%,-4.90%,86.83,86.04,0.60%,-1.02%,79.90%,1.28%,1.86%,3.64,1.10%,10.60%,26.10%,,,0.07,0.07,,95.20%,36.80%,-4.80%,-0.67%,0.70%,16.26%,39.46%,6.76%,1.51,1.91,2.93%,3.14%,-1.82%,1.61%,10.12%,-10.73%,18.51%,-10.73%,45.11%,46.75,3.03%,-3.97%,439.35,1.37,53.4,-1.06%,599996,1/18/2022 4:30:00 PM,64.39,6/4/1991,53.4,0.00%,72.0,92,1.25,53.4,54.37,52.67,48.52,36.8,59.82,13.0,20.58,59.0,True
3735,HWKN,"Hawkins, Inc.",Basic Materials,Specialty Chemicals,USA,902.28,18.22,,,1.26,3.09,38.56,41.2,1.21%,21.20%,2.37,44.80%,,35.00%,,7.60%,29.90%,30.90%,20.89,19.16,0.40%,0.00%,63.30%,1.49%,0.73%,2.5,10.30%,17.90%,11.30%,2.8,1.8,0.36,0.4,19.90%,9.60%,7.00%,2.28%,13.74%,19.28%,18.07%,36.49%,9.33%,0.89,1.49,3.34%,3.48%,7.51%,9.84%,20.05%,-1.89%,20.41%,-1.89%,44.10%,62.92,0.77%,-1.81%,55.99,2.28,43.13,-1.06%,127936,2/2/2022 4:30:00 PM,52.0,3/18/1980,43.13,0.00%,69.0,91,1.22,43.13,40.42,39.38,35.98,29.93,43.96,20.0,20.57,60.0,True
