no,ticker,company,sector,industry,country,market_cap,pe,forward_pe,peg,ps,pb,pcash,pfree_cash_flow,dividend_yield,payout_ratio,eps_ttm,eps_growth_this_year,eps_growth_next_year,eps_growth_past_5_years,eps_growth_next_5_years,sales_growth_past_5_years,eps_growth_quarter_over_quarter,sales_growth_quarter_over_quarter,shares_outstanding,shares_float,insider_ownership,insider_transactions,institutional_ownership,institutional_transactions,float_short,short_ratio,return_on_assets,return_on_equity,return_on_investment,current_ratio,quick_ratio,lt_debtequity,total_debtequity,gross_margin,operating_margin,profit_margin,performance_week,performance_month,performance_quarter,performance_half_year,performance_year,performance_ytd,beta,average_true_range,volatility_week,volatility_month,simple_moving_average_20day,simple_moving_average_50day,simple_moving_average_200day,high_50day,low_50day,high_52week,low_52week,relative_strength_index_14,change_from_open,gap,average_volume,relative_volume,price,change,volume,earnings_date,target_price,ipo_date,afterhours_close,afterhours_change,analyst_recom,rs_rating,returns_multiple,current_price,ma_20_day,ma_50_day,ma_200_day,low_52_week,high_52_week,sentiment_score,est_gl,my_score,in_russell_3k
489,ARES,Ares Management Corporation,Financial,Asset Management,USA,22272.99,47.04,19.24,1.76,6.26,7.81,11.87,,2.32%,90.90%,1.72,-19.50%,23.83%,27.30%,26.80%,16.70%,78.70%,93.70%,168.93,131.96,1.60%,-22.83%,73.20%,1.71%,1.14%,2.02,1.70%,22.70%,,,,6.57,6.57,,19.70%,8.20%,5.38%,11.14%,-1.31%,7.96%,54.49%,-0.22%,1.03,3.31,4.83%,4.22%,3.25%,4.70%,10.50%,-3.58%,17.17%,-9.98%,69.75%,56.38,2.91%,-1.15%,744.88,1.45,81.09,1.72%,1080486,2/11/2022 8:30:00 AM,98.4,5/2/2014,81.09,0.00%,66.0,95,1.38,81.09,78.89,77.52,73.54,47.77,90.08,13.0,21.35,58.0,True
585,ATI,Allegheny Technologies Incorporated,Industrials,Metal Fabrication,USA,3057.91,,17.36,,1.09,6.04,3.04,,,,-0.34,-773.50%,58.44%,-28.70%,-4.50%,-4.30%,187.30%,21.40%,127.2,126.27,1.00%,0.00%,,0.06%,14.78%,8.16,-29.40%,-243.40%,-55.50%,2.2,1.4,3.11,4.23,11.90%,-38.50%,-43.90%,7.38%,38.16%,69.79%,40.27%,23.57%,61.58%,1.36,1.1,4.24%,4.53%,12.38%,30.46%,34.87%,-0.19%,77.27%,-0.19%,85.85%,77.25,2.51%,-1.37%,2287.64,1.4,25.74,1.10%,3197312,2/2/2022 8:30:00 AM,28.25,5/2/1966,25.74,0.00%,63.0,83,1.1,25.74,23.27,19.94,19.1,13.85,26.34,11.0,9.75,52.333333333333336,True
688,AXP,American Express Company,Financial,Credit Services,USA,143636.66,19.47,17.2,0.56,3.35,6.74,6.74,12.33,0.88%,17.20%,9.99,166.10%,16.68%,12.30%,34.57%,3.50%,24.50%,28.80%,768.0,758.29,0.10%,-39.77%,87.00%,-2.19%,1.36%,2.4,4.20%,32.80%,5.50%,,,1.74,5.65,68.60%,25.00%,18.50%,-0.17%,13.17%,24.05%,15.35%,40.25%,18.91%,1.1,5.59,3.27%,2.59%,2.31%,10.48%,14.51%,-2.51%,27.28%,-2.51%,45.41%,61.93,2.53%,-2.05%,4308.8,1.34,194.54,0.43%,5787432,1/25/2022 8:30:00 AM,199.0,4/4/1972,194.2,-0.17%,56.0,91,1.25,194.54,191.01,176.74,170.09,135.13,199.55,14.0,2.29,53.666666666666664,True
789,BCOR,"Blucora, Inc.",Financial,Asset Management,USA,956.79,135.37,7.7,9.02,1.08,2.7,5.16,12.51,,,0.15,-831.20%,14.38%,47.75%,15.00%,45.00%,-4.60%,-0.70%,48.71,47.71,1.90%,8.69%,95.30%,3.63%,2.91%,3.45,-1.60%,-5.00%,-34.70%,2.1,2.1,1.54,1.54,45.80%,6.40%,-2.00%,1.89%,28.80%,15.36%,18.03%,16.99%,14.90%,1.49,0.84,5.08%,4.51%,10.97%,14.90%,18.34%,-3.40%,31.79%,-3.40%,40.04%,71.52,2.63%,-0.46%,403.28,0.88,19.9,2.16%,353796,2/16/2022 8:30:00 AM,23.67,12/15/1998,19.9,0.00%,69.0,78,1.04,19.9,18.14,17.38,16.84,14.21,20.6,15.0,18.94,54.0,True
792,BCRX,"BioCryst Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,2922.2,,,,18.59,,14.64,,,,-1.03,-16.00%,18.00%,-13.10%,22.40%,-18.10%,-25.70%,572.10%,179.11,178.0,1.20%,-14.96%,67.20%,15.33%,14.50%,6.83,-73.70%,246.50%,-36.90%,1.9,1.8,,,95.40%,,,-11.37%,17.63%,33.09%,6.07%,38.65%,19.93%,2.28,1.01,6.34%,5.64%,-2.35%,9.41%,11.35%,-16.91%,50.59%,-16.91%,79.96%,50.01,-1.07%,-1.58%,3782.75,0.88,16.61,-2.64%,3319882,2/23/2022 8:30:00 AM,22.36,3/4/1994,16.67,0.36%,66.0,91,1.24,16.61,17.1,15.28,14.94,9.23,19.99,11.0,34.62,56.0,True
933,BKR,Baker Hughes Company,Energy,Oil & Gas Equipment & Services,USA,29389.11,,17.03,,1.43,1.59,6.01,31.74,2.45%,,-0.36,98.20%,35.61%,46.90%,50.90%,15.80%,-56.50%,-0.20%,899.0,818.52,0.10%,-98.99%,88.80%,4.92%,2.74%,2.55,-0.60%,-1.30%,2.90%,1.7,1.2,0.4,0.41,19.70%,7.00%,-1.10%,0.93%,7.62%,27.41%,27.35%,17.61%,22.11%,1.45,1.17,4.19%,3.86%,4.46%,10.49%,20.23%,-2.41%,29.06%,-2.41%,56.69%,60.99,0.34%,-0.75%,8770.32,1.26,29.38,-0.41%,11034156,1/20/2022 8:30:00 AM,32.41,10/3/1961,29.38,0.00%,69.0,79,1.05,29.38,28.24,26.7,24.46,18.75,30.11,-2.0,10.31,48.666666666666664,True
1043,BPOP,"Popular, Inc.",Financial,Banks - Regional,USA,6958.56,8.02,9.03,1.6,3.28,1.23,0.38,10.84,1.96%,16.70%,11.45,-14.70%,7.39%,-7.40%,5.00%,5.50%,54.00%,3.30%,80.13,78.59,1.40%,-5.77%,87.00%,-0.01%,2.01%,2.77,1.20%,13.90%,22.90%,,,0.12,0.13,,92.30%,38.80%,2.13%,6.41%,13.59%,18.79%,32.96%,11.96%,1.06,3.09,3.31%,2.93%,0.56%,3.95%,14.09%,-7.67%,23.26%,-7.67%,42.74%,53.6,2.67%,-2.59%,571.01,1.05,91.85,0.01%,599242,1/27/2022 8:30:00 AM,112.08,11/4/1982,94.39,2.77%,75.0,89,1.19,91.85,91.53,88.63,80.57,66.8,99.49,49.0,22.03,71.0,True
1186,BX,Blackstone Inc.,Financial,Asset Management,USA,143837.15,15.66,20.37,0.66,6.37,10.17,28.06,1293.5,3.19%,41.50%,8.14,-50.50%,15.63%,7.60%,23.82%,5.60%,71.10%,105.20%,722.23,,0.60%,-58.46%,64.20%,1.32%,,2.5,14.30%,57.60%,12.90%,,,0.83,0.84,,44.10%,20.40%,2.91%,7.08%,-11.36%,2.62%,80.22%,-1.48%,1.34,5.75,4.80%,4.16%,-0.43%,2.91%,7.07%,-8.26%,25.40%,-14.90%,100.08%,52.97,1.31%,-2.30%,5017.78,0.86,127.47,-1.02%,4300790,1/27/2022 8:30:00 AM,152.54,6/22/2007,127.7,0.18%,66.0,97,1.61,127.47,128.18,123.86,119.26,63.71,149.78,15.0,19.67,59.333333333333336,True
1194,BYD,Boyd Gaming Corporation,Consumer Cyclical,Resorts & Casinos,USA,7759.42,17.45,12.47,0.4,2.3,5.37,13.59,12.02,0.85%,0.00%,4.07,-185.80%,10.63%,17.91%,43.90%,-0.20%,261.20%,29.30%,114.09,82.31,1.60%,-0.85%,69.40%,1.57%,3.67%,2.64,5.20%,25.80%,1.80%,1.3,1.2,2.18,2.21,57.50%,18.70%,10.00%,3.70%,22.86%,16.24%,12.18%,14.20%,8.19%,1.95,2.67,4.41%,3.85%,7.30%,11.61%,14.69%,-2.45%,29.93%,-2.45%,40.81%,63.44,2.16%,-1.48%,1141.72,0.8,70.94,0.65%,912961,2/3/2022 4:30:00 PM,80.8,10/15/1993,70.31,-0.89%,72.0,76,1.02,70.94,66.72,63.77,61.91,50.38,72.72,14.0,13.9,54.0,True
1243,CARE,"Carter Bankshares, Inc.",Financial,Banks - Regional,USA,440.85,15.28,12.07,,3.39,1.09,,,,,1.09,176.40%,3.80%,,,,,20.30%,26.46,25.36,2.99%,1.22%,38.18%,,0.66%,2.73,,,,,,,,,,,1.96%,9.82%,14.11%,35.45%,37.35%,8.25%,,0.46,3.02%,2.53%,5.26%,6.87%,17.46%,-0.95%,17.45%,-0.95%,66.27%,63.24,1.09%,-1.32%,61.16,1.45,16.66,-0.24%,88723,,18.5,2/28/2007,16.66,0.00%,69.0,90,1.23,16.66,15.89,15.62,14.2,10.02,16.87,42.0,11.04,67.0,True
1278,CBT,Cabot Corporation,Basic Materials,Specialty Chemicals,USA,4029.65,43.37,11.32,3.66,1.11,5.23,22.51,,2.02%,81.90%,1.69,199.60%,11.62%,13.30%,11.86%,7.20%,-252.90%,29.80%,56.8,56.15,1.10%,-4.65%,92.40%,-0.55%,2.65%,3.57,3.10%,11.30%,15.60%,1.2,0.8,0.9,1.65,22.30%,7.00%,2.70%,-1.27%,34.86%,31.04%,32.92%,44.27%,30.18%,1.39,2.36,3.12%,3.50%,7.81%,19.87%,28.26%,-2.28%,43.20%,-2.28%,53.73%,68.42,0.59%,-1.81%,416.77,1.55,73.16,-1.23%,647382,1/31/2022 4:30:00 PM,77.33,8/23/1968,73.15,-0.01%,69.0,93,1.29,73.16,68.74,61.38,57.1,47.59,74.87,9.0,5.7,57.0,True
1345,CEIX,CONSOL Energy Inc.,Energy,Thermal Coal,USA,1017.49,49.11,6.11,,0.8,1.58,6.79,5.89,,0.00%,0.63,357.60%,-25.52%,-8.20%,,1.10%,511.80%,12.10%,34.48,33.66,2.00%,0.00%,86.00%,5.22%,4.90%,3.68,1.30%,5.80%,10.00%,0.9,0.7,0.91,1.0,91.90%,9.10%,2.70%,6.74%,47.86%,32.90%,32.84%,179.71%,35.36%,2.31,1.72,6.10%,5.97%,12.79%,23.59%,34.16%,-3.18%,60.86%,-15.15%,255.38%,65.77,2.91%,0.91%,448.06,1.13,30.74,3.85%,504318,2/8/2022 8:30:00 AM,33.33,11/14/2017,30.78,0.13%,69.0,99,2.5,30.74,27.73,25.05,23.0,8.65,36.23,30.0,8.43,66.0,True
1426,CHK,Chesapeake Energy Corporation,Energy,Oil & Gas E&P,USA,8577.07,31.52,7.12,5.78,2.18,2.5,10.1,11.73,2.27%,9.20%,2.45,105.40%,17.85%,,5.45%,-6.00%,95.40%,-7.50%,117.11,103.99,0.04%,0.00%,,31.54%,15.43%,11.34,64.40%,533.10%,80.20%,0.7,0.7,0.41,0.41,65.10%,,,17.44%,11.76%,20.85%,39.49%,72.93%,19.73%,,3.2,5.94%,4.10%,13.75%,15.73%,28.45%,1.83%,31.31%,1.83%,93.12%,71.93,3.14%,-0.24%,1414.82,1.47,77.25,2.89%,2084104,2/23/2022 4:30:00 PM,99.0,2/10/2021,77.25,0.00%,69.0,97,1.54,77.25,68.35,67.08,60.28,40.0,77.59,29.0,28.16,65.0,True
1563,CMRE,Costamare Inc.,Industrials,Marine Shipping,Monaco,1630.93,6.14,3.24,,2.59,1.06,5.76,,3.41%,18.90%,2.2,-130.60%,73.37%,-16.10%,,-1.30%,506.10%,100.40%,123.31,54.76,77.90%,0.00%,25.90%,-6.89%,2.51%,2.13,7.40%,18.60%,2.10%,1.1,1.0,1.43,1.61,73.10%,47.30%,42.90%,-3.09%,7.48%,11.75%,-1.32%,40.48%,6.72%,1.31,0.57,4.78%,3.92%,-1.48%,4.10%,5.96%,-8.04%,20.11%,-19.26%,47.06%,49.76,-1.75%,-1.15%,644.39,1.58,13.5,-2.88%,1020333,,18.5,11/4/2010,13.5,0.00%,91.0,91,1.25,13.5,13.72,13.0,12.76,9.18,16.72,16.0,37.04,66.0,True
1573,CNC,Centene Corporation,Healthcare,Healthcare Plans,USA,46610.9,36.41,13.07,3.4,0.37,1.82,3.47,16.28,,0.00%,2.27,-0.60%,16.69%,16.60%,10.69%,37.30%,2.30%,11.40%,583.24,576.13,1.90%,-1.41%,95.50%,0.87%,1.24%,1.97,1.00%,2.80%,4.70%,,,0.7,0.71,,1.20%,0.60%,0.68%,8.33%,11.80%,29.13%,39.11%,0.27%,0.51,2.35,2.65%,2.74%,1.06%,1.98%,14.23%,-4.83%,10.95%,-4.83%,42.25%,53.97,1.99%,-3.01%,3618.43,0.75,82.62,-1.08%,2718470,2/8/2022 8:30:00 AM,95.33,12/13/2001,82.62,0.00%,69.0,91,1.24,82.62,82.02,81.01,72.4,58.37,86.81,19.0,15.38,59.666666666666664,True
1594,CNR,"Cornerstone Building Brands, Inc.",Industrials,Building Products & Equipment,USA,2718.05,4.51,8.89,0.13,0.51,2.51,4.0,,,0.00%,4.89,508.30%,26.46%,-49.80%,34.70%,22.30%,1933.50%,17.70%,126.16,56.04,1.70%,-9.24%,93.20%,0.31%,6.90%,3.38,11.20%,99.30%,-6.70%,2.5,1.8,2.71,2.74,21.70%,20.30%,11.70%,-1.47%,53.76%,34.63%,30.42%,87.60%,26.61%,1.75,1.05,3.53%,5.36%,17.97%,28.59%,33.99%,-4.62%,63.07%,-4.62%,103.13%,68.42,0.23%,-1.08%,1144.41,1.67,22.08,-0.85%,1915874,3/1/2022 4:30:00 PM,23.91,4/3/1992,22.08,0.00%,69.0,98,1.67,22.08,19.09,17.31,16.52,11.2,23.15,17.0,8.29,61.333333333333336,True
1607,CNXC,Concentrix Corporation,Technology,Information Technology Services,USA,10084.45,25.99,14.78,1.67,1.8,3.93,55.41,27.62,0.50%,0.00%,7.69,141.20%,11.77%,,15.60%,28.60%,88.80%,12.70%,51.56,43.26,0.60%,-14.76%,85.20%,0.85%,1.33%,2.17,7.90%,15.80%,12.30%,1.6,1.6,0.31,0.31,35.30%,10.20%,7.20%,1.36%,11.37%,15.79%,16.95%,56.47%,11.91%,,6.96,3.55%,3.32%,0.11%,8.47%,16.47%,-4.12%,29.63%,-4.12%,79.90%,57.61,2.23%,-1.53%,265.25,0.81,199.89,0.67%,214979,1/18/2022 4:30:00 PM,215.67,11/24/2020,199.89,0.00%,100.0,95,1.4,199.89,200.11,184.88,171.86,117.93,208.48,15.0,7.89,70.0,True
1645,COOP,Mr. Cooper Group Inc.,Financial,Mortgage Finance,USA,3676.03,3.09,6.98,,1.11,1.13,4.11,1.42,,0.00%,16.46,418.00%,30.02%,35.50%,-8.54%,261.20%,4.90%,-33.80%,74.56,72.29,1.90%,-7.63%,87.40%,-3.73%,5.27%,3.96,6.80%,44.00%,13.70%,,,2.28,2.72,,49.90%,42.70%,-0.80%,27.91%,21.81%,31.01%,56.45%,22.16%,1.45,1.69,3.04%,3.70%,12.47%,17.66%,28.38%,-2.88%,35.66%,-2.88%,67.51%,68.78,0.28%,-0.72%,962.09,0.79,50.83,-0.45%,759080,2/11/2022 8:30:00 AM,59.14,3/28/2012,50.05,-1.53%,66.0,95,1.4,50.83,45.73,43.41,39.68,30.53,52.34,18.0,16.35,59.666666666666664,True
1646,COP,ConocoPhillips,Energy,Oil & Gas E&P,USA,118491.52,15.63,12.18,4.02,2.59,2.75,21.65,12.72,1.50%,32.50%,6.07,342.80%,-13.67%,32.60%,3.89%,13.70%,376.60%,175.40%,1315.13,1298.37,0.10%,-21.00%,80.10%,-1.96%,1.13%,1.77,9.30%,18.30%,10.80%,1.3,1.2,0.41,0.44,48.20%,25.10%,17.60%,5.84%,5.80%,33.08%,67.65%,80.81%,31.42%,1.43,3.58,5.14%,3.67%,4.57%,13.92%,39.21%,-0.07%,44.00%,-0.07%,98.79%,64.74,4.62%,-0.66%,8273.47,1.82,94.86,3.93%,15092283,2/3/2022 8:30:00 AM,103.56,1/13/1978,94.96,0.11%,75.0,97,1.61,94.86,91.0,83.79,68.48,47.85,95.07,4.0,9.17,58.666666666666664,True
1680,CPRI,Capri Holdings Limited,Consumer Cyclical,Apparel Manufacturing,United Kingdom,9573.02,18.75,10.16,0.34,1.79,3.65,36.68,14.06,,0.00%,3.61,72.10%,11.68%,-15.90%,54.49%,-2.90%,79.40%,23.60%,149.72,144.02,0.70%,-41.42%,92.40%,0.88%,4.56%,3.49,7.40%,22.30%,-1.30%,1.2,0.6,0.35,0.36,65.80%,12.00%,10.40%,-0.10%,21.40%,10.06%,16.01%,40.36%,4.36%,2.43,3.07,3.84%,4.58%,2.05%,7.70%,17.46%,-6.40%,31.66%,-6.40%,53.07%,55.7,1.91%,-3.62%,1882.75,1.37,67.74,-1.78%,2584151,2/2/2022 8:30:00 AM,84.76,12/15/2011,67.74,0.00%,66.0,91,1.25,67.74,66.91,62.99,57.74,44.25,72.37,15.0,25.13,57.333333333333336,True
1682,CPRX,"Catalyst Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,795.05,20.05,10.92,,5.96,4.04,4.55,14.92,,0.00%,0.39,134.70%,79.40%,37.00%,,,-76.50%,22.90%,103.2,95.36,7.50%,-0.05%,66.50%,1.21%,5.37%,4.54,20.20%,22.60%,43.90%,9.4,9.0,0.0,0.0,85.50%,36.20%,31.20%,2.09%,46.89%,9.86%,42.60%,95.00%,15.21%,1.17,0.38,5.37%,5.80%,11.94%,17.15%,28.67%,-2.62%,48.85%,-2.62%,138.53%,65.18,-0.13%,-0.26%,1127.74,1.55,7.8,-0.38%,1751523,3/16/2022 4:30:00 PM,11.0,11/8/2006,7.8,0.00%,69.0,98,1.74,7.8,7.08,6.68,6.08,3.27,8.12,12.0,41.03,59.666666666666664,True
1751,CSGS,"CSG Systems International, Inc.",Technology,Software - Infrastructure,USA,1943.56,27.32,16.14,,1.86,4.47,8.32,23.99,1.62%,43.90%,2.26,24.20%,8.05%,3.50%,-5.00%,6.60%,31.20%,5.60%,31.63,31.28,2.20%,-0.22%,96.59%,2.96%,5.08%,5.77,5.40%,16.60%,11.80%,1.1,1.1,0.31,0.86,48.10%,11.90%,6.90%,4.88%,10.53%,19.27%,27.78%,32.93%,7.12%,0.8,1.69,2.96%,2.99%,4.53%,6.43%,21.84%,-0.29%,14.34%,-0.29%,44.95%,64.71,0.88%,-0.73%,275.34,1.49,61.72,0.15%,409831,2/1/2022 4:30:00 PM,67.0,2/28/1996,61.72,0.00%,100.0,89,1.19,61.72,59.28,58.07,50.74,42.58,62.67,19.0,8.55,69.33333333333333,True
