"Ticker","Company","Sector","Industry","Market Cap","P/E","Dividend Yield","EPS growth past 5 years","Sales growth past 5 years","Shares Outstanding","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Gross Margin","Operating Margin","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Beta","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","50-Day High","50-Day Low","52-Week High","52-Week Low","Relative Strength Index (14)","Analyst Recom","Price","Change","Volume","Target Price"
"AAME","Atlantic American Corporation","Financial","Insurance - Life",81.02,5.37,0.49%,24.30%,3.30%,21.79,2.90%,0.00%,6.70%,2.47%,3.69%,,12.90%,-0.97%,-3.76%,13.61%,-4.88%,88.48%,98.54%,0.21,4.94%,-3.23%,-1.63%,-2.79%,-10.89%,13.48%,-74.39%,102.48%,45.32,,4.09,-3.08%,15785,
"AAN","The Aaron's Company, Inc.","Industrials","Rental & Leasing Services",815.93,9.12,1.56%,-37.70%,-4.00%,32.48,1.30%,-13.05%,,3.30%,2.14%,63.20%,7.00%,-3.35%,-12.19%,-8.75%,-26.23%,,35.28%,,5.16%,-1.60%,-4.68%,-8.33%,-19.06%,15.21%,-31.58%,58.33%,46.58,2.70,25.65,2.27%,209393,34.43
"AAOI","Applied Optoelectronics, Inc.","Technology","Semiconductors",163.53,,,-43.50%,4.30%,27.10,7.60%,0.00%,51.30%,5.35%,17.73%,19.50%,-26.90%,-0.17%,-18.62%,-8.91%,-25.19%,-20.03%,-29.14%,1.71,4.90%,-13.26%,-14.69%,-24.83%,-31.94%,8.65%,-56.77%,8.65%,36.69,2.70,6.03,0.33%,779930,15.64
"AAON","AAON, Inc.","Industrials","Building Products & Equipment",3973.49,57.41,0.50%,12.10%,7.50%,52.42,18.10%,-0.08%,72.10%,0.28%,3.14%,28.20%,17.40%,-0.12%,8.58%,11.10%,14.66%,14.30%,14.95%,0.58,2.43%,4.14%,9.83%,12.00%,-2.21%,19.58%,-5.74%,29.33%,67.70,3.00,76.59,0.38%,202491,64.50
"AAP","Advance Auto Parts, Inc.","Consumer Cyclical","Specialty Retail",14576.17,24.86,1.72%,2.20%,0.70%,64.75,0.20%,-4.77%,,-0.73%,5.58%,44.90%,7.90%,-2.74%,2.32%,10.61%,18.97%,56.60%,47.24%,1.26,2.31%,0.08%,5.73%,15.96%,-4.58%,17.43%,-4.58%,62.65%,54.88,2.20,231.92,-0.27%,661928,240.65
"AAPL","Apple Inc.","Technology","Consumer Electronics",2553468.24,28.16,0.56%,22.00%,11.10%,16487.12,0.07%,-20.12%,59.20%,-0.05%,0.61%,41.80%,29.80%,6.76%,5.77%,6.53%,25.86%,33.75%,18.98%,1.22,1.59%,5.19%,7.35%,14.83%,1.13%,14.18%,0.39%,40.22%,71.30,1.90,157.87,2.85%,137559316,168.45
"AAQC","Accelerate Acquisition Corp.","Financial","Shell Companies",390.80,,,,,40.00,,,,,,,,-0.31%,-0.10%,1.35%,0.21%,,-0.10%,,0.47%,-0.07%,0.32%,0.68%,-1.51%,1.45%,-1.91%,1.78%,50.12,,9.77,0.10%,1162,
"AAT","American Assets Trust, Inc.","Real Estate","REIT - Diversified",2328.48,98.13,3.17%,-11.70%,4.60%,59.99,0.50%,201.39%,98.20%,0.18%,1.35%,65.00%,24.30%,-3.42%,-3.91%,0.03%,8.32%,34.42%,31.16%,1.22,2.28%,-2.48%,-2.19%,4.45%,-7.23%,4.01%,-7.23%,39.52%,42.80,2.60,37.88,-1.02%,252520,40.30
"AATC","Autoscope Technologies Corporation","Technology","Scientific & Technical Instruments",37.52,12.99,6.78%,21.20%,-2.80%,5.34,13.60%,0.00%,28.50%,-0.46%,0.82%,77.00%,21.40%,3.81%,1.14%,3.66%,-1.26%,69.38%,57.68%,1.10,2.25%,2.57%,-2.32%,9.36%,-14.60%,4.89%,-38.86%,77.00%,53.84,,7.08,0.85%,42898,
"AAU","Almaden Minerals Ltd.","Basic Materials","Gold",51.68,,,-11.30%,,138.95,7.20%,0.00%,5.10%,0.30%,0.58%,,,-12.78%,-1.61%,-0.21%,-32.15%,-65.88%,-20.72%,0.96,4.63%,-4.03%,-4.90%,-26.61%,-14.92%,1.83%,-69.01%,1.92%,42.07,,0.37,-2.13%,894051,1.10
"AAWW","Atlas Air Worldwide Holdings, Inc.","Industrials","Airports & Air Services",2596.50,5.26,,115.40%,12.00%,29.02,0.20%,-13.43%,,0.80%,12.59%,57.00%,16.90%,5.08%,14.61%,17.65%,21.05%,60.21%,64.50%,1.13,3.24%,6.26%,10.55%,27.40%,-2.23%,25.46%,-2.23%,78.65%,66.04,2.00,89.72,1.28%,485467,105.57
"AAXJ","iShares MSCI All Country Asia ex Japan ETF","Financial","Exchange Traded Fund",,,1.12%,,,,,,,,,,,-0.96%,-2.28%,3.07%,-5.12%,1.92%,-3.36%,,0.82%,-0.63%,-0.02%,-5.05%,-3.82%,4.75%,-15.46%,4.75%,47.64,,86.60,-1.05%,946908,
"AB","AllianceBernstein Holding L.P.","Financial","Asset Management",5329.85,15.52,6.17%,9.30%,8.00%,99.41,0.30%,0.00%,14.30%,1.19%,1.21%,,100.00%,-1.31%,2.97%,7.90%,23.12%,74.58%,62.27%,1.43,2.09%,-1.94%,3.46%,18.67%,-4.76%,16.92%,-4.76%,76.15%,49.63,2.30,54.80,-0.76%,128497,56.00
"ABB","ABB Ltd","Industrials","Specialty Industrial Machinery",73031.73,35.23,2.44%,-30.70%,-5.90%,2001.00,,,6.00%,1.04%,0.10%,32.70%,11.10%,2.68%,1.86%,-5.13%,6.06%,29.64%,27.65%,1.07,0.90%,4.66%,3.84%,5.68%,-3.66%,10.09%,-6.15%,35.68%,63.41,2.20,35.69,0.11%,728417,37.66
"ABBV","AbbVie Inc.","Healthcare","Drug Manufacturers - General",206363.97,27.87,4.44%,-2.80%,14.90%,1770.00,0.12%,-7.90%,69.40%,1.05%,0.77%,67.90%,30.10%,0.38%,7.99%,-1.47%,0.82%,18.59%,9.26%,0.79,1.43%,2.49%,5.86%,4.66%,-0.62%,10.90%,-3.67%,18.74%,64.43,1.90,117.07,-0.24%,3155868,127.78
"ABC","AmerisourceBergen Corporation","Healthcare","Medical Distribution",25939.98,16.85,1.41%,8.70%,6.90%,206.16,0.20%,-42.04%,66.20%,0.33%,0.99%,3.20%,-2.10%,-0.95%,1.83%,4.14%,3.68%,20.35%,27.34%,0.47,1.78%,0.20%,1.70%,5.66%,-3.90%,8.50%,-3.90%,31.19%,52.67,2.20,124.49,-0.14%,592691,144.08
"ABCB","Ameris Bancorp","Financial","Banks - Regional",3725.03,9.41,1.14%,24.30%,30.70%,69.44,1.30%,0.27%,90.80%,-0.87%,2.82%,,96.80%,-4.27%,-1.58%,8.61%,-10.32%,52.98%,37.85%,1.29,2.51%,-2.79%,1.04%,2.11%,-7.34%,16.39%,-12.31%,59.37%,45.10,2.10,52.48,-0.02%,296759,59.43
"ABCL","AbCellera Biologics Inc.","Healthcare","Biotechnology",4319.56,23.77,,,,272.20,20.60%,-21.50%,42.00%,2.63%,5.38%,,,1.73%,-4.55%,-4.55%,-52.20%,,-61.95%,,6.10%,-3.70%,-10.59%,-36.65%,-32.36%,16.16%,-78.71%,16.16%,46.01,1.60,15.31,3.31%,1441013,43.20
"ABCM","Abcam plc","Healthcare","Biotechnology",5110.28,236.60,,,,219.60,,,10.60%,0.00%,0.08%,71.10%,3.50%,0.22%,2.18%,13.28%,15.04%,26.10%,6.50%,,1.64%,-0.07%,5.87%,11.05%,-1.92%,16.62%,-7.05%,33.90%,56.23,2.00,22.95,-1.12%,33437,22.33
"ABEO","Abeona Therapeutics Inc.","Healthcare","Biotechnology",79.38,,,-11.50%,57.30%,96.51,2.50%,-5.80%,27.30%,-3.50%,3.12%,,,-18.02%,-14.76%,-34.44%,-52.65%,-45.21%,-51.15%,1.39,7.15%,-13.93%,-23.74%,-50.05%,-42.33%,-3.03%,-79.76%,-3.03%,28.90,1.70,0.77,-9.76%,1814041,5.00
"ABEQ","Absolute Core Strategy ETF","Financial","Exchange Traded Fund",,,0.50%,,,,,,,,,,,-0.82%,0.80%,1.83%,-0.19%,13.27%,10.58%,,0.37%,0.41%,2.08%,3.04%,-1.35%,5.58%,-2.31%,15.17%,55.83,,28.14,-0.39%,63281,
"ABEV","Ambev S.A.","Consumer Defensive","Beverages - Brewers",48942.69,16.81,0.32%,39.83%,,15737.20,,,9.28%,,0.96%,,,-2.51%,13.92%,-2.51%,-5.76%,15.23%,1.63%,,3.00%,3.58%,6.94%,1.53%,-4.89%,24.40%,-21.27%,30.61%,57.98,3.00,3.11,-0.64%,28694094,3.50
"ABG","Asbury Automotive Group, Inc.","Consumer Cyclical","Auto & Truck Dealerships",3865.21,6.82,,15.50%,1.60%,19.30,0.10%,0.00%,89.10%,-1.14%,8.22%,18.40%,7.50%,-7.21%,-21.39%,-8.89%,-14.23%,36.53%,16.12%,1.51,4.30%,-12.49%,-13.11%,-10.46%,-26.73%,2.32%,-26.73%,50.08%,31.69,2.20,169.23,1.77%,480044,252.38
"ABGI","ABG Acquisition Corp. I","Financial","Shell Companies",188.76,,,,,19.33,3.22%,0.00%,87.30%,0.18%,0.03%,,,-0.41%,0.41%,-0.31%,-2.01%,,-5.61%,,0.33%,-0.07%,0.41%,-1.13%,-0.61%,1.56%,-8.70%,1.56%,49.65,,9.76,-0.61%,1454,
"ABIO","ARCA biopharma, Inc.","Healthcare","Biotechnology",32.36,,,42.50%,,14.41,0.40%,0.00%,8.20%,-1.45%,2.04%,,,-5.37%,-17.03%,-19.93%,-31.23%,-41.28%,-42.89%,2.50,4.35%,-11.96%,-17.61%,-32.37%,-26.60%,-4.18%,-58.36%,-4.18%,27.30,,2.29,-6.53%,252400,
"ABM","ABM Industries Incorporated","Industrials","Specialty Business Services",3155.64,21.98,1.62%,-68.40%,4.10%,67.50,1.00%,-1.30%,98.60%,3.50%,2.53%,16.30%,3.70%,-3.42%,4.22%,-3.00%,-5.21%,22.23%,23.97%,1.34,2.12%,1.25%,2.25%,-1.20%,-4.54%,9.25%,-15.45%,29.19%,51.13,2.00,46.91,-1.66%,251908,62.00
"ABMD","Abiomed, Inc.","Healthcare","Medical Devices",15295.39,104.61,,42.20%,20.80%,45.44,1.40%,-16.36%,94.40%,0.49%,1.84%,81.90%,14.90%,-4.60%,-1.80%,-2.27%,21.50%,27.79%,4.94%,1.26,3.91%,-3.55%,-1.97%,4.73%,-10.31%,9.28%,-12.18%,33.72%,43.40,2.40,340.20,-0.96%,175761,387.33
"ABNB","Airbnb, Inc.","Communication Services","Internet Content & Information",118699.38,,,,29.70%,621.01,4.00%,-24.88%,50.90%,5.34%,4.34%,62.00%,-58.70%,6.64%,20.36%,42.19%,51.68%,,39.19%,,3.85%,10.80%,16.77%,22.80%,-3.88%,32.00%,-7.10%,68.17%,66.39,2.30,204.33,2.62%,4595048,194.29
"ABOS","Acumen Pharmaceuticals, Inc.","Healthcare","Biotechnology",431.25,,,,,41.91,0.50%,,70.40%,,1.86%,,,-23.27%,-27.33%,-40.45%,,,-48.81%,,7.23%,-25.50%,-29.26%,-34.51%,-44.97%,3.94%,-61.86%,3.94%,25.03,2.00,10.29,-4.46%,62765,25.00
"ABR","Arbor Realty Trust, Inc.","Real Estate","REIT - Mortgage",2727.05,8.57,7.61%,6.50%,33.50%,142.62,1.00%,0.28%,45.60%,0.51%,4.95%,75.60%,48.70%,-7.68%,-6.36%,3.31%,6.30%,39.85%,29.69%,1.85,1.61%,-6.60%,-3.55%,3.53%,-11.33%,3.90%,-11.33%,41.43%,32.97,2.20,18.39,-1.87%,1723067,21.62
"ABSI","Absci Corporation","Healthcare","Biotechnology",1188.14,,,,,73.29,8.40%,126.52%,29.90%,,5.54%,,,-14.58%,-1.07%,-50.84%,,,-48.73%,,11.20%,-20.63%,-11.75%,-33.66%,-38.91%,15.07%,-64.89%,15.07%,39.85,2.80,11.07,-10.29%,200467,26.25
"ABST","Absolute Software Corporation","Technology","Software - Application",621.96,,2.71%,-20.80%,6.30%,49.67,0.42%,0.00%,83.73%,,0.55%,84.40%,-2.50%,-7.86%,-15.70%,-14.35%,-31.75%,0.63%,-19.31%,0.74,3.13%,-12.38%,-13.96%,-27.57%,-20.48%,-0.07%,-54.67%,2.67%,22.68,2.00,9.61,-1.44%,248243,
"ABT","Abbott Laboratories","Healthcare","Medical Devices",223595.92,31.45,1.41%,7.80%,11.10%,1774.52,0.20%,-7.37%,75.70%,0.21%,0.64%,56.90%,20.10%,0.31%,3.51%,1.04%,8.97%,16.28%,16.58%,0.68,1.59%,-0.10%,3.00%,5.80%,-3.01%,11.57%,-3.01%,21.19%,53.95,2.00,127.64,-0.76%,4466040,138.61
"ABTX","Allegiance Bancshares, Inc.","Financial","Banks - Regional",878.64,11.83,1.09%,9.20%,22.20%,20.22,6.64%,0.00%,51.30%,-0.73%,1.55%,,89.20%,5.54%,13.07%,17.39%,7.05%,39.92%,28.98%,1.00,3.00%,7.40%,13.32%,13.15%,-0.80%,28.00%,-0.80%,44.09%,69.79,3.00,44.02,-0.50%,125174,46.25
"ABUS","Arbutus Biopharma Corporation","Healthcare","Biotechnology",446.39,,,6.20%,-21.60%,101.29,28.70%,0.00%,22.70%,4.04%,3.00%,,,-4.90%,-19.32%,13.01%,20.44%,-2.65%,-7.04%,2.60,4.64%,-11.98%,-18.40%,-4.46%,-30.38%,1.85%,-43.78%,35.80%,26.21,2.40,3.30,0.30%,1654054,6.00
"ABVC","ABVC BioPharma, Inc.","Healthcare","Biotechnology",84.96,,,13.40%,,24.42,92.60%,0.00%,0.40%,,4.67%,97.40%,,-1.46%,33.20%,66.01%,-38.73%,-13.59%,-33.92%,0.39,15.62%,-0.07%,17.23%,-17.58%,-71.17%,59.71%,-88.75%,72.82%,51.58,,3.37,0.00%,474892,9.50
"AC","Associated Capital Group, Inc.","Financial","Capital Markets",904.38,9.17,0.48%,187.70%,-3.60%,22.08,0.50%,0.09%,72.80%,-0.03%,0.75%,,,2.11%,12.80%,13.01%,16.23%,16.10%,18.45%,1.23,3.62%,8.77%,10.62%,12.97%,-6.87%,20.61%,-6.87%,37.70%,65.52,,41.60,-3.17%,12552,
"ACA","Arcosa, Inc.","Industrials","Infrastructure Operations",2732.25,38.86,0.35%,-4.70%,-2.00%,48.20,1.30%,-6.10%,93.00%,0.11%,2.42%,18.30%,5.50%,2.22%,6.88%,11.88%,-9.12%,3.74%,3.00%,,3.20%,4.16%,8.65%,-1.14%,-2.31%,17.43%,-17.35%,17.43%,60.58,1.70,56.58,0.05%,233826,66.43
"ACAD","ACADIA Pharmaceuticals Inc.","Healthcare","Biotechnology",3050.76,,,-1.80%,491.50%,160.66,0.20%,-1.32%,93.40%,-0.26%,4.89%,95.40%,-40.70%,-8.37%,5.39%,13.61%,-13.63%,-64.79%,-64.55%,0.58,5.38%,-2.26%,5.52%,-21.49%,-13.39%,20.86%,-67.02%,20.86%,48.60,2.60,18.95,-2.72%,1504904,24.95
"ACAHU","Atlantic Coastal Acquisition Corp.","Financial","Shell Companies",,,,,,,,,39.93%,,0.00%,,,0.40%,0.86%,0.15%,0.61%,,0.20%,,0.17%,0.46%,0.55%,0.35%,-0.20%,1.01%,-1.19%,1.73%,60.37,,9.97,0.00%,617,
"ACB","Aurora Cannabis Inc.","Healthcare","Drug Manufacturers - Specialty & Generic",1567.30,,,-50.40%,179.40%,198.07,0.03%,0.00%,19.79%,,16.36%,-58.00%,,-7.40%,-8.49%,4.94%,-7.76%,-0.14%,-15.64%,3.12,6.86%,-3.72%,0.10%,-16.82%,-19.33%,19.83%,-63.07%,19.83%,46.37,3.50,7.01,-11.15%,9769426,6.84
"ACBI","Atlantic Capital Bancshares, Inc.","Financial","Banks - Regional",594.29,12.44,,70.00%,15.10%,20.31,1.60%,-6.28%,89.40%,3.24%,2.43%,,99.40%,-1.38%,4.27%,20.68%,6.59%,91.31%,83.98%,0.82,2.80%,2.01%,9.09%,16.13%,-2.85%,32.29%,-2.85%,109.66%,58.89,2.20,29.29,-0.91%,75906,28.00
"ACC","American Campus Communities, Inc.","Real Estate","REIT - Residential",7575.87,432.02,3.51%,-12.80%,2.90%,139.07,0.10%,-22.48%,94.00%,-0.58%,1.91%,50.10%,14.90%,-1.33%,3.80%,9.37%,16.48%,31.91%,25.25%,1.00,1.89%,-0.01%,3.91%,12.22%,-2.86%,11.56%,-2.86%,34.77%,53.18,2.10,53.57,0.45%,457177,57.75
"ACCD","Accolade, Inc.","Healthcare","Health Information Services",2103.12,,,,,64.40,1.00%,0.00%,70.40%,2.98%,6.33%,43.30%,-62.40%,-11.44%,-19.84%,-25.65%,-29.23%,-24.38%,-26.71%,,3.67%,-16.80%,-21.58%,-30.75%,-35.11%,-2.66%,-51.14%,-2.66%,22.36,1.50,31.88,-2.86%,727064,56.36
"ACCO","ACCO Brands Corporation","Industrials","Business Equipment & Supplies",823.41,10.55,3.07%,-3.70%,1.80%,95.60,3.16%,0.04%,91.30%,1.19%,2.83%,30.30%,6.80%,-8.13%,-7.22%,-4.93%,-11.39%,8.72%,0.36%,2.14,3.31%,-4.52%,-4.65%,-3.74%,-10.74%,3.04%,-13.20%,14.91%,40.69,1.60,8.48,-2.86%,606699,13.75
"ACEL","Accel Entertainment, Inc.","Consumer Cyclical","Gambling",1204.58,52.16,,,,93.62,5.40%,-8.50%,65.30%,0.03%,3.17%,32.90%,-2.80%,-3.90%,0.72%,16.28%,-4.12%,20.17%,24.46%,1.19,3.98%,-1.11%,2.09%,5.96%,-10.82%,14.48%,-10.82%,42.52%,48.13,2.40,12.57,0.56%,227915,16.50
"ACER","Acer Therapeutics Inc.","Healthcare","Biotechnology",31.99,,,37.30%,,14.31,15.34%,0.00%,29.70%,-0.05%,2.61%,,,-2.93%,-4.13%,-4.13%,-19.72%,-15.64%,-11.45%,1.16,4.86%,-3.71%,-6.74%,-17.29%,-23.68%,2.65%,-56.96%,2.65%,42.10,2.70,2.32,-1.69%,66094,10.00
"ACES","ALPS Clean Energy ETF","Financial","Exchange Traded Fund",,,0.56%,,,,,,,,,,,-3.36%,7.86%,14.44%,14.28%,21.89%,-3.57%,,2.47%,-1.19%,7.14%,4.94%,-5.62%,22.54%,-24.02%,26.60%,51.98,,77.29,-2.07%,57754,
"ACET","Adicet Bio, Inc.","Healthcare","Biotechnology",294.75,,,,,31.88,1.80%,-9.78%,67.00%,0.16%,1.50%,,,-1.98%,11.39%,35.69%,-35.06%,-25.24%,-33.17%,2.36,5.26%,4.29%,14.69%,-13.35%,-4.96%,39.11%,-47.25%,50.24%,60.57,1.40,9.39,0.00%,61062,28.29
"ACEV","ACE Convergence Acquisition Corp.","Financial","Shell Companies",285.76,,,,,28.75,,,51.50%,17.51%,2.47%,,,0.00%,0.20%,0.91%,-0.20%,2.16%,-2.64%,,0.26%,-0.03%,0.19%,-1.90%,-0.50%,0.71%,-26.30%,2.68%,51.30,,9.95,0.00%,94984,
"ACEVU","ACE Convergence Acquisition Corp.","Financial","Shell Companies",,,,,,,,,1.25%,,0.00%,,,-0.38%,3.92%,3.72%,-8.46%,6.00%,-2.66%,,1.16%,1.16%,2.90%,-4.41%,-3.37%,4.64%,-29.33%,6.83%,60.11,,10.60,0.95%,300,
"ACGL","Arch Capital Group Ltd.","Financial","Insurance - Diversified",15879.60,8.41,,19.50%,16.30%,389.27,0.20%,74.60%,99.43%,-0.82%,0.82%,,21.40%,0.48%,-2.27%,-1.02%,4.36%,19.43%,15.53%,0.90,2.05%,-2.00%,1.73%,5.89%,-4.69%,11.31%,-4.69%,33.43%,47.52,1.90,41.67,-1.14%,1969222,49.82
"ACGLN","Arch Capital Group Ltd.","Financial","Insurance - Diversified",,,,,,,,,,,0.01%,,,-0.12%,-1.08%,-1.38%,,,3.04%,,0.70%,-0.57%,-0.91%,-0.53%,-3.74%,1.06%,-3.74%,3.12%,43.44,,25.76,-0.04%,26435,49.82
"ACH","Aluminum Corporation of China Limited","Basic Materials","Aluminum",12766.43,16.09,,25.50%,8.50%,680.91,,,1.60%,-0.29%,0.01%,9.70%,5.00%,-6.48%,-27.06%,-7.21%,-7.27%,83.64%,51.27%,1.75,3.03%,-10.68%,-25.12%,-9.80%,-45.06%,2.74%,-45.06%,87.57%,33.48,,13.13,1.47%,241437,14.51
"ACHC","Acadia Healthcare Company, Inc.","Healthcare","Medical Care Facilities",5740.84,30.30,,-0.60%,3.10%,88.96,0.10%,-40.32%,,-0.89%,3.13%,,,1.06%,12.99%,2.21%,3.99%,50.77%,28.57%,1.40,2.60%,4.59%,5.12%,5.84%,-4.17%,18.76%,-5.87%,55.04%,62.59,2.20,64.62,-0.90%,323538,75.14
"ACHL","Achilles Therapeutics plc","Healthcare","Biotechnology",227.96,,,,,40.62,,,49.60%,-2.46%,2.68%,,,-18.13%,-26.38%,-14.03%,-60.55%,,-67.79%,,8.05%,-18.38%,-21.60%,-43.61%,-40.78%,-1.66%,-71.87%,-1.66%,31.36,1.80,5.33,-4.82%,254038,20.00
"ACHR","Archer Aviation Inc.","Industrials","Aerospace & Defense",1531.82,,,,,62.50,18.30%,2.02%,28.40%,22.70%,18.27%,,,-1.80%,-10.33%,-39.80%,-39.62%,,-40.46%,,6.87%,-2.54%,-20.92%,-38.45%,-43.14%,15.19%,-67.80%,15.19%,38.70,2.50,5.99,-1.48%,1048135,12.50
"ACHV","Achieve Life Sciences, Inc.","Healthcare","Biotechnology",71.87,,,,,9.45,0.10%,168.07%,27.10%,0.54%,4.57%,,,-9.74%,-8.30%,8.68%,-18.01%,-18.81%,-7.28%,1.26,5.17%,-9.46%,-9.91%,-19.94%,-25.57%,0.13%,-53.35%,13.27%,34.06,1.60,7.51,-4.21%,96538,31.50
"ACI","Albertsons Companies, Inc.","Consumer Defensive","Grocery Stores",16061.24,27.83,1.15%,23.00%,3.50%,465.30,0.30%,0.36%,58.90%,-0.84%,5.57%,29.00%,1.80%,0.14%,20.13%,20.34%,85.23%,120.51%,97.55%,,3.87%,6.18%,12.41%,49.49%,-3.42%,30.07%,-3.42%,136.26%,63.79,2.30,34.73,1.82%,794987,32.44
"ACII","Atlas Crest Investment Corp. II","Financial","Shell Companies",420.95,,,,,43.12,,,61.80%,1.05%,1.06%,,,-0.10%,0.10%,1.14%,0.51%,,-2.40%,,0.25%,-0.07%,0.06%,-0.20%,-0.51%,0.93%,-5.88%,3.17%,49.38,,9.76,0.10%,38336,
"ACIO","Aptus Collared Income Opportunity ETF","Financial","Exchange Traded Fund",,,0.75%,,,,,,,,,,,0.66%,2.20%,4.26%,8.23%,17.58%,15.13%,,0.63%,0.77%,3.27%,7.08%,-2.08%,7.99%,-2.08%,19.25%,64.87,,32.03,0.17%,35381,
"ACIU","AC Immune SA","Healthcare","Biotechnology",402.25,,,-33.80%,-17.00%,72.89,60.54%,0.00%,28.70%,8.39%,4.15%,,,-10.74%,-10.74%,-16.92%,-14.29%,4.85%,4.45%,0.80,7.33%,-16.62%,-17.93%,-23.63%,-33.66%,-3.23%,-57.18%,12.27%,30.33,1.30,5.40,-4.26%,467256,15.17
