no,ticker,company,sector,industry,country,market_cap,pe,forward_pe,peg,ps,pb,pcash,pfree_cash_flow,dividend_yield,payout_ratio,eps_ttm,eps_growth_this_year,eps_growth_next_year,eps_growth_past_5_years,eps_growth_next_5_years,sales_growth_past_5_years,eps_growth_quarter_over_quarter,sales_growth_quarter_over_quarter,shares_outstanding,shares_float,insider_ownership,insider_transactions,institutional_ownership,institutional_transactions,float_short,short_ratio,return_on_assets,return_on_equity,return_on_investment,current_ratio,quick_ratio,lt_debtequity,total_debtequity,gross_margin,operating_margin,profit_margin,performance_week,performance_month,performance_quarter,performance_half_year,performance_year,performance_ytd,beta,average_true_range,volatility_week,volatility_month,20day_simple_moving_average,50day_simple_moving_average,200day_simple_moving_average,50day_high,50day_low,52week_high,52week_low,relative_strength_index_14,change_from_open,gap,ar,average_volume,relative_volume,price,change,volume,earnings_date,target_price,ipo_date,afterhours_close,afterhours_change,analyst_recom,rs_rating,returns_multiple,current_price,ma_20_day,ma_50_day,ma_200_day,low_52_week,high_52_week,sentiment_score,est_gl,my_score,in_russell_3k
369,AMRK,"A-Mark Precious Metals, Inc.",Financial,Capital Markets,USA,839.37,4.11,10.82,,0.1,2.07,43.27,4.99,,0.00%,17.88,312.90%,-13.72%,68.70%,,2.30%,125.40%,28.20%,11.38,8.44,8.00%,-10.42%,44.70%,4.18%,2.32%,2.17,15.40%,51.30%,17.20%,1.5,0.6,0.23,1.18,3.40%,2.70%,2.30%,6.29%,25.11%,-1.38%,55.59%,155.68%,20.29%,-0.46,3.05,4.61%,5.06%,14.70%,19.43%,30.55%,-4.55%,34.96%,-9.18%,189.59%,73.19,-1.70%,1.70%,2.0,90.28,0.89,73.5,-0.03%,80580,2/8/2022 4:30:00 PM,93.5,3/17/2014,73.5,0.00%,69.0,99,2.15,73.5,64.79,61.78,57.24,26.24,80.93,54.0,27.21,74.0,True
379,AMTB,Amerant Bancorp Inc.,Financial,Banks - Regional,USA,1250.89,11.24,14.02,,5.05,1.55,5.85,21.64,0.18%,0.00%,3.03,-103.50%,17.04%,-16.20%,,4.60%,900.60%,-0.80%,37.13,27.37,0.90%,-17.74%,32.70%,2.32%,1.29%,2.41,0.50%,5.10%,20.10%,,,0.15,0.15,,88.40%,16.40%,-3.85%,-1.39%,12.99%,39.67%,104.14%,-1.56%,1.38,1.29,3.50%,4.58%,-0.84%,0.73%,27.02%,-7.38%,18.75%,-7.38%,111.77%,49.04,1.89%,0.24%,1.8,147.1,0.67,34.01,2.13%,98609,1/20/2022 8:30:00 AM,37.04,8/29/2018,34.01,0.00%,75.0,98,1.8,34.01,34.32,33.85,26.85,16.06,36.72,15.0,8.91,62.666666666666664,True
393,ANDE,"The Andersons, Inc.",Consumer Defensive,Food Distribution,USA,1304.8,15.22,15.04,1.9,0.11,1.29,6.02,,1.80%,25.70%,2.63,-58.00%,0.00%,20.10%,8.00%,14.30%,,56.00%,33.28,30.77,2.60%,-23.56%,78.00%,-0.31%,1.61%,2.74,2.20%,9.00%,0.70%,1.4,0.9,0.53,0.9,4.80%,1.10%,0.80%,4.22%,1.83%,7.10%,35.78%,45.77%,3.33%,0.73,1.25,3.32%,3.46%,5.74%,6.22%,22.09%,-0.72%,20.41%,-0.72%,63.04%,64.73,2.59%,0.54%,2.0,180.27,3.62,40.0,3.15%,653123,2/15/2022 4:30:00 PM,44.5,2/20/1996,41.85,4.62%,69.0,94,1.32,40.0,37.9,37.79,32.81,24.53,40.29,15.0,11.25,59.333333333333336,True
409,ANTM,"Anthem, Inc.",Healthcare,Healthcare Plans,USA,111559.23,18.2,13.95,1.42,0.8,3.06,20.32,23.48,1.00%,24.10%,24.72,-2.60%,13.22%,13.90%,12.86%,9.00%,602.40%,14.90%,243.4,241.15,0.20%,-0.77%,92.60%,0.14%,0.81%,1.72,4.50%,12.30%,9.10%,,,0.61,0.64,,4.60%,3.10%,-3.41%,-0.50%,3.57%,18.32%,55.00%,-2.94%,1.06,12.29,2.34%,2.85%,0.64%,1.18%,11.08%,-4.69%,14.65%,-4.69%,56.04%,51.13,0.34%,0.99%,1.9,1139.56,0.77,449.89,1.33%,878161,1/26/2022 8:30:00 AM,491.32,10/30/2001,449.89,0.00%,72.0,95,1.37,449.89,447.11,445.76,405.34,288.32,472.01,18.0,9.21,61.666666666666664,True
449,APR,"Apria, Inc.",Healthcare,Medical Instruments & Supplies,USA,1324.86,18.65,20.35,,1.16,56.55,6.12,17.46,,0.00%,2.0,195.30%,8.65%,18.20%,,0.30%,268.70%,3.80%,35.31,34.63,2.00%,-93.41%,94.50%,-7.31%,4.11%,2.4,10.50%,,14.00%,1.2,1.2,15.2,16.55,70.40%,9.30%,6.50%,0.16%,0.05%,23.01%,7.24%,76.45%,14.48%,,0.4,0.28%,0.35%,0.21%,9.33%,15.05%,-0.96%,30.60%,-6.70%,85.95%,66.55,0.24%,0.05%,1.8,592.92,1.86,37.32,0.30%,1103484,11/4/2021 4:30:00 PM,38.33,2/11/2021,37.3,-0.05%,75.0,96,1.52,37.32,37.24,34.28,32.48,20.07,40.0,11.0,2.71,60.666666666666664,True
468,AR,Antero Resources Corporation,Energy,Oil & Gas E&P,USA,6212.91,,5.85,,1.76,1.32,,4.4,,,-3.24,-319.20%,115.62%,-27.40%,,-2.50%,12.20%,40.30%,313.79,273.59,0.90%,-37.44%,78.10%,0.78%,7.41%,2.85,-7.80%,-18.60%,-11.40%,0.3,0.3,0.48,0.48,64.40%,-34.60%,-28.80%,3.75%,2.10%,4.18%,61.28%,109.10%,16.86%,4.2,1.07,4.55%,6.01%,5.58%,10.44%,25.34%,-7.17%,32.96%,-7.17%,154.67%,57.1,3.28%,-1.69%,2.2,7107.1,1.11,20.45,1.54%,7908498,2/16/2022 4:30:00 PM,28.25,10/10/2013,20.45,0.00%,63.0,99,1.9,20.45,19.43,18.6,16.37,8.03,22.03,17.0,38.14,59.666666666666664,True
478,ARCH,"Arch Resources, Inc.",Energy,Thermal Coal,USA,1740.41,117.26,2.95,,0.99,4.4,8.3,,0.84%,0.00%,1.02,-268.30%,117.81%,30.20%,,-10.60%,139.00%,55.50%,15.3,14.99,1.40%,-0.84%,,3.10%,33.17%,9.96,1.80%,10.00%,-41.40%,1.5,1.1,1.01,1.35,18.80%,3.10%,1.80%,13.71%,23.60%,46.47%,75.47%,144.71%,30.72%,0.91,6.11,6.55%,6.11%,17.61%,26.38%,54.28%,3.19%,49.66%,3.19%,205.94%,76.44,-4.12%,9.92%,2.0,499.34,3.07,119.37,5.39%,1534152,2/15/2022 8:30:00 AM,127.33,10/5/2016,119.37,0.00%,69.0,99,2.16,119.37,102.61,95.2,77.73,39.02,125.22,7.0,6.67,58.333333333333336,True
588,ATLC,Atlanticus Holdings Corporation,Financial,Credit Services,USA,1062.65,10.53,7.6,0.53,2.16,3.96,6.36,,,0.00%,6.53,138.40%,6.31%,100.30%,20.00%,29.70%,14.10%,31.50%,15.12,5.74,3.40%,-17.64%,19.20%,14.16%,5.53%,3.53,10.10%,79.20%,9.50%,,,3.8,3.8,75.30%,38.20%,27.10%,-0.79%,-4.35%,-9.27%,35.42%,125.07%,-3.56%,1.55,3.75,4.10%,5.98%,4.74%,5.52%,25.56%,-7.84%,27.44%,-25.22%,170.15%,54.56,0.72%,0.81%,2.0,89.86,0.29,68.78,1.54%,26172,,98.0,4/23/1999,68.78,0.00%,69.0,99,2.07,68.78,65.67,65.43,54.96,25.46,91.98,19.0,42.48,62.333333333333336,True
688,AXP,American Express Company,Financial,Credit Services,USA,156305.21,19.81,17.43,0.57,3.65,6.37,5.72,18.7,0.87%,20.00%,9.99,-52.90%,17.14%,-5.70%,34.57%,2.20%,73.70%,23.30%,786.0,766.95,0.10%,-38.18%,86.70%,-0.48%,1.31%,2.35,3.70%,28.40%,2.10%,,,1.41,4.96,68.60%,21.40%,16.20%,2.05%,17.57%,8.11%,20.24%,54.00%,21.01%,1.14,5.23,2.30%,3.18%,10.64%,15.54%,17.58%,-0.37%,29.53%,-0.37%,57.03%,72.43,1.96%,0.95%,2.4,4289.54,0.96,197.98,2.93%,4133886,1/25/2022 8:30:00 AM,195.52,4/4/1972,197.76,-0.11%,56.0,94,1.33,197.98,180.53,172.2,168.59,126.08,198.72,12.0,-1.24,54.0,True
715,BAC,Bank of America Corporation,Financial,Banks - Diversified,USA,400340.18,13.42,12.61,0.56,8.4,1.62,0.46,,1.76%,23.90%,3.56,-32.00%,16.25%,7.40%,23.89%,0.80%,69.00%,7.40%,8430.7,8103.31,0.10%,-1.54%,72.80%,0.04%,0.74%,1.15,0.90%,10.50%,7.30%,,,1.11,2.03,,89.10%,54.90%,-3.22%,-0.25%,1.57%,16.31%,38.88%,7.42%,1.41,1.32,2.55%,2.98%,2.02%,3.68%,10.31%,-4.63%,12.22%,-4.63%,41.80%,53.88,-0.44%,1.22%,2.4,51647.39,0.82,47.79,0.78%,42256112,1/19/2022 8:30:00 AM,51.73,6/5/1979,47.75,-0.08%,56.0,90,1.23,47.79,46.92,46.17,43.36,33.7,50.11,16.0,8.24,54.0,True
879,BHVN,Biohaven Pharmaceutical Holding Company Ltd.,Healthcare,Biotechnology,USA,9397.35,,,,30.55,,18.06,,,,-13.76,-19.70%,52.40%,,,,19.70%,666.70%,65.39,56.1,6.20%,-3.37%,92.60%,-0.18%,6.63%,5.77,-94.40%,202.60%,-198.10%,2.0,1.9,,,78.60%,,,7.54%,15.17%,19.24%,18.03%,73.28%,2.10%,1.04,6.66,4.30%,5.46%,10.99%,13.20%,19.59%,-2.18%,43.54%,-7.13%,124.87%,62.22,0.50%,1.57%,1.8,644.34,0.64,140.7,2.08%,409878,11/9/2021 8:30:00 AM,159.3,5/4/2017,140.7,0.00%,75.0,96,1.5,140.7,127.9,125.04,117.97,62.57,151.51,8.0,13.22,59.666666666666664,True
919,BK,The Bank of New York Mellon Corporation,Financial,Asset Management,USA,52331.07,15.73,10.78,1.24,17.33,1.34,0.26,,2.19%,31.20%,3.96,-15.10%,21.21%,7.20%,12.65%,4.30%,-2.80%,-15.50%,844.09,823.92,0.10%,0.00%,85.50%,-0.82%,1.11%,2.06,0.70%,8.50%,2.80%,,,0.66,0.66,,93.70%,,-2.18%,-2.15%,3.87%,15.67%,45.06%,7.15%,1.09,1.76,2.42%,3.37%,2.58%,4.52%,13.32%,-3.71%,14.41%,-3.71%,48.52%,56.13,0.16%,1.07%,2.1,4436.07,1.01,62.23,1.24%,4486063,1/18/2022 8:30:00 AM,68.75,12/4/1969,62.23,0.00%,66.0,92,1.28,62.23,60.63,59.69,54.98,41.9,64.63,29.0,10.48,62.333333333333336,True
933,BKR,Baker Hughes Company,Energy,Oil & Gas Equipment & Services,USA,28103.07,,16.79,,1.37,1.45,6.49,58.06,2.50%,,-0.36,2200.00%,35.36%,-27.10%,50.90%,5.60%,103.70%,0.90%,851.0,829.21,0.10%,-99.01%,93.60%,1.00%,8.10%,7.7,-0.10%,-0.20%,-70.90%,1.6,1.2,0.4,0.4,19.70%,3.00%,-0.20%,5.23%,4.84%,16.42%,34.60%,22.25%,19.66%,1.52,1.15,4.23%,4.57%,5.37%,11.25%,18.94%,-1.67%,26.47%,-1.67%,53.55%,63.28,3.23%,-2.28%,2.0,8722.8,0.73,28.79,0.88%,6366222,1/20/2022 8:30:00 AM,32.41,10/3/1961,28.79,0.00%,69.0,81,1.09,28.79,27.42,25.97,24.24,18.75,29.28,4.0,12.57,51.333333333333336,True
1044,BPOP,"Popular, Inc.",Financial,Banks - Regional,USA,7577.33,8.22,9.25,1.64,3.57,1.27,0.41,11.81,1.91%,16.70%,11.45,-14.70%,7.39%,-7.40%,5.00%,5.50%,54.00%,3.30%,80.13,78.58,1.40%,-7.90%,87.70%,0.78%,2.07%,3.03,1.20%,13.90%,22.90%,,,0.12,0.13,,92.30%,38.80%,-0.29%,-4.39%,11.53%,24.85%,47.37%,14.75%,1.07,2.89,2.63%,3.40%,3.11%,8.89%,17.71%,-5.37%,26.33%,-5.37%,51.03%,59.67,1.65%,1.01%,1.8,538.7,0.94,94.14,2.68%,506025,1/27/2022 8:30:00 AM,112.08,11/4/1982,94.14,0.00%,75.0,94,1.32,94.14,91.18,86.79,80.07,62.33,99.49,50.0,19.06,73.0,True
1081,BRT,BRT Apartments Corp.,Real Estate,REIT - Residential,USA,386.45,14.27,,,13.42,1.86,13.06,,4.14%,57.10%,1.56,245.70%,-117.20%,-23.50%,,-22.20%,473.00%,5.50%,17.26,14.4,17.70%,-0.88%,45.90%,-0.36%,0.40%,1.09,7.40%,14.70%,-4.00%,,,0.83,0.83,55.90%,-35.40%,93.90%,7.87%,3.83%,10.61%,21.30%,42.10%,-7.42%,1.33,0.87,3.37%,4.25%,4.05%,4.60%,14.83%,-8.22%,21.04%,-8.22%,50.37%,56.01,-0.72%,0.99%,2.2,52.57,0.79,22.21,0.27%,41753,11/8/2021 4:30:00 PM,21.75,5/23/1973,22.21,0.00%,63.0,93,1.3,22.21,21.4,21.3,19.36,14.77,24.2,12.0,-2.07,56.0,True
1243,CARE,"Carter Bankshares, Inc.",Financial,Banks - Regional,USA,420.47,14.58,11.51,,3.23,1.04,,,,,1.09,176.40%,3.80%,,,,,20.30%,26.46,25.36,2.99%,1.22%,38.18%,,0.46%,1.88,,,,,,,,,,,-0.63%,-2.46%,-0.06%,32.09%,47.40%,3.25%,,0.4,2.04%,2.77%,2.14%,3.58%,12.87%,-3.46%,12.02%,-3.46%,58.58%,57.05,1.21%,0.58%,2.0,61.95,1.22,15.89,1.79%,75294,,18.5,2/28/2007,15.89,0.00%,69.0,92,1.28,15.89,15.56,15.37,14.09,10.02,16.46,42.0,16.43,67.66666666666667,True
1278,CBT,Cabot Corporation,Basic Materials,Specialty Chemicals,USA,4157.66,43.12,11.29,3.64,1.15,5.2,23.23,,2.03%,81.90%,1.69,199.60%,11.24%,13.30%,11.86%,7.20%,-252.90%,29.80%,56.8,56.15,1.10%,-0.63%,93.60%,0.77%,2.15%,3.09,3.10%,11.30%,15.60%,1.2,0.8,0.9,1.65,22.30%,7.00%,2.70%,6.64%,19.15%,24.61%,33.49%,46.85%,29.45%,1.56,2.27,2.98%,3.94%,19.08%,24.93%,28.71%,2.35%,42.40%,2.35%,52.87%,78.31,3.47%,0.85%,2.0,391.78,1.52,72.75,4.35%,597356,1/31/2022 4:30:00 PM,75.0,8/23/1968,72.75,0.00%,69.0,92,1.28,72.75,61.73,58.58,56.61,47.59,71.08,8.0,3.09,56.333333333333336,True
1285,CCB,Coastal Financial Corporation,Financial,Banks - Regional,USA,597.3,22.99,14.75,,7.19,3.7,0.88,35.77,,0.00%,2.16,14.60%,66.65%,36.30%,,20.50%,59.80%,19.50%,12.0,8.72,3.20%,0.00%,57.90%,4.31%,2.27%,3.96,1.10%,14.50%,23.30%,,,0.17,0.0,,81.00%,26.20%,-0.44%,-4.74%,12.70%,66.09%,111.02%,-2.00%,1.25,1.69,2.36%,3.92%,0.99%,1.65%,35.31%,-8.82%,26.81%,-8.82%,115.70%,52.35,0.08%,1.00%,1.7,49.89,1.06,49.61,1.08%,53036,,68.62,7/18/2018,49.61,0.00%,78.0,99,1.86,49.61,49.05,48.94,36.76,23.0,54.41,6.0,38.32,61.0,True
1343,CEIX,CONSOL Energy Inc.,Energy,Thermal Coal,USA,982.41,34.04,5.89,,0.77,2.11,6.06,6.21,,0.00%,0.87,-113.30%,-25.52%,-15.30%,,-6.50%,,25.70%,34.48,33.72,1.90%,0.00%,85.30%,4.24%,4.81%,3.58,1.40%,6.60%,2.50%,0.7,0.6,1.34,1.46,91.90%,6.50%,2.90%,8.80%,16.21%,19.77%,37.41%,161.27%,30.69%,2.48,1.74,6.66%,7.12%,21.28%,25.63%,33.42%,-6.52%,55.31%,-18.08%,243.12%,66.4,-3.04%,-3.04%,2.0,452.62,1.27,29.68,-5.99%,573158,2/8/2022 8:30:00 AM,33.33,11/14/2017,29.68,0.00%,69.0,99,2.36,29.68,24.67,23.79,22.34,8.65,36.23,31.0,12.3,66.33333333333333,True
1357,CENX,Century Aluminum Company,Basic Materials,Aluminum,USA,1795.89,,5.36,,0.92,5.73,31.18,,,,-2.92,-51.40%,396.90%,-20.30%,,-3.80%,10.60%,48.00%,90.1,49.84,0.90%,0.00%,58.20%,1.11%,9.82%,3.85,-18.60%,-64.00%,-9.10%,1.1,0.4,1.03,1.22,2.80%,-1.20%,-13.50%,12.99%,20.56%,32.66%,75.28%,57.94%,22.89%,2.61,1.12,6.64%,6.77%,21.07%,27.12%,44.13%,6.10%,64.91%,3.83%,95.86%,74.34,8.24%,-1.52%,2.0,1271.79,1.48,20.35,6.60%,1884502,2/24/2022 4:30:00 PM,18.33,3/29/1996,20.34,-0.05%,69.0,94,1.33,20.35,16.96,16.15,14.14,10.39,19.6,9.0,-9.93,57.333333333333336,True
1370,CF,"CF Industries Holdings, Inc.",Basic Materials,Agricultural Inputs,USA,14888.15,52.37,6.51,0.84,2.92,5.28,19.67,15.87,1.66%,86.40%,1.38,-33.80%,142.93%,-13.10%,62.70%,-0.90%,-557.70%,60.80%,214.9,213.64,0.40%,-37.92%,94.90%,0.55%,2.07%,1.37,2.50%,9.90%,8.60%,1.8,1.4,1.18,1.18,27.70%,14.50%,5.90%,-1.38%,8.70%,10.18%,58.48%,60.28%,2.03%,1.06,3.96,6.82%,5.74%,1.73%,5.56%,26.72%,-6.50%,23.54%,-6.50%,68.54%,52.36,2.45%,-1.36%,2.1,3215.71,1.25,72.22,1.06%,4015050,2/15/2022 4:30:00 PM,73.74,8/11/2005,70.7,-2.10%,66.0,95,1.4,72.22,71.19,68.68,57.11,42.85,77.24,15.0,2.1,58.666666666666664,True
1372,CFB,"CrossFirst Bankshares, Inc.",Financial,Banks - Regional,USA,824.93,12.14,11.61,,4.27,1.27,2.6,10.13,,0.00%,1.33,-58.80%,6.97%,,,,167.20%,-2.50%,50.99,44.05,0.50%,-3.73%,49.30%,1.89%,0.85%,3.61,0.80%,6.90%,15.10%,,,0.0,0.0,,68.20%,22.60%,-1.16%,1.57%,6.79%,20.88%,31.90%,3.84%,,0.43,2.02%,3.00%,3.06%,4.99%,13.07%,-1.73%,13.75%,-1.73%,38.96%,60.15,0.37%,0.94%,2.4,103.26,0.86,16.21,1.31%,89138,1/24/2022 4:30:00 PM,18.0,8/15/2019,16.21,0.00%,56.0,86,1.15,16.21,15.75,15.47,14.34,11.66,16.5,13.0,11.04,51.666666666666664,True
