no,ticker,company,sector,industry,country,market_cap,pe,forward_pe,peg,ps,pb,pcash,pfree_cash_flow,dividend_yield,payout_ratio,eps_ttm,eps_growth_this_year,eps_growth_next_year,eps_growth_past_5_years,eps_growth_next_5_years,sales_growth_past_5_years,eps_growth_quarter_over_quarter,sales_growth_quarter_over_quarter,shares_outstanding,shares_float,insider_ownership,insider_transactions,institutional_ownership,institutional_transactions,float_short,short_ratio,return_on_assets,return_on_equity,return_on_investment,current_ratio,quick_ratio,lt_debtequity,total_debtequity,gross_margin,operating_margin,profit_margin,performance_week,performance_month,performance_quarter,performance_half_year,performance_year,performance_ytd,beta,average_true_range,volatility_week,volatility_month,simple_moving_average_20day,simple_moving_average_50day,simple_moving_average_200day,high_50day,low_50day,high_52week,low_52week,relative_strength_index_14,change_from_open,gap,average_volume,relative_volume,price,change,volume,earnings_date,target_price,ipo_date,afterhours_close,afterhours_change,analyst_recom,rs_rating,returns_multiple,current_price,ma_20_day,ma_50_day,ma_200_day,low_52_week,high_52_week,sentiment_score,est_gl,my_score,in_russell_3k
605,ATSG,"Air Transport Services Group, Inc.",Industrials,Integrated Freight & Logistics,USA,2326.15,10.27,14.29,20.55,1.34,1.74,33.47,29.48,,0.00%,3.04,618.00%,8.72%,55.10%,0.50%,17.70%,768.40%,20.80%,73.88,72.96,1.30%,4.03%,99.10%,-0.35%,2.14%,4.48,7.30%,20.50%,9.20%,1.1,1.0,0.98,0.98,55.10%,18.20%,13.30%,6.74%,16.08%,17.74%,14.75%,9.98%,6.16%,0.51,1.16,5.61%,3.75%,9.73%,11.43%,19.79%,-4.71%,23.52%,-4.71%,45.61%,64.86,0.52%,-0.99%,348.58,1.52,31.19,-0.48%,531574.0,2/24/2022 4:30:00 PM,35.67,7/23/2003,30.82,-1.19%,78.0,68,0.93,31.19,28.66,28.04,26.07,21.42,32.73,14.0,14.36,53.333333333333336,True
788,BCOR,"Blucora, Inc.",Financial,Asset Management,USA,968.44,134.29,7.64,8.95,1.09,2.82,7.18,148.99,,0.00%,0.15,102.20%,14.38%,39.00%,15.00%,14.20%,54.00%,14.90%,48.84,47.33,1.90%,8.50%,96.10%,3.53%,2.94%,3.47,0.70%,2.20%,4.40%,1.8,1.8,1.62,1.62,45.80%,3.50%,0.90%,1.33%,18.56%,21.93%,20.44%,20.29%,13.97%,1.58,0.75,3.40%,4.32%,5.85%,12.38%,16.86%,-4.17%,30.73%,-4.17%,38.92%,65.49,-0.25%,-1.00%,400.02,0.9,19.74,-1.25%,360361.0,2/16/2022 8:30:00 AM,23.67,12/15/1998,19.74,0.00%,69.0,80,1.04,19.74,18.82,17.61,16.91,14.21,20.6,15.0,19.91,54.666666666666664,True
791,BCRX,"BioCryst Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,3043.22,,,,19.36,,6.0,,,,-1.03,6.00%,18.00%,-6.60%,22.40%,42.90%,71.40%,571.80%,181.87,165.52,1.20%,-14.14%,65.50%,14.57%,15.60%,6.77,-52.00%,169.20%,-25.90%,5.5,5.3,,,95.40%,-77.50%,,-5.63%,6.91%,35.64%,1.19%,44.39%,16.25%,2.36,0.92,4.25%,5.42%,-7.03%,3.74%,7.45%,-19.46%,39.33%,-19.46%,74.43%,45.96,-0.86%,-1.46%,3810.97,0.66,16.1,-2.31%,2517966.0,2/23/2022 8:30:00 AM,22.36,3/4/1994,16.15,0.31%,66.0,93,1.29,16.1,17.37,15.57,14.99,9.23,19.99,11.0,38.88,56.666666666666664,True
1035,BOX,"Box, Inc.",Technology,Software - Infrastructure,USA,3937.38,,19.12,,4.5,,5.56,16.75,,,-0.35,71.50%,26.64%,30.10%,8.00%,20.60%,-257.40%,14.30%,151.43,144.25,1.60%,-13.83%,86.60%,-0.59%,6.00%,5.5,-2.70%,99.30%,-112.90%,1.6,1.6,,,71.50%,-2.60%,-4.30%,8.01%,4.15%,4.51%,6.42%,47.41%,4.47%,1.25,0.95,4.03%,3.41%,4.88%,5.39%,8.55%,-2.74%,16.43%,-2.74%,55.19%,61.03,3.52%,-0.45%,1573.76,1.5,27.36,3.05%,2363739.0,3/2/2022 4:30:00 PM,32.38,1/23/2015,27.15,-0.77%,56.0,93,1.29,27.36,26.17,25.99,25.23,18.43,28.13,14.0,18.35,54.333333333333336,True
1073,BRO,"Brown & Brown, Inc.",Financial,Insurance Brokers,USA,19221.84,33.06,26.8,2.5,6.3,4.51,21.36,24.32,0.60%,18.30%,2.07,22.70%,9.10%,17.90%,13.22%,11.60%,4.90%,15.00%,276.58,233.61,2.20%,0.06%,75.70%,2.30%,2.38%,3.35,6.10%,14.30%,10.30%,1.2,1.2,0.47,0.48,,26.80%,18.80%,1.21%,0.48%,3.86%,16.48%,48.59%,-2.66%,0.74,1.9,2.21%,2.56%,2.05%,2.01%,13.35%,-3.31%,11.60%,-3.31%,53.59%,56.71,1.21%,-0.76%,1659.43,0.65,68.41,0.44%,1074840.0,1/24/2022 4:30:00 PM,71.12,11/1/1982,68.15,-0.38%,53.0,93,1.31,68.41,67.12,67.1,60.43,44.54,70.75,16.0,3.96,54.0,True
1187,BXC,BlueLinx Holdings Inc.,Industrials,Building Products & Equipment,USA,877.04,3.61,5.53,0.14,0.21,3.07,4385.22,8.74,,0.00%,24.69,552.90%,-20.74%,53.30%,25.00%,10.10%,-17.10%,11.40%,9.72,9.33,0.60%,-25.76%,87.10%,4.09%,3.34%,2.2,20.40%,139.10%,19.60%,3.1,1.5,1.74,1.76,17.00%,8.60%,5.80%,1.93%,18.61%,13.24%,54.32%,155.28%,-7.02%,1.89,5.54,4.97%,7.11%,7.91%,8.85%,44.26%,-7.85%,36.98%,-7.85%,169.41%,57.46,-0.13%,-1.08%,141.71,0.69,89.04,-1.21%,98235.0,2/22/2022 4:30:00 PM,113.75,12/14/2004,89.05,0.01%,69.0,99,2.22,89.04,83.28,81.94,61.9,35.0,96.63,18.0,27.75,62.0,True
1242,CARE,"Carter Bankshares, Inc.",Financial,Banks - Regional,USA,429.2,14.88,11.75,,3.3,1.06,,,,,1.09,176.40%,3.80%,,,,,20.30%,26.46,25.36,2.99%,1.22%,38.18%,,0.66%,2.6,,,,,,,,,,,-2.87%,6.36%,8.79%,20.77%,21.59%,5.39%,,0.5,3.34%,2.77%,1.19%,3.26%,13.99%,-3.85%,13.51%,-3.85%,61.88%,53.02,-0.49%,-1.45%,64.15,0.8,16.22,-1.93%,51522.0,,18.5,2/28/2007,16.22,0.00%,69.0,79,1.03,16.22,16.07,15.74,14.24,10.02,16.87,42.0,14.06,63.333333333333336,True
1243,CARG,"CarGurus, Inc.",Communication Services,Internet Content & Information,USA,5154.51,,21.55,,5.42,9.5,16.01,56.89,,0.00%,-0.01,-100.20%,20.25%,64.80%,13.00%,36.90%,-407.60%,123.80%,117.7,96.33,2.00%,-42.57%,,4.75%,8.90%,6.97,0.00%,0.00%,21.10%,3.3,3.2,0.0,0.0,69.10%,15.60%,0.00%,-10.16%,24.13%,12.15%,40.14%,64.45%,24.02%,1.51,2.87,8.32%,6.76%,12.02%,21.78%,31.35%,-16.61%,46.39%,-16.61%,84.36%,58.51,-5.22%,0.82%,1230.73,1.29,41.72,-4.44%,1585943.0,2/24/2022 4:30:00 PM,49.5,10/12/2017,41.72,0.00%,69.0,97,1.52,41.72,37.69,34.43,31.83,22.63,50.03,19.0,18.65,61.666666666666664,True
1277,CBT,Cabot Corporation,Basic Materials,Specialty Chemicals,USA,4112.11,42.61,11.12,3.59,1.13,5.14,22.97,,2.06%,81.90%,1.69,199.60%,11.62%,13.30%,11.86%,7.20%,-252.90%,29.80%,56.8,56.15,1.10%,-4.49%,92.40%,-0.53%,2.65%,3.45,3.10%,11.30%,15.60%,1.2,0.8,0.9,1.65,22.30%,7.00%,2.70%,-2.94%,13.21%,34.42%,33.97%,41.57%,27.92%,1.46,2.33,2.57%,3.07%,1.83%,14.97%,25.57%,-3.98%,37.33%,-3.98%,51.06%,60.94,1.01%,-2.06%,432.13,0.89,71.89,-1.07%,385683.0,1/31/2022 4:30:00 PM,77.33,8/23/1968,71.89,0.00%,69.0,91,1.23,71.89,71.09,62.9,57.3,47.59,74.87,10.0,7.57,56.666666666666664,True
1425,CHK,Chesapeake Energy Corporation,Energy,Oil & Gas E&P,USA,9549.75,1.59,8.56,0.29,1.65,1.69,10.55,9.87,2.06%,2.50%,53.37,105.40%,16.11%,,5.45%,-6.00%,119.70%,150.70%,112.9,103.99,0.04%,0.00%,,31.10%,15.43%,11.06,78.50%,158.20%,80.20%,0.9,0.9,0.4,0.4,76.10%,,,15.12%,24.36%,41.97%,48.28%,91.94%,33.96%,,3.26,4.53%,4.32%,23.49%,26.71%,42.34%,7.12%,43.53%,7.12%,116.08%,81.86,8.52%,-0.79%,1450.83,2.11,85.0,7.66%,3064247.0,2/23/2022 4:30:00 PM,97.45,2/10/2021,85.0,0.00%,69.0,98,1.7,85.0,70.86,68.68,60.89,40.0,85.04,28.0,14.65,65.0,True
1561,CMRE,Costamare Inc.,Industrials,Marine Shipping,Monaco,1785.65,6.46,3.31,,2.84,1.11,6.3,,3.24%,18.90%,2.2,-130.60%,85.49%,-16.10%,,-1.30%,506.10%,100.40%,123.31,54.76,77.90%,0.00%,25.90%,-6.64%,2.51%,2.09,7.40%,18.60%,2.10%,1.1,1.0,1.43,1.61,73.10%,47.30%,42.90%,2.16%,6.21%,19.63%,-5.21%,44.90%,12.25%,1.34,0.58,4.16%,3.98%,2.66%,8.12%,10.83%,-4.35%,26.33%,-15.07%,54.68%,58.24,-0.70%,-1.04%,658.27,1.75,14.2,-1.73%,1152199.0,3/9/2022 4:30:00 PM,18.5,11/4/2010,14.2,0.00%,91.0,93,1.29,14.2,13.89,13.18,12.83,9.18,16.72,15.0,30.28,66.33333333333333,True
1571,CNC,Centene Corporation,Healthcare,Healthcare Plans,USA,49415.07,37.92,13.64,3.55,0.39,1.9,3.68,17.26,,0.00%,2.27,-0.60%,16.53%,16.60%,10.69%,37.30%,2.30%,11.40%,583.24,576.13,1.90%,-1.39%,95.50%,0.89%,1.24%,2.02,1.00%,2.80%,4.70%,,,0.7,0.71,,1.20%,0.60%,3.03%,9.17%,20.48%,33.18%,42.18%,4.43%,0.51,2.33,2.70%,2.76%,3.71%,6.12%,18.51%,-0.88%,15.56%,-0.88%,46.79%,63.32,3.67%,-2.10%,3539.33,0.68,86.05,1.50%,2403015.0,2/8/2022 8:30:00 AM,95.33,12/13/2001,86.05,0.00%,69.0,91,1.24,86.05,83.2,81.15,72.69,59.33,86.81,19.0,10.78,59.666666666666664,True
1592,CNR,"Cornerstone Building Brands, Inc.",Industrials,Building Products & Equipment,USA,2672.06,4.12,6.96,0.12,0.48,2.3,6.73,,,0.00%,5.18,235.00%,23.14%,46.50%,34.70%,25.80%,1933.50%,23.50%,126.71,56.82,1.70%,-9.09%,92.70%,0.31%,6.81%,3.13,11.80%,81.60%,20.40%,2.3,1.4,2.56,2.58,21.50%,19.60%,11.80%,-4.31%,37.75%,29.00%,21.42%,66.35%,22.19%,1.85,0.98,3.83%,5.24%,6.53%,20.52%,28.35%,-7.95%,57.39%,-7.95%,86.28%,61.45,2.16%,-0.86%,1233.92,1.09,21.31,1.28%,1343871.0,3/1/2022 4:30:00 PM,23.91,4/3/1992,21.25,-0.28%,69.0,95,1.37,21.31,20.34,17.79,16.63,11.94,23.15,17.0,12.2,60.333333333333336,True
1605,CNXC,Concentrix Corporation,Technology,Information Technology Services,USA,10486.98,25.06,14.25,1.61,1.88,3.79,57.62,28.72,0.52%,0.00%,7.69,141.20%,11.77%,,15.60%,28.60%,88.80%,12.70%,51.56,43.26,0.60%,-13.83%,85.30%,0.88%,1.33%,2.16,7.90%,15.80%,12.30%,1.6,1.6,0.31,0.31,35.30%,10.20%,7.20%,-2.93%,-4.98%,13.32%,8.70%,57.66%,7.91%,,7.39,4.22%,3.33%,-3.58%,3.17%,11.68%,-7.55%,24.99%,-7.55%,63.44%,47.77,-3.54%,-0.32%,266.24,0.95,192.74,-3.85%,253265.0,1/18/2022 4:30:00 PM,215.67,11/24/2020,192.74,0.00%,100.0,93,1.3,192.74,199.54,187.24,172.81,122.37,208.48,15.0,11.9,69.33333333333333,True
1643,COOP,Mr. Cooper Group Inc.,Financial,Mortgage Finance,USA,3749.92,3.01,6.8,,1.13,1.1,4.19,1.45,,0.00%,16.46,418.00%,30.02%,35.50%,-8.54%,261.20%,4.90%,-33.80%,74.56,72.3,1.80%,-7.47%,87.40%,-3.52%,5.27%,3.96,6.80%,44.00%,13.70%,,,2.28,2.72,,49.90%,42.70%,-3.00%,29.73%,21.76%,24.04%,48.60%,19.03%,1.5,1.69,2.84%,3.62%,4.44%,12.45%,24.02%,-5.37%,32.19%,-5.37%,62.23%,59.05,-0.74%,-1.83%,962.28,0.97,49.53,-2.56%,932357.0,2/11/2022 8:30:00 AM,59.14,3/28/2012,49.53,0.00%,66.0,94,1.32,49.53,47.99,44.23,40.02,30.53,52.34,18.0,19.4,59.333333333333336,True
1644,COP,ConocoPhillips,Energy,Oil & Gas E&P,USA,126586.86,16.52,12.9,4.25,2.76,2.9,23.13,13.59,1.42%,32.50%,6.07,342.80%,-12.73%,32.60%,3.89%,13.70%,376.60%,175.40%,1315.13,1298.37,0.10%,-24.48%,80.10%,-1.93%,1.13%,1.74,9.30%,18.30%,10.80%,1.3,1.2,0.41,0.44,48.20%,25.10%,17.60%,9.86%,8.74%,41.10%,77.65%,72.35%,38.92%,1.42,3.44,3.64%,3.56%,8.99%,17.37%,45.43%,0.30%,45.09%,0.30%,110.13%,71.59,2.73%,0.21%,8439.85,1.3,100.27,2.94%,10976972.0,2/3/2022 8:30:00 AM,104.6,1/13/1978,100.18,-0.09%,75.0,96,1.51,100.27,92.47,86.05,69.31,47.85,100.34,-3.0,4.32,56.0,True
1680,CPRX,"Catalyst Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,813.59,19.61,10.69,,6.09,3.95,4.65,15.26,,0.00%,0.39,134.70%,79.40%,37.00%,,,-76.50%,22.90%,103.2,95.36,7.50%,-0.05%,66.50%,1.16%,5.37%,4.38,20.20%,22.60%,43.90%,9.4,9.0,0.0,0.0,85.50%,36.20%,31.20%,-2.55%,31.78%,8.07%,39.49%,116.15%,12.70%,1.3,0.38,4.60%,5.83%,3.12%,13.21%,24.84%,-8.07%,45.61%,-8.07%,133.33%,57.62,-2.68%,-0.63%,1168.07,0.73,7.63,-3.30%,846897.0,3/16/2022 4:30:00 PM,11.0,11/8/2006,7.85,2.88%,69.0,99,1.92,7.63,7.5,6.75,6.12,3.49,8.3,12.0,44.17,60.0,True
1750,CSGS,"CSG Systems International, Inc.",Technology,Software - Infrastructure,USA,2023.62,28.58,16.88,,1.93,4.68,8.66,24.98,1.55%,43.90%,2.26,24.20%,8.05%,3.50%,-5.00%,6.60%,31.20%,5.60%,31.63,31.28,2.20%,-0.22%,96.59%,2.98%,5.08%,5.53,5.40%,16.60%,11.80%,1.1,1.1,0.31,0.86,48.10%,11.90%,6.90%,4.77%,10.70%,20.33%,32.23%,39.67%,12.06%,0.82,1.83,3.37%,2.95%,7.67%,10.52%,26.63%,1.45%,17.79%,1.45%,51.64%,71.15,3.93%,-0.67%,287.06,1.65,64.57,3.23%,472375.0,2/1/2022 4:30:00 PM,67.0,2/28/1996,64.57,0.00%,100.0,91,1.22,64.57,60.34,58.57,51.09,42.58,64.58,20.0,3.76,70.33333333333333,True
1763,CSTR,"CapStar Financial Holdings, Inc.",Financial,Banks - Regional,USA,475.45,9.72,10.39,,4.83,1.28,1.32,86.44,1.13%,11.50%,2.19,1.60%,10.50%,11.80%,,17.80%,73.00%,0.40%,22.16,18.77,6.80%,-0.29%,44.50%,2.51%,0.75%,3.22,1.30%,11.40%,18.50%,,,0.08,0.08,,88.90%,40.90%,-0.37%,0.71%,-0.23%,-0.42%,29.51%,1.43%,1.03,0.5,1.88%,2.03%,0.06%,0.23%,0.13%,-3.35%,12.26%,-7.26%,34.74%,50.35,0.66%,-1.21%,43.91,0.97,21.33,-0.56%,42600.0,1/27/2022 4:30:00 PM,25.43,9/22/2016,21.33,0.00%,69.0,88,1.15,21.33,21.32,21.31,21.3,15.85,23.0,11.0,19.22,56.0,True
1787,CTRA,Coterra Energy Inc.,Energy,Oil & Gas E&P,USA,20759.02,15.31,10.92,0.21,6.02,1.81,20.04,129.74,1.72%,36.40%,1.71,358.90%,-13.19%,35.20%,74.49%,24.40%,251.80%,386.90%,813.62,800.39,1.10%,-5.23%,94.50%,73.63%,4.17%,3.87,13.70%,24.80%,8.20%,1.8,1.7,0.27,0.27,76.20%,45.30%,33.60%,16.85%,15.78%,31.17%,57.92%,44.44%,39.67%,-0.22,1.07,4.57%,4.27%,13.94%,22.04%,39.48%,2.30%,44.30%,2.30%,91.88%,72.29,4.19%,-0.16%,8628.29,1.35,26.11,4.02%,11657713.0,2/23/2022 4:30:00 PM,27.32,2/8/1990,26.33,0.84%,59.0,91,1.22,26.11,23.45,21.87,19.37,14.28,26.32,30.0,4.63,60.0,True
1793,CTSH,Cognizant Technology Solutions Corporation,Technology,Information Technology Services,USA,46122.5,21.97,17.51,1.91,2.49,3.91,16.96,27.02,1.22%,23.70%,4.05,57.30%,11.44%,9.70%,11.49%,6.50%,84.70%,14.20%,527.0,523.9,0.10%,-4.26%,94.60%,1.09%,1.17%,2.04,12.50%,18.70%,16.80%,2.1,2.1,0.05,0.06,37.30%,15.30%,11.50%,0.95%,0.73%,11.90%,14.97%,20.58%,0.18%,1.1,2.61,2.81%,2.86%,1.68%,2.14%,13.69%,-3.85%,9.77%,-3.85%,34.28%,55.59,1.90%,-0.81%,3003.24,1.02,88.88,1.08%,3072322.0,2/2/2022 4:30:00 PM,94.78,6/19/1998,88.88,0.00%,56.0,84,1.09,88.88,87.55,87.09,78.27,66.19,92.44,24.0,6.64,54.666666666666664,True
1837,CW,Curtiss-Wright Corporation,Industrials,Specialty Industrial Machinery,USA,5890.71,23.64,17.89,,2.35,3.33,34.45,18.13,0.46%,10.60%,6.59,37.20%,6.37%,9.40%,,3.50%,49.50%,-0.20%,39.07,38.05,0.30%,-19.65%,82.60%,-8.00%,2.08%,4.38,6.60%,14.30%,10.20%,1.8,1.2,0.58,0.58,37.20%,15.30%,10.70%,12.69%,17.17%,22.52%,29.55%,31.73%,12.41%,1.43,4.58,4.45%,2.98%,12.18%,13.16%,21.71%,-0.61%,23.26%,-0.61%,40.10%,77.03,2.55%,-0.82%,180.97,1.71,155.88,1.72%,309734.0,2/23/2022 4:30:00 PM,168.33,8/22/1929,155.88,0.00%,84.0,89,1.17,155.88,140.15,138.18,128.23,111.26,159.26,18.0,7.99,63.666666666666664,True
