"Ticker","Company","Sector","Industry","Market Cap","P/E","Dividend Yield","EPS growth past 5 years","Sales growth past 5 years","Shares Outstanding","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Gross Margin","Operating Margin","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Beta","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","50-Day High","50-Day Low","52-Week High","52-Week Low","Relative Strength Index (14)","Analyst Recom","Price","Change","Volume","Target Price"
"AAL","American Airlines Group Inc.","Industrials","Airlines",13505.09,,,-29.60%,-15.80%,648.56,0.10%,0.00%,55.20%,2.03%,14.91%,54.10%,-11.40%,-10.87%,0.00%,3.66%,-13.63%,55.12%,25.81%,1.66,3.05%,-1.96%,-1.93%,-6.18%,-11.14%,6.53%,-23.88%,62.39%,44.41,3.10,19.86,0.10%,17753172,19.08
"AAMC","Altisource Asset Management Corporation","Financial","Asset Management",49.72,0.68,,-41.60%,,2.05,1.60%,0.00%,25.90%,-3.52%,1.51%,,,1.12%,3.23%,89.83%,54.48%,7.08%,4.90%,1.11,4.98%,-1.63%,-0.79%,21.85%,-20.37%,16.95%,-22.55%,96.96%,51.06,,24.70,-0.14%,6508,
"AAME","Atlantic American Corporation","Financial","Insurance - Life",82.21,5.45,0.48%,24.30%,3.30%,21.79,2.90%,0.00%,6.70%,2.47%,3.69%,,12.90%,-5.90%,-2.35%,13.70%,1.47%,95.75%,101.46%,0.21,4.58%,-0.19%,1.64%,0.53%,-8.06%,17.09%,-73.58%,108.91%,49.71,,4.22,1.69%,10536,
"AAN","The Aaron's Company, Inc.","Industrials","Rental & Leasing Services",802.57,8.97,1.59%,-37.70%,-4.00%,32.48,1.30%,-13.05%,,3.30%,2.14%,63.20%,7.00%,-4.40%,-10.79%,-10.63%,-23.75%,,33.07%,,5.13%,-4.55%,-6.89%,-10.25%,-20.86%,12.65%,-33.10%,54.81%,43.26,2.70,25.08,-0.59%,142541,34.43
"AAOI","Applied Optoelectronics, Inc.","Technology","Semiconductors",162.99,,,-43.50%,4.30%,27.10,7.60%,0.00%,51.30%,5.35%,17.73%,19.50%,-26.90%,4.52%,-16.06%,-10.16%,-22.75%,-19.97%,-29.38%,1.71,4.89%,-14.41%,-15.40%,-25.30%,-32.17%,8.29%,-56.91%,8.29%,36.23,2.70,6.01,0.00%,901311,15.64
"AAON","AAON, Inc.","Industrials","Building Products & Equipment",3999.43,57.79,0.49%,12.10%,7.50%,52.42,18.10%,-0.08%,72.10%,0.28%,3.14%,28.20%,17.40%,0.56%,8.81%,14.99%,15.92%,15.09%,15.70%,0.58,2.38%,4.15%,9.77%,11.58%,-2.58%,19.13%,-6.09%,28.84%,66.71,3.00,76.30,-1.02%,230187,64.50
"AAP","Advance Auto Parts, Inc.","Consumer Cyclical","Specialty Retail",14813.12,25.27,1.70%,2.20%,0.70%,64.75,0.20%,-4.77%,,-0.73%,5.58%,44.90%,7.90%,1.42%,5.92%,13.52%,21.13%,56.02%,49.63%,1.26,2.23%,0.48%,6.33%,16.50%,-4.32%,17.75%,-4.32%,63.09%,55.86,2.20,232.55,-1.33%,770897,240.65
"AAPL","Apple Inc.","Technology","Consumer Electronics",2442349.50,26.93,0.58%,22.00%,11.10%,16487.12,0.07%,-20.12%,59.20%,-0.05%,0.61%,41.80%,29.80%,0.13%,3.04%,3.17%,21.10%,25.52%,13.80%,1.22,1.43%,2.42%,4.35%,11.73%,-2.26%,11.01%,-2.40%,36.33%,63.52,1.90,153.49,1.65%,88299825,168.45
"AAQC","Accelerate Acquisition Corp.","Financial","Shell Companies",390.80,,,,,40.00,,,,,,,,-1.31%,0.51%,1.45%,0.83%,,-0.10%,,0.48%,-0.19%,0.23%,0.58%,-1.61%,1.35%,-2.01%,1.68%,48.47,,9.76,-0.10%,12020,
"AAT","American Assets Trust, Inc.","Real Estate","REIT - Diversified",2372.13,99.97,3.11%,-11.70%,4.60%,59.99,0.50%,201.39%,98.20%,0.18%,1.35%,65.00%,24.30%,-2.58%,-1.86%,2.55%,10.16%,36.70%,33.62%,1.22,2.25%,-1.62%,-1.26%,5.67%,-6.27%,5.08%,-6.27%,40.96%,45.51,2.60,38.27,-0.83%,183312,40.30
"AATC","Autoscope Technologies Corporation","Technology","Scientific & Technical Instruments",36.41,12.61,6.99%,21.20%,-2.80%,5.34,13.60%,0.00%,28.50%,-0.46%,0.82%,77.00%,21.40%,-0.43%,-3.10%,0.29%,-8.76%,69.63%,53.01%,1.10,2.30%,1.72%,-3.44%,8.62%,-15.32%,4.00%,-39.38%,76.83%,51.41,,7.02,2.18%,28034,
"AAU","Almaden Minerals Ltd.","Basic Materials","Gold",53.36,,,-11.30%,,138.95,7.20%,0.00%,5.10%,0.30%,0.58%,,,-4.57%,-0.03%,-2.98%,-30.87%,-66.61%,-18.14%,0.96,4.59%,-1.91%,-2.93%,-25.28%,-13.06%,4.05%,-68.33%,4.14%,45.10,,0.38,-1.04%,661681,1.10
"AAWW","Atlas Air Worldwide Holdings, Inc.","Industrials","Airports & Air Services",2546.43,5.15,,115.40%,12.00%,29.02,0.20%,-13.43%,,0.80%,12.59%,57.00%,16.90%,4.49%,11.22%,16.91%,17.37%,59.69%,61.33%,1.13,3.23%,5.56%,9.58%,26.13%,-3.47%,23.88%,-3.47%,76.40%,63.78,2.00,88.59,0.68%,402432,105.57
"AAXJ","iShares MSCI All Country Asia ex Japan ETF","Financial","Exchange Traded Fund",,,1.10%,,,,,,,,,,,2.02%,0.85%,3.00%,-4.19%,3.14%,-1.80%,,0.79%,0.36%,1.00%,-4.10%,-2.94%,5.87%,-14.56%,5.87%,53.63,,87.52,-0.55%,786200,
"AB","AllianceBernstein Holding L.P.","Financial","Asset Management",5462.12,15.91,6.02%,9.30%,8.00%,99.41,0.30%,0.00%,14.30%,1.19%,1.21%,,100.00%,-0.76%,7.36%,12.59%,29.73%,75.45%,66.30%,1.43,2.03%,-1.01%,4.44%,19.81%,-4.03%,17.82%,-4.03%,77.78%,52.70,2.30,55.22,-1.67%,137964,56.00
"ABB","ABB Ltd","Industrials","Specialty Industrial Machinery",71824.42,34.65,2.48%,-30.70%,-5.90%,2001.00,,,6.00%,1.04%,0.10%,32.70%,11.10%,0.26%,2.51%,-6.45%,6.56%,28.71%,25.54%,1.07,0.92%,4.64%,3.67%,5.65%,-3.77%,9.96%,-6.26%,35.53%,63.09,2.20,35.65,1.57%,1091334,37.66
"ABBV","AbbVie Inc.","Healthcare","Drug Manufacturers - General",205218.19,27.71,4.47%,-2.80%,14.90%,1770.00,0.12%,-7.90%,69.40%,1.05%,0.77%,67.90%,30.10%,0.70%,8.37%,-0.74%,0.49%,18.36%,8.65%,0.79,1.43%,3.14%,6.24%,4.96%,-0.38%,11.17%,-3.44%,19.03%,66.16,1.90,117.35,0.80%,4341605,127.78
"ABC","AmerisourceBergen Corporation","Healthcare","Medical Distribution",25808.71,16.77,1.42%,8.70%,6.90%,206.16,0.20%,-41.08%,66.20%,0.33%,0.99%,3.20%,-2.10%,-0.65%,4.63%,4.45%,4.31%,13.62%,26.70%,0.47,1.86%,0.44%,1.85%,5.89%,-3.76%,8.65%,-3.76%,31.38%,53.32,2.20,124.67,0.65%,1294948,144.08
"ABCB","Ameris Bancorp","Financial","Banks - Regional",3825.82,9.67,1.11%,24.30%,30.70%,69.44,1.30%,0.27%,90.80%,-0.87%,2.82%,,96.80%,-1.82%,4.40%,10.91%,-4.09%,53.30%,41.58%,1.29,2.52%,-2.84%,1.29%,2.24%,-7.32%,16.41%,-12.30%,59.40%,45.15,2.10,52.49,-2.62%,313952,59.43
"ABCL","AbCellera Biologics Inc.","Healthcare","Biotechnology",4615.81,25.40,,,,272.20,20.60%,-21.50%,42.00%,2.63%,5.38%,,,11.22%,7.07%,-2.33%,-49.43%,,-59.34%,,5.83%,-7.14%,-13.80%,-39.11%,-34.52%,12.44%,-79.39%,12.44%,42.91,1.60,14.82,-9.41%,2103990,43.20
"ABCM","Abcam plc","Healthcare","Biotechnology",5096.92,235.98,,,,219.60,,,10.60%,0.00%,0.08%,71.10%,3.50%,-1.12%,5.24%,11.22%,14.85%,23.86%,6.22%,,1.61%,1.23%,7.30%,12.34%,-0.81%,17.94%,-5.99%,35.41%,60.83,2.00,23.21,1.40%,77502,22.33
"ABEO","Abeona Therapeutics Inc.","Healthcare","Biotechnology",90.16,,,-11.50%,57.30%,96.51,2.50%,-5.80%,27.30%,-3.50%,3.12%,,,-10.13%,-2.23%,-29.18%,-43.44%,-32.47%,-44.52%,1.39,6.37%,-4.88%,-16.15%,-44.91%,-36.09%,7.46%,-77.57%,7.46%,36.97,1.70,0.85,-2.42%,628645,5.00
"ABEQ","Absolute Core Strategy ETF","Financial","Exchange Traded Fund",,,0.50%,,,,,,,,,,,-0.37%,2.56%,2.06%,0.39%,15.09%,10.89%,,0.41%,0.87%,2.52%,3.50%,-0.96%,5.99%,-1.92%,15.63%,59.93,,28.25,0.11%,1394,
"ABEV","Ambev S.A.","Consumer Defensive","Beverages - Brewers",49100.06,16.86,0.32%,39.83%,,15737.20,,,9.28%,,0.96%,,,-2.50%,11.83%,3.31%,-6.87%,11.57%,1.96%,,3.11%,4.95%,7.69%,2.21%,-4.28%,25.20%,-20.76%,31.45%,59.97,3.00,3.13,0.32%,22272540,3.50
"ABG","Asbury Automotive Group, Inc.","Consumer Cyclical","Auto & Truck Dealerships",4192.28,7.40,,15.50%,1.60%,19.30,0.10%,0.00%,89.10%,-1.14%,8.22%,18.40%,7.50%,0.32%,-13.46%,-3.34%,-6.66%,46.37%,25.94%,1.51,3.80%,-15.09%,-14.69%,-11.97%,-28.00%,-1.75%,-28.00%,47.47%,28.14,2.20,166.29,-9.40%,437634,252.38
"ABGI","ABG Acquisition Corp. I","Financial","Shell Companies",188.95,,,,,19.33,3.22%,0.00%,87.30%,0.18%,0.03%,,,-0.31%,0.51%,-0.20%,-1.91%,,-5.51%,,0.27%,0.52%,1.01%,-0.52%,0.00%,2.19%,-8.14%,2.19%,58.22,,9.82,0.51%,80623,
"ABIO","ARCA biopharma, Inc.","Healthcare","Biotechnology",34.34,,,42.50%,,14.41,0.40%,0.00%,8.20%,-1.45%,2.04%,,,-6.54%,-10.99%,-15.33%,-27.25%,-40.00%,-39.40%,2.50,4.00%,-6.36%,-12.22%,-27.87%,-21.47%,2.51%,-55.45%,2.51%,34.75,,2.45,0.82%,106808,
"ABM","ABM Industries Incorporated","Industrials","Specialty Business Services",3282.78,22.87,1.56%,-68.40%,4.10%,67.50,1.00%,-1.30%,98.60%,3.50%,2.53%,16.30%,3.70%,2.39%,8.83%,4.16%,-3.65%,23.01%,28.96%,1.34,2.11%,3.26%,3.99%,0.56%,-2.93%,11.09%,-14.02%,31.37%,56.87,2.00,47.70,-2.25%,348213,62.00
"ABMD","Abiomed, Inc.","Healthcare","Medical Devices",15814.23,108.16,,42.20%,20.80%,45.44,1.40%,-13.79%,94.40%,0.49%,1.84%,81.90%,14.90%,-5.28%,0.19%,6.33%,28.38%,28.96%,8.49%,1.26,3.83%,-2.65%,-1.20%,5.78%,-9.44%,10.34%,-11.33%,35.02%,45.23,2.40,343.50,-2.34%,184853,387.33
"ABNB","Airbnb, Inc.","Communication Services","Internet Content & Information",120273.67,,,,29.70%,621.01,4.00%,-24.79%,50.90%,5.34%,4.34%,62.00%,-58.70%,6.35%,20.15%,41.09%,49.82%,,41.04%,,3.47%,8.84%,14.25%,19.71%,-5.79%,28.63%,-9.47%,63.88%,63.13,2.30,199.11,-3.83%,6364314,194.29
"ABOS","Acumen Pharmaceuticals, Inc.","Healthcare","Biotechnology",449.69,,,,,41.91,0.50%,,70.40%,,1.86%,,,-27.40%,-20.28%,-33.10%,,,-46.62%,,6.90%,-22.98%,-26.73%,-31.68%,-43.17%,1.80%,-60.08%,1.80%,26.92,2.00,10.77,0.37%,127301,25.00
"ABR","Arbor Realty Trust, Inc.","Real Estate","REIT - Mortgage",2827.89,8.89,7.34%,6.50%,33.50%,142.62,1.00%,0.28%,45.60%,0.51%,4.95%,75.60%,48.70%,-3.54%,-2.60%,7.01%,7.20%,46.13%,34.49%,1.85,1.46%,-5.04%,-1.65%,5.61%,-9.64%,5.88%,-9.64%,45.72%,37.34,2.20,18.74,-1.73%,1711678,21.62
"ABSI","Absci Corporation","Healthcare","Biotechnology",1295.47,,,,,73.29,8.40%,126.52%,29.90%,,5.54%,,,-15.18%,10.63%,-41.18%,,,-44.09%,,11.19%,-11.16%,-1.93%,-26.28%,-31.90%,28.27%,-60.86%,28.27%,44.82,2.80,12.34,2.24%,155100,26.25
"ABST","Absolute Software Corporation","Technology","Software - Application",639.43,,2.63%,-20.80%,6.30%,49.67,0.42%,0.00%,83.73%,,0.55%,84.40%,-2.50%,-13.33%,-13.03%,-12.64%,-29.43%,-2.37%,-17.04%,0.74,2.97%,-11.77%,-13.03%,-26.61%,-19.62%,1.39%,-54.01%,4.17%,24.11,2.00,9.75,-1.32%,113225,
"ABT","Abbott Laboratories","Healthcare","Medical Devices",229289.17,32.25,1.38%,7.80%,11.10%,1774.52,0.20%,-6.18%,75.70%,0.21%,0.64%,56.90%,20.10%,3.53%,12.04%,5.62%,12.47%,15.15%,19.55%,0.68,1.66%,0.88%,3.79%,6.65%,-2.27%,12.43%,-2.27%,22.12%,57.10,2.00,128.62,-1.73%,4742328,138.61
"ABTX","Allegiance Bancshares, Inc.","Financial","Banks - Regional",873.05,11.76,1.10%,9.20%,22.20%,20.22,6.64%,0.00%,51.30%,-0.73%,1.55%,,89.20%,2.20%,14.29%,18.99%,9.00%,35.75%,28.16%,1.00,2.90%,8.64%,14.40%,13.83%,-0.14%,28.64%,-0.14%,44.81%,71.73,3.00,44.24,1.14%,114814,46.25
"ABUS","Arbutus Biopharma Corporation","Healthcare","Biotechnology",451.80,,,6.20%,-21.60%,101.29,28.70%,0.00%,22.70%,4.04%,3.00%,,,-4.57%,-19.32%,11.33%,25.09%,-7.99%,-5.92%,2.60,4.41%,-13.17%,-18.67%,-4.83%,-30.59%,1.23%,-43.95%,35.39%,25.39,2.40,3.29,-1.50%,1093847,6.00
"ABVC","ABVC BioPharma, Inc.","Healthcare","Biotechnology",86.22,,,13.40%,,24.42,92.60%,0.00%,0.40%,,4.67%,97.40%,,-1.44%,33.59%,49.34%,-37.82%,24.36%,-32.94%,0.39,15.36%,1.19%,17.24%,-17.73%,-71.17%,59.71%,-88.75%,72.82%,51.58,,3.37,-1.46%,249268,9.50
"AC","Associated Capital Group, Inc.","Financial","Capital Markets",915.47,9.28,0.47%,187.70%,-3.60%,22.08,0.50%,0.09%,72.80%,-0.03%,0.75%,,,9.21%,11.05%,15.40%,15.94%,15.59%,19.90%,1.23,3.30%,13.23%,14.60%,16.78%,-1.69%,24.56%,-1.69%,42.20%,76.96,,42.96,2.02%,16874,
"ACA","Arcosa, Inc.","Industrials","Infrastructure Operations",2784.40,39.60,0.35%,-4.70%,-2.00%,48.20,1.30%,-6.10%,93.00%,0.11%,2.42%,18.30%,5.50%,3.56%,11.40%,16.77%,-4.85%,7.88%,4.97%,,3.08%,4.46%,8.89%,-1.22%,-2.03%,17.37%,-17.40%,17.37%,60.48,1.70,56.55,-1.93%,250999,66.43
"ACAD","ACADIA Pharmaceuticals Inc.","Healthcare","Biotechnology",3293.86,,,-1.80%,491.50%,160.66,0.20%,-1.32%,93.40%,-0.26%,4.89%,95.40%,-40.70%,-5.15%,16.25%,22.37%,-1.25%,-62.55%,-61.73%,0.58,5.18%,0.86%,8.83%,-19.79%,-10.97%,24.24%,-66.10%,24.24%,51.65,2.60,19.48,-4.79%,1252877,24.95
"ACAHU","Atlantic Coastal Acquisition Corp.","Financial","Shell Companies",,,,,,,,,39.93%,,0.00%,,,0.40%,0.71%,0.10%,-0.20%,,0.10%,,0.16%,0.50%,0.56%,0.35%,-0.10%,1.01%,-1.19%,1.73%,60.37,,9.97,0.10%,850,
"ACB","Aurora Cannabis Inc.","Healthcare","Drug Manufacturers - Specialty & Generic",1860.19,,,-50.40%,179.40%,198.07,0.03%,0.00%,19.79%,,16.36%,-58.00%,,11.23%,20.23%,24.36%,14.92%,22.17%,0.12%,3.12,6.57%,8.54%,12.99%,-6.71%,-9.21%,34.87%,-58.43%,34.87%,56.96,3.50,7.89,-5.17%,6612486,6.84
"ACBI","Atlantic Capital Bancshares, Inc.","Financial","Banks - Regional",599.77,12.55,,70.00%,15.10%,20.31,1.60%,-6.28%,89.40%,3.24%,2.43%,,99.40%,0.44%,9.28%,22.40%,9.20%,88.40%,85.68%,0.82,2.76%,3.21%,10.59%,17.45%,-1.96%,33.51%,-1.96%,111.60%,62.40,2.20,29.56,0.00%,78224,28.00
"ACC","American Campus Communities, Inc.","Real Estate","REIT - Residential",7582.94,432.42,3.51%,-12.80%,2.90%,139.07,0.10%,-22.48%,94.00%,-0.58%,1.91%,50.10%,14.90%,-0.81%,4.26%,9.99%,16.72%,29.17%,25.37%,1.00,1.97%,-0.29%,3.52%,11.84%,-3.30%,11.06%,-3.30%,34.16%,51.80,2.10,53.33,-0.54%,719893,57.75
"ACCD","Accolade, Inc.","Healthcare","Health Information Services",2268.05,,,,,64.40,1.00%,0.00%,70.40%,2.98%,6.33%,43.30%,-62.40%,-10.49%,-11.51%,-19.48%,-22.04%,-10.00%,-20.97%,,3.64%,-15.11%,-19.83%,-28.87%,-33.20%,-4.43%,-49.70%,-4.43%,24.31,1.50,32.82,-4.54%,624976,56.36
"ACCO","ACCO Brands Corporation","Industrials","Business Equipment & Supplies",864.19,11.07,2.92%,-3.70%,1.80%,95.60,3.16%,0.04%,91.30%,1.19%,2.83%,30.30%,6.80%,-3.26%,-0.56%,-0.11%,-7.10%,14.25%,5.33%,2.14,3.24%,-1.93%,-1.95%,-0.89%,-8.11%,6.08%,-10.64%,18.29%,45.34,1.60,8.73,-1.91%,417401,13.75
"ACEL","Accel Entertainment, Inc.","Consumer Cyclical","Gambling",1220.87,52.86,,,,93.62,5.40%,-8.50%,65.30%,0.03%,3.17%,32.90%,-2.80%,-7.21%,3.24%,18.95%,-0.93%,13.95%,26.14%,1.19,3.87%,-1.66%,1.66%,5.47%,-11.32%,13.84%,-11.32%,41.72%,46.75,2.40,12.50,-1.88%,156796,16.50
"ACER","Acer Therapeutics Inc.","Healthcare","Biotechnology",33.10,,,37.30%,,14.31,15.34%,0.00%,29.70%,-0.05%,2.61%,,,-2.44%,0.42%,-4.00%,-14.29%,-15.49%,-8.40%,1.16,4.59%,-2.17%,-5.37%,-16.09%,-22.37%,4.42%,-56.22%,4.42%,44.45,2.70,2.36,-1.67%,67282,10.00
"ACES","ALPS Clean Energy ETF","Financial","Exchange Traded Fund",,,0.54%,,,,,,,,,,,1.32%,13.14%,18.53%,21.34%,26.39%,-0.40%,,2.40%,1.36%,9.69%,7.03%,-3.63%,25.12%,-22.41%,29.27%,57.73,,78.92,-1.14%,63456,
"ACET","Adicet Bio, Inc.","Healthcare","Biotechnology",294.12,,,,,31.88,1.80%,-9.78%,67.00%,0.16%,1.50%,,,0.97%,19.36%,39.23%,-31.76%,-25.46%,-33.31%,2.36,5.47%,4.85%,15.09%,-13.46%,-4.96%,39.11%,-47.25%,50.24%,60.57,1.40,9.39,0.21%,77697,28.29
"ACEV","ACE Convergence Acquisition Corp.","Financial","Shell Companies",285.76,,,,,28.75,,,51.50%,17.51%,2.47%,,,-0.20%,0.10%,0.91%,0.00%,1.53%,-2.64%,,0.27%,-0.02%,0.20%,-1.95%,-0.50%,0.71%,-26.30%,2.68%,51.30,,9.95,0.00%,68117,
"ACEVU","ACE Convergence Acquisition Corp.","Financial","Shell Companies",,,,,,,,,1.25%,,0.00%,,,-1.32%,2.94%,-2.42%,-10.56%,4.37%,-3.58%,,1.16%,0.21%,1.93%,-5.31%,-4.28%,3.65%,-30.00%,5.83%,53.75,,10.50,0.00%,0,
"ACGL","Arch Capital Group Ltd.","Financial","Insurance - Diversified",16268.30,8.62,,19.50%,16.30%,389.27,0.20%,87.27%,99.43%,-0.82%,0.82%,,21.40%,1.59%,0.80%,2.42%,6.73%,20.93%,18.35%,0.90,2.11%,-0.93%,3.01%,7.24%,-3.59%,12.60%,-3.59%,34.97%,51.10,1.90,42.15,-1.26%,1518822,49.82
"ACGLN","Arch Capital Group Ltd.","Financial","Insurance - Diversified",,,,,,,,,,,0.01%,,,-1.12%,-0.66%,-1.61%,,,2.72%,,0.74%,-0.58%,-0.90%,-0.49%,-3.70%,1.10%,-3.70%,3.16%,43.90,,25.77,0.35%,42272,49.82
"ACH","Aluminum Corporation of China Limited","Basic Materials","Aluminum",12552.52,15.82,,25.50%,8.50%,680.91,,,1.60%,-0.29%,0.01%,9.70%,5.00%,-2.79%,-30.93%,-10.66%,-9.40%,81.07%,48.73%,1.75,2.94%,-13.46%,-26.83%,-10.96%,-45.86%,0.90%,-45.86%,86.72%,31.32,,12.94,0.23%,198851,14.51
"ACHC","Acadia Healthcare Company, Inc.","Healthcare","Medical Care Facilities",5787.93,30.54,,-0.60%,3.10%,88.96,0.10%,-40.32%,,-0.89%,3.13%,,,1.54%,15.25%,9.22%,4.96%,55.60%,29.63%,1.40,2.59%,6.23%,6.05%,6.90%,-3.29%,19.85%,-5.01%,56.45%,66.85,2.20,65.21,0.09%,254713,75.14
"ACHL","Achilles Therapeutics plc","Healthcare","Biotechnology",237.37,,,,,40.62,,,49.60%,-2.46%,2.68%,,,-16.16%,-21.50%,-15.65%,-57.41%,,-66.47%,,8.24%,-15.31%,-17.75%,-40.90%,-37.78%,2.75%,-70.44%,2.75%,34.06,1.80,5.60,0.90%,268542,20.00
"ACHR","Archer Aviation Inc.","Industrials","Aerospace & Defense",1531.82,,,,,62.50,18.30%,2.02%,28.40%,22.70%,18.27%,,,-1.16%,-13.44%,-39.80%,-39.68%,,-40.46%,,6.81%,-1.55%,-20.55%,-37.67%,-42.29%,16.92%,-67.31%,16.92%,40.11,2.50,6.08,1.50%,1673741,12.50
"ACHV","Achieve Life Sciences, Inc.","Healthcare","Biotechnology",76.85,,,,,9.45,0.10%,168.07%,27.10%,0.54%,4.57%,,,-3.49%,1.77%,14.06%,-18.23%,-22.49%,-0.86%,1.26,5.02%,-5.68%,-5.94%,-16.68%,-22.30%,5.95%,-51.30%,18.25%,39.51,1.60,7.84,-2.37%,76648,31.50
"ACI","Albertsons Companies, Inc.","Consumer Defensive","Grocery Stores",15714.39,27.23,1.18%,23.00%,3.50%,465.30,0.30%,0.36%,58.90%,-0.84%,5.57%,29.00%,1.80%,0.65%,15.15%,16.29%,81.81%,117.68%,93.29%,,4.11%,5.12%,10.55%,47.38%,-5.14%,27.75%,-5.14%,132.04%,60.95,2.30,34.11,0.38%,683941,32.44
"ACII","Atlas Crest Investment Corp. II","Financial","Shell Companies",421.81,,,,,43.12,,,61.80%,1.05%,1.06%,,,0.20%,0.00%,1.24%,0.62%,,-2.20%,,0.26%,-0.17%,-0.04%,-0.30%,-0.61%,0.83%,-5.98%,3.07%,46.66,,9.75,-0.31%,4138,
"ACIO","Aptus Collared Income Opportunity ETF","Financial","Exchange Traded Fund",,,0.75%,,,,,,,,,,,-0.02%,3.52%,5.08%,9.43%,16.95%,15.35%,,0.61%,0.70%,3.15%,6.98%,-2.25%,7.80%,-2.25%,19.04%,63.55,,31.97,-0.36%,20731,
"ACIU","AC Immune SA","Healthcare","Biotechnology",428.32,,,-33.80%,-17.00%,72.89,60.54%,0.00%,28.70%,8.39%,4.15%,,,-23.94%,-4.01%,-7.26%,-9.87%,14.54%,11.22%,0.80,7.05%,-13.19%,-14.67%,-20.29%,-30.71%,1.08%,-55.27%,17.26%,33.38,1.30,5.64,-1.91%,385237,15.17
