,ticker,company,sector,industry,market cap,analyst_recom,sentiment_score,rs_rating,returns_multiple,current_price,target_price,est_gl,performance_(week),performance_(month),performance_(quarter),performance_(half year),performance_(year),performance_(ytd),50_day_ma,200_day_ma,52_week_low,52_week_high,my_score,in_sp500
256,PWR,"Quanta Services, Inc.",Industrials,Engineering & Construction,16847.81,86.5,16.0,83,1.36,118.68,133.75,12.7,-0.93%,5.64%,24.86%,27.35%,72.15%,64.79%,116.02,97.01,66.63,124.69,61.833333333333336,True
257,PXD,Pioneer Natural Resources Company,Energy,Oil & Gas E&P,44534.34,84.0,26.0,86,1.47,182.66,222.39,21.75,-2.03%,-3.91%,25.97%,15.34%,101.46%,60.38%,176.34,158.52,92.03,196.64,65.33333333333333,True
260,RJF,"Raymond James Financial, Inc.",Financial,Capital Markets,20600.14,86.5,18.0,79,1.28,99.34,118.62,19.41,-1.10%,-0.87%,9.49%,12.81%,74.79%,55.75%,96.08,87.95,57.2,103.46,61.166666666666664,True
269,SCHW,The Charles Schwab Corporation,Financial,Capital Markets,153538.56,79.0,18.0,80,1.29,81.92,91.54,11.74,0.29%,1.26%,12.99%,15.54%,78.09%,54.45%,77.23,70.74,46.25,84.49,59.0,True
277,SIVB,SVB Financial Group,Financial,Banks - Regional,43787.33,74.0,21.0,91,1.66,747.99,808.33,8.07,0.80%,8.35%,32.87%,29.98%,116.24%,92.87%,675.77,579.29,337.83,762.95,62.0,True
279,SLB,Schlumberger Limited,Energy,Oil & Gas Equipment & Services,45922.19,84.0,20.0,78,1.26,32.72,39.66,21.21,-4.61%,-3.76%,20.34%,-1.06%,81.78%,49.89%,31.29,29.74,19.27,36.87,60.666666666666664,True
312,TXT,Textron Inc.,Industrials,Aerospace & Defense,16843.1,79.0,18.0,80,1.29,76.57,86.0,12.32,0.67%,3.54%,6.13%,15.35%,75.90%,58.43%,72.61,65.28,44.34,78.13,59.0,True
319,URI,"United Rentals, Inc.",Industrials,Rental & Leasing Services,27784.17,74.0,41.0,83,1.38,384.29,391.47,1.87,-2.16%,10.00%,11.36%,15.98%,85.41%,65.71%,358.48,328.65,209.16,414.99,66.0,True
334,WFC,Wells Fargo & Company,Financial,Banks - Diversified,202188.95,76.5,26.0,89,1.57,51.08,52.0,1.8,0.41%,5.58%,4.87%,9.01%,112.21%,69.25%,48.27,44.39,24.52,52.57,63.833333333333336,True
344,ZBRA,Zebra Technologies Corporation,Technology,Communication Equipment,31209.85,76.5,19.0,82,1.34,590.76,624.5,5.71,-1.01%,14.53%,4.99%,23.71%,70.81%,53.71%,547.35,517.67,333.06,614.1,59.166666666666664,True
