,ticker,company,sector,industry,market cap,analyst_recom,sentiment_score,rs_rating,returns_multiple,current_price,target_price,est_gl,performance_(week),performance_(month),performance_(quarter),performance_(half year),performance_(year),performance_(ytd),20_day_ma,50_day_ma,200_day_ma,52_week_low,52_week_high,my_score,in_russell_3k
80,ONEW,OneWater Marine Inc.,Consumer Cyclical,Recreational Vehicles,847.69,84.0,22.0,91,1.35,53.18,60.0,12.82,2.24%,-2.24%,36.18%,30.60%,85.12%,90.85%,51.69,,45.07,26.65,56.78,65.66666666666667,True
81,ONTO,Onto Innovation Inc.,Technology,Semiconductors,4848.46,79.0,40.0,95,1.61,99.11,107.0,7.96,8.96%,8.21%,29.81%,37.42%,111.64%,108.43%,94.0,,74.18,46.46,101.26,71.33333333333333,True
84,PANW,"Palo Alto Networks, Inc.",Technology,Software - Infrastructure,54756.7,79.0,16.0,86,1.22,561.78,608.74,8.36,7.27%,5.40%,14.54%,49.58%,53.99%,58.07%,532.78,,421.73,311.56,566.84,60.333333333333336,True
85,PDFS,"PDF Solutions, Inc.",Technology,Software - Application,1155.14,74.0,19.0,80,1.13,31.33,34.25,9.32,8.67%,1.13%,32.19%,69.99%,41.89%,45.05%,30.19,,21.56,16.44,33.78,57.666666666666664,True
86,PLD,"Prologis, Inc.",Real Estate,REIT - Industrial,121121.64,76.5,16.0,89,1.29,161.75,163.79,1.26,-0.92%,6.01%,26.47%,32.58%,68.16%,62.30%,157.98,,129.22,93.08,165.08,60.5,True
87,POOL,Pool Corporation,Consumer Cyclical,Leisure,22480.69,66.5,17.0,84,1.19,549.65,566.71,3.1,-0.35%,-2.12%,18.08%,20.60%,50.37%,47.56%,553.71,,461.85,305.47,582.27,55.833333333333336,True
88,PSTG,"Pure Storage, Inc.",Technology,Computer Hardware,9591.58,76.5,14.0,76,1.09,33.34,35.44,6.3,4.71%,22.21%,22.98%,66.70%,37.77%,47.46%,32.03,,23.27,16.79,34.65,55.5,True
90,ROG,Rogers Corporation,Technology,Electronic Components,5129.49,89.0,26.0,91,1.35,272.7,277.0,1.58,0.93%,0.96%,42.99%,41.64%,79.38%,75.61%,271.37,,207.47,147.6,273.38,68.66666666666667,True
92,RVI,Retail Value Inc.,Real Estate,REIT - Retail,137.37,74.0,26.0,96,1.79,6.29,28.0,345.15,-0.79%,0.96%,28.28%,58.21%,134.64%,124.39%,6.15,,4.58,2.67,6.84,65.33333333333333,True
94,SCVL,"Shoe Carnival, Inc.",Consumer Cyclical,Apparel Retail,1084.64,81.5,13.0,94,1.52,39.27,57.5,46.42,5.48%,-10.55%,16.70%,4.76%,103.16%,100.46%,38.95,,34.39,18.04,46.21,62.833333333333336,True
95,SFST,"Southern First Bancshares, Inc.",Financial,Banks - Regional,469.3,66.5,15.0,91,1.37,62.74,64.33,2.53,4.86%,-3.07%,21.64%,16.77%,76.24%,77.48%,60.38,,53.11,34.5,65.59,57.5,True
96,SGH,"SMART Global Holdings, Inc.",Technology,Semiconductors,1610.19,81.5,48.0,93,1.44,66.73,72.0,7.9,13.97%,14.05%,37.30%,44.09%,88.02%,77.33%,60.25,,50.04,35.34,67.86,74.16666666666667,True
97,SHYF,"The Shyft Group, Inc.",Industrials,Farm & Heavy Construction Machinery,1720.85,81.5,20.0,90,1.33,48.42,54.67,12.91,4.15%,-5.45%,23.65%,27.72%,72.31%,70.61%,48.19,,40.91,26.9,54.5,63.833333333333336,True
100,STC,Stewart Information Services Corporation,Financial,Insurance - Property & Casualty,2121.43,74.0,22.0,88,1.27,78.08,92.5,18.47,2.70%,-0.84%,24.59%,38.44%,61.29%,61.46%,74.94,,62.62,45.58,80.14,61.333333333333336,True
102,STXB,"Spirit of Texas Bancshares, Inc.",Financial,Banks - Regional,504.17,81.5,32.0,90,1.32,28.34,33.0,16.44,-0.53%,-2.51%,19.43%,21.27%,68.99%,68.69%,28.32,,23.98,16.37,30.46,67.83333333333333,True
104,THC,Tenet Healthcare Corporation,Healthcare,Medical Care Facilities,8494.29,71.5,15.0,94,1.56,79.26,88.06,11.1,6.32%,-0.18%,11.02%,13.33%,95.56%,98.50%,74.97,,67.34,38.03,83.69,60.166666666666664,True
105,THRY,"Thryv Holdings, Inc.",Communication Services,Internet Content & Information,1264.13,84.0,19.0,99,2.68,39.74,47.0,18.27,11.44%,8.25%,35.59%,13.32%,239.66%,194.37%,37.69,,30.46,11.35,41.86,67.33333333333333,True
106,TITN,Titan Machinery Inc.,Industrials,Industrial Distribution,752.37,94.0,20.0,90,1.32,32.18,41.67,29.49,-2.54%,-15.96%,25.07%,1.19%,70.08%,64.60%,32.8,,28.74,18.65,38.58,68.0,True
107,TMST,TimkenSteel Corporation,Basic Materials,Steel,716.11,66.5,26.0,99,2.73,16.22,18.15,11.9,16.52%,-2.99%,23.53%,11.48%,228.34%,247.32%,14.62,,13.63,4.53,17.73,63.833333333333336,True
110,TSC,"TriState Capital Holdings, Inc.",Financial,Banks - Regional,1007.26,69.0,22.0,91,1.38,29.96,30.5,1.8,0.44%,-1.45%,50.78%,41.12%,78.12%,72.18%,29.57,,23.64,16.34,31.24,60.666666666666664,True
111,UCTT,"Ultra Clean Holdings, Inc.",Technology,Semiconductor Equipment & Materials,2529.22,81.5,44.0,92,1.41,56.18,72.58,29.19,9.56%,-2.36%,20.48%,6.24%,80.18%,80.35%,54.24,,50.95,29.92,65.33,72.5,True
115,WIRE,Encore Wire Corporation,Industrials,Electrical Equipment & Parts,2854.8,86.5,18.0,97,1.85,138.65,160.0,15.4,5.01%,-6.30%,42.51%,79.48%,144.71%,128.91%,134.92,,93.21,56.27,151.64,67.16666666666667,True
116,WSC,WillScot Mobile Mini Holdings Corp.,Industrials,Rental & Leasing Services,9066.99,84.0,16.0,91,1.38,40.59,43.5,7.17,2.09%,2.89%,25.82%,44.81%,82.02%,75.18%,39.43,,30.97,22.65,41.28,63.666666666666664,True
118,ZTS,Zoetis Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,114003.95,81.5,22.0,82,1.17,242.51,246.33,1.58,4.17%,8.43%,18.45%,29.53%,51.71%,46.53%,229.33,,194.11,141.41,244.39,61.833333333333336,True
