"Ticker","Company","Sector","Industry","Market Cap","P/E","Dividend Yield","EPS growth past 5 years","Sales growth past 5 years","Shares Outstanding","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Gross Margin","Operating Margin","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Beta","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","50-Day High","50-Day Low","52-Week High","52-Week Low","Relative Strength Index (14)","Analyst Recom","Price","Change","Volume","Target Price"
"AAL","American Airlines Group Inc.","Industrials","Airlines",13198.77,,,-29.60%,-15.80%,648.56,0.10%,0.00%,55.20%,2.03%,14.91%,54.10%,-11.40%,-9.10%,-0.67%,4.81%,-14.09%,52.20%,22.95%,1.66,3.11%,-4.79%,-4.79%,-9.01%,-13.74%,3.42%,-26.10%,54.74%,39.53,3.10,19.28,-0.57%,30887907,19.08
"AAMC","Altisource Asset Management Corporation","Financial","Asset Management",45.25,0.62,,-41.60%,,2.05,1.60%,0.00%,25.90%,-3.52%,1.51%,,,-6.17%,-14.44%,67.36%,29.07%,-2.05%,-4.54%,1.11,4.99%,-13.15%,-12.52%,6.43%,-29.02%,2.27%,-32.27%,72.24%,34.96,,21.60,-4.04%,5579,
"AAME","Atlantic American Corporation","Financial","Insurance - Life",81.02,5.37,0.49%,24.30%,3.30%,21.79,2.90%,0.00%,6.70%,2.47%,3.69%,,12.90%,-0.97%,-3.76%,13.61%,-4.88%,88.48%,98.54%,0.21,4.94%,-2.64%,-1.16%,-2.51%,-10.46%,14.03%,-74.26%,103.47%,46.11,,4.11,0.49%,5206,
"AAN","The Aaron's Company, Inc.","Industrials","Rental & Leasing Services",815.93,9.12,1.56%,-37.70%,-4.00%,32.48,1.30%,-13.05%,,3.30%,2.14%,63.20%,7.00%,-3.35%,-12.19%,-8.75%,-26.23%,,35.28%,,5.16%,-2.38%,-6.06%,-9.83%,-20.29%,13.45%,-32.62%,55.93%,44.66,2.70,25.26,-1.52%,168915,34.43
"AAOI","Applied Optoelectronics, Inc.","Technology","Semiconductors",163.53,,,-43.50%,4.30%,27.10,7.60%,0.00%,51.30%,5.35%,17.73%,19.50%,-26.90%,-0.17%,-18.62%,-8.91%,-25.19%,-20.03%,-29.14%,1.71,4.90%,-10.43%,-12.43%,-22.95%,-30.47%,10.99%,-55.84%,10.99%,39.74,2.70,6.16,2.16%,484282,15.64
"AAON","AAON, Inc.","Industrials","Building Products & Equipment",3973.49,57.41,0.50%,12.10%,7.50%,52.42,18.10%,-0.08%,72.10%,0.28%,3.14%,28.20%,17.40%,-0.12%,8.58%,11.10%,14.66%,14.30%,14.95%,0.58,2.43%,4.81%,10.64%,13.22%,-1.15%,20.54%,-4.71%,30.73%,70.41,3.00,77.42,1.08%,210155,64.50
"AAP","Advance Auto Parts, Inc.","Consumer Cyclical","Specialty Retail",14576.17,24.86,1.72%,2.20%,0.70%,64.75,0.20%,-4.77%,,-0.73%,5.58%,44.90%,7.90%,-2.74%,2.32%,10.61%,18.97%,56.60%,47.24%,1.26,2.31%,-0.71%,4.56%,14.79%,-5.37%,16.46%,-5.37%,61.30%,51.88,2.20,230.00,-0.83%,574333,240.65
"AAPL","Apple Inc.","Technology","Consumer Electronics",2553468.24,28.16,0.56%,22.00%,11.10%,16487.12,0.07%,-20.12%,59.20%,-0.05%,0.61%,41.80%,29.80%,6.76%,5.77%,6.53%,25.86%,33.75%,18.98%,1.22,1.59%,6.68%,9.11%,16.70%,1.18%,16.11%,1.18%,42.60%,74.83,1.90,160.55,1.70%,116843111,168.45
"AAQC","Accelerate Acquisition Corp.","Financial","Shell Companies",390.80,,,,,40.00,,,,,,,,-0.31%,-0.10%,1.35%,0.21%,,-0.10%,,0.47%,-0.18%,0.19%,0.57%,-1.61%,1.35%,-2.01%,1.68%,48.45,,9.76,-0.10%,8136,
"AAT","American Assets Trust, Inc.","Real Estate","REIT - Diversified",2328.48,98.13,3.17%,-11.70%,4.60%,59.99,0.50%,234.16%,98.20%,0.18%,1.35%,65.00%,24.30%,-3.42%,-3.91%,0.03%,8.32%,34.42%,31.16%,1.22,2.28%,-2.61%,-2.40%,4.01%,-7.49%,3.71%,-7.49%,39.12%,42.04,2.60,37.77,-0.29%,221139,40.30
"AATC","Autoscope Technologies Corporation","Technology","Scientific & Technical Instruments",37.52,12.99,6.78%,21.20%,-2.80%,5.34,13.60%,0.00%,28.50%,-0.46%,0.82%,77.00%,21.40%,3.81%,1.14%,3.66%,-1.26%,69.38%,57.68%,1.10,2.25%,-0.10%,-4.50%,6.40%,-16.77%,2.22%,-40.41%,69.79%,46.31,,6.90,-2.54%,13980,
"AAU","Almaden Minerals Ltd.","Basic Materials","Gold",51.68,,,-11.30%,,138.95,7.20%,0.00%,5.10%,0.30%,0.58%,,,-12.78%,-1.61%,-0.21%,-32.15%,-65.88%,-20.72%,0.96,4.63%,-4.65%,-5.53%,-26.93%,-15.58%,1.10%,-69.25%,1.12%,41.01,,0.37,-0.78%,499143,1.10
"AAWW","Atlas Air Worldwide Holdings, Inc.","Industrials","Airports & Air Services",2596.50,5.26,,115.40%,12.00%,29.02,0.20%,-13.43%,,0.80%,12.59%,57.00%,16.90%,5.08%,14.61%,17.65%,21.05%,60.21%,64.50%,1.13,3.24%,5.60%,10.02%,26.99%,-2.30%,25.38%,-2.30%,78.53%,65.81,2.00,89.66,-0.07%,555424,105.57
"AAXJ","iShares MSCI All Country Asia ex Japan ETF","Financial","Exchange Traded Fund",,,1.12%,,,,,,,,,,,-0.96%,-2.28%,3.07%,-5.12%,1.92%,-3.36%,,0.82%,-0.49%,0.09%,-4.95%,-3.78%,4.80%,-15.42%,4.80%,47.91,,86.64,0.05%,587684,
"AB","AllianceBernstein Holding L.P.","Financial","Asset Management",5329.85,15.52,6.17%,9.30%,8.00%,99.41,0.30%,0.00%,14.30%,1.19%,1.21%,,100.00%,-1.31%,2.97%,7.90%,23.12%,74.58%,62.27%,1.43,2.09%,-4.49%,0.74%,15.49%,-7.14%,14.00%,-7.14%,71.75%,41.20,2.30,53.43,-2.50%,243476,56.00
"ABB","ABB Ltd","Industrials","Specialty Industrial Machinery",73031.73,35.23,2.44%,-30.70%,-5.90%,2001.00,,,6.00%,1.04%,0.10%,32.70%,11.10%,2.68%,1.86%,-5.13%,6.06%,29.64%,27.65%,1.07,0.90%,4.38%,4.03%,5.73%,-3.52%,10.24%,-6.02%,35.87%,63.84,2.20,35.74,0.14%,1065419,37.66
"ABBV","AbbVie Inc.","Healthcare","Drug Manufacturers - General",206363.97,27.87,4.44%,-2.80%,14.90%,1770.00,0.12%,-7.90%,69.40%,1.05%,0.77%,67.90%,30.10%,0.38%,7.99%,-1.47%,0.82%,18.59%,9.26%,0.79,1.43%,1.40%,4.92%,3.88%,-1.80%,10.12%,-4.35%,17.90%,59.49,1.90,116.24,-0.71%,5772005,127.78
"ABC","AmerisourceBergen Corporation","Healthcare","Medical Distribution",25939.98,16.85,1.41%,8.70%,6.90%,206.16,0.20%,-42.04%,66.20%,0.33%,0.99%,3.20%,-2.10%,-0.95%,1.83%,4.14%,3.68%,20.35%,27.34%,0.47,1.78%,-3.06%,-1.56%,2.23%,-6.97%,5.04%,-6.97%,27.01%,40.92,2.20,120.52,-3.19%,1533787,144.08
"ABCB","Ameris Bancorp","Financial","Banks - Regional",3725.03,9.41,1.14%,24.30%,30.70%,69.44,1.30%,0.27%,90.80%,-0.87%,2.82%,,96.80%,-4.27%,-1.58%,8.61%,-10.32%,52.98%,37.85%,1.29,2.51%,-4.35%,-0.91%,0.28%,-8.93%,14.39%,-13.82%,56.64%,40.88,2.10,51.58,-1.71%,234332,59.43
"ABCL","AbCellera Biologics Inc.","Healthcare","Biotechnology",4319.56,23.77,,,,272.20,20.60%,-21.50%,42.00%,2.63%,5.38%,,,1.73%,-4.55%,-4.55%,-52.20%,,-61.95%,,6.10%,-0.31%,-7.39%,-34.20%,-30.19%,19.88%,-78.03%,19.88%,48.99,1.60,15.80,3.20%,1812162,43.20
"ABCM","Abcam plc","Healthcare","Biotechnology",5110.28,236.60,,,,219.60,,,10.60%,0.00%,0.08%,71.10%,3.50%,0.22%,2.18%,13.28%,15.04%,26.10%,6.50%,,1.64%,-0.69%,5.04%,10.35%,-2.52%,15.90%,-7.61%,33.08%,53.87,2.00,22.81,-0.61%,28917,22.33
"ABEO","Abeona Therapeutics Inc.","Healthcare","Biotechnology",79.38,,,-11.50%,57.30%,96.51,2.50%,-5.80%,27.30%,-3.50%,3.12%,,,-18.02%,-14.76%,-34.44%,-52.65%,-45.21%,-51.15%,1.39,7.15%,-16.21%,-25.53%,-51.47%,-43.86%,0.91%,-80.45%,0.91%,26.92,1.70,0.74,-3.39%,887865,5.00
"ABEQ","Absolute Core Strategy ETF","Financial","Exchange Traded Fund",,,0.50%,,,,,,,,,,,-0.82%,0.80%,1.83%,-0.19%,13.27%,10.58%,,0.37%,-0.73%,0.93%,1.88%,-2.42%,4.43%,-3.37%,13.92%,46.43,,27.83,-1.09%,327,
"ABEV","Ambev S.A.","Consumer Defensive","Beverages - Brewers",48942.69,16.81,0.32%,39.83%,,15737.20,,,9.28%,,0.96%,,,-2.51%,13.92%,-2.51%,-5.76%,15.23%,1.63%,,3.00%,1.11%,5.18%,-0.13%,-6.42%,22.40%,-22.53%,28.51%,53.23,3.00,3.06,-1.61%,22472778,3.50
"ABG","Asbury Automotive Group, Inc.","Consumer Cyclical","Auto & Truck Dealerships",3865.21,6.82,,15.50%,1.60%,19.30,0.10%,0.00%,89.10%,-1.14%,8.22%,18.40%,7.50%,-7.21%,-21.39%,-8.89%,-14.23%,36.53%,16.12%,1.51,4.30%,-14.38%,-16.27%,-13.79%,-29.43%,0.30%,-29.43%,44.55%,28.47,2.20,162.99,-3.69%,428238,252.38
"ABGI","ABG Acquisition Corp. I","Financial","Shell Companies",188.76,,,,,19.33,3.22%,0.00%,87.30%,0.18%,0.03%,,,-0.41%,0.41%,-0.31%,-2.01%,,-5.61%,,0.33%,0.02%,0.50%,-1.02%,-0.51%,1.66%,-8.61%,1.66%,51.24,,9.77,0.10%,500,
"ABIO","ARCA biopharma, Inc.","Healthcare","Biotechnology",32.36,,,42.50%,,14.41,0.40%,0.00%,8.20%,-1.45%,2.04%,,,-5.37%,-17.03%,-19.93%,-31.23%,-41.28%,-42.89%,2.50,4.35%,-8.42%,-14.62%,-30.06%,-24.12%,4.42%,-57.09%,4.42%,33.97,,2.36,3.06%,424422,
"ABM","ABM Industries Incorporated","Industrials","Specialty Business Services",3155.64,21.98,1.62%,-68.40%,4.10%,67.50,1.00%,-1.30%,98.60%,3.50%,2.53%,16.30%,3.70%,-3.42%,4.22%,-3.00%,-5.21%,22.23%,23.97%,1.34,2.12%,2.07%,3.22%,-0.29%,-3.58%,10.34%,-14.60%,30.49%,54.10,2.00,47.38,1.00%,393263,62.00
"ABMD","Abiomed, Inc.","Healthcare","Medical Devices",15295.39,104.61,,42.20%,20.80%,45.44,1.40%,-16.36%,94.40%,0.49%,1.84%,81.90%,14.90%,-4.60%,-1.80%,-2.27%,21.50%,27.79%,4.94%,1.26,3.91%,-3.48%,-1.89%,4.64%,-10.36%,9.21%,-12.24%,33.64%,43.28,2.40,339.99,-0.06%,204797,387.33
"ABNB","Airbnb, Inc.","Communication Services","Internet Content & Information",118699.38,,,,29.70%,621.01,4.00%,-24.94%,50.90%,5.34%,4.34%,62.00%,-58.70%,6.64%,20.36%,42.19%,51.68%,,39.19%,,3.85%,5.55%,11.76%,18.01%,-7.60%,26.89%,-10.69%,61.66%,58.03,2.30,196.42,-3.87%,8158346,194.29
"ABOS","Acumen Pharmaceuticals, Inc.","Healthcare","Biotechnology",431.25,,,,,41.91,0.50%,,70.40%,,1.86%,,,-23.27%,-27.33%,-40.45%,,,-48.81%,,7.23%,-27.50%,-31.52%,-37.03%,-47.27%,-0.40%,-63.45%,-0.40%,23.44,2.00,9.86,-4.18%,51111,25.00
"ABR","Arbor Realty Trust, Inc.","Real Estate","REIT - Mortgage",2727.05,8.57,7.61%,6.50%,33.50%,142.62,1.00%,0.28%,45.60%,0.51%,4.95%,75.60%,48.70%,-7.68%,-6.36%,3.31%,6.30%,39.85%,29.69%,1.85,1.61%,-6.23%,-3.52%,3.49%,-11.28%,3.95%,-11.28%,41.50%,33.21,2.20,18.40,0.05%,1322703,21.62
"ABSI","Absci Corporation","Healthcare","Biotechnology",1188.14,,,,,73.29,8.40%,126.52%,29.90%,,5.54%,,,-14.58%,-1.07%,-50.84%,,,-48.73%,,11.20%,-20.55%,-11.46%,-33.51%,-39.02%,14.86%,-64.95%,14.86%,39.77,2.80,11.05,-0.18%,123049,26.25
"ABST","Absolute Software Corporation","Technology","Software - Application",621.96,,2.71%,-20.80%,6.30%,49.67,0.42%,0.00%,83.73%,,0.55%,84.40%,-2.50%,-7.86%,-15.70%,-14.35%,-31.75%,0.63%,-19.31%,0.74,3.13%,-14.87%,-16.77%,-30.10%,-23.38%,-3.14%,-56.32%,-1.07%,19.56,2.00,9.26,-3.64%,397490,
"ABT","Abbott Laboratories","Healthcare","Medical Devices",223595.92,31.45,1.41%,7.80%,11.10%,1774.52,0.20%,-7.37%,75.70%,0.21%,0.64%,56.90%,20.10%,0.31%,3.51%,1.04%,8.97%,16.28%,16.58%,0.68,1.59%,-0.82%,2.36%,5.10%,-3.62%,10.87%,-3.62%,20.43%,51.45,2.00,126.84,-0.63%,6848125,138.61
"ABTX","Allegiance Bancshares, Inc.","Financial","Banks - Regional",878.64,11.83,1.09%,9.20%,22.20%,20.22,6.64%,0.00%,51.30%,-0.73%,1.55%,,89.20%,5.54%,13.07%,17.39%,7.05%,39.92%,28.98%,1.00,3.00%,6.55%,12.55%,12.79%,-1.46%,27.71%,-1.46%,43.76%,68.89,3.00,43.92,-0.23%,54790,46.25
"ABUS","Arbutus Biopharma Corporation","Healthcare","Biotechnology",446.39,,,6.20%,-21.60%,101.29,28.70%,0.00%,22.70%,4.04%,3.00%,,,-4.90%,-19.32%,13.01%,20.44%,-2.65%,-7.04%,2.60,4.64%,-11.02%,-18.17%,-4.34%,-30.38%,1.85%,-43.78%,35.80%,26.21,2.40,3.30,0.00%,924125,6.00
"ABVC","ABVC BioPharma, Inc.","Healthcare","Biotechnology",84.96,,,13.40%,,24.42,92.60%,0.00%,0.40%,,4.67%,97.40%,,-1.46%,33.20%,66.01%,-38.73%,-13.59%,-33.92%,0.39,15.62%,-3.49%,14.47%,-19.37%,-71.86%,55.92%,-89.02%,68.72%,50.39,,3.29,-2.37%,279008,9.50
"AC","Associated Capital Group, Inc.","Financial","Capital Markets",904.38,9.17,0.48%,187.70%,-3.60%,22.08,0.50%,0.09%,72.80%,-0.03%,0.75%,,,2.11%,12.80%,13.01%,16.23%,16.10%,18.45%,1.23,3.62%,7.20%,9.42%,11.93%,-7.66%,19.60%,-7.66%,36.54%,62.93,,41.25,-0.84%,12931,
"ACA","Arcosa, Inc.","Industrials","Infrastructure Operations",2732.25,38.86,0.35%,-4.70%,-2.00%,48.20,1.30%,-6.10%,93.00%,0.11%,2.42%,18.30%,5.50%,2.22%,6.88%,11.88%,-9.12%,3.74%,3.00%,,3.20%,5.35%,9.96%,0.38%,-0.85%,19.20%,-16.11%,19.20%,63.41,1.70,57.43,1.50%,158054,66.43
"ACAD","ACADIA Pharmaceuticals Inc.","Healthcare","Biotechnology",3050.76,,,-1.80%,491.50%,160.66,0.20%,-1.32%,93.40%,-0.26%,4.89%,95.40%,-40.70%,-8.37%,5.39%,13.61%,-13.63%,-64.79%,-64.55%,0.58,5.38%,-1.46%,6.34%,-20.13%,-12.48%,22.14%,-66.67%,22.14%,49.81,2.60,19.15,1.06%,746687,24.95
"ACAHU","Atlantic Coastal Acquisition Corp.","Financial","Shell Companies",,,,,,,,,39.93%,,0.00%,,,0.40%,0.86%,0.15%,0.61%,,0.20%,,0.17%,0.43%,0.54%,0.34%,-0.20%,1.01%,-1.19%,1.73%,60.37,,9.97,0.00%,1810,
"ACB","Aurora Cannabis Inc.","Healthcare","Drug Manufacturers - Specialty & Generic",1567.30,,,-50.40%,179.40%,198.07,0.03%,0.00%,19.79%,,16.36%,-58.00%,,-7.40%,-8.49%,4.94%,-7.76%,-0.14%,-15.64%,3.12,6.86%,-3.06%,0.50%,-16.17%,-18.99%,20.34%,-62.91%,20.34%,46.73,3.50,7.04,0.43%,5365518,6.84
"ACBI","Atlantic Capital Bancshares, Inc.","Financial","Banks - Regional",594.29,12.44,,70.00%,15.10%,20.31,1.60%,-6.28%,89.40%,3.24%,2.43%,,99.40%,-1.38%,4.27%,20.68%,6.59%,91.31%,83.98%,0.82,2.80%,0.84%,7.63%,14.82%,-3.75%,31.07%,-3.75%,107.73%,55.53,2.20,29.02,-0.92%,50851,28.00
"ACC","American Campus Communities, Inc.","Real Estate","REIT - Residential",7575.87,432.02,3.51%,-12.80%,2.90%,139.07,0.10%,-22.48%,94.00%,-0.58%,1.91%,50.10%,14.90%,-1.33%,3.80%,9.37%,16.48%,31.91%,25.25%,1.00,1.89%,-0.64%,3.35%,11.61%,-3.28%,11.08%,-3.28%,34.19%,51.66,2.10,53.34,-0.43%,464986,57.75
"ACCD","Accolade, Inc.","Healthcare","Health Information Services",2103.12,,,,,64.40,1.00%,0.00%,70.40%,2.98%,6.33%,43.30%,-62.40%,-11.44%,-19.84%,-25.65%,-29.23%,-24.38%,-26.71%,,3.67%,-18.91%,-23.81%,-33.10%,-36.44%,-1.98%,-52.90%,-1.98%,20.23,1.50,30.73,-3.61%,914890,56.36
"ACCO","ACCO Brands Corporation","Industrials","Business Equipment & Supplies",823.41,10.55,3.07%,-3.70%,1.80%,95.60,3.16%,0.04%,91.30%,1.19%,2.83%,30.30%,6.80%,-8.13%,-7.22%,-4.93%,-11.39%,8.72%,0.36%,2.14,3.31%,-4.55%,-4.86%,-4.06%,-11.05%,2.67%,-13.51%,14.50%,40.16,1.60,8.45,-0.35%,421517,13.75
"ACEL","Accel Entertainment, Inc.","Consumer Cyclical","Gambling",1204.58,52.16,,,,93.62,5.40%,-8.50%,65.30%,0.03%,3.17%,32.90%,-2.80%,-3.90%,0.72%,16.28%,-4.12%,20.17%,24.46%,1.19,3.98%,-3.64%,-0.61%,3.26%,-13.02%,11.66%,-13.02%,39.00%,42.84,2.40,12.26,-2.47%,124950,16.50
"ACER","Acer Therapeutics Inc.","Healthcare","Biotechnology",31.99,,,37.30%,,14.31,15.34%,0.00%,29.70%,-0.05%,2.61%,,,-2.93%,-4.13%,-4.13%,-19.72%,-15.64%,-11.45%,1.16,4.86%,-2.67%,-5.65%,-16.32%,-23.03%,3.54%,-56.59%,3.54%,43.70,2.70,2.34,0.86%,86120,10.00
"ACES","ALPS Clean Energy ETF","Financial","Exchange Traded Fund",,,0.56%,,,,,,,,,,,-3.36%,7.86%,14.44%,14.28%,21.89%,-3.57%,,2.47%,1.20%,9.82%,7.95%,-3.04%,25.89%,-21.94%,30.06%,57.84,,79.40,2.73%,32432,
"ACET","Adicet Bio, Inc.","Healthcare","Biotechnology",294.75,,,,,31.88,1.80%,-9.78%,67.00%,0.16%,1.50%,,,-1.98%,11.39%,35.69%,-35.06%,-25.24%,-33.17%,2.36,5.26%,2.92%,13.28%,-13.96%,-5.77%,37.93%,-47.70%,48.96%,58.55,1.40,9.31,-0.85%,42297,28.29
"ACEV","ACE Convergence Acquisition Corp.","Financial","Shell Companies",285.76,,,,,28.75,,,51.50%,17.51%,2.47%,,,0.00%,0.20%,0.91%,-0.20%,2.16%,-2.64%,,0.26%,-0.24%,-0.03%,-2.04%,-0.70%,0.51%,-26.44%,2.48%,43.53,,9.93,-0.20%,1070129,
"ACEVU","ACE Convergence Acquisition Corp.","Financial","Shell Companies",,,,,,,,,1.25%,,0.00%,,,-0.38%,3.92%,3.72%,-8.46%,6.00%,-2.66%,,1.16%,0.94%,2.81%,-4.44%,-3.37%,4.64%,-29.33%,6.83%,60.11,,10.60,0.00%,0,
"ACGL","Arch Capital Group Ltd.","Financial","Insurance - Diversified",15879.60,8.41,,19.50%,16.30%,389.27,0.20%,80.82%,99.43%,-0.82%,0.82%,,21.40%,0.48%,-2.27%,-1.02%,4.36%,19.43%,15.53%,0.90,2.05%,-0.94%,2.57%,6.77%,-3.80%,12.35%,-3.80%,34.68%,50.55,1.90,42.06,0.94%,1727856,49.82
"ACGLN","Arch Capital Group Ltd.","Financial","Insurance - Diversified",,,,,,,,,,,0.01%,,,-0.12%,-1.08%,-1.38%,,,3.04%,,0.70%,-0.37%,-0.73%,-0.37%,-3.59%,1.22%,-3.59%,3.28%,45.89,,25.80,0.16%,91808,49.82
"ACH","Aluminum Corporation of China Limited","Basic Materials","Aluminum",12766.43,16.09,,25.50%,8.50%,680.91,,,1.60%,-0.29%,0.01%,9.70%,5.00%,-6.48%,-27.06%,-7.21%,-7.27%,83.64%,51.27%,1.75,3.03%,-8.73%,-23.86%,-9.41%,-44.73%,3.53%,-44.73%,88.71%,34.42,,13.21,0.61%,98337,14.51
"ACHC","Acadia Healthcare Company, Inc.","Healthcare","Medical Care Facilities",5740.84,30.30,,-0.60%,3.10%,88.96,0.10%,-40.32%,,-0.89%,3.13%,,,1.06%,12.99%,2.21%,3.99%,50.77%,28.57%,1.40,2.60%,-0.32%,0.76%,1.33%,-7.32%,13.80%,-9.80%,48.56%,47.65,2.20,61.92,-4.18%,471955,75.14
"ACHL","Achilles Therapeutics plc","Healthcare","Biotechnology",227.96,,,,,40.62,,,49.60%,-2.46%,2.68%,,,-18.13%,-26.38%,-14.03%,-60.55%,,-67.79%,,8.05%,-22.87%,-26.86%,-47.38%,-44.89%,-6.42%,-73.82%,-6.42%,28.08,1.80,4.96,-6.94%,247786,20.00
"ACHR","Archer Aviation Inc.","Industrials","Aerospace & Defense",1531.82,,,,,62.50,18.30%,2.02%,28.40%,22.70%,18.27%,,,-1.80%,-10.33%,-39.80%,-39.62%,,-40.46%,,6.87%,-3.05%,-21.05%,-39.01%,-43.81%,13.85%,-68.17%,13.85%,37.59,2.50,5.92,-1.17%,1024470,12.50
"ACHV","Achieve Life Sciences, Inc.","Healthcare","Biotechnology",71.87,,,,,9.45,0.10%,168.07%,27.10%,0.54%,4.57%,,,-9.74%,-8.30%,8.68%,-18.01%,-18.81%,-7.28%,1.26,5.17%,-7.55%,-8.26%,-18.27%,-24.28%,4.73%,-52.55%,15.23%,37.71,1.60,7.64,1.73%,30360,31.50
"ACI","Albertsons Companies, Inc.","Consumer Defensive","Grocery Stores",16061.24,27.83,1.15%,23.00%,3.50%,465.30,0.30%,0.36%,58.90%,-0.84%,5.57%,29.00%,1.80%,0.14%,20.13%,20.34%,85.23%,120.51%,97.55%,,3.87%,2.43%,9.12%,44.80%,-6.09%,26.48%,-6.09%,129.73%,56.89,2.30,33.77,-2.76%,921584,32.44
"ACII","Atlas Crest Investment Corp. II","Financial","Shell Companies",420.95,,,,,43.12,,,61.80%,1.05%,1.06%,,,-0.10%,0.10%,1.14%,0.51%,,-2.40%,,0.25%,-0.09%,0.05%,-0.19%,-0.51%,0.93%,-5.88%,3.17%,49.38,,9.76,0.00%,1940,
"ACIO","Aptus Collared Income Opportunity ETF","Financial","Exchange Traded Fund",,,0.75%,,,,,,,,,,,0.66%,2.20%,4.26%,8.23%,17.58%,15.13%,,0.63%,0.62%,3.14%,6.94%,-2.14%,7.92%,-2.14%,19.17%,63.97,,32.01,-0.06%,21681,
"ACIU","AC Immune SA","Healthcare","Biotechnology",402.25,,,-33.80%,-17.00%,72.89,60.54%,0.00%,28.70%,8.39%,4.15%,,,-10.74%,-10.74%,-16.92%,-14.29%,4.85%,4.45%,0.80,7.33%,-15.12%,-16.40%,-22.54%,-32.80%,1.86%,-56.62%,13.72%,32.27,1.30,5.47,1.30%,287704,15.17
