no,ticker,company,sector,industry,country,market_cap,pe,forward_pe,peg,ps,pb,pcash,pfree_cash_flow,dividend_yield,payout_ratio,eps_ttm,eps_growth_this_year,eps_growth_next_year,eps_growth_past_5_years,eps_growth_next_5_years,sales_growth_past_5_years,eps_growth_quarter_over_quarter,sales_growth_quarter_over_quarter,shares_outstanding,shares_float,insider_ownership,insider_transactions,institutional_ownership,institutional_transactions,float_short,short_ratio,return_on_assets,return_on_equity,return_on_investment,current_ratio,quick_ratio,lt_debtequity,total_debtequity,gross_margin,operating_margin,profit_margin,performance_week,performance_month,performance_quarter,performance_half_year,performance_year,performance_ytd,beta,average_true_range,volatility_week,volatility_month,20day_simple_moving_average,50day_simple_moving_average,200day_simple_moving_average,50day_high,50day_low,52week_high,52week_low,relative_strength_index_14,change_from_open,gap,ar,average_volume,relative_volume,price,change,volume,earnings_date,target_price,ipo_date,afterhours_close,afterhours_change,analyst_recom,rs_rating,returns_multiple,current_price,20_day_ma,50_day_ma,200_day_ma,low_52_week,high_52_week,sentiment_score,est_gl,my_score,in_russell_3k
1182,BY,"Byline Bancorp, Inc.",Financial,Banks - Regional,USA,1073.69,12.68,16.67,1.27,4.4,1.31,6.35,7.65,1.26%,10.40%,2.26,-35.30%,-29.13%,30.70%,10.00%,23.50%,96.20%,7.90%,37.2,22.57,0.10%,-35.04%,44.10%,0.31%,1.33%,2.74,1.30%,10.90%,19.90%,,,0.14,0.14,,94.60%,35.70%,3.09%,6.70%,15.70%,28.62%,80.77%,4.83%,1.33,0.76,2.72%,2.74%,4.91%,5.68%,18.18%,-1.65%,16.59%,-1.65%,96.50%,62.73,-1.10%,-0.03%,2.4,109.27,0.84,28.67,-1.14%,91997,10/28/2021 4:30:00 PM,30.0,6/30/2017,28.67,0.00%,56.0,94,1.41,28.63,27.64,27.33,24.41,14.59,29.15,17.0,4.79,55.666666666666664,True
1262,CBRE,"CBRE Group, Inc.",Real Estate,Real Estate Services,USA,34911.98,24.08,18.33,2.19,1.34,4.36,12.61,17.7,,0.00%,4.29,-41.00%,6.45%,6.40%,11.00%,17.00%,134.80%,20.40%,335.37,332.46,0.50%,-39.32%,98.50%,0.11%,1.41%,3.49,7.90%,19.50%,6.80%,1.4,1.4,0.24,0.42,22.00%,5.40%,5.60%,-4.85%,0.68%,5.85%,24.29%,66.13%,-4.71%,1.43,2.69,2.53%,2.32%,-2.16%,-0.19%,10.39%,-6.85%,9.27%,-6.85%,70.63%,45.65,-0.67%,-0.65%,2.1,1340.86,0.92,103.4,-1.32%,1238646,10/28/2021 8:30:00 AM,128.17,6/10/2004,103.89,0.48%,66.0,94,1.39,106.48,105.91,103.69,94.07,60.6,111.0,21.0,20.37,60.333333333333336,True
1332,CEIX,CONSOL Energy Inc.,Energy,Thermal Coal,USA,825.49,,4.63,,0.67,1.69,5.1,4.2,,,-1.93,-113.30%,1153.66%,-15.30%,,-6.50%,,25.70%,34.48,33.81,1.96%,0.00%,79.90%,-2.46%,4.47%,2.81,-2.80%,-12.70%,2.50%,0.7,0.6,1.34,1.46,92.50%,7.10%,-5.70%,1.15%,12.36%,-29.93%,26.99%,192.51%,4.84%,2.56,1.26,4.85%,5.61%,3.44%,1.61%,16.97%,-18.96%,19.41%,-34.28%,224.39%,53.37,1.67%,-0.43%,2.0,538.97,0.5,23.81,1.23%,271106,11/2/2021 8:30:00 AM,29.33,11/14/2017,23.81,0.00%,69.0,99,2.09,24.41,23.74,23.29,20.66,7.99,36.23,32.0,20.16,66.66666666666667,True
1413,CHK,Chesapeake Energy Corporation,Energy,Oil & Gas E&P,USA,7942.43,28.64,7.03,2.39,2.02,2.27,9.36,10.87,2.49%,9.20%,2.45,,1.50%,,12.00%,-16.20%,95.40%,-7.50%,117.11,103.99,0.04%,0.00%,,18.36%,12.48%,11.23,64.40%,533.10%,237.70%,0.7,0.7,0.41,0.41,65.10%,,,5.48%,10.87%,11.91%,30.46%,,8.80%,,2.44,4.46%,3.37%,9.81%,10.35%,24.24%,0.73%,23.70%,0.73%,75.50%,67.12,1.75%,-0.45%,2.0,1156.12,1.83,70.2,1.30%,2118845,11/2/2021 4:30:00 PM,94.4,2/10/2021,70.2,0.00%,69.0,92,1.32,73.11,65.22,63.97,56.93,40.0,73.66,33.0,29.12,64.66666666666667,True
1462,CIO,"City Office REIT, Inc.",Real Estate,REIT - Office,USA,883.74,20.16,,2.24,5.38,2.64,49.93,38.76,3.95%,58.80%,1.0,52.10%,-100.00%,35.10%,9.00%,23.90%,-197.00%,8.70%,43.55,42.34,0.10%,-3.20%,78.60%,-0.23%,1.19%,1.47,3.90%,13.40%,3.20%,,,1.81,1.81,64.60%,18.60%,27.00%,1.35%,10.77%,10.71%,64.98%,117.62%,2.74%,1.54,0.59,3.26%,2.77%,5.28%,9.45%,35.85%,-6.64%,26.63%,-6.64%,118.79%,61.59,-3.62%,-1.04%,2.3,342.13,2.14,20.26,-4.61%,731587,11/3/2021 8:30:00 AM,21.83,4/15/2014,20.26,0.00%,59.0,97,1.67,19.84,19.61,18.58,15.06,9.31,21.7,13.0,10.03,56.333333333333336,True
1491,CLFD,"Clearfield, Inc.",Technology,Communication Equipment,USA,1018.8,47.24,32.22,,7.24,9.21,43.17,114.47,,0.00%,1.47,175.90%,22.45%,20.30%,,13.30%,146.90%,65.60%,13.73,11.43,6.80%,-3.65%,41.90%,0.94%,2.73%,2.11,18.50%,21.60%,19.10%,3.5,2.1,0.0,0.0,43.50%,17.90%,14.40%,-13.39%,6.42%,35.84%,90.14%,167.14%,-17.57%,1.06,4.73,5.61%,6.65%,-7.68%,1.35%,47.27%,-19.74%,27.40%,-19.74%,174.03%,43.45,-1.60%,-1.42%,2.0,147.94,1.73,69.59,-3.00%,255314,11/4/2021 4:30:00 PM,80.0,8/6/1986,69.6,0.01%,69.0,99,2.12,72.67,76.21,69.44,47.87,26.53,86.71,20.0,10.09,62.666666666666664,True
1631,COP,ConocoPhillips,Energy,Oil & Gas E&P,USA,104024.69,24.12,10.29,,2.87,2.45,9.9,18.06,1.88%,51.00%,3.36,-139.20%,33.64%,6.80%,-1.80%,-8.60%,526.20%,158.20%,1332.29,1317.83,0.10%,-10.33%,80.40%,0.04%,1.15%,1.96,5.90%,11.60%,-3.50%,1.9,1.8,0.42,0.45,46.70%,17.70%,12.90%,9.84%,11.69%,9.54%,36.28%,78.64%,12.26%,1.59,2.29,3.20%,2.79%,11.23%,11.17%,29.98%,0.12%,22.66%,0.12%,104.11%,70.8,0.47%,0.01%,1.8,7745.8,1.18,81.03,0.48%,9120953,2/3/2022 8:30:00 AM,91.8,1/13/1978,81.03,0.00%,75.0,95,1.44,84.4,74.54,73.38,62.78,39.7,84.54,13.0,8.77,61.0,True
1738,CSL,Carlisle Companies Incorporated,Industrials,Building Products & Equipment,USA,12624.29,37.26,18.65,2.48,2.81,4.89,42.71,39.87,0.91%,29.80%,6.38,-28.40%,38.66%,3.90%,15.00%,3.70%,13.20%,24.50%,52.3,51.69,0.60%,-36.36%,90.80%,0.17%,0.78%,1.74,6.10%,15.10%,8.60%,2.4,1.8,1.15,1.15,27.30%,11.00%,8.30%,-3.05%,-0.78%,16.15%,23.25%,52.52%,-4.13%,1.09,5.01,2.09%,2.00%,-1.54%,0.20%,15.44%,-4.94%,7.76%,-4.94%,65.75%,46.69,0.19%,-0.60%,1.9,231.71,0.79,237.88,-0.41%,183216,10/21/2021 4:30:00 PM,266.0,6/1/1960,237.88,0.00%,72.0,90,1.27,243.71,241.87,238.35,207.17,143.52,250.23,17.0,9.15,59.666666666666664,True
1751,CSV,"Carriage Services, Inc.",Consumer Cyclical,Personal Services,USA,980.39,37.52,15.9,2.5,2.65,5.22,891.27,17.14,0.78%,25.20%,1.53,10.40%,18.48%,-4.60%,15.00%,6.30%,132.30%,12.60%,17.5,14.98,9.00%,-2.24%,76.80%,0.48%,6.11%,5.41,2.40%,12.30%,7.00%,0.6,0.5,2.54,2.55,34.30%,18.10%,7.60%,-7.03%,3.54%,25.96%,62.47%,73.31%,-10.92%,0.95,2.03,3.08%,3.40%,-5.33%,3.84%,32.01%,-13.46%,25.60%,-13.46%,75.48%,44.65,-0.05%,-0.93%,1.5,169.17,0.73,57.4,-0.98%,122856,10/27/2021 4:30:00 PM,69.25,8/9/1996,57.4,0.00%,84.0,94,1.39,57.83,60.86,55.68,43.82,32.71,66.33,23.0,19.75,67.0,True
1788,CUBI,"Customers Bancorp, Inc.",Financial,Banks - Regional,USA,2251.53,8.12,11.12,0.81,3.13,2.02,2.03,7.26,,0.00%,8.8,82.30%,-29.41%,13.80%,10.00%,16.80%,116.90%,73.90%,32.45,29.57,6.70%,-25.25%,86.60%,3.07%,3.81%,2.69,1.30%,25.10%,5.30%,,,0.35,0.35,,83.90%,35.30%,6.72%,25.22%,62.94%,86.54%,226.48%,9.38%,1.58,3.21,5.03%,5.10%,12.05%,19.04%,63.36%,-6.08%,49.52%,-6.08%,240.96%,63.99,-4.54%,0.25%,2.1,418.98,1.85,71.5,-4.30%,777177,10/27/2021 4:30:00 PM,70.38,2/21/2012,71.5,0.00%,66.0,99,2.51,69.69,65.85,61.12,44.35,20.97,76.13,21.0,0.99,62.0,True
2173,DVN,Devon Energy Corporation,Energy,Oil & Gas E&P,USA,32485.3,28.05,9.24,1.12,3.64,3.65,14.0,11.8,0.91%,26.40%,1.73,3855.60%,55.19%,26.40%,25.00%,-18.20%,535.60%,224.80%,671.0,640.77,0.20%,-7.70%,90.40%,-1.83%,2.62%,1.57,6.70%,16.70%,-31.00%,1.2,1.2,0.76,0.76,42.90%,16.00%,13.40%,6.43%,14.60%,27.07%,75.38%,181.54%,10.10%,3.03,2.02,4.23%,4.43%,11.96%,15.23%,56.41%,-2.51%,36.43%,-2.51%,220.44%,66.63,0.48%,-1.27%,1.8,10653.69,0.92,48.5,-0.80%,9800561,11/2/2021 4:30:00 PM,51.64,3/17/1992,48.5,0.00%,75.0,98,2.0,49.9,44.49,43.41,32.56,16.11,51.16,30.0,3.49,67.66666666666667,True
2252,ECPG,"Encore Capital Group, Inc.",Financial,Mortgage Finance,USA,1805.43,6.16,6.94,0.47,1.24,1.31,11.41,,,0.00%,9.88,25.30%,-19.66%,21.00%,13.00%,5.70%,55.20%,-7.10%,30.23,28.74,0.70%,-22.41%,,-0.05%,19.33%,14.52,6.60%,23.80%,9.40%,,,2.0,2.0,77.60%,40.10%,21.50%,-0.94%,5.81%,19.77%,28.58%,86.60%,-2.06%,1.42,1.59,2.39%,2.52%,1.44%,3.60%,23.51%,-3.63%,16.98%,-3.63%,108.25%,57.2,0.88%,0.62%,2.2,382.53,0.5,60.83,1.50%,190153,11/3/2021 4:30:00 PM,67.75,7/9/1999,60.83,0.00%,63.0,96,1.52,61.88,60.34,59.17,49.55,29.21,63.12,17.0,9.49,58.666666666666664,True
2415,ENVA,"Enova International, Inc.",Financial,Credit Services,USA,1547.77,3.57,7.52,,1.42,1.38,6.76,3.76,,0.00%,11.95,214.60%,-20.99%,54.40%,,0.90%,-56.00%,76.10%,36.74,35.54,1.80%,-8.23%,90.40%,0.20%,3.06%,3.26,19.30%,42.30%,24.90%,15.9,15.9,0.95,0.95,,65.70%,40.30%,2.94%,8.94%,19.53%,30.11%,66.86%,4.13%,1.55,1.37,3.34%,3.18%,6.18%,8.60%,20.45%,-1.88%,37.74%,-1.88%,93.78%,63.65,2.97%,0.17%,2.0,333.42,1.01,42.65,3.14%,335577,10/28/2021 4:30:00 PM,44.5,10/30/2014,42.65,0.00%,69.0,91,1.31,42.91,40.77,39.85,35.52,22.01,43.72,20.0,3.71,60.0,True
2513,ESTE,"Earthstone Energy, Inc.",Energy,Oil & Gas E&P,USA,1128.33,,5.01,,3.61,1.26,2820.82,6.51,,,-0.42,156.50%,112.67%,44.30%,21.00%,24.90%,209.30%,169.30%,49.24,37.28,1.60%,-3.35%,72.50%,,1.71%,1.65,-1.00%,-3.00%,-18.40%,0.3,0.3,0.57,0.57,80.00%,35.80%,-4.10%,8.77%,16.88%,12.28%,8.30%,112.73%,14.53%,2.54,0.76,8.34%,6.35%,13.48%,15.03%,29.59%,-8.27%,33.16%,-8.27%,148.12%,60.59,-5.43%,0.76%,2.2,385.45,1.37,12.53,-4.71%,527738,11/4/2021 8:30:00 AM,18.41,4/18/1994,12.53,0.00%,63.0,98,1.96,14.62,11.56,11.09,9.77,5.05,15.14,31.0,25.92,64.0,True
2628,EXR,Extra Space Storage Inc.,Real Estate,REIT - Industrial,USA,29149.7,38.76,37.45,6.46,19.39,9.33,444.36,81.24,2.40%,77.10%,5.38,14.70%,5.73%,18.90%,6.00%,11.60%,59.40%,20.30%,133.81,131.04,0.60%,-45.45%,96.00%,0.02%,1.67%,3.4,7.50%,25.00%,7.90%,,,1.87,1.87,74.00%,57.20%,47.50%,-4.89%,1.45%,20.96%,21.52%,87.26%,-8.04%,0.36,5.42,2.76%,2.33%,-4.15%,0.54%,18.98%,-8.88%,13.63%,-8.88%,90.82%,42.51,2.05%,-1.98%,2.2,642.49,1.27,208.51,0.03%,817954,10/27/2021 4:30:00 PM,221.29,8/12/2004,208.51,0.00%,63.0,96,1.56,211.71,217.48,208.23,176.41,109.42,228.84,16.0,4.53,58.333333333333336,True
2630,EXTR,"Extreme Networks, Inc.",Technology,Communication Equipment,USA,2001.07,84.97,15.29,4.25,1.92,25.95,10.46,14.05,,0.00%,0.17,101.40%,21.79%,15.40%,20.00%,14.20%,231.60%,13.50%,128.32,127.08,1.20%,-22.51%,85.30%,0.12%,4.65%,4.41,2.40%,52.10%,6.60%,0.9,0.9,4.11,4.47,58.20%,5.10%,2.30%,-7.80%,0.97%,42.59%,32.33%,90.93%,-7.45%,1.89,0.72,5.26%,4.89%,-1.08%,8.87%,29.85%,-12.50%,49.64%,-12.50%,109.06%,50.78,2.47%,-0.49%,2.2,1341.33,0.84,14.53,1.96%,1127943,11/2/2021 8:30:00 AM,16.0,4/9/1999,14.62,0.62%,63.0,95,1.5,14.31,14.86,13.61,11.28,6.95,16.61,19.0,11.81,59.0,True
2654,FANG,"Diamondback Energy, Inc.",Energy,Oil & Gas E&P,USA,22370.87,62.97,7.12,1.04,4.04,1.91,48.95,7.78,1.65%,82.70%,1.93,269.40%,51.72%,-27.70%,60.66%,44.50%,150.50%,165.30%,181.03,180.27,0.20%,-9.48%,89.00%,0.28%,3.28%,2.15,2.10%,4.20%,-31.20%,0.7,0.7,0.6,0.6,79.40%,33.70%,8.00%,8.50%,9.99%,9.59%,34.77%,108.15%,12.52%,2.47,5.01,4.28%,4.06%,10.90%,10.73%,33.64%,-2.68%,27.71%,-2.68%,124.31%,63.93,-0.21%,0.07%,1.9,2745.72,0.85,121.35,-0.14%,2330689,11/1/2021 4:30:00 PM,135.03,10/12/2012,121.35,0.00%,72.0,97,1.64,124.57,111.85,110.44,91.53,56.13,125.69,22.0,8.4,63.666666666666664,True
2686,FC,Franklin Covey Co.,Industrials,Consulting Services,USA,661.12,53.33,44.68,3.56,2.95,9.09,13.95,17.54,,0.00%,0.96,241.80%,57.77%,15.70%,15.00%,2.30%,80.50%,40.60%,14.16,12.37,8.10%,0.00%,56.50%,0.28%,0.95%,2.25,6.00%,18.80%,13.90%,1.0,1.0,0.3,0.41,77.10%,3.40%,5.70%,8.31%,12.19%,24.39%,39.46%,112.39%,10.55%,1.73,1.82,4.37%,3.32%,12.77%,12.24%,34.99%,0.29%,24.48%,0.29%,115.25%,67.98,0.25%,0.91%,1.5,52.15,2.1,51.25,1.16%,109633,1/6/2022 4:30:00 PM,63.5,6/3/1992,51.25,0.00%,84.0,97,1.69,50.99,46.78,46.33,38.43,23.82,52.52,22.0,24.53,67.66666666666667,True
2809,FITB,Fifth Third Bancorp,Financial,Banks - Regional,USA,33073.22,13.49,14.54,,6.32,1.67,0.87,,2.46%,30.30%,3.62,-45.10%,-10.17%,-1.80%,-2.98%,6.70%,24.20%,-2.80%,697.46,674.83,0.20%,-1.57%,84.10%,0.28%,1.42%,2.26,1.30%,12.50%,12.30%,,,0.56,0.56,,97.20%,49.60%,9.25%,11.54%,12.21%,29.89%,55.51%,12.06%,1.42,1.22,2.73%,2.31%,10.74%,11.03%,19.65%,-0.31%,20.88%,-0.31%,72.74%,73.93,-0.81%,0.82%,1.9,4253.59,1.07,48.8,0.00%,4560191,1/20/2022 8:30:00 AM,49.36,3/17/1980,48.8,0.00%,72.0,89,1.23,49.2,44.95,44.25,40.95,28.25,49.81,18.0,0.33,59.666666666666664,True
3471,HAFC,Hanmi Financial Corporation,Financial,Banks - Regional,USA,776.38,9.88,11.51,1.23,3.59,1.25,0.92,14.09,3.14%,16.50%,2.58,30.00%,-19.15%,-4.00%,8.00%,6.40%,62.20%,1.10%,30.47,30.04,0.30%,0.00%,90.20%,-0.07%,1.49%,2.83,1.20%,13.60%,17.00%,,,0.35,0.35,,91.50%,37.40%,5.16%,14.36%,25.58%,42.11%,104.17%,7.60%,1.21,0.75,2.64%,3.05%,9.50%,9.16%,24.01%,-1.87%,19.68%,-1.87%,112.33%,70.62,-1.01%,0.66%,2.3,157.91,0.97,25.48,-0.35%,153062,10/26/2021 4:30:00 PM,24.33,5/14/1997,25.48,0.00%,59.0,97,1.65,26.01,23.83,23.54,20.64,12.0,26.11,17.0,-6.46,57.666666666666664,True
3606,HLIT,Harmonic Inc.,Technology,Communication Equipment,USA,1200.57,159.72,23.29,8.23,2.49,4.23,9.35,20.49,,0.00%,0.07,-356.40%,55.10%,-11.00%,19.40%,0.10%,126.10%,33.10%,102.1,99.71,1.90%,-25.76%,96.80%,0.68%,9.72%,11.24,1.10%,2.60%,-4.10%,1.4,1.2,0.41,0.56,52.70%,4.10%,1.40%,-5.66%,4.71%,31.10%,38.12%,46.32%,-3.57%,0.81,0.4,4.05%,3.39%,-0.41%,3.64%,25.69%,-7.20%,27.13%,-7.20%,69.51%,50.58,2.44%,-1.16%,2.2,862.12,0.71,11.34,1.25%,612465,11/1/2021 4:30:00 PM,12.83,5/23/1995,11.34,0.00%,63.0,84,1.14,11.35,11.51,11.1,9.09,6.69,12.22,34.0,13.04,60.333333333333336,True
