no,ticker,company,sector,industry,country,market_cap,pe,forward_pe,peg,ps,pb,pcash,pfree_cash_flow,dividend_yield,payout_ratio,eps_ttm,eps_growth_this_year,eps_growth_next_year,eps_growth_past_5_years,eps_growth_next_5_years,sales_growth_past_5_years,eps_growth_quarter_over_quarter,sales_growth_quarter_over_quarter,shares_outstanding,shares_float,insider_ownership,insider_transactions,institutional_ownership,institutional_transactions,float_short,short_ratio,return_on_assets,return_on_equity,return_on_investment,current_ratio,quick_ratio,lt_debtequity,total_debtequity,gross_margin,operating_margin,profit_margin,performance_week,performance_month,performance_quarter,performance_half_year,performance_year,performance_ytd,beta,average_true_range,volatility_week,volatility_month,20day_simple_moving_average,50day_simple_moving_average,200day_simple_moving_average,50day_high,50day_low,52week_high,52week_low,relative_strength_index_14,change_from_open,gap,ar,average_volume,relative_volume,price,change,volume,earnings_date,target_price,ipo_date,afterhours_close,afterhours_change,analyst_recom,rs_rating,returns_multiple,current_price,ma_20_day,ma_50_day,ma_200_day,low_52_week,high_52_week,sentiment_score,est_gl,my_score,in_sp500
1644,COP,ConocoPhillips,Energy,Oil & Gas E&P,USA,118670.78,15.09,11.66,8.5,2.59,2.77,11.29,55.79,1.66%,146.30%,6.07,-139.20%,-9.72%,6.80%,1.78%,-8.60%,526.20%,158.20%,1332.29,1317.82,0.10%,-20.39%,80.50%,0.09%,1.30%,2.1,2.30%,4.60%,-2.40%,1.9,1.8,0.42,0.45,48.20%,5.90%,4.00%,-1.50%,9.48%,26.87%,67.50%,87.93%,26.84%,1.45,3.17,3.05%,3.75%,2.65%,14.27%,37.54%,-3.56%,38.97%,-3.56%,99.79%,61.21,-1.03%,-1.09%,1.8,8135.2,0.87,91.55,-2.11%,7111056,2/3/2022 8:30:00 AM,99.98,1/13/1978,91.45,-0.11%,75.0,98,1.67,91.55,89.43,80.6,66.91,47.51,94.93,11.0,9.21,61.333333333333336,True
1785,CTRA,Coterra Energy Inc.,Energy,Oil & Gas E&P,USA,18021.6,26.58,6.82,0.36,10.72,3.99,236.19,60.41,1.94%,47.80%,0.87,-69.30%,16.56%,30.70%,74.49%,1.60%,514.80%,51.30%,813.58,797.84,1.30%,-4.51%,64.10%,16.68%,3.55%,3.46,7.60%,15.30%,7.60%,1.0,0.9,0.41,0.41,62.10%,29.00%,20.90%,0.13%,6.36%,12.77%,55.05%,31.00%,22.26%,-0.2,0.96,4.16%,4.29%,6.60%,11.04%,24.87%,-4.25%,26.32%,-4.25%,67.97%,59.19,-3.21%,-0.46%,2.3,8182.95,1.0,23.23,-3.65%,8190445,2/23/2022 4:30:00 PM,27.52,2/8/1990,23.57,1.46%,59.0,84,1.13,23.23,21.84,20.98,18.97,14.28,24.39,30.0,18.47,57.666666666666664,True
1833,CVX,Chevron Corporation,Energy,Oil & Gas Integrated,USA,258199.69,16.8,14.82,,1.66,1.93,42.8,,3.92%,279.00%,8.13,-291.90%,-11.97%,-26.20%,-4.90%,-6.10%,,77.30%,1918.01,1897.83,0.04%,-59.82%,67.80%,0.68%,1.22%,1.89,1.50%,2.70%,-2.10%,1.3,1.0,0.27,0.27,42.70%,2.80%,2.30%,-1.36%,7.78%,19.64%,35.42%,46.75%,16.46%,1.17,3.3,2.25%,2.52%,2.75%,9.74%,24.14%,-1.99%,23.43%,-1.99%,49.61%,61.02,-0.87%,-0.68%,2.2,12308.32,1.27,136.67,-1.54%,15575786,1/28/2022 8:30:00 AM,141.05,6/24/1921,137.01,0.25%,63.0,93,1.31,136.67,133.4,124.97,110.26,92.61,139.44,13.0,3.2,56.333333333333336,True
2183,DVN,Devon Energy Corporation,Energy,Oil & Gas E&P,USA,34144.07,30.23,9.48,1.21,3.83,3.93,14.71,12.41,0.84%,19.80%,1.73,3855.60%,64.25%,26.40%,25.00%,-18.20%,535.60%,224.80%,671.0,640.84,0.50%,-3.31%,90.10%,-2.27%,2.69%,1.47,6.70%,16.70%,-31.00%,1.2,1.2,0.76,0.76,42.90%,16.00%,13.40%,-0.63%,5.28%,26.86%,101.50%,166.45%,18.64%,2.91,2.48,3.98%,5.46%,2.11%,11.72%,51.08%,-5.74%,47.00%,-5.74%,193.14%,57.22,-2.92%,-0.52%,1.8,11755.08,1.01,52.26,-3.42%,11925637,2/15/2022 4:30:00 PM,55.23,3/17/1992,52.26,0.00%,75.0,99,2.24,52.26,51.27,47.13,35.74,19.61,55.44,31.0,5.68,68.33333333333333,True
2432,EOG,"EOG Resources, Inc.",Energy,Oil & Gas E&P,USA,64030.15,21.93,10.64,0.3,4.12,3.03,14.92,12.69,2.65%,31.00%,5.17,-122.20%,23.49%,33.90%,73.84%,4.80%,,105.70%,585.09,583.05,0.30%,1.90%,87.80%,-0.53%,1.14%,1.47,8.30%,14.40%,-1.60%,2.1,2.0,0.23,0.24,60.80%,26.20%,19.40%,-1.12%,11.19%,22.36%,76.04%,86.25%,27.67%,1.82,4.23,3.33%,4.06%,3.63%,15.90%,35.94%,-2.98%,40.59%,-2.98%,99.09%,62.45,-2.24%,-0.63%,2.0,4518.26,0.88,113.41,-2.86%,3959466,2/25/2022 8:30:00 AM,116.55,10/4/1989,113.41,0.00%,69.0,97,1.61,113.41,109.83,98.71,85.35,60.46,116.89,18.0,2.77,61.333333333333336,True
2621,EXC,Exelon Corporation,Utilities,Utilities - Diversified,USA,41196.91,24.71,18.81,1.54,1.18,1.22,13.93,,3.63%,89.40%,1.71,-33.30%,-20.14%,-4.60%,16.00%,2.30%,139.40%,0.60%,979.0,975.59,0.10%,-25.87%,82.60%,0.35%,1.89%,1.78,1.30%,5.10%,3.40%,0.9,0.8,1.05,1.23,58.10%,6.80%,4.80%,-3.30%,4.76%,8.79%,21.82%,40.97%,2.46%,0.48,0.99,2.27%,2.55%,1.96%,5.20%,17.68%,-4.13%,14.40%,-4.13%,54.30%,57.85,-0.17%,0.33%,2.1,10374.68,1.26,42.2,0.17%,13116091,,50.78,7/6/1943,42.2,0.00%,66.0,91,1.26,42.2,41.5,40.21,35.92,27.35,44.02,19.0,20.33,58.666666666666664,True
2632,EXPE,"Expedia Group, Inc.",Consumer Cyclical,Travel Services,USA,30717.11,,18.35,,4.24,14.73,7.13,9.99,,,-6.83,90.50%,39.68%,-24.40%,22.80%,-0.40%,162.10%,147.70%,153.58,144.81,0.40%,-38.32%,97.20%,-0.31%,5.03%,2.88,-1.20%,-18.00%,3.90%,0.9,0.9,3.75,4.11,80.50%,5.00%,-3.70%,5.24%,6.54%,10.21%,36.79%,33.37%,9.10%,1.58,8.52,5.68%,4.61%,7.98%,11.37%,18.15%,-6.33%,30.72%,-6.33%,44.16%,64.07,2.02%,0.60%,2.5,2533.62,2.1,197.17,2.63%,5310565,2/10/2022 4:30:00 PM,211.19,7/20/2005,197.0,-0.09%,53.0,88,1.19,197.17,183.24,177.76,166.99,136.77,210.5,15.0,7.11,52.0,True
2662,FANG,"Diamondback Energy, Inc.",Energy,Oil & Gas E&P,USA,22739.62,67.71,7.36,1.11,4.1,2.06,49.76,7.91,1.53%,82.70%,1.93,269.40%,58.66%,-27.70%,61.03%,44.50%,150.50%,165.30%,181.03,180.27,0.20%,-9.97%,90.40%,1.73%,3.24%,2.04,2.10%,4.20%,-31.20%,0.7,0.7,0.6,0.6,79.40%,33.70%,8.00%,0.22%,5.15%,18.66%,79.86%,89.17%,20.97%,2.36,6.24,5.10%,5.32%,2.32%,10.70%,34.79%,-4.45%,37.31%,-4.45%,106.93%,56.17,-3.58%,-0.19%,1.9,2873.09,1.04,130.47,-3.76%,2986034,2/22/2022 4:30:00 PM,143.73,10/12/2012,130.55,0.06%,72.0,98,1.69,130.47,127.57,118.34,97.04,63.05,136.55,23.0,10.16,64.33333333333333,True
2719,FCX,Freeport-McMoRan Inc.,Basic Materials,Copper,USA,63953.47,22.2,13.78,0.77,3.38,4.67,8.34,10.82,0.71%,7.70%,1.91,344.60%,-17.91%,15.30%,28.90%,-0.60%,321.30%,58.00%,1469.0,1458.24,0.40%,-5.55%,78.60%,0.75%,2.05%,1.62,6.40%,24.40%,5.90%,2.5,1.8,0.66,0.72,33.20%,32.30%,14.90%,9.13%,-4.24%,3.13%,15.42%,29.24%,1.89%,2.1,1.93,4.86%,4.71%,4.84%,5.52%,11.74%,-8.12%,21.49%,-8.12%,44.41%,56.88,-1.14%,0.33%,2.1,18423.74,0.93,42.45,-0.82%,17125098,1/26/2022 8:30:00 AM,44.55,7/10/1995,42.25,-0.47%,66.0,86,1.15,42.45,40.41,40.37,38.07,29.45,46.2,16.0,4.95,56.0,True
2818,FITB,Fifth Third Bancorp,Financial,Banks - Regional,USA,33371.78,12.93,12.46,,6.4,1.65,0.88,,2.49%,31.20%,3.73,-45.10%,13.72%,-1.80%,-2.98%,6.70%,24.20%,-2.80%,697.46,681.88,0.20%,-6.22%,83.70%,-0.27%,1.57%,2.01,1.20%,12.00%,13.80%,,,0.56,0.56,,96.40%,47.40%,-0.19%,-2.64%,9.09%,26.22%,44.10%,10.75%,1.38,1.42,2.38%,3.35%,2.72%,5.80%,15.18%,-4.76%,19.47%,-4.76%,50.48%,57.49,-1.19%,0.56%,1.9,5307.53,1.26,48.23,-0.64%,6695736,1/20/2022 8:30:00 AM,51.68,3/17/1980,48.23,0.00%,72.0,93,1.29,48.23,46.84,45.67,41.91,32.61,50.64,19.0,7.15,61.333333333333336,True
2959,FOXA,Fox Corporation,Communication Services,Broadcasting,USA,23391.69,17.41,11.68,2.9,1.72,2.15,5.5,21.68,1.12%,19.00%,2.45,122.80%,24.62%,15.90%,6.00%,7.70%,-139.90%,8.70%,569.0,461.75,0.10%,0.00%,99.94%,0.77%,3.18%,4.07,6.30%,12.80%,12.40%,3.0,2.6,0.64,0.71,35.50%,18.60%,10.60%,5.07%,6.49%,3.82%,14.74%,34.48%,15.64%,,1.33,3.90%,3.50%,5.75%,10.79%,11.62%,-5.07%,24.00%,-5.07%,35.46%,63.06,-1.77%,0.09%,2.4,3601.58,0.89,42.67,-1.68%,3212789,2/9/2022 8:30:00 AM,47.26,3/12/2019,42.67,0.00%,56.0,89,1.2,42.67,40.43,38.66,38.25,31.5,44.95,11.0,10.76,52.0,True
3475,HAL,Halliburton Company,Energy,Oil & Gas Equipment & Services,USA,28115.02,19.84,13.83,0.32,1.84,4.31,9.24,29.56,0.56%,11.00%,1.63,148.90%,32.88%,17.50%,62.70%,-0.80%,447.50%,32.10%,895.0,891.41,0.40%,-4.12%,79.70%,2.20%,1.71%,1.4,6.90%,25.40%,12.60%,2.3,1.8,1.37,1.38,13.20%,11.80%,9.50%,-0.46%,15.86%,37.29%,64.68%,57.09%,41.50%,2.49,1.2,3.87%,4.33%,5.56%,22.04%,38.78%,-3.78%,55.80%,-3.78%,81.61%,65.1,-3.11%,-0.36%,2.2,10894.75,0.87,32.36,-3.46%,9473979,1/24/2022 8:30:00 AM,32.14,9/15/1948,32.35,-0.03%,63.0,95,1.4,32.36,30.84,26.72,23.38,17.82,33.63,4.0,-0.68,54.0,True
3547,HES,Hess Corporation,Energy,Oil & Gas E&P,USA,28181.23,52.42,16.75,,3.77,5.2,11.65,19.02,1.06%,,1.81,-641.90%,13.76%,0.90%,,-6.40%,146.60%,51.80%,308.1,278.25,0.30%,-30.50%,85.50%,-0.71%,2.63%,2.92,-0.80%,-2.90%,-16.80%,1.4,1.3,1.46,1.55,70.50%,10.40%,-2.20%,-0.53%,4.55%,15.27%,40.42%,53.41%,27.96%,1.83,3.74,3.32%,4.41%,3.11%,12.86%,17.16%,-2.10%,38.66%,-2.10%,64.75%,60.35,-1.53%,0.00%,2.2,2506.66,1.12,94.73,-1.53%,2817393,1/26/2022 8:30:00 AM,111.5,5/24/1962,93.26,-1.55%,63.0,95,1.37,94.73,92.02,84.29,80.96,60.39,96.76,9.0,17.7,55.666666666666664,True
4807,MAR,"Marriott International, Inc.",Consumer Cyclical,Lodging,USA,57376.7,121.17,32.68,,4.95,61.19,74.32,94.21,,0.00%,1.41,-121.60%,80.63%,-17.70%,,-6.10%,118.30%,75.10%,327.3,272.34,1.20%,-1.81%,61.00%,-0.83%,1.37%,1.71,1.90%,78.60%,2.60%,0.5,0.5,10.09,10.72,20.20%,7.10%,4.00%,3.19%,4.15%,9.49%,28.69%,31.39%,3.69%,1.72,5.55,3.70%,3.54%,5.75%,6.54%,14.84%,-3.33%,19.70%,-3.33%,36.45%,61.01,0.46%,0.39%,2.5,2187.37,1.22,171.33,0.85%,2673573,2/15/2022 8:30:00 AM,166.95,3/23/1998,171.4,0.04%,53.0,87,1.17,171.33,162.44,161.22,149.3,127.23,177.23,13.0,-2.56,51.0,True
4858,MCK,McKesson Corporation,Healthcare,Medical Distribution,USA,40895.53,30.23,11.76,2.33,0.16,,14.85,10.18,0.69%,19.20%,8.96,-667.60%,-3.70%,-37.30%,12.96%,4.50%,99.90%,9.60%,151.6,146.83,0.05%,-63.30%,89.80%,-1.50%,1.20%,1.68,2.20%,-235.80%,-61.00%,1.0,0.6,,,5.20%,0.90%,0.50%,0.17%,6.25%,20.39%,35.37%,49.71%,8.89%,0.73,6.96,2.38%,2.62%,4.33%,9.47%,27.04%,-4.27%,25.09%,-4.27%,59.84%,64.95,0.24%,-0.43%,1.9,1049.23,1.31,270.67,-0.19%,1371848,2/2/2022 4:30:00 PM,300.87,11/10/1994,270.67,0.00%,72.0,94,1.34,270.67,260.15,248.27,213.47,169.34,282.73,15.0,11.16,60.333333333333336,True
5067,MOS,The Mosaic Company,Basic Materials,Agricultural Inputs,USA,16565.62,9.6,5.8,1.37,1.51,1.63,19.66,28.1,1.01%,5.30%,4.65,160.60%,48.14%,-9.50%,7.00%,-0.50%,,43.50%,379.8,376.71,0.65%,-93.39%,80.20%,-0.03%,1.51%,1.14,8.70%,18.00%,6.80%,1.3,0.7,0.38,0.38,22.40%,16.30%,16.30%,0.36%,7.23%,19.34%,37.42%,45.58%,13.57%,1.71,2.04,4.79%,4.98%,5.15%,12.12%,24.16%,-6.16%,31.62%,-6.16%,63.89%,59.04,-4.27%,-0.55%,2.4,5014.73,1.59,44.62,-4.80%,7982370,2/22/2022 4:30:00 PM,48.13,1/26/1988,45.06,0.99%,56.0,93,1.3,44.62,42.51,40.0,35.98,27.23,47.55,19.0,7.87,56.0,True
5080,MPC,Marathon Petroleum Corporation,Energy,Oil & Gas Refining & Marketing,USA,47859.35,37.97,15.16,1.26,0.4,1.77,3.62,32.23,2.93%,19.70%,2.08,-716.80%,5.73%,-39.20%,30.11%,-0.60%,156.30%,85.90%,633.0,590.89,0.20%,-5.78%,79.30%,-0.38%,3.09%,2.66,8.60%,30.40%,-18.20%,2.0,1.5,0.96,0.97,9.00%,0.40%,6.30%,-0.84%,8.26%,20.30%,35.59%,53.83%,23.71%,1.94,2.29,2.49%,3.21%,5.46%,14.44%,26.18%,-2.73%,32.02%,-2.73%,60.73%,65.41,-2.10%,-0.41%,1.8,6859.29,0.95,79.16,-2.50%,6546159,2/2/2022 8:30:00 AM,85.33,6/23/2011,79.16,0.00%,75.0,95,1.37,79.16,75.28,69.49,62.85,50.19,81.39,18.0,7.79,62.666666666666664,True
5104,MRO,Marathon Oil Corporation,Energy,Oil & Gas E&P,USA,15918.1,,9.74,,3.55,1.55,,11.64,1.13%,,-0.05,-409.20%,64.05%,6.10%,-2.40%,-8.60%,158.10%,92.00%,789.0,765.84,0.30%,-6.69%,76.70%,2.19%,3.18%,1.36,-0.20%,-0.40%,-7.70%,1.0,0.9,0.37,0.37,88.50%,3.80%,-0.90%,-1.85%,14.22%,27.16%,81.75%,122.09%,29.17%,2.84,0.91,3.84%,4.80%,5.21%,18.19%,45.87%,-4.80%,48.39%,-4.80%,147.49%,61.16,-4.16%,-0.36%,2.2,17872.0,1.2,21.21,-4.50%,21393932,2/16/2022 4:30:00 PM,21.55,11/26/1965,21.21,0.00%,63.0,99,1.98,21.21,20.25,18.06,14.59,9.11,22.28,19.0,1.6,60.333333333333336,True
5138,MTB,M&T Bank Corporation,Financial,Banks - Regional,USA,23319.8,13.87,12.43,2.73,5.79,1.47,0.57,15.55,2.66%,33.80%,13.01,-27.70%,29.24%,6.70%,5.08%,5.70%,34.20%,-0.80%,128.69,128.05,0.30%,-1.21%,87.50%,-0.40%,4.86%,5.0,1.10%,10.90%,17.60%,,,0.22,0.22,,95.70%,41.50%,-0.04%,-1.53%,12.85%,29.72%,21.35%,17.47%,0.97,5.49,2.35%,3.45%,3.21%,9.72%,18.28%,-3.50%,27.51%,-3.50%,40.44%,59.75,-1.22%,0.18%,2.5,1244.76,0.77,180.41,-1.04%,952385,1/20/2022 8:30:00 AM,187.74,3/17/1980,180.41,0.00%,53.0,81,1.08,180.41,174.56,165.02,152.65,128.46,186.95,16.0,4.06,50.0,True
5331,NI,NiSource Inc.,Utilities,Utilities - Regulated Gas,USA,11056.04,25.3,19.59,7.19,2.35,2.34,287.17,15.46,3.10%,76.00%,1.12,-121.70%,6.93%,-18.40%,3.52%,0.10%,123.60%,6.30%,393.2,391.12,0.30%,-1.66%,97.70%,0.01%,4.10%,3.16,2.00%,9.20%,2.20%,0.7,0.4,1.92,2.02,73.90%,20.00%,9.50%,-1.32%,0.28%,13.28%,10.80%,26.94%,2.90%,0.3,0.62,2.03%,2.23%,-0.18%,3.21%,10.53%,-5.90%,16.29%,-5.90%,34.58%,51.19,-1.53%,0.31%,1.9,5060.66,0.88,28.41,-1.22%,4439305,2/23/2022 8:30:00 AM,30.3,12/19/1962,28.5,0.32%,72.0,84,1.13,28.41,28.47,27.6,25.71,21.11,30.19,18.0,6.65,58.0,True
5358,NLOK,NortonLifeLock Inc.,Technology,Software - Infrastructure,USA,17440.66,18.84,15.54,1.52,6.34,,9.79,25.06,1.70%,32.00%,1.56,29.00%,9.15%,24.10%,12.40%,-6.70%,17.90%,9.90%,582.0,579.53,0.10%,-0.15%,98.25%,3.41%,4.60%,5.96,13.70%,-274.30%,23.60%,0.7,0.7,,,85.20%,41.00%,33.10%,4.17%,10.83%,15.47%,13.91%,37.82%,13.47%,0.63,0.87,3.91%,3.08%,9.05%,12.62%,13.47%,-4.64%,24.02%,-4.64%,51.88%,65.58,-1.27%,0.00%,2.1,4474.21,1.02,29.48,-1.27%,4556820,2/3/2022 4:30:00 PM,29.26,6/23/1989,29.48,0.00%,66.0,90,1.23,29.48,27.16,26.28,26.02,19.41,30.92,18.0,-0.75,58.0,True
