no,ticker,company,sector,industry,country,market_cap,pe,forward_pe,peg,ps,pb,pcash,pfree_cash_flow,dividend_yield,payout_ratio,eps_ttm,eps_growth_this_year,eps_growth_next_year,eps_growth_past_5_years,eps_growth_next_5_years,sales_growth_past_5_years,eps_growth_quarter_over_quarter,sales_growth_quarter_over_quarter,shares_outstanding,shares_float,insider_ownership,insider_transactions,institutional_ownership,institutional_transactions,float_short,short_ratio,return_on_assets,return_on_equity,return_on_investment,current_ratio,quick_ratio,lt_debtequity,total_debtequity,gross_margin,operating_margin,profit_margin,performance_week,performance_month,performance_quarter,performance_half_year,performance_year,performance_ytd,beta,average_true_range,volatility_week,volatility_month,simple_moving_average_20day,simple_moving_average_50day,simple_moving_average_200day,high_50day,low_50day,high_52week,low_52week,relative_strength_index_14,change_from_open,gap,average_volume,relative_volume,price,change,volume,earnings_date,target_price,ipo_date,afterhours_close,afterhours_change,analyst_recom,rs_rating,returns_multiple,current_price,ma_20_day,ma_50_day,ma_200_day,low_52_week,high_52_week,sentiment_score,est_gl,my_score,in_russell_3k
589,ATKR,Atkore Inc.,Industrials,Specialty Industrial Machinery,USA,4697.55,7.16,11.33,,1.44,5.17,9.41,9.07,,0.00%,14.79,293.10%,-30.43%,67.10%,-12.43%,14.00%,146.30%,64.50%,45.98,44.53,0.90%,-6.07%,96.90%,-2.21%,2.50%,2.23,33.80%,90.90%,38.10%,2.9,2.2,0.81,0.0,39.60%,29.50%,21.30%,1.87%,9.91%,-6.27%,21.01%,56.57%,-4.74%,2.38,5.55,5.52%,5.32%,0.63%,0.50%,15.50%,-11.70%,15.18%,-11.70%,64.86%,51.07,3.69%,-1.30%,499.3,0.87,105.92,2.34%,436651,1/31/2022 8:30:00 AM,132.0,6/10/2016,105.92,0.00%,63.0,95,1.36,105.92,105.86,105.36,91.83,64.25,119.96,15.0,24.62,57.666666666666664,True
690,AXP,American Express Company,Financial,Credit Services,USA,147721.31,19.38,17.06,0.56,3.45,6.71,6.93,12.68,0.89%,17.20%,9.99,166.10%,17.14%,12.30%,34.57%,3.50%,24.50%,28.80%,768.0,758.29,0.10%,-39.00%,87.00%,-2.10%,1.33%,2.35,4.20%,32.80%,5.50%,,,1.74,5.65,68.60%,25.00%,18.50%,-1.02%,10.49%,12.88%,17.04%,43.21%,18.40%,1.11,5.52,3.01%,2.65%,2.46%,10.39%,14.16%,-2.93%,26.73%,-2.93%,44.79%,61.01,2.14%,0.70%,4290.77,1.26,193.71,2.85%,5424973,1/25/2022 8:30:00 AM,196.6,4/4/1972,193.6,-0.06%,56.0,91,1.24,193.71,190.14,176.09,169.89,133.79,199.55,13.0,1.49,53.333333333333336,True
791,BCOR,"Blucora, Inc.",Financial,Asset Management,USA,963.87,132.52,9.06,8.83,1.09,2.64,5.2,12.6,,,0.15,-831.20%,12.27%,47.75%,15.00%,45.00%,-4.60%,-0.70%,48.71,47.6,1.90%,8.42%,95.60%,3.52%,2.61%,3.07,-1.60%,-5.00%,-34.70%,2.1,2.1,1.54,1.54,45.80%,6.40%,-2.00%,-1.57%,26.49%,11.31%,20.32%,20.25%,12.47%,1.57,0.79,4.13%,4.36%,9.86%,12.85%,15.99%,-5.44%,29.01%,-5.44%,37.09%,68.45,0.72%,0.83%,403.34,0.99,19.48,1.56%,399544,2/16/2022 8:30:00 AM,23.67,12/15/1998,19.48,0.00%,69.0,78,1.05,19.48,17.93,17.32,16.82,14.21,20.6,15.0,21.51,54.0,True
794,BCRX,"BioCryst Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,3135.29,,,,27.5,,15.71,,,,-1.28,-16.00%,18.00%,-13.10%,22.40%,-18.10%,-25.70%,572.10%,179.11,178.0,1.20%,-14.41%,67.30%,14.79%,14.06%,6.6,-78.10%,261.10%,-69.30%,1.9,1.8,,,93.90%,,,-10.87%,13.81%,36.48%,11.21%,58.26%,23.18%,2.27,1.03,6.06%,5.86%,1.17%,13.21%,14.54%,-14.66%,54.67%,-14.66%,84.83%,53.23,2.90%,-0.60%,3791.27,0.86,17.06,2.28%,3254437,2/23/2022 8:30:00 AM,20.64,3/4/1994,17.05,-0.06%,66.0,95,1.38,17.06,17.01,15.18,14.92,9.23,19.99,11.0,20.98,57.333333333333336,True
812,BDSI,"BioDelivery Sciences International, Inc.",Healthcare,Biotechnology,USA,547.34,18.5,15.68,0.74,3.3,4.48,5.44,,,0.00%,0.3,233.10%,53.91%,18.50%,25.00%,26.50%,-26.60%,4.30%,98.7,95.99,2.20%,27.94%,66.30%,-3.68%,2.89%,0.95,12.60%,27.50%,17.50%,2.4,2.1,0.45,0.48,85.10%,24.40%,18.80%,0.00%,50.82%,84.39%,44.53%,32.14%,79.03%,0.56,0.18,0.47%,2.28%,25.37%,52.27%,53.05%,-0.54%,121.56%,-0.54%,122.00%,87.25,-0.36%,0.00%,2929.88,0.84,5.55,-0.36%,2467187,,5.92,7/25/2002,5.55,0.00%,66.0,87,1.15,5.55,4.52,3.7,3.64,2.5,5.58,12.0,6.67,55.0,True
935,BKR,Baker Hughes Company,Energy,Oil & Gas Equipment & Services,USA,30643.72,,17.1,,1.49,1.6,6.26,33.09,2.44%,,-0.36,98.20%,35.61%,46.90%,50.90%,15.80%,-56.50%,-0.20%,899.0,818.52,0.10%,-98.95%,88.90%,4.85%,8.21%,7.63,-0.60%,-1.30%,2.90%,1.7,1.2,0.4,0.41,19.70%,7.00%,-1.10%,0.24%,7.19%,22.31%,32.29%,20.51%,22.61%,1.47,1.2,4.26%,4.04%,5.30%,11.40%,20.86%,-2.01%,29.58%,-2.01%,57.33%,62.13,3.15%,-0.42%,8797.38,0.81,29.5,2.72%,7088712,1/20/2022 8:30:00 AM,32.41,10/3/1961,29.46,-0.14%,69.0,78,1.05,29.5,28.12,26.59,24.43,18.75,30.11,1.0,9.86,49.333333333333336,True
1046,BPOP,"Popular, Inc.",Financial,Banks - Regional,USA,7355.47,8.02,9.03,1.6,3.47,1.23,0.4,11.46,1.96%,16.70%,11.45,-14.70%,7.39%,-7.40%,5.00%,5.50%,54.00%,3.30%,80.13,78.59,1.40%,-7.39%,87.40%,0.49%,2.07%,2.85,1.20%,13.90%,22.90%,,,0.12,0.13,,92.30%,38.80%,1.83%,3.35%,6.52%,20.65%,37.44%,11.95%,1.06,3.1,3.01%,3.11%,0.85%,4.26%,14.18%,-7.68%,23.24%,-7.68%,42.72%,53.57,4.01%,1.34%,571.54,0.94,91.84,5.41%,537908,1/27/2022 8:30:00 AM,112.08,11/4/1982,91.84,0.00%,75.0,89,1.19,91.84,91.34,88.36,80.51,64.35,99.49,49.0,22.04,71.0,True
1189,BX,Blackstone Inc.,Financial,Asset Management,USA,152769.14,15.82,20.58,0.66,6.77,10.27,29.81,1373.82,3.15%,41.50%,8.14,-50.50%,15.63%,7.60%,23.82%,5.60%,71.10%,105.20%,722.23,,0.60%,-58.08%,64.20%,1.24%,,1.38,14.30%,57.60%,12.90%,,,0.83,0.84,,44.10%,20.40%,5.02%,15.53%,-13.12%,5.66%,86.02%,-0.47%,1.34,5.86,4.93%,4.27%,0.97%,4.00%,8.38%,-7.32%,26.69%,-14.02%,102.13%,54.67,4.60%,1.52%,5011.69,1.08,128.78,6.18%,5391537,1/27/2022 8:30:00 AM,152.54,6/22/2007,127.94,-0.65%,66.0,98,1.62,128.78,128.02,123.87,119.05,63.71,149.78,15.0,18.45,59.666666666666664,True
1197,BYD,Boyd Gaming Corporation,Consumer Cyclical,Resorts & Casinos,USA,8016.4,17.34,12.38,0.39,2.38,5.33,14.04,12.42,0.85%,0.00%,4.07,-185.80%,10.63%,17.91%,43.90%,-0.20%,261.20%,29.30%,114.09,82.29,1.60%,-2.41%,69.20%,1.23%,3.33%,2.4,5.20%,25.80%,1.80%,1.3,1.2,2.18,2.21,57.50%,18.70%,10.00%,1.76%,18.55%,13.88%,15.60%,20.07%,7.49%,2.0,2.71,4.49%,3.94%,7.64%,11.23%,14.06%,-3.08%,29.08%,-3.08%,39.90%,62.52,2.47%,0.23%,1141.12,1.03,70.48,2.71%,1179379,2/3/2022 4:30:00 PM,81.45,10/15/1993,70.49,0.01%,72.0,77,1.04,70.48,66.12,63.56,61.85,50.38,72.72,14.0,15.56,54.333333333333336,True
1246,CARE,"Carter Bankshares, Inc.",Financial,Banks - Regional,USA,441.91,15.32,12.1,,3.4,1.09,,,,,1.09,176.40%,3.80%,,,,,20.30%,26.46,25.36,2.99%,1.22%,38.18%,,0.46%,1.92,,,,,,,,,,,4.18%,7.81%,6.10%,41.53%,41.17%,8.51%,,0.46,3.04%,2.62%,6.03%,7.39%,17.88%,-0.00%,17.73%,-0.00%,66.67%,64.1,3.66%,0.56%,60.53,1.65,16.7,4.24%,100104,,18.5,2/28/2007,16.7,0.00%,69.0,91,1.23,16.7,15.83,15.59,14.18,10.02,16.82,42.0,10.78,67.33333333333333,True
1348,CEIX,CONSOL Energy Inc.,Energy,Thermal Coal,USA,1032.74,47.28,5.88,,0.81,1.52,6.89,5.98,,0.00%,0.63,357.60%,-25.52%,-8.20%,,1.10%,511.80%,12.10%,34.48,33.66,2.00%,0.00%,86.00%,4.93%,4.82%,3.61,1.30%,5.80%,10.00%,0.9,0.7,0.91,1.0,91.90%,9.10%,2.70%,1.58%,42.72%,23.64%,35.59%,173.82%,30.34%,2.38,1.69,5.55%,5.96%,10.39%,19.87%,29.65%,-6.77%,54.89%,-18.30%,242.20%,62.18,5.04%,-0.84%,449.06,0.85,29.6,4.15%,382834,2/8/2022 8:30:00 AM,33.33,11/14/2017,29.6,0.00%,69.0,99,2.38,29.6,27.25,24.87,22.91,8.65,36.23,31.0,12.6,66.33333333333333,True
1377,CFB,"CrossFirst Bankshares, Inc.",Financial,Banks - Regional,USA,819.33,11.98,11.45,,4.24,1.25,2.59,10.07,,0.00%,1.33,-58.80%,6.97%,,,,167.20%,-2.50%,50.99,44.05,0.50%,-3.71%,49.50%,2.25%,0.85%,3.57,0.80%,6.90%,15.10%,,,0.0,0.0,,68.20%,22.60%,-1.11%,1.07%,6.89%,22.25%,19.78%,2.43%,,0.42,2.33%,2.28%,0.35%,2.14%,11.17%,-3.06%,12.21%,-3.06%,35.39%,52.59,0.76%,0.06%,104.41,2.2,15.99,0.82%,229867,1/24/2022 4:30:00 PM,18.0,8/15/2019,15.99,0.00%,56.0,77,1.04,15.99,15.95,15.69,14.39,11.81,16.5,13.0,12.57,48.666666666666664,True
1429,CHK,Chesapeake Energy Corporation,Energy,Oil & Gas E&P,USA,8967.56,30.63,7.74,5.62,2.28,2.43,10.56,12.27,2.33%,9.20%,2.45,,3.05%,,5.45%,-16.20%,95.40%,-7.50%,117.11,103.99,0.04%,0.00%,,16.90%,13.53%,10.11,64.40%,533.10%,237.70%,0.7,0.7,0.41,0.41,65.10%,,,12.36%,9.72%,16.08%,41.37%,69.94%,16.37%,,3.25,5.61%,4.18%,11.04%,12.93%,25.11%,1.93%,27.62%,1.93%,87.70%,68.76,5.17%,0.68%,1391.19,2.07,75.08,5.88%,2878375,2/23/2022 4:30:00 PM,98.82,2/10/2021,75.19,0.15%,69.0,96,1.48,75.08,67.91,66.75,60.14,40.0,75.86,28.0,31.62,64.33333333333333,True
1566,CMRE,Costamare Inc.,Industrials,Marine Shipping,Monaco,1758.35,6.32,3.34,,2.8,1.09,6.21,,3.31%,18.90%,2.2,-130.60%,73.37%,-16.10%,,-1.30%,506.10%,100.40%,123.31,54.76,77.90%,0.00%,25.80%,-6.70%,1.46%,1.24,7.40%,18.60%,2.10%,1.1,1.0,1.43,1.61,73.10%,47.30%,42.90%,-2.52%,13.56%,12.10%,6.68%,44.04%,9.88%,1.32,0.56,4.84%,3.88%,1.94%,7.60%,9.27%,-5.31%,23.67%,-16.87%,51.42%,56.81,1.53%,0.74%,642.65,1.17,13.9,2.28%,752302,,18.5,11/4/2010,13.9,0.00%,91.0,92,1.25,13.9,13.7,12.97,12.74,9.18,16.72,16.0,33.09,66.33333333333333,True
1576,CNC,Centene Corporation,Healthcare,Healthcare Plans,USA,49179.91,36.81,13.21,3.44,0.39,1.84,3.66,17.18,,0.00%,2.27,-0.60%,16.82%,16.60%,10.69%,37.30%,2.30%,11.40%,583.24,576.76,1.90%,-1.36%,95.30%,0.74%,1.04%,1.65,1.00%,2.80%,4.70%,,,0.7,0.71,,1.20%,0.60%,0.86%,10.86%,10.46%,31.36%,42.67%,1.36%,0.52,2.29,2.65%,2.76%,2.62%,3.13%,15.58%,-3.79%,12.16%,-3.79%,43.80%,57.1,3.92%,-0.58%,3643.64,0.56,83.52,3.32%,2055424,2/8/2022 8:30:00 AM,96.16,12/13/2001,83.52,0.00%,69.0,91,1.24,83.52,81.75,81.02,72.33,58.08,86.81,19.0,15.13,59.666666666666664,True
1597,CNR,"Cornerstone Building Brands, Inc.",Industrials,Building Products & Equipment,USA,2784.64,4.55,8.96,0.13,0.53,2.53,4.1,,,0.00%,4.89,508.30%,26.46%,-49.80%,34.70%,22.30%,1933.50%,17.70%,126.16,54.54,1.70%,-9.11%,93.30%,0.33%,3.68%,1.77,11.20%,99.30%,-6.70%,2.5,1.8,2.71,2.74,21.70%,20.30%,11.70%,0.32%,51.70%,29.03%,40.06%,95.52%,27.69%,1.84,1.08,3.45%,5.53%,21.55%,30.78%,35.50%,-3.80%,64.48%,-3.80%,104.88%,70.0,1.97%,0.55%,1135.04,1.52,22.27,2.53%,1725405,3/1/2022 4:30:00 PM,23.91,4/3/1992,22.02,-1.10%,69.0,98,1.7,22.27,18.72,17.17,16.48,10.87,23.15,17.0,7.36,61.333333333333336,True
1610,CNXC,Concentrix Corporation,Technology,Information Technology Services,USA,10531.62,25.81,14.68,1.65,1.89,3.91,57.87,28.85,0.50%,0.00%,7.69,141.20%,11.77%,,15.60%,28.60%,88.80%,12.70%,51.56,42.23,0.60%,-14.14%,85.20%,0.81%,1.72%,2.72,7.90%,15.80%,12.30%,1.6,1.6,0.31,0.31,35.30%,10.20%,7.20%,-0.69%,9.45%,11.07%,18.31%,60.76%,11.16%,,7.02,3.63%,3.42%,-0.08%,8.10%,15.87%,-4.76%,28.77%,-4.76%,78.71%,56.28,3.07%,0.62%,267.52,0.47,198.56,3.70%,124815,1/18/2022 4:30:00 PM,215.67,11/24/2020,198.56,0.00%,100.0,95,1.4,198.56,199.67,184.28,171.62,111.11,208.48,15.0,8.62,70.0,True
1648,COOP,Mr. Cooper Group Inc.,Financial,Mortgage Finance,USA,3884.64,3.1,7.01,,1.17,1.24,5.31,,,0.00%,16.45,8.30%,30.02%,21.80%,-8.54%,240.20%,80.90%,-0.30%,78.94,74.96,1.60%,-8.52%,85.80%,-3.59%,3.30%,2.55,5.90%,46.20%,6.10%,,,3.15,3.98,,51.00%,41.80%,-1.60%,23.99%,21.08%,34.09%,62.35%,22.71%,1.49,1.72,3.06%,3.84%,14.41%,18.77%,29.28%,-2.45%,36.27%,-2.45%,70.20%,70.04,1.55%,0.46%,967.52,0.65,51.06,2.02%,625349,2/11/2022 8:30:00 AM,59.14,3/28/2012,51.06,0.00%,66.0,95,1.41,51.06,45.2,43.2,39.59,30.35,52.34,18.0,15.82,59.666666666666664,True
1649,COP,ConocoPhillips,Energy,Oil & Gas E&P,USA,122435.05,15.04,11.72,8.47,2.67,2.64,22.37,13.15,1.67%,32.50%,6.07,342.80%,-13.67%,32.60%,1.78%,13.70%,376.60%,175.40%,1318.95,1317.17,0.10%,-19.84%,78.80%,-1.93%,1.30%,2.07,9.30%,18.30%,10.80%,1.3,1.2,0.41,0.44,48.20%,25.10%,17.60%,0.12%,4.84%,22.31%,66.01%,75.97%,26.45%,1.43,3.44,4.42%,3.50%,0.70%,10.16%,34.30%,-3.86%,38.55%,-3.86%,91.27%,57.98,3.27%,0.74%,8236.54,1.28,91.27,4.04%,10542790,2/3/2022 8:30:00 AM,102.29,1/13/1978,91.27,0.00%,75.0,97,1.53,91.27,90.71,83.31,68.28,47.85,94.93,7.0,12.07,59.666666666666664,True
1683,CPRI,Capri Holdings Limited,Consumer Cyclical,Apparel Manufacturing,United Kingdom,10230.32,19.09,10.33,0.35,1.91,3.72,39.2,15.02,,0.00%,3.61,72.10%,11.21%,-15.90%,54.49%,-2.90%,79.40%,23.60%,149.72,144.02,0.70%,-40.83%,92.50%,0.91%,3.64%,2.78,7.40%,22.30%,-1.30%,1.2,0.6,0.35,0.36,65.80%,12.00%,10.40%,1.22%,26.13%,8.21%,19.84%,47.78%,6.25%,2.47,3.05,3.80%,4.64%,4.95%,9.86%,19.77%,-4.70%,34.05%,-4.70%,55.85%,59.17,4.55%,-0.09%,1883.99,0.96,68.97,4.45%,1805123,2/2/2022 8:30:00 AM,84.76,12/15/2011,68.97,0.00%,66.0,93,1.28,68.97,66.38,62.9,57.67,44.25,72.37,15.0,22.89,58.0,True
1685,CPRX,"Catalyst Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,808.45,20.13,11.41,,6.06,4.06,4.62,15.17,,0.00%,0.39,134.70%,72.36%,37.00%,,,-76.50%,22.90%,103.2,95.36,7.50%,-1.43%,66.50%,1.30%,4.54%,3.82,20.20%,22.60%,43.90%,9.4,9.0,0.0,0.0,85.50%,36.20%,31.20%,2.35%,41.59%,6.10%,46.36%,101.29%,15.66%,1.24,0.38,5.08%,5.97%,14.44%,18.11%,29.48%,-2.25%,49.43%,-2.25%,139.45%,65.94,1.29%,-0.13%,1133.46,0.68,7.83,1.16%,773591,3/16/2022 4:30:00 PM,11.0,11/8/2006,7.78,-0.64%,69.0,98,1.75,7.83,6.97,6.66,6.06,3.27,8.01,11.0,40.49,59.333333333333336,True
1754,CSGS,"CSG Systems International, Inc.",Technology,Software - Infrastructure,USA,2035.02,28.92,16.11,,1.97,4.45,9.06,19.82,1.62%,47.00%,2.13,-28.70%,8.05%,-0.60%,-5.00%,5.70%,20.10%,7.80%,31.76,31.56,2.10%,0.00%,96.59%,2.82%,4.44%,5.08,5.00%,15.20%,9.70%,1.1,1.1,0.32,0.85,48.00%,11.30%,6.40%,3.55%,10.73%,17.19%,31.02%,33.54%,6.96%,0.84,1.67,2.78%,2.98%,4.89%,6.46%,21.87%,0.09%,14.17%,0.09%,44.74%,64.39,2.39%,0.33%,275.81,0.89,61.63,2.73%,245745,2/1/2022 4:30:00 PM,67.0,2/28/1996,61.63,0.00%,100.0,87,1.16,61.63,59.04,57.99,50.66,42.58,61.9,19.0,8.71,68.66666666666667,True
