rank,my_score,ticker,company,sentiment_score,analyst_recom,rs_rating,returns_multiple,current_price,target_price,est_gl,52_week_low,52_week_high,20_day_ma,50_day_ma,200_day_ma,in_russell_3k
13,67.17,NAVI,Navient Corporation,20.0,86.5,95,2.12,19.12,21.35,11.66,$6.97,$20.60,19.39,18.57,13.13,True
14,67.0,SLM,SLM Corporation,17.0,89.0,95,2.16,17.79,23.52,32.21,$6.56,$21.40,20.15,20.06,15.31,True
15,66.17,KFY,Korn Ferry,12.0,96.5,90,1.71,74.85,97.75,30.59,$27.33,$74.83,69.37,67.32,53.46,True
16,65.67,OMI,"Owens & Minor, Inc.",24.0,74.0,99,3.95,31.66,46.17,45.83,$7.73,$49.16,42.82,40.7,32.51,True
17,65.5,NSA,National Storage Affiliates Trust,42.0,76.5,78,1.4,52.84,58.3,10.33,$28.88,$53.76,51.56,48.26,39.58,True
18,65.5,CROX,"Crocs, Inc.",19.0,81.5,96,2.34,141.13,157.7,11.74,$33.34,$120.92,114.14,108.0,79.1,True
19,65.33,RDNT,"RadNet, Inc.",13.0,99.0,84,1.53,29.1,43.67,50.07,$13.49,$36.64,34.19,30.08,22.08,True
20,65.33,NET,"Cloudflare, Inc.",17.0,84.0,95,2.16,114.98,125.13,8.83,$32.69,$111.97,105.35,90.66,76.61,True
22,65.0,PACK,Ranpak Holdings Corp.,10.0,89.0,96,2.22,27.52,31.83,15.66,$7.79,$27.77,24.46,22.66,17.23,True
24,64.5,ENPH,"Enphase Energy, Inc.",22.0,76.5,95,2.12,155.36,197.73,27.27,$56.28,$229.04,177.31,152.08,151.83,True
26,64.17,VVI,Viad Corp,17.0,81.5,94,2.05,47.75,58.0,21.47,$13.86,$52.00,49.0,46.52,37.52,True
27,64.17,ROKU,"Roku, Inc.",18.0,81.5,93,1.93,314.46,470.67,49.68,$143.21,$486.72,421.23,367.72,339.12,True
28,64.0,AKR,Acadia Realty Trust,44.0,74.0,74,1.33,21.3,24.14,13.33,$9.10,$22.97,21.76,21.63,17.09,True
29,64.0,BOOT,"Boot Barn Holdings, Inc.",15.0,79.0,98,2.89,90.64,100.0,10.33,$18.15,$86.70,81.93,77.57,57.69,True
30,64.0,MIDD,The Middleby Corporation,20.0,84.0,88,1.64,173.84,214.0,23.1,$80.31,$186.20,173.22,170.94,147.39,True
31,63.83,AXON,"Axon Enterprise, Inc.",23.0,86.5,82,1.49,178.77,213.0,19.15,$78.28,$212.37,172.59,152.21,139.06,True
32,63.83,THC,Tenet Healthcare Corporation,19.0,76.5,96,2.21,68.82,84.53,22.83,$20.18,$70.75,67.92,66.65,49.14,True
33,63.67,MODV,ModivCare Inc.,13.0,94.0,84,1.54,187.05,211.88,13.27,$77.75,$184.71,170.33,158.37,144.06,True
34,63.67,AMN,"AMN Healthcare Services, Inc.",19.0,89.0,83,1.52,114.94,121.56,5.76,$46.31,$99.48,96.21,93.57,76.52,True
35,63.5,JYNT,The Joint Corp.,15.0,76.5,99,4.23,95.92,124.6,29.9,$13.60,$89.69,82.63,71.67,43.04,True
37,63.17,POLY,"Plantronics, Inc.",28.0,76.5,85,1.57,25.88,41.67,61.01,$8.40,$43.37,38.32,30.19,18.54,True
38,63.0,RH,RH,20.0,79.0,90,1.75,646.45,764.79,18.31,$275.60,$733.05,687.03,660.52,526.8,True
39,63.0,DKS,"DICK'S Sporting Goods, Inc.",24.0,74.0,91,1.79,121.72,152.33,25.15,$39.74,$102.92,98.97,94.68,73.69,True
40,63.0,TPX,"Tempur Sealy International, Inc.",26.0,79.0,84,1.53,46.53,53.33,14.61,$18.06,$42.60,39.29,38.49,32.0,True
41,62.83,OMCL,"Omnicell, Inc.",18.0,81.5,89,1.69,153.26,166.8,8.83,$65.13,$154.92,150.15,142.66,123.05,True
42,62.83,DFS,Discover Financial Services,21.0,76.5,91,1.84,127.19,135.94,6.88,$47.42,$127.65,120.14,119.13,94.71,True
43,62.67,DECK,Deckers Outdoor Corporation,17.0,94.0,77,1.39,365.47,486.5,33.12,$192.58,$396.23,375.76,348.78,311.9,True
44,62.67,SYF,Synchrony Financial,20.0,84.0,84,1.54,49.91,56.95,14.11,$21.67,$50.96,48.24,47.83,38.28,True
45,62.67,TGT,Target Corporation,19.0,84.0,85,1.56,228.42,279.74,22.47,$119.04,$254.53,244.41,231.55,193.05,True
46,62.5,ENSG,"The Ensign Group, Inc.",16.0,91.5,80,1.45,75.62,96.8,28.01,$44.04,$98.66,87.18,84.89,79.58,True
47,61.83,TTGT,"TechTarget, Inc.",22.0,76.5,87,1.62,83.12,99.13,19.26,$32.02,$101.12,75.21,71.48,67.18,True
49,61.33,CLF,Cleveland-Cliffs Inc.,13.0,74.0,97,2.65,19.66,29.59,50.51,$5.16,$24.77,21.49,20.9,15.65,True
51,61.17,ALGN,"Align Technology, Inc.",20.0,81.5,82,1.49,662.06,745.36,12.58,$279.83,$653.86,618.66,598.62,534.9,True
52,61.0,YETI,"YETI Holdings, Inc.",15.0,84.0,84,1.53,85.98,114.47,33.14,$43.09,$96.62,91.05,89.55,73.29,True
53,60.5,CRL,"Charles River Laboratories International, Inc.",14.0,86.5,81,1.47,416.69,448.0,7.51,$190.02,$386.57,373.55,350.57,288.22,True
55,60.5,JCI,Johnson Controls International plc,27.0,76.5,78,1.42,69.02,81.25,17.72,$36.07,$70.81,68.38,66.61,54.94,True
56,60.5,SCVL,"Shoe Carnival, Inc.",10.0,81.5,90,1.77,33.05,47.75,44.48,$23.09,$79.81,69.84,67.06,50.64,True
57,59.67,TRMB,Trimble Inc.,19.0,84.0,76,1.37,84.14,95.25,13.2,$43.23,$84.87,81.48,79.08,70.21,True
58,59.67,DGII,Digi International Inc.,18.0,89.0,72,1.31,21.32,26.75,25.47,$10.82,$25.61,19.76,19.17,18.89,True
59,59.17,INTU,Intuit Inc.,19.0,86.5,72,1.31,543.97,596.52,9.66,$281.19,$511.69,493.39,459.97,394.69,True
60,59.17,CVLT,"Commvault Systems, Inc.",14.0,81.5,82,1.48,77.72,88.14,13.41,$37.73,$82.17,78.9,75.92,61.73,True
61,59.0,NVDA,NVIDIA Corporation,18.0,84.0,75,1.36,207.42,226.4,9.15,$391.08,$835.00,786.58,696.7,583.77,True
62,58.83,HCA,"HCA Healthcare, Inc.",11.0,81.5,84,1.53,247.79,266.62,7.6,$103.17,$221.71,212.37,210.41,176.69,True
63,58.17,AMKR,"Amkor Technology, Inc.",17.0,81.5,76,1.38,25.1,28.5,13.55,$10.71,$27.50,23.08,21.87,18.87,True
64,58.17,TRUP,"Trupanion, Inc.",17.0,71.5,86,1.6,79.69,125.2,57.11,$47.58,$126.53,111.81,96.39,95.47,True
65,58.17,BCO,The Brink's Company,14.0,81.5,79,1.44,64.26,96.67,50.44,$37.08,$84.72,77.45,77.01,70.4,True
66,58.17,ZBRA,Zebra Technologies Corporation,14.0,81.5,79,1.44,510.98,580.0,13.51,$246.83,$549.98,526.49,508.09,431.52,True
67,58.17,LSI,"Life Storage, Inc.",11.0,86.5,77,1.39,115.56,129.4,11.98,$60.95,$114.85,109.63,103.74,85.85,True
68,58.17,CARR,Carrier Global Corporation,16.0,81.5,77,1.39,52.46,59.82,14.03,$25.60,$49.75,47.95,46.17,40.15,True
69,58.17,PYPL,"PayPal Holdings, Inc.",17.0,86.5,71,1.29,264.65,327.67,23.81,$166.50,$309.14,293.22,271.69,243.82,True
71,57.67,IDXX,"IDEXX Laboratories, Inc.",10.0,84.0,79,1.44,623.98,717.5,14.99,$334.59,$669.20,640.59,587.5,508.09,True
72,57.17,BSIG,BrightSphere Investment Group Inc.,17.0,76.5,78,1.41,26.12,28.75,10.07,$11.97,$24.39,23.76,23.04,19.93,True
73,56.67,SQ,"Square, Inc.",16.0,74.0,80,1.45,239.29,302.93,26.6,$117.00,$283.19,240.81,225.83,220.88,True
74,56.67,GMS,GMS Inc.,16.0,79.0,75,1.35,44.74,61.0,36.34,$21.41,$50.62,45.89,45.24,36.45,True
75,56.33,PTC,PTC Inc.,14.0,84.0,71,1.3,120.51,164.71,36.68,$79.31,$149.50,140.66,135.33,123.79,True
76,56.0,APTV,Aptiv PLC,13.0,79.0,76,1.37,152.7,171.0,11.98,$76.18,$160.53,154.93,150.72,135.1,True
77,55.33,KKR,KKR & Co. Inc.,12.0,84.0,70,1.27,61.68,76.95,24.76,$32.73,$61.47,59.28,57.15,46.49,True
79,55.0,EXR,Extra Space Storage Inc.,11.0,79.0,75,1.36,168.94,192.86,14.16,$94.10,$174.89,167.8,157.25,129.07,True
80,54.83,WELL,Welltower Inc.,12.0,76.5,76,1.37,83.85,89.35,6.56,$48.90,$89.37,84.62,79.33,68.29,True
81,54.33,FOXF,Fox Factory Holding Corp.,16.0,74.0,73,1.32,147.5,176.0,19.32,$69.95,$166.88,152.86,151.99,124.16,True
